Date,Open,High,Low,Close,Volume
2012-01-01,88.8,88.8,88.34,88.34,377.0
2012-01-02,88.34,87.95,87.29,87.82,2216.0
2012-01-03,87.82,87.95,87.56,87.82,1677.0
2012-01-04,87.82,87.82,87.23,87.69,979.0
2012-01-05,87.69,87.69,87.36,87.69,193.0
2012-01-08,87.69,88.54,87.69,88.48,242.0
2012-01-09,88.48,89.0,88.48,88.61,643.0
2012-01-11,88.61,88.54,87.88,87.88,386.0
2012-01-12,87.88,87.56,87.56,87.56,84.0
2012-01-16,87.56,88.08,87.88,87.88,2213.0
2012-01-17,87.88,87.88,87.88,87.88,14.0
2012-01-18,87.88,87.88,87.88,87.88,79.0
2012-01-22,87.62,87.82,87.56,87.56,376.0
2012-01-23,87.56,87.95,87.69,87.88,189.0
2012-01-25,87.88,88.08,87.69,88.08,390.0
2012-01-26,88.08,88.48,88.02,88.02,1184.0
2012-01-29,88.02,87.62,87.62,87.62,222.0
2012-01-31,87.62,88.02,87.75,87.88,128.0
2012-02-01,87.88,87.88,87.69,87.82,367.0
2012-02-02,87.82,87.88,87.62,87.82,206.0
2012-02-05,87.82,88.21,87.49,87.56,501.0
2012-02-06,87.56,87.62,87.56,87.56,479.0
2012-02-07,87.56,88.21,87.16,87.49,908.0
2012-02-08,87.49,87.29,87.16,87.16,469.0
2012-02-09,87.16,87.23,86.9,87.16,156.0
2012-02-12,87.16,87.56,87.23,87.29,328.0
2012-02-13,87.29,87.62,86.97,87.03,1137.0
2012-02-14,87.03,87.29,86.97,87.29,215.0
2012-02-15,87.29,87.36,87.16,87.36,173.0
2012-02-16,87.36,87.56,87.29,87.43,1144.0
2012-02-21,87.43,87.56,87.49,87.56,141.0
2012-02-23,87.56,87.56,87.29,87.29,649.0
2012-02-26,87.29,87.49,87.23,87.29,2080.0
2012-02-27,87.29,87.56,87.23,87.36,559.0
2012-02-28,87.36,87.62,87.36,87.56,539.0
2012-02-29,87.56,87.56,87.43,87.56,565.0
2012-03-01,87.56,87.88,87.49,87.49,529.0
2012-03-04,87.49,87.62,87.43,87.62,896.0
2012-03-05,87.62,88.02,87.62,87.62,225.0
2012-03-06,87.62,87.95,87.62,87.62,407.0
2012-03-11,87.62,87.49,87.23,87.49,252.0
2012-03-12,87.49,87.56,87.43,87.49,192.0
2012-03-13,87.49,87.49,87.36,87.36,367.0
2012-03-14,87.36,87.36,87.23,87.36,275.0
2012-03-15,87.36,87.49,87.16,87.16,426.0
2012-03-18,87.16,87.23,87.1,87.1,878.0
2012-03-19,87.1,87.23,87.03,87.03,208.0
2012-03-20,87.03,87.29,86.97,87.29,1110.0
2012-03-21,87.29,87.29,87.1,87.16,1444.0
2012-03-25,87.16,87.23,86.9,86.9,616.0
2012-03-26,86.9,86.9,86.77,86.9,1934.0
2012-03-27,86.9,86.9,86.9,86.9,95.0
2012-03-28,86.9,87.03,86.9,86.97,210.0
2012-04-01,86.97,87.56,87.23,87.56,128.0
2012-04-02,87.56,87.23,87.23,87.23,139.0
2012-04-03,87.23,87.56,87.43,87.49,5557.0
2012-04-04,87.49,87.82,87.43,87.43,509.0
2012-04-05,87.43,87.29,87.1,87.23,1954.0
2012-04-08,87.23,87.23,86.57,87.23,730.0
2012-04-09,87.23,87.62,87.36,87.43,360.0
2012-04-10,87.43,87.56,87.23,87.49,219.0
2012-04-11,87.49,88.61,87.75,87.75,778.0
2012-04-12,87.75,88.93,87.56,88.93,2237.0
2012-04-15,88.93,89.98,89.33,89.98,166.0
2012-04-18,89.98,89.59,89.59,89.59,314.0
2012-04-19,89.59,89.98,89.46,89.52,2186.0
2012-04-22,89.52,89.72,89.33,89.33,616.0
2012-04-24,89.33,89.92,89.52,89.92,342.0
2012-04-25,89.92,90.71,90.31,90.71,90.0
2012-04-26,90.71,92.94,90.38,92.94,1291.0
2012-04-29,92.94,93.46,92.02,92.15,909.0
2012-05-03,92.15,91.69,91.36,91.36,262.0
2012-05-08,91.36,91.82,91.82,91.82,31.0
2012-05-09,91.82,92.28,89.46,89.46,778.0
2012-05-10,89.46,89.2,88.28,88.87,1628.0
2012-05-13,88.87,88.54,88.08,88.54,775.0
2012-05-14,88.54,88.21,87.88,88.02,638.0
2012-05-15,88.02,89.26,88.41,89.26,399.0
2012-05-16,89.26,89.66,89.66,89.66,10.0
2012-05-17,89.66,91.82,90.05,91.36,288.0
2012-05-20,91.36,90.9,89.72,90.05,2628.0
2012-05-21,90.05,89.66,88.87,89.07,618.0
2012-05-22,89.07,89.13,87.82,87.82,2082.0
2012-05-23,87.82,87.56,87.56,87.56,434.0
2012-05-24,87.56,88.28,87.88,88.28,84.0
2012-05-27,88.28,88.87,88.34,88.34,187.0
2012-05-29,88.34,87.95,86.31,86.31,697.0
2012-05-30,86.31,85.98,84.47,85.59,1665.0
2012-05-31,85.59,86.24,85.92,86.24,168.0
2012-06-04,86.24,86.57,86.24,86.57,379.0
2012-06-05,86.57,86.7,85.98,86.51,986.0
2012-06-06,86.51,86.57,86.18,86.57,223.0
2012-06-07,86.57,86.9,86.57,86.57,195.0
2012-06-10,86.57,86.31,86.24,86.31,48.0
2012-06-11,86.31,86.57,86.24,86.57,375.0
2012-06-12,86.57,86.77,86.77,86.77,28.0
2012-06-13,86.77,86.57,86.51,86.57,486.0
2012-06-14,86.57,86.9,86.57,86.57,170.0
2012-06-17,86.57,86.24,86.18,86.24,202.0
2012-06-18,86.24,86.77,86.57,86.77,177.0
2012-06-19,86.77,86.77,86.44,86.77,99.0
2012-06-20,86.77,86.84,85.85,86.05,1444.0
2012-06-21,86.05,86.38,86.05,86.38,278.0
2012-06-25,86.38,87.03,86.11,87.03,635.0
2012-06-26,87.03,86.97,86.97,86.97,64.0
2012-06-27,86.97,87.62,86.64,87.23,1102.0
2012-06-28,87.23,87.88,87.49,87.56,352.0
2012-07-01,87.56,87.69,86.57,87.69,526.0
2012-07-02,87.69,87.95,87.43,87.88,323.0
2012-07-03,87.88,87.88,87.62,87.62,275.0
2012-07-04,87.62,88.02,87.29,87.49,1168.0
2012-07-05,87.49,87.75,87.16,87.56,352.0
2012-07-08,87.56,87.95,87.49,87.95,246.0
2012-07-09,87.95,87.88,87.62,87.88,110.0
2012-07-10,87.88,88.21,87.88,87.88,303.0
2012-07-11,87.88,87.95,87.56,87.95,376.0
