Date,Open,High,Low,Close,Volume
2018/12/20,95.2,115.2,94.4,100.8,1245.0
2018/12/23,100.8,101.6,99.2,101.6,2920.0
2018/12/24,101.6,102.4,100.0,100.8,2320.0
2018/12/25,100.8,100.8,99.2,100.4,590.0
2018/12/26,100.4,100.8,100.0,100.4,390.0
2018/12/27,100.4,100.8,99.6,99.6,840.0
2018/12/30,99.6,100.0,99.2,99.6,420.0
2018/12/31,99.6,100.0,99.2,99.2,1320.0
2019/01/01,99.2,99.2,98.4,98.8,1030.0
2019/01/02,98.8,98.8,98.0,98.4,570.0
2019/01/03,98.4,98.4,97.2,97.2,760.0
2019/01/06,97.2,98.0,96.8,98.0,2540.0
2019/01/08,96.4,98.0,95.6,98.0,1560.0
2019/01/09,98.0,98.0,96.8,97.6,1186.0
2019/01/10,97.6,98.0,96.8,97.6,1480.0
2019/01/13,97.6,97.6,95.2,96.0,1170.0
2019/01/14,96.0,96.4,95.6,95.6,1280.0
2019/01/15,95.6,96.8,95.6,96.8,2000.0
2019/01/16,96.8,96.8,96.0,96.4,470.0
2019/01/17,96.4,96.4,95.6,95.6,1120.0
2019/01/20,95.6,95.6,94.4,94.8,120.0
2019/01/21,94.8,94.8,91.6,92.4,1570.0
2019/01/22,92.4,92.8,91.6,92.0,1080.0
2019/01/23,92.0,94.4,92.0,94.4,620.0
2019/01/24,94.4,94.4,93.2,94.4,911.0
2019/01/27,94.4,95.2,93.6,94.4,1230.0
2019/01/28,94.4,94.4,93.2,93.6,500.0
2019/01/29,93.6,94.0,92.8,93.6,999.0
2019/01/30,93.6,94.4,93.2,93.6,1130.0
2019/01/31,93.6,94.4,93.6,94.0,1080.0
2019/02/03,93.6,94.0,93.2,94.0,779.0
2019/02/04,93.6,94.0,91.2,92.4,610.0
2019/02/05,92.0,94.0,92.0,94.0,400.0
2019/02/06,94.0,94.0,93.6,93.6,780.0
2019/02/07,93.6,94.0,92.4,93.2,1050.0
2019/02/10,93.6,94.0,92.4,92.8,990.0
2019/02/11,92.4,93.2,92.0,92.4,670.0
2019/02/12,92.4,93.6,92.4,93.6,510.0
2019/02/13,93.2,93.6,92.0,92.4,750.0
2019/02/14,92.8,94.0,92.4,92.4,710.0
2019/02/17,92.0,93.2,91.6,92.8,660.0
2019/02/18,93.2,93.2,92.4,92.4,535.0
2019/02/19,92.0,92.4,91.6,91.6,230.0
2019/02/20,91.6,92.0,91.2,91.6,590.0
2019/02/21,91.2,92.4,91.2,91.2,1830.0
2019/02/24,91.2,91.6,90.8,90.8,1320.0
2019/02/25,90.4,92.8,90.0,92.8,310.0
2019/02/26,93.2,94.0,92.4,92.8,625.0
2019/02/27,93.2,94.0,92.4,94.0,2860.0
2019/03/03,93.6,94.0,92.0,92.0,510.0
2019/03/05,91.6,92.4,91.2,92.0,230.0
2019/03/06,92.0,92.4,92.0,92.0,200.0
2019/03/07,92.0,92.8,90.8,92.0,340.0
2019/03/09,91.6,92.4,91.2,92.4,730.0
2019/03/10,91.6,92.4,91.2,92.4,730.0
2019/03/11,92.8,92.8,91.6,92.4,320.0
2019/03/12,92.4,92.8,91.6,92.0,550.0
2019/03/13,91.6,93.2,91.6,92.8,1085.0
2019/03/14,93.2,94.4,92.8,94.0,820.0
2019/03/17,94.4,95.6,93.6,93.6,1400.0
2019/03/18,93.2,93.2,92.4,93.2,390.0
2019/03/19,92.8,93.2,92.8,92.8,120.0
2019/03/21,92.4,93.2,92.4,92.8,270.0
2019/03/24,92.8,92.8,91.6,91.6,880.0
2019/03/25,91.2,92.0,90.8,91.6,610.0
2019/03/26,91.2,92.4,91.2,92.0,590.0
2019/03/27,92.0,92.8,92.0,92.4,1820.0
2019/03/28,92.0,92.8,91.6,92.4,1330.0
2019/03/31,92.0,92.4,92.0,92.0,1080.0
2019/04/01,92.0,92.8,92.0,92.0,1390.0
2019/04/02,92.4,92.4,91.6,92.4,1140.0
2019/04/03,92.8,92.8,91.2,92.0,770.0
2019/04/04,92.0,92.8,91.6,91.6,800.0
2019/04/07,91.2,92.4,91.2,91.6,1130.0
2019/04/08,91.6,92.0,90.8,91.2,3860.0
2019/04/09,90.8,94.0,90.8,92.4,2105.0
2019/04/10,92.0,92.4,91.6,92.0,580.0
2019/04/11,92.4,92.4,91.2,91.6,960.0
2019/04/15,91.2,92.4,91.2,91.6,850.0
2019/04/16,91.2,92.4,91.2,92.0,360.0
2019/04/17,92.0,92.4,91.6,92.4,400.0
2019/04/18,92.0,92.8,91.2,92.8,370.0
2019/04/21,92.8,92.8,92.8,92.8,50.0
2019/04/22,92.4,93.2,92.0,92.0,200.0
2019/04/23,91.6,92.0,91.2,92.0,710.0
2019/04/24,91.6,92.0,91.2,91.2,700.0
2019/04/25,91.2,91.6,90.8,91.2,945.0
2019/04/28,90.8,92.4,90.4,92.0,740.0
2019/04/29,92.0,92.0,91.2,92.0,240.0
2019/04/30,91.6,92.8,91.2,92.0,290.0
2019/05/02,91.6,92.8,91.2,92.4,370.0
2019/05/05,92.0,92.0,91.2,91.2,341.0
2019/05/06,90.8,91.6,90.8,91.6,320.0
2019/05/07,91.2,92.0,90.8,91.2,550.0
2019/05/08,91.2,92.0,90.8,90.8,1370.0
2019/05/09,90.8,91.6,90.4,91.6,281.0
2019/05/12,91.6,92.0,91.2,91.2,1320.0
2019/05/13,90.8,91.2,90.8,90.8,460.0
2019/05/14,90.4,91.2,90.4,91.2,469.0
2019/05/15,91.6,92.0,91.6,91.6,839.0
2019/05/16,92.0,92.0,90.8,90.8,830.0
2019/05/19,90.0,91.2,90.0,90.0,1860.0
2019/05/20,90.0,90.4,89.6,90.0,1490.0
2019/05/21,90.0,91.6,89.6,91.6,3660.0
2019/05/22,91.6,94.4,91.2,92.8,2170.0
2019/05/23,92.4,93.2,92.4,92.8,1020.0
2019/05/26,93.2,93.2,92.4,92.4,170.0
2019/05/27,92.8,92.8,90.8,90.8,300.0
