Date,Open,High,Low,Close,Volume
2012/01/01,61.63,61.42,61.42,61.42,50.0
2012/01/02,61.42,62.12,61.63,61.98,1320.0
2012/01/03,61.98,62.39,62.12,62.19,2370.0
2012/01/04,62.19,62.39,61.77,61.77,390.0
2012/01/08,61.77,61.63,61.56,61.63,160.0
2012/01/09,61.63,61.84,61.63,61.84,200.0
2012/01/10,61.84,61.7,61.7,61.7,80.0
2012/01/11,61.7,61.84,61.77,61.84,630.0
2012/01/12,61.84,61.91,61.91,61.91,70.0
2012/01/16,61.91,62.25,61.98,62.12,880.0
2012/01/17,62.12,62.25,62.05,62.05,410.0
2012/01/18,62.05,61.98,61.98,61.98,180.0
2012/01/22,61.98,62.19,61.21,61.21,4030.0
2012/01/23,61.21,61.21,60.86,61.21,560.0
2012/01/25,61.21,61.07,60.37,60.51,2630.0
2012/01/26,60.51,60.65,60.24,60.31,1470.0
2012/01/29,60.31,60.79,60.24,60.72,3020.0
2012/01/31,60.72,60.51,60.03,60.24,1180.0
2012/02/01,60.24,60.24,60.1,60.24,50.0
2012/02/02,60.24,60.37,60.24,60.37,250.0
2012/03/13,60.37,61.35,60.37,61.07,890.0
2012/03/14,61.07,61.35,61.21,61.35,140.0
2012/03/15,61.35,61.28,60.93,60.93,470.0
2012/03/18,60.93,60.79,60.79,60.79,110.0
2012/03/19,60.79,60.86,60.72,60.72,350.0
2012/03/20,60.72,60.86,60.79,60.79,870.0
2012/03/21,60.79,60.65,60.58,60.58,400.0
2012/03/25,60.58,60.58,60.24,60.58,1390.0
2012/03/26,60.58,60.44,60.44,60.44,30.0
2012/03/27,60.44,60.58,60.37,60.37,1200.0
2012/03/28,60.37,60.37,60.31,60.31,260.0
2012/03/29,60.31,60.79,60.44,60.79,950.0
2012/04/01,60.79,60.79,60.24,60.37,1100.0
2012/04/02,60.37,60.79,60.24,60.65,770.0
2012/04/03,60.65,60.72,60.31,60.72,110.0
2012/04/04,60.72,60.72,60.58,60.72,220.0
2012/04/05,60.72,60.93,60.37,60.79,1090.0
2012/04/08,60.79,60.79,60.37,60.79,690.0
2012/04/09,60.79,61.07,60.44,61.07,560.0
2012/04/10,61.07,61.14,60.72,61.07,2830.0
