Date,Open,High,Low,Close,Volume
2015/11/18,108.26,109.2,108.26,109.2,52.0
2015/11/19,110.15,112.97,110.15,112.97,104.0
2015/11/22,113.91,118.15,113.91,118.15,768.0
2015/11/23,119.25,123.8,119.25,123.8,12360.0
2015/11/24,126.94,129.61,126.16,128.51,46262.0
2015/11/25,129.14,129.14,124.28,124.75,25625.0
2015/11/26,123.49,123.8,122.23,123.02,14443.0
2015/11/29,121.92,121.92,120.04,120.82,15706.0
2015/11/30,120.66,123.33,120.66,121.29,9790.0
2015/12/01,121.29,123.8,120.82,123.8,11114.0
2015/12/02,123.8,124.59,122.23,123.49,11339.0
2015/12/03,122.86,123.96,121.76,122.55,11281.0
2015/12/04,123.33,123.96,121.92,123.49,14631.0
2015/12/07,123.8,125.06,123.02,123.33,16125.0
2015/12/08,123.8,124.12,122.39,123.65,11962.0
2015/12/09,123.33,125.69,122.86,125.69,14731.0
2015/12/10,125.06,125.37,123.49,123.8,13958.0
2015/12/13,123.8,123.96,122.71,123.8,23721.0
2015/12/14,123.8,123.8,123.49,123.49,24112.0
2015/12/15,123.49,123.8,122.23,122.39,8414.0
2015/12/16,123.18,123.8,122.23,122.71,16529.0
2015/12/17,121.61,123.65,121.61,122.39,12164.0
2015/12/20,122.39,123.02,120.98,122.08,7578.0
2015/12/21,122.08,122.08,120.04,120.35,6813.0
2015/12/22,120.35,120.66,118.15,119.09,7114.0
2015/12/23,119.09,120.04,118.47,119.41,12488.0
2015/12/24,119.41,121.45,118.31,120.51,11983.0
2015/12/25,119.41,121.45,118.47,121.45,9016.0
2015/12/28,121.45,120.66,119.09,119.25,10572.0
2015/12/29,119.25,120.82,118.78,119.41,13555.0
2015/12/31,119.09,120.82,118.78,119.09,11336.0
2016/01/03,119.25,120.19,117.84,118.94,11849.0
2016/01/04,118.94,119.57,117.21,118.78,9183.0
2016/01/05,117.68,119.88,115.95,119.88,27876.0
2016/01/06,119.88,119.88,116.43,117.52,21477.0
2016/01/07,116.9,120.19,116.9,118.78,16005.0
2016/01/10,118.78,120.66,117.68,120.35,29492.0
2016/01/11,119.88,121.14,119.09,120.04,30518.0
2016/01/12,119.88,123.8,119.09,123.8,35468.0
