Date,Open,High,Low,Close,Volume
2016/09/28,209.21,229.95,213.27,228.6,4437.0
2016/09/29,234.46,252.95,234.46,252.95,50.0
2016/10/02,257.91,278.2,257.91,278.2,469.0
2016/10/03,283.61,305.7,283.61,305.7,420.0
2016/10/04,311.56,335.91,311.56,335.91,3322.0
2016/10/05,342.22,369.28,340.42,354.85,381177.0
2016/10/06,352.14,358.01,349.44,351.69,178136.0
2016/10/16,350.79,351.69,340.42,344.48,58598.0
2016/10/17,347.18,347.18,331.85,339.07,75678.0
2016/10/18,322.39,339.52,322.39,333.66,51936.0
2016/10/19,338.17,338.62,331.4,332.76,34634.0
2016/10/20,333.66,335.46,333.21,334.11,40919.0
2016/10/23,338.17,338.17,325.99,329.15,48414.0
2016/10/24,328.25,328.25,321.48,324.19,35840.0
2016/10/25,322.39,329.15,318.33,324.64,39244.0
2016/10/26,323.74,324.64,318.78,323.74,36563.0
2016/10/27,324.64,328.7,321.93,324.19,45651.0
2016/11/03,324.64,324.64,320.13,321.48,22970.0
2016/11/07,321.48,321.93,317.88,318.33,49484.0
2016/11/08,318.78,318.78,311.56,315.62,53317.0
2016/11/09,313.37,315.62,300.29,310.21,42648.0
2016/11/10,309.31,312.47,302.1,310.21,63495.0
2016/11/13,310.21,310.21,300.29,304.8,42870.0
2016/11/14,300.29,317.88,300.29,314.72,60427.0
2016/11/15,315.62,320.13,312.01,314.72,66240.0
2016/11/16,315.62,315.62,311.11,311.56,19983.0
2016/11/17,311.11,311.11,297.59,304.35,53578.0
2016/11/20,310.21,310.21,287.67,295.33,77691.0
2016/11/21,291.72,301.64,284.51,296.68,67806.0
2016/11/22,290.82,297.14,277.3,290.37,58544.0
2016/11/23,291.72,293.08,279.55,284.06,77629.0
2016/11/24,289.47,294.88,279.55,283.61,63443.0
2016/11/27,280.45,286.31,275.49,278.2,73178.0
2016/11/28,275.04,293.08,268.28,291.27,109608.0
2016/11/29,291.27,296.68,274.59,293.53,96962.0
2016/11/30,295.33,304.35,293.98,301.64,90494.0
2016/12/01,307.51,307.51,294.88,301.64,66851.0
2016/12/04,307.05,307.05,292.63,297.59,40874.0
2016/12/05,297.59,297.59,291.27,294.43,45679.0
2016/12/06,294.43,302.1,291.72,297.59,38914.0
2016/12/07,303.45,303.45,285.41,296.68,31067.0
2016/12/08,296.68,296.68,293.08,295.78,20692.0
2016/12/11,296.68,296.68,288.57,289.02,34307.0
2016/12/12,292.18,292.18,279.55,287.22,26635.0
2016/12/14,288.57,290.82,286.31,288.12,25739.0
2016/12/15,288.12,293.53,286.31,292.18,27803.0
2016/12/18,293.08,293.08,287.67,291.27,41502.0
2016/12/19,286.76,293.08,286.76,289.92,34377.0
2016/12/20,288.57,288.57,281.81,281.81,25930.0
2016/12/21,281.81,282.71,279.55,280.0,29990.0
2016/12/22,277.3,282.26,277.3,279.55,19840.0
2016/12/26,277.3,277.3,270.53,271.89,55924.0
2016/12/27,273.69,274.59,260.61,268.28,43724.0
2016/12/28,268.28,273.69,266.93,270.53,29792.0
2016/12/29,268.73,281.81,268.73,277.3,42205.0
2017/01/01,281.81,284.51,279.55,281.81,29831.0
2017/01/02,286.76,288.57,280.9,281.81,37538.0
2017/01/03,281.81,282.71,275.04,275.94,25697.0
2017/01/04,275.04,278.65,270.53,276.85,16585.0
2017/01/05,274.14,284.96,271.89,275.94,21291.0
2017/01/08,273.24,276.85,273.24,276.39,149829.0
2017/01/09,277.75,277.75,275.04,277.75,14193.0
2017/01/10,278.2,282.26,278.2,280.0,16048.0
2017/01/11,280.0,282.26,279.1,279.1,11953.0
2017/01/12,277.3,279.55,276.85,276.85,11035.0
2017/01/15,277.3,277.75,275.04,275.94,10360.0
2017/01/16,275.94,276.39,274.14,274.59,7024.0
2017/01/17,274.14,275.49,270.53,275.04,19781.0
2017/01/18,275.04,276.39,274.14,275.49,11726.0
2017/01/19,270.98,275.49,270.98,274.59,9518.0
2017/01/22,275.49,275.49,272.79,273.24,12086.0
2017/01/23,273.69,273.69,270.53,271.89,17889.0
2017/01/24,271.89,271.89,266.02,268.73,21459.0
2017/01/25,268.73,268.73,260.61,263.77,18628.0
2017/01/26,261.52,263.77,254.75,257.01,32501.0
2017/01/30,258.36,258.36,242.13,243.48,37872.0
2017/01/31,238.97,252.5,229.95,245.73,16759.0
2017/02/01,250.24,258.36,247.09,258.36,24179.0
2017/02/02,263.32,268.28,252.5,257.01,28786.0
2017/02/05,254.75,254.75,249.34,251.6,8133.0
2017/02/06,247.99,252.95,245.28,247.99,12842.0
2017/02/07,247.99,247.99,240.77,247.09,7990.0
2017/02/08,246.19,247.99,241.23,243.93,15736.0
2017/02/09,243.03,243.48,236.72,237.17,24053.0
2017/02/12,234.46,236.72,225.44,229.05,25795.0
2017/02/13,225.44,237.62,220.94,236.72,52492.0
2017/02/14,236.27,238.07,230.85,234.01,26751.0
2017/02/15,238.07,239.42,231.31,239.42,39286.0
