Date,Open,High,Low,Close,Volume
2012/01/01,208.16,204.51,204.51,204.51,23.0
2012/01/02,204.51,201.23,201.23,201.23,200.0
2012/01/03,201.23,197.95,197.95,197.95,40.0
2012/01/04,197.95,199.04,195.76,199.04,620.0
2012/01/09,199.04,205.61,202.33,205.61,34.0
2012/01/10,205.61,212.54,208.89,212.54,56.0
2012/01/11,212.54,208.89,208.89,208.89,30.0
2012/01/12,208.89,219.84,212.54,219.84,75.0
2012/02/07,219.84,216.19,214.0,214.0,80.0
2012/02/27,214.0,210.35,195.03,195.03,846.0
2012/02/28,195.03,191.75,188.46,188.46,509.0
2012/03/04,188.46,190.29,188.46,190.29,1045.0
2012/03/06,190.29,190.29,190.29,190.29,100.0
2012/03/11,190.29,190.29,190.29,190.29,352.0
2012/03/18,190.29,192.11,192.11,192.11,10.0
2012/03/19,192.11,192.11,192.11,192.11,30.0
2012/03/20,192.11,190.65,184.45,184.45,421.0
2012/03/21,184.45,182.99,181.53,181.53,300.0
2012/03/26,181.53,178.62,175.7,175.7,200.0
2012/03/28,175.7,173.87,166.58,167.31,1800.0
2012/03/29,167.31,165.12,164.02,164.02,750.0
2012/04/01,164.02,175.33,157.09,175.33,1860.0
2012/04/02,175.33,181.17,178.25,181.17,40.0
2012/04/03,181.17,179.35,176.43,179.35,520.0
2012/04/05,179.35,176.43,176.43,176.43,150.0
2012/04/08,176.43,177.52,177.52,177.52,500.0
2012/04/09,177.52,174.6,168.77,168.77,300.0
2012/04/10,168.77,166.58,161.47,164.75,842.0
2012/04/11,164.75,173.14,165.12,168.4,730.0
2012/04/12,168.4,182.63,167.31,182.63,680.0
2012/04/15,182.63,191.75,172.05,172.05,28100.0
2012/04/17,172.05,198.31,188.46,188.46,1799.0
2012/04/18,188.46,196.85,175.33,175.33,2185.0
2012/04/29,175.33,189.92,178.25,189.92,50.0
2012/04/30,189.92,205.24,193.21,205.24,502.0
2012/05/02,205.24,215.82,208.53,212.17,1628.0
2012/05/03,212.17,218.38,215.82,218.38,1036.0
2012/05/08,218.38,229.68,221.66,221.66,3570.0
2012/05/09,221.66,230.41,225.31,228.59,1188.0
2012/05/10,228.59,232.24,224.21,224.58,2208.0
2012/05/13,224.58,221.29,221.29,221.29,160.0
2012/05/15,221.29,228.95,224.94,228.95,455.0
2012/05/16,228.95,236.98,232.97,236.98,20.0
2012/05/17,236.98,249.38,240.99,245.0,512.0
2012/05/20,245.0,240.63,223.12,228.95,1294.0
2012/05/21,228.95,230.78,224.94,226.77,340.0
2012/05/22,226.77,226.04,219.11,226.04,260.0
2012/05/23,226.04,222.02,222.02,222.02,42.0
2012/05/24,222.02,218.38,214.0,214.0,816.0
2012/05/27,214.0,221.29,206.7,221.29,370.0
2012/05/31,221.29,217.65,201.6,208.16,2281.0
2012/06/03,208.16,215.46,211.81,215.46,1120.0
2012/06/04,215.46,211.81,201.23,204.15,530.0
2012/06/05,204.15,204.15,197.58,197.58,110.0
2012/06/06,197.58,197.58,192.48,192.48,460.0
2012/06/07,192.48,199.41,189.56,197.58,1540.0
2012/06/10,197.58,194.3,192.11,192.11,40.0
2012/06/11,192.11,195.4,188.83,192.84,170.0
2012/06/14,192.84,196.85,190.29,196.85,3400.0
2012/06/20,196.85,203.42,200.14,203.06,210.0
2012/06/21,203.06,199.77,196.49,196.49,10280.0
2012/06/25,196.49,199.77,197.58,199.77,275.0
2012/06/26,199.77,202.69,199.41,199.41,1929.0
2012/06/27,199.41,202.33,202.33,202.33,100.0
2012/06/28,202.33,208.89,205.24,205.24,531.0
2012/07/02,205.24,201.96,196.12,196.12,2140.0
2012/07/03,196.12,199.41,195.76,199.04,1100.0
2012/07/04,199.04,205.61,202.33,205.61,99.0
2012/07/05,205.61,213.63,203.06,212.9,1357.0
2012/07/08,212.9,220.2,216.55,220.2,524.0
2012/07/09,220.2,223.85,216.55,223.85,321.0
2012/07/10,223.85,231.51,219.84,227.13,806.0
2012/07/11,227.13,226.77,219.47,226.77,220.0
2012/07/12,226.77,234.79,230.78,234.79,160.0
2012/07/23,234.79,230.78,221.29,221.66,1702.0
2012/07/24,221.66,221.29,218.01,221.29,1400.0
2012/07/25,221.29,219.47,216.92,216.92,1049.0
2012/07/26,216.92,213.27,213.27,213.27,500.0
2012/07/30,213.27,213.27,209.62,212.17,1724.0
2012/07/31,212.17,211.45,211.08,211.08,600.0
2012/08/01,211.08,222.02,214.73,222.02,42.0
2012/08/05,222.02,218.38,214.73,218.01,1986.0
2012/08/06,218.01,214.73,212.17,212.17,650.0
2012/08/07,212.17,216.55,212.17,216.55,1336.0
2012/08/08,216.55,232.6,220.2,232.6,5352.0
2012/08/12,232.6,249.02,231.87,235.16,6235.0
2012/08/13,235.16,236.25,230.41,232.24,2310.0
2012/08/14,232.24,248.65,236.25,244.64,6499.0
2012/08/15,244.64,242.82,237.71,239.17,3916.0
2012/08/16,239.17,242.09,235.89,239.17,5166.0
2012/08/19,239.17,243.91,235.89,242.82,9742.0
2012/08/21,242.82,250.48,243.18,249.02,3167.0
2012/08/22,249.02,257.77,250.84,257.77,1007.0
2012/08/23,257.77,267.99,257.77,262.15,6120.0
2012/08/26,262.15,266.89,257.41,261.78,2770.0
2012/08/27,261.78,264.34,261.42,264.34,5881.0
2012/08/28,264.34,270.54,263.97,265.43,2979.0
2012/08/29,265.43,270.17,265.43,265.8,1520.0
2012/08/30,265.8,268.71,265.8,266.89,3250.0
2012/09/02,266.89,275.65,268.71,273.09,4120.0
2012/09/03,273.09,276.38,270.54,274.19,539.0
2012/09/04,274.19,278.2,273.46,274.19,2300.0
2012/09/05,274.19,272.36,268.71,268.71,1630.0
2012/09/06,268.71,276.74,269.81,276.01,710.0
2012/09/09,276.01,278.56,272.73,277.83,1148.0
2012/09/10,277.83,276.38,273.09,275.65,1200.0
2012/09/11,275.65,276.01,271.27,275.65,462.0
2012/09/12,275.65,276.01,273.09,276.01,1300.0
2012/09/13,276.01,274.19,272.36,274.19,900.0
2012/09/16,274.19,278.2,274.55,275.65,750.0
