Date,Open,High,Low,Close,Volume
2012/01/05,15.99,15.78,15.78,15.78,20.0
2012/01/11,15.78,15.57,15.37,15.37,30.0
2012/01/18,15.37,15.16,15.16,15.16,21.0
2012/01/25,15.16,15.19,15.19,15.19,977.0
2012/02/06,15.19,15.09,15.09,15.09,20.0
2012/02/08,15.09,15.3,15.3,15.3,158.0
2012/02/16,15.3,15.09,14.88,14.88,138.0
2012/02/23,14.88,14.7,14.28,14.28,50.0
2012/02/28,14.28,14.11,13.59,13.59,178.0
2012/02/29,13.59,13.76,13.76,13.76,82.0
2012/03/01,13.76,13.59,12.78,12.78,1795.0
2012/03/04,12.78,12.61,12.61,12.61,126.0
2012/03/05,12.61,12.5,12.36,12.36,31.0
2012/03/20,12.36,12.5,12.5,12.5,158.0
2012/03/25,12.5,12.64,12.64,12.64,157.0
2012/03/28,12.64,12.68,12.68,12.68,84.0
2012/04/08,12.68,12.85,12.85,12.85,110.0
2012/04/12,12.85,12.75,12.75,12.75,476.0
2012/04/26,12.75,12.92,12.92,12.92,2175.0
2012/05/14,12.92,13.45,13.1,13.45,1927.0
2012/05/17,13.45,14.14,13.62,14.14,288.0
2012/05/24,14.14,13.97,13.97,13.97,319.0
2012/06/07,13.97,14.14,14.14,14.14,472.0
2012/06/12,14.14,13.97,13.8,13.8,658.0
2012/06/17,13.8,13.97,13.97,13.97,420.0
2012/07/01,13.97,13.9,13.9,13.9,157.0
2012/07/11,13.9,14.88,14.07,14.88,1141.0
2012/07/17,14.88,15.96,15.09,15.96,160.0
2012/07/18,15.96,17.14,16.17,17.14,443.0
2012/07/19,17.14,17.88,17.14,17.14,906.0
2012/07/23,17.14,17.0,16.97,16.97,58.0
2012/07/24,16.97,17.7,17.21,17.7,644.0
2012/07/26,17.7,17.46,17.46,17.46,16.0
2012/07/31,17.46,17.46,17.21,17.46,1437.0
2012/08/01,17.46,17.95,17.7,17.74,64.0
2012/08/06,17.74,17.49,17.49,17.49,100.0
2012/08/13,17.49,17.53,17.53,17.53,525.0
2012/08/16,17.53,17.74,17.35,17.35,210.0
2012/08/19,17.35,17.11,16.87,16.87,380.0
2012/08/28,16.87,16.62,16.62,16.62,10.0
2012/08/29,16.62,16.93,15.78,16.93,435.0
2012/08/30,16.93,17.04,16.8,17.0,1755.0
2012/09/02,17.0,17.25,17.25,17.25,21.0
2012/09/03,17.25,17.04,17.04,17.04,796.0
