Date,Open,High,Low,Close,Volume
2014-06-08,117.43,118.51,112.0,117.43,98049.0
2014-06-09,117.43,117.43,114.71,115.8,119894.0
2014-06-10,115.8,116.88,114.44,116.34,75947.0
2014-06-11,116.34,119.06,115.8,117.97,50258.0
2014-06-12,117.97,121.77,117.43,121.77,69819.0
2014-06-15,121.77,129.65,120.69,129.65,103028.0
2014-06-16,129.65,136.98,128.02,132.09,86587.0
2014-06-17,132.09,135.89,128.83,132.63,71650.0
2014-06-18,132.63,133.18,128.29,129.1,34780.0
2014-06-19,129.1,128.29,125.03,125.03,38719.0
2014-06-23,125.03,126.66,123.67,125.57,19638.0
2014-06-24,125.57,129.65,122.32,126.66,28200.0
2014-06-25,126.66,128.29,125.57,125.85,27323.0
2014-06-26,125.85,129.92,124.76,128.29,34601.0
2014-06-29,128.29,129.92,126.93,128.29,28891.0
2014-06-30,128.29,128.02,126.66,127.75,26483.0
2014-07-01,127.75,128.29,125.57,127.48,18947.0
2014-07-02,127.48,127.48,126.12,127.2,28593.0
2014-07-03,127.2,128.29,126.12,127.2,23235.0
2014-07-06,127.2,128.29,125.57,128.02,35908.0
2014-07-07,128.02,130.73,126.66,130.19,40097.0
2014-07-08,130.19,133.45,129.38,131.55,29840.0
2014-07-09,131.55,131.82,129.92,129.92,22179.0
2014-07-10,129.92,133.72,128.29,132.36,17900.0
2014-07-13,132.36,138.61,132.36,133.72,48036.0
2014-07-14,133.72,134.26,130.46,131.55,18449.0
2014-07-15,131.55,132.09,129.38,130.73,22616.0
2014-07-16,130.73,133.72,130.46,131.28,22560.0
2014-07-17,131.28,133.72,130.46,133.72,20556.0
2014-07-20,133.72,136.71,133.72,136.16,40194.0
2014-07-21,136.16,145.13,136.16,139.15,39296.0
2014-07-22,139.15,140.24,136.71,140.24,29289.0
2014-07-23,140.24,142.41,137.52,141.87,31024.0
2014-07-24,141.87,143.23,140.78,141.87,29450.0
2014-07-27,141.87,142.14,138.34,140.24,16924.0
2014-07-28,140.24,140.51,136.44,137.79,8857.0
2014-07-30,137.79,139.15,135.08,136.98,26602.0
2014-07-31,136.98,138.61,135.89,137.52,21923.0
2014-08-03,137.52,136.98,133.72,134.54,11652.0
2014-08-04,134.54,135.62,132.36,133.45,20964.0
2014-08-05,133.45,135.35,132.36,135.35,18455.0
2014-08-06,135.35,135.35,131.28,132.63,16391.0
2014-08-07,132.63,136.16,129.92,133.18,23218.0
2014-08-12,133.18,132.09,129.92,130.73,4335.0
2014-08-13,130.73,133.72,126.93,131.01,19453.0
2014-08-14,131.01,132.36,129.38,131.01,10462.0
2014-08-18,131.01,131.01,125.85,127.75,13306.0
2014-08-19,127.75,131.55,127.75,129.65,18825.0
2014-08-20,129.65,129.65,126.12,126.93,10831.0
2014-08-21,126.93,129.65,122.86,129.65,20477.0
2014-08-24,129.65,129.92,125.57,126.93,10161.0
2014-08-25,126.93,125.57,121.77,123.95,18445.0
2014-08-26,123.95,130.19,122.86,122.86,13485.0
2014-08-27,122.86,128.29,124.49,126.93,20282.0
2014-08-28,126.93,128.83,125.85,128.83,27336.0
2014-08-31,128.83,128.29,122.32,124.49,22503.0
2014-09-01,124.49,125.3,122.04,123.4,9771.0
2014-09-03,123.4,125.57,122.04,123.13,19163.0
2014-09-04,123.13,124.22,119.6,121.5,21562.0
2014-09-07,121.5,121.77,114.71,116.07,18002.0
2014-09-09,116.07,123.4,116.07,123.4,10197.0
2014-09-10,123.4,126.66,119.33,120.69,24239.0
2014-09-11,120.69,122.86,117.97,121.23,18762.0
2014-09-14,121.23,121.5,117.7,121.5,8866.0
2014-09-15,121.5,121.5,118.79,119.87,8593.0
2014-09-16,119.87,120.69,118.51,118.79,14342.0
2014-09-17,118.79,120.14,117.7,118.79,8288.0
2014-09-18,118.79,118.79,117.97,117.97,420.0
2014-09-21,117.97,119.06,113.35,114.71,9109.0
2014-09-22,114.71,116.61,114.44,116.34,12823.0
2014-09-23,116.34,119.06,113.63,118.79,9922.0
2014-09-24,118.79,120.14,116.88,119.33,9516.0
2014-09-28,119.33,122.04,119.33,120.96,10129.0
2014-09-29,120.96,123.95,119.6,123.13,7995.0
2014-09-30,123.13,122.59,119.06,121.5,8806.0
2014-10-08,121.5,122.32,117.16,119.06,2554.0
2014-10-09,119.06,118.79,117.7,118.24,2441.0
2014-10-12,118.24,119.6,116.61,117.43,7010.0
2014-10-13,117.43,118.79,116.34,117.16,12047.0
2014-10-14,117.16,118.24,116.34,116.88,17504.0
2014-10-15,116.88,117.97,112.27,117.43,19231.0
2014-10-16,117.43,119.87,117.16,117.97,10377.0
2014-10-19,117.97,118.24,116.34,117.43,5854.0
2014-10-20,117.43,120.14,113.08,118.79,9488.0
2014-10-21,118.79,118.79,116.61,117.7,6821.0
2014-10-22,117.7,120.14,117.43,119.33,5623.0
2014-10-26,119.33,119.87,118.51,118.51,1452.0
2014-10-27,118.51,119.87,117.43,117.97,12057.0
2014-10-28,117.97,118.79,117.43,118.79,7558.0
2014-10-30,118.79,119.06,117.43,117.7,4238.0
2014-11-02,117.7,117.97,116.61,116.88,10725.0
2014-11-03,116.88,117.16,114.71,116.07,10222.0
2014-11-04,116.07,116.34,113.35,114.71,9489.0
2014-11-05,114.71,116.61,112.27,115.26,15837.0
2014-11-06,115.26,116.07,114.44,115.26,16386.0
2014-11-09,115.26,116.07,113.63,114.44,8400.0
2014-11-10,114.44,114.44,110.64,112.0,21037.0
2014-11-11,112.0,114.71,111.18,114.71,5767.0
2014-11-12,114.71,114.98,113.08,114.17,11078.0
2014-11-13,114.17,114.17,112.81,113.35,3351.0
2014-11-16,113.35,113.35,110.64,111.73,6544.0
2014-11-17,111.73,114.17,107.92,110.1,4442.0
2014-11-18,110.1,111.45,103.31,107.11,8102.0
2014-11-19,107.11,108.74,106.57,108.2,6604.0
2014-11-20,108.2,113.35,109.01,112.0,6856.0
2014-11-23,112.0,113.63,110.64,111.73,8613.0
2014-11-24,111.73,113.08,110.64,111.45,6233.0
2014-11-25,111.45,112.0,109.28,111.73,5556.0
2014-11-30,111.73,112.0,109.28,110.37,7734.0
2014-12-01,110.37,111.18,108.74,109.82,9702.0
2014-12-02,109.82,110.1,108.74,109.01,9785.0
2014-12-03,109.01,112.27,108.74,109.28,13842.0
2014-12-04,109.28,113.35,108.2,109.82,7867.0
2014-12-07,109.82,110.1,108.47,109.82,6248.0
2014-12-08,109.82,110.64,109.28,109.28,20074.0
2014-12-09,109.28,110.1,109.28,109.28,1412.0
2014-12-10,109.28,113.35,109.28,110.91,11852.0
2014-12-11,110.91,114.44,111.18,113.35,14654.0
2014-12-14,113.35,118.51,113.63,117.43,22193.0
2014-12-15,117.43,120.42,112.0,117.16,12962.0
2014-12-16,117.16,118.51,114.17,116.88,14463.0
2014-12-17,116.88,116.88,114.17,116.88,8470.0
2014-12-18,116.88,119.33,115.53,117.7,10280.0
2014-12-21,117.7,119.6,114.71,118.79,22808.0
2014-12-22,118.79,119.33,116.61,117.16,14801.0
2014-12-23,117.16,117.97,115.8,117.7,18726.0
2014-12-24,117.7,118.51,116.07,117.43,21235.0
2014-12-28,117.43,120.14,116.07,118.79,12609.0
2014-12-29,118.79,119.06,117.16,118.79,11416.0
2014-12-31,118.79,118.79,116.07,117.7,16030.0
2015-01-01,117.7,118.24,116.61,117.97,12928.0
2015-01-04,117.97,120.14,117.43,120.14,13767.0
2015-01-05,120.14,120.69,118.24,119.87,15458.0
2015-01-06,119.87,120.14,116.88,119.33,6956.0
2015-01-07,119.33,120.69,118.24,119.6,6863.0
2015-01-08,119.6,120.42,118.79,118.79,9130.0
2015-01-11,118.79,120.69,118.79,119.6,14912.0
2015-01-12,119.6,119.87,117.7,118.24,12402.0
2015-01-13,118.24,119.87,117.43,119.87,11691.0
2015-01-14,119.87,120.69,119.06,120.14,17208.0
2015-01-18,120.14,122.86,120.14,122.59,24144.0
2015-01-19,122.59,128.83,123.67,126.39,19844.0
2015-01-20,126.39,126.66,122.86,124.22,21199.0
2015-01-22,124.22,125.3,121.77,124.22,17790.0
2015-01-25,124.22,129.92,122.86,129.92,36140.0
2015-01-26,129.92,129.65,124.76,126.12,26297.0
2015-01-27,126.12,128.56,124.49,128.29,46258.0
2015-01-28,128.29,131.55,128.29,130.46,30552.0
2015-01-29,130.46,132.09,128.02,129.1,37446.0
2015-02-01,129.1,133.45,129.65,133.45,37727.0
2015-02-02,133.45,136.44,130.19,136.16,62200.0
2015-02-03,136.16,139.7,134.26,134.81,82179.0
2015-02-04,134.81,136.44,133.18,135.35,65130.0
2015-02-05,135.35,136.44,133.18,133.18,44460.0
2015-02-08,133.18,134.54,132.63,133.72,47388.0
2015-02-09,133.72,135.35,133.18,133.18,61071.0
2015-02-10,133.18,135.08,131.55,134.26,83207.0
2015-02-11,134.37,135.81,132.93,135.81,803.0
2015-02-12,135.81,135.81,133.79,133.79,108.0
2015-02-15,133.79,135.52,132.64,132.93,2763.0
2015-02-16,132.93,134.94,132.06,134.08,23422.0
2015-02-19,134.08,134.94,134.08,134.08,2020.0
2015-02-22,134.08,134.66,131.78,134.66,2851.0
2015-02-23,134.66,133.5,132.35,132.93,4757.0
2015-02-24,132.93,134.94,132.93,134.94,3884.0
2015-02-25,134.94,135.23,134.08,134.94,2519.0
2015-02-26,134.94,134.94,134.94,134.94,1071.0
2015-03-01,134.08,136.38,134.37,136.38,4209.0
2015-03-02,136.38,134.94,132.64,134.94,1650.0
2015-03-03,134.94,135.52,133.22,134.94,2025.0
2015-03-04,134.94,135.23,134.08,134.08,727.0
2015-03-09,134.08,138.11,134.08,135.52,5990.0
2015-03-10,135.52,136.38,132.64,133.5,8886.0
2015-03-11,133.5,135.23,133.22,135.23,6070.0
2015-03-12,135.23,134.94,133.5,134.66,4865.0
2015-03-15,134.66,135.52,132.93,133.22,6479.0
2015-03-16,133.22,133.5,132.64,133.5,2213.0
2015-03-17,133.5,134.08,132.64,132.93,10138.0
2015-03-18,132.93,133.5,132.06,132.06,9896.0
2015-03-19,132.06,133.5,132.35,133.22,12417.0
2015-03-22,133.22,134.66,132.64,132.93,9710.0
2015-03-23,132.93,132.35,131.2,131.78,9461.0
2015-03-24,131.78,132.64,130.63,131.78,1156.0
2015-03-25,131.78,131.78,130.05,130.05,4594.0
2015-03-26,130.05,130.05,128.61,129.47,5529.0
2015-03-29,129.47,129.76,128.03,129.76,3116.0
2015-03-30,129.76,129.76,128.32,129.76,5131.0
2015-03-31,129.76,132.06,128.03,129.76,9200.0
2015-04-01,129.76,131.2,128.61,131.2,8199.0
2015-04-02,131.2,132.06,130.05,130.63,1464.0
2015-04-05,130.63,132.35,129.19,131.2,3039.0
2015-04-06,131.2,131.2,130.05,130.63,1912.0
2015-04-07,130.63,132.93,130.05,132.93,3282.0
2015-04-08,132.93,133.5,130.63,130.91,1726.0
2015-04-09,130.91,132.06,130.34,131.49,4168.0
2015-04-12,131.49,132.06,131.49,131.49,6661.0
2015-04-13,131.49,131.78,130.63,131.78,2319.0
2015-04-15,131.78,130.91,130.34,130.63,5064.0
2015-04-16,130.63,131.78,130.63,131.2,3691.0
2015-04-19,131.2,132.35,130.34,130.63,2923.0
2015-04-20,130.63,132.06,129.76,130.05,4740.0
2015-04-21,130.05,132.06,130.63,132.06,10811.0
2015-04-22,132.06,130.63,129.76,130.63,1596.0
2015-04-23,130.63,132.35,129.76,131.49,10229.0
2015-05-24,131.49,129.76,129.76,129.76,50.0
2015-05-25,129.76,128.03,121.13,121.13,100.0
2015-05-26,121.13,123.43,115.66,116.23,12872.0
2015-05-27,116.23,116.52,113.93,113.93,9719.0
2015-05-28,113.93,121.13,113.35,118.54,17075.0
2015-05-31,118.54,123.43,119.98,121.13,12752.0
2015-06-01,121.13,125.16,121.99,124.29,15788.0
2015-06-02,124.29,126.02,122.85,125.16,19856.0
2015-06-03,125.16,130.63,125.44,128.03,14534.0
2015-06-04,128.03,129.76,126.31,128.61,19332.0
2015-06-07,128.61,131.78,128.61,131.2,28210.0
2015-06-08,131.2,135.23,132.06,133.79,29176.0
2015-06-09,133.79,140.12,132.35,134.37,47054.0
2015-06-10,134.37,135.81,132.06,133.79,12043.0
2015-06-11,133.79,133.79,130.34,133.22,11591.0
2015-06-14,133.22,133.22,130.63,132.06,8728.0
2015-06-15,132.06,134.66,131.49,132.64,6335.0
2015-06-16,132.64,132.93,131.78,132.06,12719.0
2015-06-17,132.06,132.35,130.63,132.06,5583.0
2015-06-18,132.06,133.22,131.49,131.78,6758.0
2015-06-21,131.78,130.91,128.61,129.19,15787.0
2015-06-23,132.64,132.64,130.63,131.49,6199.0
2015-06-24,131.49,132.06,131.49,131.49,3858.0
2015-06-25,129.76,132.35,129.76,130.91,6754.0
2015-06-28,131.2,132.93,131.2,132.35,11998.0
2015-06-29,133.5,133.79,132.06,132.93,16594.0
2015-06-30,132.93,133.22,131.78,132.64,9491.0
2015-07-01,133.5,135.23,132.06,132.06,6599.0
2015-07-02,131.2,132.93,130.63,130.63,13696.0
2015-07-05,130.63,132.35,130.63,130.63,9492.0
2015-07-06,131.78,132.06,130.34,130.91,4854.0
2015-07-07,130.63,132.93,130.34,131.49,10898.0
2015-07-08,132.35,133.79,131.2,133.79,15881.0
2015-07-09,132.64,133.22,130.91,132.06,9570.0
2015-07-12,131.2,131.78,130.91,131.78,4853.0
2015-07-13,131.78,132.64,131.2,132.35,5668.0
2015-07-14,132.64,134.66,132.06,133.79,6961.0
2015-07-15,133.5,134.08,132.06,132.64,7992.0
2015-07-16,132.64,133.79,132.93,133.22,9749.0
2015-07-22,134.66,135.81,134.08,134.37,10969.0
2015-07-23,134.37,142.71,136.09,140.7,29037.0
2015-07-26,140.7,150.49,142.43,150.49,11607.0
2015-07-27,150.49,154.52,139.84,139.84,43152.0
2015-07-28,139.84,143.29,135.52,139.26,12765.0
2015-07-29,139.26,139.55,137.25,139.26,12070.0
2015-07-30,139.26,142.43,137.53,138.68,10515.0
2015-08-02,138.68,139.55,137.53,138.97,4187.0
2015-08-03,138.97,140.12,136.09,138.68,8226.0
2015-08-04,138.68,138.68,136.67,138.11,16392.0
2015-08-05,138.11,139.26,136.38,137.25,5638.0
2015-08-06,137.25,138.97,135.52,137.82,9633.0
2015-08-09,137.82,141.85,136.09,137.53,15638.0
2015-08-10,137.53,137.82,136.09,137.25,25310.0
2015-08-11,137.25,137.82,133.79,134.94,19025.0
2015-08-12,133.5,135.23,130.05,133.5,19816.0
2015-08-13,133.79,136.38,128.9,136.38,17079.0
2015-08-16,136.38,139.26,134.08,136.38,52795.0
2015-08-17,138.11,145.88,138.11,145.88,42049.0
2015-08-18,147.9,153.94,143.0,149.62,82591.0
2015-08-19,150.49,153.65,150.2,153.36,43598.0
2015-08-20,155.38,159.99,153.36,154.8,40285.0
2015-08-23,153.65,155.38,150.77,153.65,33822.0
2015-08-24,153.65,155.09,152.5,154.23,27220.0
2015-08-25,153.08,153.65,148.18,153.65,15736.0
2015-08-26,153.65,153.65,152.79,153.65,12000.0
2015-08-27,153.65,154.23,152.21,152.21,9343.0
2015-08-31,152.21,154.52,152.21,153.65,17984.0
2015-09-01,153.65,154.52,153.08,153.65,14863.0
2015-09-02,153.65,153.65,150.77,151.93,10691.0
2015-09-03,151.93,153.08,151.06,151.06,30819.0
2015-09-06,149.33,152.21,147.9,151.35,7964.0
2015-09-07,152.5,153.65,151.64,152.21,13776.0
2015-09-08,150.77,155.38,150.77,152.79,15012.0
2015-09-09,152.79,153.65,152.21,152.79,8751.0
2015-09-10,151.06,153.08,150.77,153.08,16448.0
2015-09-13,154.8,155.09,151.93,153.65,14611.0
2015-09-14,155.67,155.67,153.65,154.23,6928.0
2015-09-15,155.96,156.82,153.65,156.82,23384.0
2015-09-16,157.39,159.41,155.96,157.11,19696.0
2015-09-17,157.39,157.39,150.49,156.53,11472.0
2015-09-22,158.83,158.83,152.21,152.5,22951.0
2015-09-23,152.5,155.96,152.5,155.96,14771.0
2015-09-24,155.96,157.11,153.94,155.38,17867.0
2015-09-28,153.36,155.67,147.32,155.67,15900.0
2015-09-29,153.65,155.96,152.21,155.96,15410.0
2015-09-30,157.97,159.41,156.53,156.82,42882.0
2015-10-01,156.82,157.39,155.38,155.67,22636.0
2015-10-04,156.82,157.39,155.09,155.67,24070.0
2015-10-05,155.09,155.96,152.21,155.09,12820.0
2015-10-06,155.09,156.24,153.94,154.52,63331.0
2015-10-07,154.37,152.93,148.26,152.93,2623.0
2015-10-08,151.85,152.57,151.13,152.57,5112.0
2015-10-11,152.21,152.21,147.9,147.9,3921.0
2015-10-14,147.18,147.54,145.74,147.54,2648.0
2015-10-15,146.46,147.54,145.74,146.1,4403.0
2015-10-18,144.3,147.18,144.3,147.18,2211.0
2015-10-19,147.18,147.54,145.02,146.46,2173.0
2015-10-25,143.94,147.54,143.94,147.54,640.0
2015-10-27,147.18,147.54,142.14,142.86,12218.0
2015-10-28,143.58,143.58,138.54,142.14,12425.0
2015-10-29,144.3,145.74,142.5,142.86,2886.0
2015-11-01,140.7,141.42,138.54,140.7,11004.0
2015-11-02,141.42,142.5,139.26,141.06,8565.0
2015-11-03,140.34,140.34,138.54,140.34,10435.0
2015-11-04,140.34,141.78,136.74,141.78,5606.0
2015-11-05,142.14,142.86,140.34,140.34,13730.0
2015-11-08,140.34,141.06,139.98,140.34,9597.0
2015-11-09,142.14,144.3,141.78,142.86,6949.0
2015-11-10,142.86,143.58,142.14,142.5,6290.0
2015-11-15,143.94,144.3,142.14,142.5,2125.0
2015-11-16,141.06,143.22,140.7,142.14,2713.0
2015-11-18,142.14,142.14,140.7,141.06,5509.0
2015-11-19,140.34,142.14,140.34,142.14,8459.0
2015-11-22,139.98,140.7,138.9,139.62,8069.0
2015-11-23,138.54,140.34,137.82,139.98,7687.0
2015-11-24,138.18,138.54,136.74,138.18,1175.0
2015-11-25,138.54,140.34,138.54,138.54,5028.0
2015-11-26,136.74,137.1,134.58,136.02,7584.0
2015-11-29,134.94,136.74,133.14,136.74,4666.0
2015-11-30,138.54,140.34,134.94,136.38,6847.0
2015-12-01,136.38,142.14,136.74,139.98,2488.0
2015-12-02,139.62,139.62,138.18,139.26,1077.0
2015-12-03,138.54,142.14,138.54,140.34,4556.0
2015-12-04,142.14,144.3,141.42,142.14,8830.0
2015-12-07,144.3,144.66,140.7,142.14,3326.0
2015-12-08,141.78,142.14,141.78,142.14,2648.0
2015-12-09,142.14,144.3,142.14,142.5,2509.0
2015-12-10,142.86,143.94,142.14,142.86,2951.0
2015-12-13,142.14,142.86,141.42,142.14,1977.0
