Date,Open,High,Low,Close,Volume
2012/01/01,85.16,89.27,84.59,85.3,2940.0
2012/01/02,85.3,87.85,85.44,86.44,1110.0
2012/01/03,86.44,87.85,84.31,87.0,4810.0
2012/01/04,87.0,87.71,85.02,87.71,5290.0
2012/01/05,87.71,87.0,85.59,86.86,1180.0
2012/01/08,86.86,86.58,85.73,86.29,2090.0
2012/01/09,86.29,86.44,85.73,86.15,1320.0
2012/01/10,86.15,87.14,86.29,86.44,1700.0
2012/01/11,86.44,89.55,86.29,86.44,1950.0
2012/01/12,86.44,86.86,84.74,86.29,1930.0
2012/01/16,86.29,86.72,84.59,86.29,2020.0
2012/01/17,86.29,82.04,82.04,82.04,80.0
2012/01/18,82.04,87.14,83.6,86.44,2950.0
2012/01/22,86.15,86.58,85.73,86.01,2310.0
2012/01/23,86.01,88.14,85.87,86.44,3430.0
2012/01/25,86.44,86.72,85.02,86.72,150.0
2012/01/26,86.72,87.14,86.44,86.72,2660.0
2012/01/29,86.72,87.0,84.74,87.0,5440.0
2012/01/31,87.0,86.72,85.73,86.72,1280.0
2012/02/01,86.72,86.44,86.01,86.29,2860.0
2012/02/02,86.29,86.72,85.87,85.87,4880.0
2012/02/05,85.87,86.44,86.15,86.44,2530.0
2012/02/06,86.44,86.15,85.02,85.73,1900.0
2012/02/07,85.73,85.73,85.02,85.02,3180.0
2012/02/08,85.02,85.02,84.59,84.59,1530.0
2012/02/09,84.59,84.59,84.17,84.17,2620.0
2012/02/12,84.17,84.31,83.6,84.31,2210.0
2012/02/13,84.31,84.31,83.74,83.74,5040.0
2012/02/14,83.74,84.17,83.46,83.46,2410.0
2012/02/15,83.46,83.88,83.46,83.6,1980.0
2012/02/16,83.6,84.88,84.17,84.59,510.0
2012/02/21,84.59,85.02,83.88,84.31,500.0
2012/02/23,84.31,84.88,83.88,84.03,1460.0
2012/02/26,84.03,84.17,83.6,83.6,1700.0
2012/02/27,83.6,83.74,83.6,83.6,1130.0
2012/02/28,83.6,84.03,83.6,84.03,1900.0
2012/02/29,84.03,84.74,84.31,84.45,1140.0
2012/03/01,84.45,84.74,84.17,84.74,2720.0
2012/03/04,84.74,85.3,84.17,84.88,3350.0
2012/03/05,84.88,85.3,84.74,84.88,2390.0
2012/03/06,84.88,85.02,84.59,84.88,2360.0
2012/03/11,84.88,85.02,83.6,84.74,6530.0
2012/03/12,84.74,84.74,83.6,84.59,9890.0
2012/03/13,84.59,84.74,84.59,84.59,800.0
2012/03/14,84.59,84.88,84.45,84.59,1890.0
2012/03/15,84.59,84.74,84.31,84.31,1240.0
2012/03/18,84.31,84.59,84.17,84.59,2090.0
2012/03/19,84.59,84.74,84.31,84.45,2410.0
2012/03/20,84.45,84.45,84.17,84.45,2260.0
2012/03/21,84.45,85.02,84.17,84.45,1960.0
2012/03/25,84.45,84.31,84.03,84.17,1800.0
2012/03/26,84.17,84.31,83.46,83.6,2580.0
2012/03/27,83.6,83.6,82.18,83.6,1100.0
2012/03/28,83.6,84.88,82.89,83.18,2390.0
2012/03/29,83.18,83.46,83.18,83.18,2920.0
2012/04/01,83.18,83.32,83.18,83.32,820.0
2012/04/02,83.32,84.88,83.6,84.17,720.0
2012/04/03,84.17,85.02,82.89,84.45,4140.0
2012/04/04,84.45,84.74,84.17,84.31,560.0
2012/04/05,84.31,85.73,84.31,84.31,1460.0
2012/04/08,84.31,85.02,84.17,84.45,1980.0
2012/04/09,84.45,85.73,84.45,85.02,4360.0
2012/04/10,85.02,86.15,83.88,85.87,630.0
2012/04/11,85.87,90.12,86.15,86.44,5120.0
2012/04/12,86.44,90.26,86.58,90.26,4100.0
2012/04/15,90.26,97.49,91.96,97.35,3040.0
2012/04/16,97.35,99.19,99.19,99.19,10.0
2012/04/17,99.19,109.11,93.1,96.35,10410.0
2012/04/18,96.35,105.56,93.24,102.87,6290.0
2012/04/19,102.87,106.13,102.02,104.15,4230.0
2012/04/22,104.15,108.97,104.86,108.54,6270.0
2012/04/24,108.54,117.18,110.67,117.18,590.0
2012/04/25,117.18,128.8,119.45,128.8,1660.0
2012/04/26,128.8,134.33,121.86,126.96,16192.0
2012/04/29,126.96,128.09,122.0,125.83,11728.0
2012/04/30,125.83,124.69,119.73,120.58,5692.0
2012/05/02,120.58,118.18,108.54,109.25,4996.0
2012/05/03,109.25,111.37,111.37,111.37,12.0
2012/05/07,111.37,118.03,113.5,118.03,126.0
2012/05/08,118.03,127.67,120.3,127.53,10080.0
2012/05/09,127.53,127.53,121.29,123.84,9050.0
2012/05/10,123.84,122.85,117.18,121.43,7862.0
2012/05/13,121.43,120.16,113.22,115.06,4768.0
2012/05/14,115.06,112.79,107.83,108.54,7552.0
2012/05/15,108.54,119.31,110.67,119.31,4918.0
2012/05/16,119.31,123.99,121.58,123.99,40.0
2012/05/17,123.99,134.61,121.86,125.54,12500.0
2012/05/20,125.54,124.84,119.03,123.28,7492.0
2012/05/21,123.28,126.11,118.88,125.4,6120.0
2012/05/22,125.4,124.27,117.61,122.71,7062.0
2012/05/23,122.71,120.3,114.21,115.48,5506.0
2012/05/24,115.48,121.72,114.07,120.44,6274.0
2012/05/27,120.44,125.83,121.86,124.84,9076.0
2012/05/29,124.84,122.43,112.37,112.37,260.0
2012/05/30,112.37,110.24,101.17,101.17,14732.0
2012/05/31,101.17,107.69,95.5,104.86,9490.0
2012/06/03,104.86,116.9,106.84,115.91,14662.0
2012/06/04,115.91,116.9,108.4,112.37,7772.0
2012/06/05,112.37,111.94,107.69,110.1,4222.0
2012/06/06,110.1,110.1,107.83,109.11,3270.0
2012/06/07,109.11,112.08,107.83,110.52,4402.0
2012/06/10,110.52,110.1,108.4,109.11,4096.0
2012/06/11,109.11,113.5,109.39,110.52,686.0
2012/06/12,110.52,111.8,106.98,110.52,1580.0
2012/06/13,110.52,112.65,109.11,110.38,3332.0
2012/06/14,110.38,110.38,108.4,110.38,2602.0
2012/06/17,110.38,112.37,109.25,110.52,2292.0
2012/06/18,110.52,112.51,109.11,111.8,2932.0
2012/06/19,111.8,111.52,110.1,111.52,3212.0
2012/06/20,111.52,113.36,111.23,111.66,2554.0
2012/06/21,111.66,114.78,109.82,114.78,4500.0
2012/06/25,114.78,118.32,113.5,118.03,5504.0
2012/06/26,118.03,117.75,114.49,117.75,7064.0
2012/06/27,117.75,119.73,115.48,119.03,6216.0
2012/06/28,119.03,119.73,114.92,119.45,5440.0
2012/07/01,119.45,119.31,116.9,117.89,7440.0
2012/07/02,117.89,120.44,116.33,119.03,3918.0
2012/07/03,119.03,119.03,114.63,119.03,3798.0
2012/07/04,119.03,120.73,118.03,119.88,5560.0
2012/07/05,119.88,121.15,119.59,119.73,12308.0
2012/07/08,119.73,120.44,118.46,120.44,6982.0
2012/07/09,120.44,122.99,120.02,122.14,18312.0
2012/07/10,122.14,126.11,120.73,124.27,15294.0
2012/07/11,124.27,125.54,124.13,125.4,6534.0
2012/07/12,125.4,124.69,121.86,123.7,16062.0
2012/07/15,123.7,128.94,123.56,128.94,7380.0
2012/07/16,128.94,126.68,119.73,124.84,4481.0
2012/07/17,124.84,125.12,122.43,124.98,8952.0
2012/07/18,124.98,128.09,124.13,128.09,8086.0
2012/07/19,128.09,131.78,124.98,129.79,11222.0
2012/07/22,129.79,136.6,128.52,136.6,12652.0
2012/07/23,136.6,141.27,134.9,139.15,10834.0
2012/07/24,139.15,141.27,135.46,135.46,13712.0
2012/07/25,135.46,141.7,138.16,139.71,13874.0
2012/07/26,139.71,141.98,136.03,141.98,5808.0
2012/07/29,141.98,139.15,136.74,137.45,9978.0
2012/07/30,137.45,138.86,136.74,138.44,9630.0
2012/07/31,138.44,139.43,136.03,138.86,5272.0
2012/08/01,138.86,141.27,138.3,141.27,10496.0
2012/08/05,141.27,144.25,140.71,143.82,14232.0
2012/08/06,143.82,147.37,141.41,147.37,15310.0
2012/08/07,147.37,152.18,147.37,151.62,14072.0
2012/08/08,151.62,155.16,150.2,155.16,24956.0
2012/08/12,155.16,158.98,151.76,152.75,17090.0
2012/08/13,152.75,153.74,147.37,151.05,8774.0
2012/08/14,151.05,151.62,147.37,149.92,6978.0
2012/08/15,149.92,148.78,145.95,146.37,17522.0
2012/08/16,146.37,148.07,141.7,147.08,16196.0
2012/08/19,147.08,148.07,144.53,147.22,5446.0
2012/08/21,147.22,148.07,145.52,147.37,7802.0
2012/08/22,147.37,148.78,147.37,148.07,4794.0
2012/08/23,148.07,149.77,146.8,148.78,8822.0
2012/08/26,148.78,150.2,147.51,148.64,4822.0
2012/08/27,148.64,149.92,145.38,149.77,10390.0
2012/08/28,149.77,152.18,150.2,151.62,6108.0
2012/08/29,151.62,152.47,148.92,151.9,5652.0
2012/08/30,151.9,152.75,151.47,151.62,5784.0
2012/09/02,151.62,155.73,152.32,155.02,7944.0
2012/09/03,155.02,155.87,152.32,155.44,7448.0
2012/09/04,155.44,156.58,153.46,155.3,15002.0
2012/09/05,155.3,155.87,154.03,155.44,10702.0
2012/09/06,155.44,155.87,153.03,155.73,9316.0
2012/09/09,155.73,155.87,153.88,155.87,7580.0
2012/09/10,155.87,156.29,155.16,155.58,6932.0
2012/09/11,155.58,155.73,154.88,155.16,8912.0
2012/09/12,155.16,155.58,153.88,155.44,5382.0
2012/09/13,155.44,156.58,155.16,155.87,16632.0
2012/09/16,155.87,160.12,155.16,159.83,13492.0
2012/09/17,159.83,165.08,158.13,165.08,9210.0
2012/09/18,165.08,171.88,164.51,167.91,19316.0
2012/09/19,167.91,170.04,155.87,160.69,17176.0
2012/09/20,160.69,163.66,155.87,160.83,20656.0
2012/09/23,160.83,164.37,158.98,160.4,45792.0
2012/09/24,160.4,165.36,159.55,162.24,30478.0
2012/09/25,210.92,171.68,160.63,163.58,1412.0
2012/09/26,163.58,164.87,157.5,161.73,1798.0
2012/09/27,161.73,162.1,159.34,160.26,2348.0
2012/09/30,160.26,162.1,157.87,160.44,1388.0
2012/10/01,160.44,162.29,159.15,160.63,3356.0
2012/10/02,160.63,165.79,163.02,165.79,1482.0
2012/10/03,165.79,170.58,165.05,170.58,2274.0
2012/10/04,170.58,178.68,172.23,178.68,4452.0
2012/10/07,178.68,186.42,182.18,185.13,8450.0
2012/10/08,185.13,186.42,182.0,182.18,4272.0
2012/10/09,182.18,184.21,177.76,178.31,4530.0
2012/10/10,178.31,177.76,175.36,177.21,1044.0
2012/10/11,177.21,176.47,175.0,175.55,4344.0
2012/10/14,175.55,177.76,175.18,175.18,718.0
2012/10/15,175.18,177.76,176.1,177.76,1894.0
2012/10/17,177.76,182.36,178.68,179.6,558.0
2012/10/18,179.6,182.36,179.6,182.36,754.0
2012/10/30,182.36,186.05,184.21,186.05,1644.0
2012/10/31,186.05,193.42,186.23,190.29,3578.0
2012/11/01,190.29,190.65,186.97,190.1,3814.0
2012/11/04,190.1,191.21,187.89,190.65,1720.0
2012/11/05,190.65,198.57,191.94,198.57,2418.0
2012/11/06,198.57,203.55,198.94,203.55,4552.0
2012/11/07,203.55,207.05,203.73,207.05,4864.0
2012/11/08,207.05,215.15,205.21,206.31,5066.0
2012/11/11,206.31,210.36,202.26,208.15,6130.0
2012/11/12,208.15,210.0,202.63,210.0,5408.0
2012/11/18,210.0,211.84,205.57,211.84,7350.0
2012/11/20,211.84,219.76,211.84,215.89,9484.0
2012/11/21,215.89,219.21,209.07,214.05,9308.0
2012/11/22,214.05,212.76,204.47,209.26,4580.0
2012/11/25,209.26,214.6,208.34,210.0,4928.0
2012/11/26,210.0,210.0,206.31,207.97,16704.0
2012/11/27,207.97,208.89,205.39,208.52,3028.0
2012/11/28,208.52,208.89,206.31,207.42,5478.0
2012/11/29,207.42,207.42,204.47,205.94,806.0
2012/12/02,205.94,205.94,203.0,205.94,2446.0
2012/12/03,205.94,204.47,201.71,203.36,5620.0
2012/12/04,203.36,210.92,207.05,208.89,6578.0
2012/12/05,208.89,215.52,209.44,211.84,7042.0
2012/12/06,211.84,210.92,207.23,209.07,6590.0
2012/12/09,209.07,209.07,202.63,207.05,4766.0
2012/12/10,207.05,208.15,203.18,204.47,5510.0
2012/12/11,204.47,206.5,202.63,206.5,11292.0
2012/12/13,206.5,207.97,204.47,207.79,4728.0
2012/12/16,207.79,215.52,208.15,212.57,9116.0
2012/12/17,212.57,218.84,210.92,216.44,31760.0
2012/12/18,216.44,212.57,207.23,211.65,5589.0
2012/12/19,211.65,214.6,209.26,211.1,7462.0
2012/12/20,211.1,213.13,207.23,210.18,7510.0
2012/12/23,210.18,213.68,209.07,212.76,7129.0
2012/12/24,212.76,214.05,211.84,213.5,4872.0
2012/12/26,213.5,215.52,213.5,213.86,6692.0
2012/12/27,213.86,214.79,211.84,214.6,7566.0
2012/12/31,214.6,213.68,209.07,210.92,5060.0
2013/01/01,210.92,212.76,210.18,211.84,7990.0
2013/01/02,211.84,214.23,210.0,211.84,4354.0
2013/01/03,211.84,212.57,210.0,212.57,4944.0
2013/01/06,212.57,212.21,209.07,209.07,4630.0
2013/01/07,209.07,211.84,207.23,209.81,4254.0
2013/01/08,209.81,210.18,209.63,209.63,496.0
2013/01/09,209.63,209.81,205.94,207.97,2234.0
2013/01/10,207.97,210.0,206.5,210.0,4852.0
2013/01/13,210.0,210.36,206.31,208.15,2520.0
2013/01/15,208.15,207.79,205.57,206.5,4641.0
2013/01/16,206.5,207.42,205.39,205.57,4810.0
2013/01/17,205.57,205.76,203.0,204.1,5522.0
2013/01/20,204.1,206.31,195.26,199.13,4082.0
2013/01/21,199.13,205.76,200.79,203.73,3948.0
2013/01/22,203.73,205.94,203.0,204.84,2670.0
2013/01/23,204.84,205.57,201.71,201.71,1718.0
2013/01/24,201.71,202.44,198.94,199.5,4288.0
2013/01/27,199.5,203.36,198.76,198.76,7448.0
2013/01/28,198.76,199.86,197.29,199.86,3546.0
2013/01/30,199.86,200.6,196.92,197.84,2878.0
2013/01/31,197.84,198.39,193.42,196.18,13248.0
2013/02/03,196.18,202.26,195.26,199.86,2280.0
2013/02/04,199.86,200.79,199.68,200.42,1548.0
2013/02/05,200.42,201.71,198.94,200.42,1548.0
2013/02/06,200.42,200.79,196.0,199.86,9328.0
2013/02/07,199.86,198.94,195.26,197.1,3145.0
2013/02/10,197.1,199.86,196.18,199.86,1537.0
2013/02/12,199.86,209.81,199.86,208.89,10178.0
2013/02/13,208.89,207.23,202.63,205.94,9089.0
2013/02/14,205.94,210.36,206.68,207.6,6265.0
2013/02/17,207.6,223.81,211.65,223.81,15472.0
2013/02/19,223.81,239.47,216.26,219.21,19611.0
2013/02/20,219.21,216.07,207.42,215.52,7956.0
2013/02/21,215.52,220.86,207.97,216.44,3672.0
2013/02/24,216.44,216.44,210.0,212.02,5328.0
2013/02/25,212.02,220.5,213.68,216.44,7910.0
2013/02/26,216.44,220.5,212.21,217.18,7135.0
2013/02/27,217.18,217.18,210.92,214.05,1654.0
2013/02/28,214.05,217.92,213.13,217.92,3196.0
