Date,Open,High,Low,Close,Volume
2012/01/01,60.89,61.49,60.29,61.49,1340.0
2012/01/02,61.49,63.08,60.69,63.08,1498.0
2012/01/03,63.08,63.88,62.48,62.48,730.0
2012/01/04,62.48,62.08,60.89,60.89,0.0
2012/01/05,60.89,60.29,59.69,59.69,360.0
2012/01/08,59.69,60.29,60.29,60.29,200.0
2012/01/09,60.29,60.89,59.89,60.49,780.0
2012/01/10,60.49,61.89,61.09,61.89,370.0
2012/01/11,61.89,62.68,61.89,62.08,1290.0
2012/01/12,62.08,62.28,61.89,62.28,1080.0
2012/01/16,62.28,62.28,61.69,61.69,280.0
2012/01/17,61.69,61.69,60.69,61.69,3130.0
2012/01/18,61.69,61.89,61.49,61.89,150.0
2012/01/22,61.89,62.48,60.69,60.69,246.0
2012/01/23,60.69,61.29,60.89,61.09,698.0
2012/01/25,61.09,62.28,61.09,61.09,776.0
2012/01/26,61.09,61.69,61.09,61.49,326.0
2012/01/29,61.49,62.08,62.08,62.08,378.0
2012/01/31,62.08,61.49,59.89,60.69,1221.0
2012/02/01,60.69,61.49,60.69,60.89,1085.0
2012/02/02,60.89,61.49,60.89,60.89,328.0
2012/02/05,60.89,60.49,59.89,60.29,320.0
2012/02/06,60.29,61.49,60.29,60.29,1380.0
2012/02/07,60.29,61.69,60.29,60.89,5356.0
2012/02/08,60.89,61.09,60.29,60.69,1143.0
2012/02/09,60.69,60.89,60.09,60.09,812.0
2012/02/12,60.09,60.69,59.69,59.89,505.0
2012/02/13,59.89,60.29,59.29,60.09,1581.0
2012/02/14,60.09,60.49,59.69,59.69,670.0
2012/02/15,59.69,59.69,59.29,59.69,326.0
2012/02/16,59.69,59.49,58.89,59.29,1872.0
2012/02/21,59.29,59.89,59.09,59.89,190.0
2012/02/23,59.89,59.89,59.69,59.69,198.0
2012/02/26,59.69,60.09,59.09,59.89,2096.0
2012/02/27,59.89,60.89,60.49,60.89,42.0
2012/02/28,60.89,61.09,60.69,60.89,434.0
2012/02/29,60.89,61.09,60.29,60.69,1576.0
2012/03/01,60.69,61.89,59.89,60.29,863.0
2012/03/04,60.29,61.49,60.69,61.49,1960.0
2012/03/05,61.49,61.49,60.69,60.69,1603.0
2012/03/06,60.69,61.29,60.49,60.89,1353.0
2012/03/11,60.89,61.09,60.49,60.69,733.0
2012/03/12,60.69,60.49,59.89,59.89,1654.0
2012/03/13,59.89,60.09,59.29,59.69,735.0
2012/03/14,59.69,60.09,59.69,60.09,752.0
2012/03/15,60.09,59.89,58.89,59.49,1055.0
2012/03/18,59.49,59.89,59.09,59.89,2265.0
2012/03/19,59.89,60.69,60.09,60.09,695.0
2012/03/20,60.09,60.29,59.49,59.89,842.0
2012/03/21,59.89,59.89,58.89,58.89,1401.0
2012/03/25,58.89,59.49,58.89,59.09,1110.0
2012/03/26,59.09,58.7,58.1,58.7,536.0
2012/03/27,58.7,59.29,58.7,59.29,864.0
2012/03/28,59.29,59.49,58.5,59.49,790.0
