Date,Open,High,Low,Close,Volume
2012-01-01,26.13,25.95,25.95,25.95,89.0
2012-01-03,25.95,25.77,25.77,25.77,200.0
2012-01-05,25.77,25.77,25.77,25.77,20.0
2012-01-08,25.77,25.81,25.81,25.81,167.0
2012-01-09,25.81,25.86,25.81,25.86,187.0
2012-01-10,25.86,25.68,25.68,25.68,2400.0
2012-01-18,25.31,25.13,24.95,24.95,552.0
2012-02-01,24.95,24.76,24.58,24.76,377.0
2012-02-02,24.76,25.13,24.95,25.13,285.0
2012-02-05,25.13,25.13,25.13,25.13,221.0
2012-02-12,25.13,25.31,25.31,25.31,7423.0
2012-02-23,25.31,25.49,25.49,25.49,274.0
2012-03-01,25.49,25.59,25.59,25.59,220.0
2012-03-11,25.59,25.95,25.77,25.77,209.0
2012-03-20,25.77,26.41,25.95,26.0,1086.0
2012-04-01,26.0,25.81,25.45,25.45,40.0
2012-04-04,25.45,25.27,25.27,25.27,10.0
2012-04-05,25.27,25.45,25.36,25.45,987.0
2012-04-08,25.45,25.45,25.45,25.45,110.0
2012-04-09,25.45,25.54,25.49,25.54,220.0
2012-04-12,25.54,25.72,25.72,25.72,20.0
2012-04-15,25.72,26.09,25.91,26.09,40.0
2012-04-17,26.09,26.27,26.27,26.27,10.0
2012-04-18,26.27,26.68,26.45,26.68,1040.0
2012-04-19,26.68,27.37,26.91,27.37,50.0
2012-04-22,27.37,27.82,27.6,27.82,240.0
2012-04-24,27.82,28.28,28.05,28.28,30.0
2012-04-26,28.28,28.51,28.51,28.51,309.0
2012-04-29,28.51,28.74,28.74,28.74,500.0
2012-04-30,28.74,28.46,28.46,28.46,54.0
2012-05-09,28.46,28.69,28.69,28.69,20.0
2012-05-10,28.69,28.65,28.42,28.65,600.0
2012-05-13,28.65,29.42,28.87,29.42,70.0
2012-05-15,29.42,29.15,29.15,29.15,500.0
2012-05-16,29.15,29.42,29.42,29.42,33.0
2012-05-21,29.42,29.42,29.42,29.42,20.0
2012-05-22,29.42,29.42,28.87,29.15,851.0
2012-05-23,29.15,28.87,28.37,28.37,77.0
2012-05-24,28.37,28.24,27.69,27.92,1130.0
2012-05-27,27.92,27.73,27.73,27.73,220.0
2012-05-29,27.73,27.5,26.64,26.64,190.0
2012-06-05,26.64,27.32,26.86,27.32,408.0
2012-06-13,27.32,27.55,27.55,27.55,167.0
2012-06-17,27.55,27.32,27.32,27.32,366.0
2012-06-18,27.32,27.32,27.09,27.32,234.0
2012-06-20,27.32,27.46,27.41,27.46,650.0
2012-06-21,27.46,27.55,27.55,27.55,500.0
2012-06-28,27.55,27.32,27.32,27.32,257.0
2012-07-04,27.32,27.78,27.55,27.78,34.0
2012-07-05,27.78,28.24,28.01,28.24,60.0
2012-07-09,28.24,28.46,28.46,28.46,30.0
2012-07-12,28.46,28.24,28.19,28.19,300.0
2012-07-15,28.19,27.96,27.78,27.78,1420.0
2012-07-16,27.78,27.78,27.78,27.78,110.0
2012-07-18,27.78,28.01,28.01,28.01,110.0
2012-07-19,28.01,28.24,28.24,28.24,37.0
2012-07-22,28.24,28.97,28.46,28.97,97.0
2012-07-24,28.97,28.69,28.42,28.42,170.0
2012-07-26,28.42,28.65,28.65,28.65,30.0
