Date,Open,High,Low,Close,Volume
2017/02/13,365.44,365.44,365.44,365.44,11.0
2017/02/14,359.14,359.14,329.74,329.74,62.0
2017/02/15,323.45,323.45,297.19,297.19,101.0
2017/02/16,291.96,291.96,267.8,267.8,324.0
2017/02/19,262.56,262.56,241.56,241.56,823.0
2017/02/20,237.35,245.75,236.3,244.7,349.0
2017/02/21,248.95,253.21,245.76,246.83,421.0
2017/02/22,244.71,247.9,238.33,242.58,567.0
2017/02/23,242.57,252.15,242.57,246.83,523.0
2017/02/26,248.95,250.02,247.89,247.89,174.0
2017/02/28,252.15,252.15,250.02,250.02,273.0
2017/03/01,246.82,248.95,243.63,244.69,267.0
2017/03/02,241.5,244.69,240.44,244.69,512.0
2017/03/05,246.81,251.07,246.81,247.88,95.0
2017/03/06,248.94,258.52,248.94,250.01,194.0
2017/03/07,245.77,251.08,245.77,248.96,147.0
2017/03/09,245.77,250.03,240.45,250.03,460.0
2017/03/13,251.09,254.28,251.09,254.28,108.0
2017/03/14,250.02,254.28,250.02,254.28,62.0
2017/03/15,253.21,254.28,248.96,254.28,161.0
2017/03/16,255.34,261.73,255.34,261.73,61.0
2017/03/19,261.73,271.3,261.73,261.73,1084.0
2017/03/20,265.99,265.99,264.93,265.99,30.0
2017/03/21,271.31,281.95,259.61,260.67,951.0
2017/03/22,256.43,256.43,256.43,256.43,200.0
2017/03/23,252.18,252.18,243.67,248.99,1064.0
2017/03/26,253.25,257.5,248.99,253.25,1426.0
2017/03/28,253.24,264.95,257.5,264.95,2809.0
2017/03/29,264.96,270.28,262.83,262.83,855.0
2017/03/30,262.84,260.71,256.45,257.52,150.0
2017/04/02,255.38,255.38,255.38,255.38,10.0
2017/04/03,259.64,259.64,255.38,255.38,30.0
2017/04/04,254.33,255.39,244.75,250.07,271.0
2017/04/06,250.06,250.06,244.74,244.74,105.0
2017/04/09,247.93,250.05,244.76,250.05,353.0
2017/04/10,250.05,254.3,250.05,254.3,172.0
2017/04/11,254.3,254.3,254.3,254.3,10.0
2017/04/12,254.31,255.37,250.05,255.37,328.0
2017/04/16,255.37,255.37,251.12,252.18,169.0
2017/04/18,256.43,263.88,252.17,259.62,583.0
2017/04/19,259.62,263.88,255.36,259.62,153.0
2017/04/20,255.36,255.36,255.36,255.36,86.0
2017/04/24,254.31,254.31,237.28,237.28,107.0
2017/04/25,237.28,244.73,237.28,244.73,569.0
2017/04/26,243.67,248.99,242.61,248.99,266.0
2017/04/27,244.73,248.99,241.54,244.73,103.0
2017/04/30,244.72,250.04,244.72,245.79,270.0
2017/05/02,242.59,243.66,234.08,238.34,495.0
2017/05/03,238.34,241.53,235.15,241.53,116.0
2017/05/04,238.35,239.41,230.9,235.16,218.0
2017/05/07,230.91,234.1,229.84,229.84,183.0
2017/05/08,231.97,234.09,227.71,234.09,1160.0
2017/05/09,234.1,247.93,238.36,240.48,1493.0
2017/05/11,244.73,263.88,241.54,263.88,1479.0
2017/05/15,268.13,287.28,262.81,285.15,2306.0
2017/05/16,288.33,288.33,265.99,265.99,746.0
2017/05/17,268.12,268.12,265.99,265.99,343.0
2017/05/18,265.99,260.67,247.9,247.9,548.0
2017/05/21,245.77,252.16,245.77,246.84,210.0
2017/05/22,246.83,246.83,234.06,239.38,178.0
2017/05/23,238.32,243.64,238.32,243.64,136.0
2017/05/24,243.64,243.64,239.38,239.38,105.0
2017/05/28,235.13,243.64,235.13,243.64,791.0
2017/05/30,239.38,239.38,231.93,236.19,185.0
2017/05/31,236.18,238.31,234.06,238.31,115.0
2017/06/01,236.19,238.32,235.13,236.19,161.0
2017/06/04,238.32,238.32,234.06,236.19,136.0
2017/06/05,236.19,241.51,232.99,239.38,563.0
2017/06/06,236.19,239.38,236.19,239.38,53.0
2017/06/07,238.31,245.76,238.31,239.38,949.0
2017/06/08,237.25,239.38,237.25,237.25,272.0
2017/06/11,236.18,237.24,234.05,236.18,350.0
2017/06/12,232.99,235.12,226.61,231.93,210.0
2017/06/13,234.07,240.45,231.94,235.13,708.0
2017/06/14,234.07,246.84,229.82,234.07,203.0
2017/06/15,229.82,236.2,229.82,236.2,501.0
2017/06/18,236.21,233.02,230.89,230.89,184.0
2017/06/19,230.89,238.33,228.76,231.95,422.0
2017/06/20,228.76,234.08,228.76,234.08,107.0
2017/06/21,238.34,240.47,234.08,234.08,250.0
2017/06/22,234.09,238.34,229.83,238.34,105.0
2017/06/25,234.08,234.08,229.82,234.08,50.0
2017/06/27,237.28,237.28,228.76,228.76,141.0
