Date,Open,High,Low,Close,Volume
2012-01-01,76.56,76.47,75.15,75.53,6914.0
2012-01-02,75.53,78.26,75.06,78.26,9126.0
2012-01-03,78.26,78.26,76.94,76.94,4018.0
2012-01-04,76.94,76.94,75.06,75.15,18324.0
2012-01-05,75.15,77.13,75.06,77.13,5733.0
2012-01-08,77.13,76.94,74.59,76.94,9151.0
2012-01-09,76.94,75.62,74.12,74.12,12252.0
2012-01-10,74.12,77.79,73.27,76.0,389.0
2012-01-11,76.0,80.7,74.12,78.26,1369.0
2012-01-12,78.26,79.57,77.98,79.57,110.0
2012-01-16,79.57,78.26,75.62,76.28,429.0
2012-01-17,76.28,77.98,75.53,76.66,283.0
2012-01-18,76.66,77.22,76.0,76.28,821.0
2012-01-22,75.72,76.19,75.53,75.53,183.0
2012-01-23,75.53,75.53,74.12,74.12,3838.0
2012-01-25,74.12,75.34,74.12,75.25,1151.0
2012-01-26,75.25,76.09,74.12,76.0,330.0
2012-01-29,76.0,75.06,74.12,75.06,3345.0
2012-01-31,75.06,75.06,74.12,74.59,453.0
2012-02-01,74.59,75.72,74.12,75.72,1427.0
2012-02-02,75.72,75.25,74.12,75.06,2007.0
2012-02-05,75.06,75.44,74.21,74.31,67.0
2012-02-06,74.31,74.4,74.12,74.31,1677.0
2012-02-07,74.31,75.34,73.65,75.34,1337.0
2012-02-08,75.34,76.56,76.56,76.56,210.0
2012-02-09,76.56,77.79,73.65,76.56,1552.0
2012-02-12,76.56,75.34,74.12,75.34,968.0
2012-02-13,75.34,75.44,74.12,74.21,800.0
2012-02-14,74.21,74.31,73.84,73.84,6670.0
2012-02-15,73.84,74.97,73.93,74.97,1229.0
2012-02-16,74.97,75.81,73.65,74.12,2457.0
2012-02-21,74.12,75.06,73.65,75.06,1290.0
2012-02-23,75.06,76.38,73.65,76.38,3286.0
2012-02-26,76.38,75.15,73.65,75.06,4064.0
2012-02-27,75.06,75.81,74.21,75.81,573.0
2012-02-28,75.81,76.75,74.12,76.75,3642.0
2012-02-29,76.75,75.53,74.12,74.68,2794.0
2012-03-01,74.68,76.0,72.71,76.0,33581.0
2012-03-04,76.0,75.34,73.93,75.34,1949.0
2012-03-05,75.34,75.62,73.65,75.62,6761.0
2012-03-06,75.62,76.0,73.65,76.0,3519.0
2012-03-11,76.0,75.34,74.12,75.34,770.0
2012-03-12,75.34,75.34,73.65,75.34,1930.0
2012-03-13,75.34,74.12,72.24,74.12,152797.0
2012-03-14,74.12,76.19,74.03,76.19,828.0
2012-03-15,76.19,75.34,74.12,75.34,564.0
2012-03-18,75.34,75.44,73.65,74.87,4530.0
2012-03-19,74.87,74.87,73.65,73.65,4922.0
2012-03-20,73.65,76.47,73.84,76.47,416.0
2012-03-21,76.47,76.94,74.21,76.94,582.0
2012-03-25,76.94,75.62,74.12,75.34,880.0
2012-03-26,75.34,74.87,73.65,74.87,8350.0
2012-03-27,74.87,74.87,73.37,74.87,5611.0
2012-03-28,74.87,74.87,73.65,74.87,4252.0
2012-03-29,74.87,74.12,73.65,74.12,4310.0
2012-04-01,74.12,77.41,73.74,77.41,328.0
2012-04-02,77.41,76.09,74.4,75.06,289.0
2012-04-03,75.06,75.81,73.74,75.81,3949.0
2012-04-04,75.81,75.91,74.59,75.91,2384.0
2012-04-05,75.91,75.06,74.59,74.87,10316.0
2012-04-08,74.87,76.0,75.06,75.53,529.0
2012-04-09,75.53,76.38,76.0,76.38,3029.0
2012-04-10,76.38,77.13,76.09,76.94,3405.0
2012-04-11,76.94,79.29,77.41,78.35,3502.0
2012-04-12,78.35,81.74,78.63,81.74,4129.0
2012-04-15,81.74,86.72,81.74,86.72,6854.0
2012-04-16,86.72,94.15,88.23,94.15,415.0
2012-04-17,94.15,102.43,85.88,85.97,15765.0
2012-04-18,85.97,93.21,82.58,89.17,11617.0
2012-04-19,89.17,93.97,89.17,93.97,3226.0
2012-04-22,93.97,97.16,93.4,95.66,10422.0
2012-04-24,95.66,104.03,96.79,104.03,1848.0
2012-04-25,104.03,113.25,105.82,113.25,1310.0
2012-04-26,113.25,119.36,103.09,115.51,15702.0
2012-04-29,115.51,116.92,109.96,112.5,9521.0
2012-04-30,112.5,114.47,105.16,105.44,14923.0
2012-05-02,105.44,103.56,96.13,96.6,2436.0
2012-05-03,96.6,105.07,98.29,105.07,11750.0
2012-05-07,105.07,110.62,106.85,110.62,3386.0
2012-05-08,110.62,116.64,111.37,116.26,13100.0
2012-05-09,116.26,115.51,106.67,110.8,8023.0
2012-05-10,110.8,111.65,106.1,108.26,7737.0
2012-05-13,108.26,107.04,101.87,103.28,3325.0
2012-05-14,103.28,101.49,94.81,96.22,9168.0
2012-05-15,96.22,104.69,97.92,104.69,860.0
2012-05-17,104.69,114.0,106.48,111.74,15047.0
2012-05-20,111.74,112.12,106.1,110.8,4824.0
2012-05-21,110.8,113.16,108.45,113.06,7022.0
2012-05-22,113.06,111.09,105.35,108.45,6705.0
2012-05-23,108.45,106.57,99.05,101.4,6502.0
2012-05-24,101.4,106.57,99.61,106.57,6091.0
2012-05-27,106.57,112.69,107.51,111.65,8697.0
2012-05-29,111.65,109.68,109.68,109.68,20.0
2012-05-30,109.68,107.79,99.89,99.89,91.0
2012-05-31,99.89,98.95,91.05,97.35,6011.0
2012-06-03,97.35,105.91,97.35,105.16,3440.0
2012-06-04,105.16,107.04,102.43,104.31,5836.0
2012-06-05,104.31,102.53,99.33,101.21,5137.0
2012-06-06,101.21,100.74,96.79,100.74,1197.0
2012-06-07,100.74,102.71,99.05,101.12,4577.0
2012-06-10,101.12,99.33,95.75,96.51,5342.0
2012-06-11,96.51,100.93,97.82,98.48,1468.0
2012-06-12,98.48,100.93,96.88,100.93,267.0
2012-06-13,100.93,100.65,98.58,100.27,410.0
2012-06-14,100.27,100.27,98.58,100.17,257.0
2012-06-17,100.17,98.48,96.69,98.29,3064.0
2012-06-18,98.29,98.29,96.69,97.82,1954.0
2012-06-19,97.82,97.16,95.75,96.22,9924.0
2012-06-20,96.22,97.92,95.75,97.26,18507.0
2012-06-21,97.26,97.45,95.75,97.45,96949.0
2012-06-25,97.45,99.61,96.79,99.42,1492.0
2012-06-26,99.42,99.05,95.75,98.2,4204.0
2012-06-27,98.2,100.36,97.16,99.52,3790.0
2012-06-28,99.52,100.93,99.14,100.08,3200.0
2012-07-01,100.08,100.46,98.58,99.33,16001.0
2012-07-02,99.33,100.36,98.58,99.89,15297.0
2012-07-03,99.89,99.89,99.42,99.52,4512.0
2012-07-04,99.52,101.68,98.86,100.83,10200.0
2012-07-05,100.83,100.74,99.52,100.65,6107.0
2012-07-08,100.65,100.65,99.61,100.46,2373.0
2012-07-09,100.46,101.87,100.46,101.87,2901.0
2012-07-10,101.87,103.75,101.87,103.75,7467.0
2012-07-11,103.75,104.22,102.71,103.28,5222.0
2012-07-12,103.28,104.6,102.81,103.37,59280.0
2012-07-15,103.37,108.83,103.28,108.26,18211.0
2012-07-16,108.26,106.38,102.34,104.69,24941.0
2012-07-17,104.69,104.88,103.09,104.22,2281.0
2012-07-18,104.22,108.73,104.69,108.73,4388.0
2012-07-19,108.73,110.8,107.98,110.33,7695.0
2012-07-22,110.33,112.69,109.86,111.18,9924.0
2012-07-23,111.18,113.72,109.96,112.69,5864.0
2012-07-24,112.69,112.87,109.02,111.65,5993.0
2012-07-25,111.65,112.78,110.9,111.93,59028.0
2012-07-26,111.93,111.93,109.11,111.27,5046.0
2012-07-29,111.27,110.62,108.17,109.96,7154.0
2012-07-30,109.96,112.31,109.11,110.71,3066.0
2012-07-31,110.71,113.06,108.92,110.8,7345.0
2012-08-01,110.8,111.27,109.86,110.99,14489.0
2012-08-05,110.99,113.06,111.27,113.06,6095.0
2012-08-06,113.06,114.1,109.39,112.4,6039.0
2012-08-07,112.4,114.38,112.4,112.78,7376.0
2012-08-08,112.78,112.78,112.21,112.69,1472.0
2012-08-12,112.69,113.63,111.84,112.59,9649.0
2012-08-13,112.59,113.16,109.39,111.74,6998.0
2012-08-14,111.74,111.74,110.05,110.52,14932.0
2012-08-15,110.52,112.69,109.86,110.15,11458.0
2012-08-16,110.15,111.27,108.45,110.99,6326.0
2012-08-19,110.99,112.03,109.86,111.27,3473.0
2012-08-21,111.27,112.12,110.8,111.18,7444.0
2012-08-22,111.18,111.18,110.33,110.8,4555.0
2012-08-23,110.8,111.09,109.86,109.86,3679.0
2012-08-26,109.86,111.27,109.86,110.33,2846.0
