Date,Open,High,Low,Close,Volume
2012-06-10,88.96,44.72,44.34,44.72,950.0
2012-06-11,44.72,45.76,44.87,45.16,2898.0
2012-06-12,45.16,45.16,44.49,44.49,12254.0
2012-06-13,44.49,44.94,44.34,44.64,10961.0
2012-06-14,44.64,44.72,44.42,44.64,3464.0
2012-06-17,44.64,44.49,44.34,44.34,1720.0
2012-06-18,44.34,44.49,44.34,44.49,208.0
2012-06-19,44.49,44.64,44.64,44.64,98.0
2012-06-20,44.64,44.79,44.64,44.64,724.0
2012-06-21,44.64,44.49,44.34,44.34,2405.0
2012-06-25,44.34,44.42,44.27,44.27,3945.0
2012-06-26,44.27,44.49,44.2,44.49,3293.0
2012-06-27,44.49,44.34,44.34,44.34,475.0
2012-06-28,44.34,44.72,44.49,44.72,2074.0
2012-07-01,44.72,44.64,44.42,44.42,4050.0
2012-07-02,44.42,44.57,44.42,44.42,825.0
2012-07-03,44.42,44.42,44.42,44.42,810.0
2012-07-04,44.42,44.57,44.57,44.57,49.0
2012-07-05,44.57,44.72,44.72,44.72,148.0
2012-07-08,44.72,44.64,44.57,44.64,619.0
2012-07-09,44.64,44.64,44.64,44.64,49.0
2012-07-10,44.64,44.49,44.49,44.49,198.0
2012-07-12,44.49,44.49,44.49,44.49,1655.0
2012-07-16,44.49,44.49,44.49,44.49,98.0
2012-07-17,44.49,45.39,44.64,45.01,1226.0
2012-07-18,45.01,45.61,45.16,45.61,1639.0
2012-07-19,45.61,46.06,45.83,46.06,98.0
2012-07-22,46.06,46.13,46.06,46.06,246.0
2012-07-24,46.06,45.91,45.39,45.39,295.0
2012-07-26,45.39,45.24,45.24,45.24,49.0
2012-07-29,45.24,45.09,45.09,45.09,49.0
2012-08-01,45.09,45.09,45.01,45.09,827.0
2012-08-05,45.09,45.09,44.94,45.09,249.0
2012-08-06,45.09,45.24,45.09,45.24,1786.0
2012-08-07,45.24,45.53,45.16,45.53,1972.0
2012-08-08,45.53,45.98,45.76,45.98,40.0
2012-08-12,45.98,45.76,45.76,45.76,247.0
2012-08-13,45.76,45.61,45.39,45.39,198.0
2012-08-14,45.39,45.16,45.16,45.16,795.0
2012-08-15,45.16,45.16,45.16,45.16,109.0
2012-08-19,45.16,45.16,44.87,45.16,851.0
2012-08-21,45.16,45.16,45.16,45.16,98.0
2012-08-22,45.16,45.31,45.31,45.31,109.0
2012-08-28,45.31,45.39,45.09,45.09,532.0
2012-08-29,45.09,45.24,45.16,45.24,751.0
2012-08-30,45.24,45.39,45.16,45.24,587.0
2012-09-02,45.24,45.39,45.31,45.39,128.0
2012-09-03,45.39,46.5,45.39,46.5,1538.0
2012-09-04,46.5,47.62,46.72,47.62,473.0
2012-09-10,47.62,47.39,46.28,46.28,2891.0
2012-09-11,46.28,46.13,45.39,46.06,17222.0
2012-09-12,46.06,46.95,45.98,46.87,21357.0
2012-09-13,46.87,46.65,46.28,46.5,10038.0
2012-09-16,46.5,46.95,46.72,46.95,14390.0
2012-09-17,46.95,47.54,47.17,47.54,4226.0
2012-09-18,47.54,47.69,47.62,47.69,5895.0
2012-09-19,47.69,47.62,47.54,47.62,8811.0
2012-09-20,47.62,47.62,47.39,47.62,534.0
2012-09-23,47.62,47.54,47.17,47.47,3242.0
2012-09-24,47.47,48.14,47.39,48.14,1868.0
2012-09-25,48.14,48.29,47.39,47.39,634.0
2012-09-26,47.39,47.62,47.39,47.39,18052.0
2012-10-08,47.39,47.17,46.95,47.17,879.0
2012-10-11,47.17,47.17,47.17,47.17,12413.0
2012-10-15,47.17,47.17,47.17,47.17,2925.0
2012-11-08,47.17,46.95,46.95,46.95,49.0
2012-11-11,46.95,46.72,46.72,46.72,49.0
2012-11-26,46.72,46.65,46.65,46.65,981.0
2013-01-06,46.65,46.5,46.5,46.5,49.0
2013-01-09,46.5,46.5,46.5,46.5,49.0
2013-01-13,46.5,47.1,46.5,46.58,10656.0
2013-01-15,46.58,46.35,46.35,46.35,494.0
2013-01-17,46.35,46.13,45.98,45.98,603.0
2013-01-23,45.98,45.83,45.83,45.83,500.0
2013-01-24,45.83,45.83,45.61,45.61,794.0
2013-02-03,45.61,45.46,45.46,45.46,148.0
2013-02-04,45.46,45.39,45.39,45.39,148.0
2013-02-13,45.39,45.39,45.39,45.39,148.0
2013-02-20,45.39,45.61,45.61,45.61,593.0
2013-02-27,45.61,45.53,45.53,45.53,59.0
2013-03-13,45.53,45.31,45.31,45.31,838.0
2013-03-14,45.31,45.39,45.39,45.39,49.0
2013-03-18,45.39,45.39,45.39,45.39,158.0
2013-03-21,45.39,45.39,45.39,45.39,347.0
2013-04-01,45.39,45.61,45.61,45.61,89.0
2013-04-07,45.61,45.61,45.39,45.61,344.0
2013-04-25,45.61,45.39,45.16,45.16,294.0
2013-04-29,45.16,45.31,45.16,45.31,218.0
2013-04-30,45.31,45.24,45.01,45.24,662.0
2013-05-02,45.24,45.09,45.09,45.09,49.0
2013-05-12,45.09,44.94,44.94,44.94,444.0
2013-06-02,44.94,45.09,45.09,45.09,15.0
2013-06-19,45.09,45.01,45.01,45.01,2925.0
2013-06-24,45.01,46.06,45.24,46.06,692.0
2013-06-25,46.06,46.95,46.28,46.95,196.0
2013-06-27,46.95,47.39,47.17,47.39,69.0
2013-06-30,47.39,47.62,47.24,47.62,12633.0
2013-07-08,47.62,47.39,47.39,47.39,100.0
2013-07-09,47.39,47.17,46.72,46.95,1139.0
2013-07-10,46.95,46.95,46.72,46.95,287.0
2013-07-11,46.95,46.95,46.95,46.95,198.0
2013-07-15,46.95,47.32,46.87,47.32,592.0
2013-07-16,47.32,47.62,47.54,47.62,147.0
2013-07-22,47.62,48.06,47.84,48.06,148.0
2013-07-23,48.06,48.51,48.29,48.51,80.0
2013-07-24,48.51,48.73,48.21,48.36,6313.0
2013-07-30,48.36,48.81,48.58,48.81,609.0
2013-07-31,48.81,49.48,48.73,49.48,255.0
2013-08-04,49.48,50.96,49.77,50.96,89.0
2013-08-05,50.96,52.6,51.26,52.6,819.0
2013-08-06,52.6,52.9,52.9,52.9,10.0
2013-08-11,52.9,53.64,53.27,53.64,50.0
2013-08-12,53.64,54.01,54.01,54.01,20.0
2013-08-15,54.01,53.64,52.9,52.9,187.0
2013-08-18,52.9,52.82,52.08,52.45,1797.0
2013-08-19,52.45,52.45,52.23,52.23,316.0
2013-08-25,52.23,52.52,52.45,52.45,455.0
2013-08-26,52.45,52.45,52.45,52.45,59.0
2013-08-27,52.45,52.75,52.75,52.75,500.0
2013-09-02,52.75,52.45,52.45,52.45,98.0
2013-09-03,52.45,52.45,52.45,52.45,49.0
2013-09-08,52.45,52.45,52.45,52.45,49.0
2013-09-09,52.45,52.15,52.15,52.15,178.0
2013-10-03,52.15,52.08,52.08,52.08,1006.0
2013-10-21,52.08,52.67,52.38,52.67,821.0
2013-10-28,52.67,54.46,52.97,54.46,424.0
2013-11-06,54.46,55.94,54.83,55.94,345.0
2013-11-07,55.94,57.13,56.32,57.13,247.0
2013-11-10,57.13,58.03,57.58,58.03,69.0
2013-11-11,58.03,58.4,57.58,58.4,9424.0
2013-11-12,58.4,58.4,57.8,58.4,15172.0
2013-11-13,58.4,58.99,58.62,58.99,315.0
2013-11-14,58.99,59.51,58.4,58.99,26643.0
2013-11-21,58.99,59.44,59.44,59.44,19.0
2013-11-24,59.44,60.78,59.89,60.78,543.0
2013-11-25,60.78,63.38,61.3,63.38,1712.0
2013-11-27,63.38,65.61,63.9,65.61,2499.0
2013-11-28,65.61,66.21,65.24,65.24,405.0
2013-12-01,65.24,65.24,64.64,65.24,782.0
2013-12-02,65.24,68.29,65.09,68.29,17746.0
2013-12-03,68.29,71.63,68.96,71.63,455.0
2013-12-04,71.63,72.38,72.38,72.38,555.0
2013-12-05,72.38,75.13,72.9,74.38,21657.0
2013-12-08,74.38,75.95,74.38,75.95,1581.0
2013-12-10,75.95,76.69,76.69,76.69,69.0
2013-12-18,76.69,77.51,77.51,77.51,69.0
2013-12-19,77.51,78.33,78.33,78.33,10.0
2013-12-22,78.33,77.51,73.94,75.5,15337.0
2013-12-29,75.5,74.68,74.68,74.68,119.0
2014-01-12,74.68,73.94,72.53,73.27,10942.0
2014-01-13,73.27,72.9,71.41,72.23,25172.0
2014-01-14,72.23,74.76,72.3,74.76,5202.0
2014-01-16,74.76,75.13,74.38,75.13,313.0
2014-01-19,75.13,74.31,73.57,73.57,563.0
2014-01-21,73.57,73.64,73.64,73.64,455.0
2014-01-22,73.64,73.64,73.64,73.64,217.0
2014-01-23,73.64,73.27,73.27,73.27,1454.0
2014-01-26,73.27,73.27,73.27,73.27,119.0
2014-01-27,73.27,73.27,72.9,72.9,562.0
2014-01-28,72.9,72.53,72.53,72.53,109.0
2014-01-29,72.53,73.34,73.27,73.34,256.0
2014-02-02,73.34,74.01,74.01,74.01,810.0
2014-02-03,74.01,73.27,73.27,73.27,69.0
2014-02-04,73.27,73.34,73.34,73.34,99.0
2014-02-05,73.34,75.57,74.09,75.57,268.0
2014-02-06,75.57,76.39,73.27,73.27,2688.0
2014-02-09,73.27,72.75,72.75,72.75,827.0
2014-02-11,72.75,73.49,73.49,73.49,49.0
2014-02-12,73.49,74.24,73.49,73.49,477.0
2014-02-16,73.49,72.9,72.9,72.9,49.0
2014-02-20,72.9,76.39,72.67,76.39,2403.0
2014-02-23,76.39,80.56,77.21,80.56,5819.0
2014-02-24,80.56,85.17,81.08,85.17,6017.0
