Date,Open,High,Low,Close,Volume
2017/05/21,177.01,177.01,177.01,177.01,100.0
2017/06/05,185.77,185.77,185.77,189.47,30.0
2017/06/06,189.47,189.47,189.47,189.47,9.0
2017/06/07,189.47,196.89,189.47,196.89,30.0
2017/06/11,200.76,204.63,200.76,208.68,26.0
2017/06/14,208.68,216.93,208.68,216.93,530.0
2017/06/15,221.14,229.9,221.14,229.9,52.0
2017/06/18,229.9,238.99,234.44,238.99,20.0
2017/06/19,243.71,243.71,243.71,243.71,10.0
2017/06/21,248.42,258.36,248.42,258.36,30.0
2017/06/25,263.41,273.85,263.41,273.85,30.0
2017/06/27,279.24,290.36,279.24,290.36,30.0
2017/06/28,296.09,313.94,296.09,320.17,46.0
2017/07/02,320.17,320.17,320.17,320.17,26.0
2017/07/03,326.57,352.17,326.57,352.17,66.0
2017/07/04,359.08,380.8,359.08,380.8,56.0
2017/07/05,388.38,388.38,388.38,388.38,10.0
2017/07/09,388.38,427.12,396.13,427.12,102.0
2017/07/10,435.54,435.54,435.54,435.54,40.0
2017/07/11,444.13,478.99,444.13,478.99,212.0
2017/07/12,488.42,526.82,488.42,526.82,3230.0
2017/07/13,537.27,569.94,537.27,542.49,39591.0
2017/07/16,544.0,556.64,530.53,555.29,16692.0
2017/07/17,555.46,601.27,549.06,596.55,14227.0
2017/07/18,597.9,639.16,593.35,639.16,16051.0
2017/07/19,644.21,651.79,623.33,624.85,15286.0
2017/07/20,614.74,636.64,614.74,633.27,11248.0
2017/07/23,631.58,645.9,629.9,642.53,9171.0
2017/07/24,640.0,651.79,637.48,643.71,6313.0
2017/07/25,641.69,657.01,636.8,646.07,5324.0
2017/07/26,646.74,646.91,636.64,641.69,4911.0
2017/07/27,636.64,656.85,632.59,640.0,4396.0
2017/07/30,640.85,643.37,634.95,643.04,3113.0
2017/07/31,641.69,644.21,640.0,640.68,6159.0
2017/08/01,648.43,649.1,640.0,647.25,4826.0
2017/08/02,646.74,673.69,645.9,670.32,7876.0
2017/08/03,670.32,697.27,658.87,677.23,10587.0
2017/08/06,673.69,677.06,665.44,668.64,5505.0
2017/08/07,668.64,668.64,658.7,663.58,3357.0
2017/08/09,663.58,663.58,648.43,656.0,5300.0
2017/08/10,652.64,652.64,630.24,648.43,5334.0
2017/08/13,648.43,648.43,633.27,636.64,5257.0
2017/08/15,625.01,638.32,619.79,638.32,4078.0
2017/08/16,631.58,649.94,626.7,649.94,4456.0
2017/08/17,656.85,662.91,640.0,646.74,5340.0
2017/08/20,640.0,645.06,639.16,640.0,3205.0
2017/08/21,639.5,639.5,629.9,635.79,1242.0
2017/08/22,631.58,636.64,631.41,634.95,2957.0
2017/08/23,631.58,634.95,629.9,629.9,1656.0
2017/08/24,629.9,633.27,624.85,631.58,2746.0
2017/08/27,631.58,634.78,625.01,634.78,3776.0
2017/08/28,631.58,636.64,626.53,634.28,2614.0
2017/08/30,640.0,646.74,631.58,641.69,3090.0
2017/08/31,641.69,640.0,634.61,635.79,1944.0
2017/09/04,634.95,634.95,624.0,628.38,1129.0
2017/09/06,631.58,643.37,629.06,633.27,2478.0
2017/09/07,640.0,640.0,631.75,633.44,1670.0
2017/09/10,633.27,634.95,629.06,629.06,1857.0
2017/09/11,624.85,633.27,624.85,630.24,3272.0
2017/09/12,629.9,630.74,624.85,625.35,2612.0
2017/09/13,626.7,631.58,616.42,618.61,1171.0
2017/09/14,614.74,618.11,585.27,602.11,8488.0
2017/09/17,590.32,612.89,590.15,603.79,2530.0
2017/09/18,606.32,631.58,606.15,629.73,4785.0
2017/09/20,640.85,640.85,607.16,615.08,1617.0
2017/09/24,602.95,614.74,602.95,608.17,178.0
2017/09/25,608.85,618.11,608.85,614.74,486.0
2017/09/26,613.06,623.16,613.06,623.16,864.0
2017/10/03,614.74,618.95,614.74,618.95,395.0
2017/10/04,623.16,623.16,613.06,613.9,1016.0
2017/10/08,613.06,613.06,590.66,604.64,1543.0
2017/10/09,594.53,600.26,593.01,600.26,944.0
2017/10/10,599.58,599.58,589.98,596.21,625.0
2017/10/11,596.21,601.27,594.7,595.88,526.0
2017/10/12,597.9,601.27,589.48,589.48,1935.0
2017/10/15,597.06,597.9,590.32,597.73,666.0
2017/10/16,606.32,619.79,601.27,619.63,808.0
2017/10/17,632.09,632.09,606.32,611.37,984.0
2017/10/18,617.27,617.27,604.97,612.89,481.0
2017/10/22,613.9,613.9,606.49,610.53,466.0
2017/10/23,610.53,608.0,601.44,605.48,788.0
2017/10/24,605.48,606.32,599.58,602.95,1180.0
2017/10/25,606.32,606.32,596.38,597.06,705.0
2017/10/29,596.38,597.9,591.33,595.37,1122.0
2017/10/30,590.32,594.53,586.28,589.48,3506.0
2017/10/31,586.11,589.48,583.58,586.11,2753.0
2017/11/01,584.42,589.48,584.42,586.95,812.0
2017/11/02,575.5,586.95,575.5,578.7,863.0
2017/11/05,573.48,573.98,568.09,573.98,3396.0
2017/11/06,573.98,574.32,554.11,564.21,1275.0
2017/11/07,562.53,562.53,547.37,551.58,4619.0
2017/11/08,551.58,564.21,548.21,564.05,3839.0
2017/11/09,564.21,572.64,549.9,564.21,2195.0
2017/11/12,564.21,570.95,558.32,567.75,1150.0
2017/11/13,567.41,567.41,563.71,564.21,612.0
2017/11/14,564.21,576.0,564.21,575.16,491.0
2017/11/15,572.47,575.16,566.07,566.74,1259.0
2017/11/16,567.58,572.64,564.38,572.64,270.0
2017/11/19,572.64,564.21,555.96,557.65,700.0
2017/11/20,560.68,561.69,560.68,560.85,292.0
2017/11/21,555.79,560.85,555.79,560.68,964.0
2017/11/22,560.85,562.53,556.8,558.66,558.0
2017/11/23,558.66,565.9,560.85,565.39,815.0
2017/11/26,565.39,574.99,569.1,573.98,810.0
2017/11/27,574.15,582.24,564.38,573.65,1925.0
2017/11/28,585.1,585.1,579.37,585.1,699.0
2017/11/29,596.72,605.48,581.06,601.1,1984.0
2017/11/30,601.1,606.32,589.48,603.62,1011.0
2017/12/04,614.74,614.74,596.21,597.06,1013.0
2017/12/05,592.85,595.54,590.32,594.87,576.0
2017/12/06,602.95,602.95,594.53,601.27,1432.0
2017/12/10,607.16,609.69,600.09,601.27,1901.0
2017/12/11,595.54,600.42,595.37,597.9,564.0
2017/12/12,591.5,591.5,586.78,589.31,1065.0
2017/12/13,589.48,597.9,587.79,597.9,1060.0
2017/12/14,589.48,590.66,588.64,590.32,158.0
2017/12/17,589.65,590.32,582.74,582.74,724.0
2017/12/18,589.48,594.53,584.42,589.31,955.0
2017/12/19,589.48,589.48,582.91,582.91,600.0
2017/12/20,584.42,584.42,572.8,577.01,668.0
2017/12/21,578.7,578.7,570.11,573.65,394.0
2017/12/24,572.8,576.0,567.92,567.92,842.0
2017/12/26,564.21,569.27,559.16,559.16,901.0
2017/12/27,550.74,569.27,542.49,555.79,576.0
2017/12/28,549.06,560.85,549.06,555.79,1226.0
2017/12/31,547.37,549.06,536.59,549.06,1746.0
2018/01/01,552.42,564.21,551.58,564.21,478.0
2018/01/02,567.58,567.58,552.93,554.11,746.0
2018/01/03,549.06,555.79,549.06,550.74,713.0
2018/01/04,550.74,552.42,547.37,551.58,1234.0
2018/01/07,551.58,560.85,546.87,560.85,334.0
2018/01/08,555.79,560.85,555.79,560.85,536.0
2018/01/09,560.85,568.42,559.16,561.35,750.0
2018/01/10,564.21,592.51,559.16,590.32,1323.0
2018/01/14,602.11,602.11,564.55,569.6,5638.0
2018/01/16,580.21,580.21,560.85,565.06,795.0
