Date,Open,High,Low,Close,Volume
2012-03-18,85.22,84.27,83.32,83.32,110.0
2012-03-20,83.32,82.37,82.37,82.37,10.0
2012-05-22,82.37,83.95,83.32,83.95,146.0
2012-07-02,83.95,83.0,83.0,83.0,50.0
2012-07-18,83.0,82.05,82.05,82.05,50.0
2012-07-31,82.05,81.1,80.78,80.78,240.0
2012-10-03,80.78,79.83,79.83,79.83,61.0
2012-10-10,79.83,78.88,78.88,78.88,100.0
2012-11-04,78.88,77.93,77.93,77.93,1428.0
2012-12-03,77.93,78.88,78.88,78.88,387.0
2012-12-04,78.88,77.93,77.61,77.61,186.0
2012-12-05,77.61,76.66,75.07,75.07,3481.0
2012-12-06,75.07,74.44,70.63,70.63,17939.0
2013-01-27,72.1,70.79,70.79,70.79,73.0
2013-03-13,70.79,70.79,70.79,70.79,1106.0
2013-04-30,70.79,70.13,70.13,70.13,1190.0
2013-05-27,70.13,70.13,70.13,70.13,203.0
2013-05-30,70.13,70.13,68.16,68.16,1233.0
2013-06-05,68.16,67.5,65.53,65.53,709.0
2013-06-10,65.53,66.19,65.53,65.53,87.0
2013-06-12,65.53,64.88,64.22,64.22,535.0
2013-07-29,64.22,63.56,63.56,63.56,446.0
2013-09-02,63.56,63.24,61.92,61.92,756.0
2013-09-03,61.92,62.58,61.92,62.58,1562.0
2013-09-05,62.58,63.24,63.24,63.24,198.0
2013-09-09,63.24,63.89,63.89,63.89,500.0
2013-09-10,63.89,63.89,63.89,63.89,40.0
2013-09-11,63.89,63.89,63.24,63.24,1385.0
2013-09-15,63.24,63.24,63.24,63.24,966.0
2013-09-17,63.24,63.24,63.24,63.24,16.0
2013-09-22,63.24,63.24,63.24,63.24,32.0
2013-09-23,63.24,63.24,63.24,63.24,495.0
2013-09-24,63.24,63.89,63.24,63.24,336.0
2013-09-25,63.24,63.56,63.24,63.56,1421.0
2013-10-02,63.56,63.56,63.56,63.56,125.0
2013-10-03,63.56,62.91,62.91,62.91,40.0
2013-10-20,62.91,62.25,62.25,62.25,27.0
2013-10-22,62.25,61.6,61.6,61.6,3029.0
2013-10-23,61.6,62.91,62.25,62.25,863.0
2013-10-28,62.25,62.91,62.25,62.25,191.0
2013-10-29,62.25,62.25,62.25,62.25,125.0
2013-11-07,62.25,62.25,61.6,62.25,220.0
2013-12-01,62.25,62.25,61.6,61.6,1545.0
2013-12-04,61.6,62.91,62.25,62.91,20.0
2013-12-05,62.91,64.88,63.56,64.88,30.0
2013-12-09,64.88,67.5,65.53,67.5,258.0
2013-12-10,67.5,68.16,68.16,68.16,10.0
2013-12-11,68.16,69.47,68.82,69.47,30.0
2013-12-12,69.47,71.44,70.13,71.44,336.0
2013-12-15,71.44,72.75,72.1,72.75,218.0
2013-12-22,72.75,73.41,73.41,73.41,130.0
2013-12-23,73.41,74.07,74.07,74.07,43.0
2013-12-24,74.07,74.07,73.41,74.07,148.0
2014-01-08,74.07,73.41,73.41,73.41,500.0
2014-01-13,73.41,72.75,72.75,72.75,129.0
2014-01-21,72.75,74.72,73.41,74.72,297.0
2014-01-22,74.72,75.38,75.38,75.38,660.0
2014-01-23,75.38,76.04,76.04,76.04,52.0
2014-01-26,76.04,76.36,76.36,76.36,206.0
2014-01-28,76.36,78.33,77.02,78.33,304.0
2014-01-29,78.33,79.32,79.32,79.32,416.0
2014-02-03,79.32,80.3,80.3,80.3,140.0
2014-02-13,80.3,82.27,81.29,82.27,226.0
2014-02-16,82.27,83.26,83.26,83.26,7047.0
2014-02-18,83.26,84.24,84.24,84.24,143.0
2014-02-23,84.24,85.23,85.23,85.23,100.0
2014-02-26,85.23,85.23,85.23,85.23,53.0
2014-03-03,85.23,85.55,84.57,84.57,4317.0
2014-03-06,84.57,85.55,85.55,85.55,354.0
2014-03-09,85.55,85.55,85.55,85.55,12414.0
2014-03-10,85.55,85.23,84.57,85.23,562.0
2014-03-11,85.23,85.23,85.23,85.23,125.0
2014-05-11,85.23,84.24,83.26,83.26,434.0
2014-05-20,83.26,83.91,82.93,83.91,964.0
2014-05-21,83.91,83.91,83.91,83.91,790.0
2014-05-26,83.91,82.93,82.93,82.93,207.0
2014-06-09,82.93,81.94,79.97,79.97,1015.0
2014-06-11,79.97,78.99,78.99,78.99,521.0
2014-06-12,78.99,78.01,78.01,78.01,180.0
2014-06-15,78.01,78.01,78.01,78.01,66.0
2014-06-16,78.01,79.97,78.99,79.97,989.0
2014-06-18,79.97,79.32,78.01,78.01,283.0
2014-06-24,78.01,78.99,78.99,78.99,1000.0
2014-06-26,78.99,79.97,79.32,79.32,1316.0
2014-06-29,79.32,80.3,80.3,80.3,555.0
2014-06-30,80.3,82.27,81.29,82.27,325.0
2014-07-07,82.27,87.52,83.26,87.52,170.0
2014-07-08,87.52,93.1,88.51,93.1,200.0
2014-07-09,93.1,99.34,94.09,99.01,3371.0
2014-07-10,99.01,100.32,99.01,99.01,547.0
2014-07-14,99.01,100.32,100.32,100.32,206.0
2014-07-15,100.32,100.98,100.98,100.98,105.0
2014-07-21,100.98,105.57,102.29,105.57,4143.0
2014-07-22,105.57,108.2,106.89,108.2,1573.0
2014-07-23,108.2,107.54,106.56,106.89,4473.0
2014-07-24,106.89,107.21,104.59,107.21,1698.0
2014-07-27,107.21,112.47,108.53,110.82,3871.0
2014-07-30,110.82,112.14,109.18,112.14,833.0
2014-07-31,112.14,110.5,110.5,110.5,249.0
2014-08-03,110.5,118.04,111.81,118.04,4030.0
2014-08-04,118.04,116.4,116.4,116.4,40.0
2014-08-06,116.4,118.04,118.04,118.04,596.0
2014-08-14,118.04,116.4,114.76,114.76,1032.0
2014-08-20,114.76,113.12,111.48,111.48,153.0
2014-12-10,111.48,109.84,109.84,109.84,143.0
2014-12-11,109.84,114.11,108.53,114.11,416.0
2015-01-27,114.23,117.02,115.63,117.02,20.0
2015-01-28,117.02,115.28,115.28,115.28,15.0
2015-02-03,115.28,113.88,113.88,113.88,60.0
