Date,Open,High,Low,Close,Volume
2021/03/16,299.0,328.0,299.0,328.0,10180.0
2021/03/17,344.0,360.0,344.0,360.0,35073.0
2021/03/18,378.0,396.0,378.0,396.0,26620.0
2021/03/21,415.0,435.0,357.0,372.0,234228.0
2021/03/22,372.0,392.0,340.0,392.0,46079.0
2021/03/23,411.0,411.0,363.0,388.0,33100.0
2021/03/24,395.0,416.0,370.0,399.0,59650.0
2021/03/25,410.0,410.0,378.0,389.0,27990.0
2021/03/29,395.0,395.0,372.0,380.0,26750.0
2021/03/30,375.0,390.0,368.0,379.0,20562.0
2021/03/31,392.0,392.0,370.0,380.0,19019.0
2021/04/01,376.0,382.0,375.0,377.0,15316.0
2021/04/04,395.0,395.0,372.0,380.0,23391.0
2021/04/05,380.0,385.0,373.0,377.0,14635.0
2021/04/06,370.0,377.0,365.0,374.0,17225.0
2021/04/07,389.0,389.0,362.0,373.0,17195.0
2021/04/08,390.0,410.0,371.0,410.0,81011.0
2021/04/12,410.0,421.0,400.0,401.0,43508.0
2021/04/13,381.0,409.0,381.0,397.0,17889.0
2021/04/15,405.0,410.0,388.0,393.0,18195.0
2021/04/18,400.0,400.0,386.0,390.0,12353.0
2021/04/19,395.0,401.0,372.0,383.0,12456.0
2021/04/20,376.0,392.0,376.0,387.0,14831.0
2021/04/21,391.0,395.0,381.0,388.0,9608.0
2021/04/22,381.0,386.0,374.0,386.0,12225.0
2021/04/25,379.0,379.0,364.0,372.0,20901.0
2021/04/26,365.0,365.0,345.0,356.0,26868.0
2021/04/27,350.0,368.0,349.0,365.0,12989.0
2021/04/28,379.0,379.0,353.0,360.0,7244.0
2021/04/29,350.0,374.0,350.0,367.0,13195.0
2021/05/02,365.0,378.0,365.0,375.0,13085.0
2021/05/03,368.0,382.0,368.0,371.0,19169.0
2021/05/04,373.0,383.0,364.0,383.0,21924.0
2021/05/05,383.0,405.0,369.0,400.0,56811.0
2021/05/06,405.0,405.0,382.0,388.0,19453.0
2021/05/09,407.0,407.0,375.0,384.0,32899.0
2021/05/10,403.0,422.0,369.0,386.0,16664.0
2021/05/11,379.0,394.0,372.0,393.0,22186.0
2021/05/12,400.0,400.0,385.0,393.0,47981.0
2021/05/13,395.0,400.0,390.0,399.0,39488.0
2021/05/16,399.0,399.0,383.0,388.0,46265.0
2021/05/17,369.0,390.0,369.0,389.0,36107.0
2021/05/18,383.0,417.0,383.0,406.0,87505.0
2021/05/19,410.0,410.0,392.0,393.0,18488.0
2021/05/20,395.0,402.0,386.0,388.0,17114.0
2021/05/23,380.0,395.0,380.0,391.0,20910.0
2021/05/24,398.0,398.0,386.0,387.0,31570.0
2021/05/25,382.0,408.0,382.0,401.0,52861.0
2021/05/27,401.0,434.0,400.0,420.0,116366.0
2021/05/30,425.0,443.0,399.0,402.0,72953.0
2021/05/31,382.0,407.0,382.0,388.0,33760.0
2021/06/01,385.0,390.0,378.0,381.0,20792.0
2021/06/02,381.0,393.0,376.0,392.0,22681.0
