Date,Open,High,Low,Close,Volume
2012-01-01,67.35,67.79,67.35,67.5,7160.0
2012-01-02,67.5,67.94,67.5,67.94,4490.0
2012-01-03,67.94,68.09,67.5,67.5,1940.0
2012-01-04,67.5,67.65,67.2,67.5,2780.0
2012-01-05,67.5,67.5,67.2,67.5,3430.0
2012-01-08,67.5,67.5,67.2,67.2,6780.0
2012-01-09,67.2,67.5,67.2,67.35,4240.0
2012-01-10,67.35,67.5,67.2,67.2,2230.0
2012-01-11,67.2,67.2,67.2,67.2,550.0
2012-01-12,67.2,67.35,67.06,67.2,2330.0
2012-01-16,67.2,67.35,67.06,67.2,3690.0
2012-01-17,67.2,67.2,67.06,67.2,1890.0
2012-01-18,67.06,67.35,67.06,67.35,1890.0
2012-01-22,67.35,67.35,66.91,67.2,3840.0
2012-01-23,67.2,67.2,66.91,67.06,5240.0
2012-01-25,67.06,67.2,67.06,67.06,1960.0
2012-01-26,67.06,67.2,66.76,66.91,3330.0
2012-01-29,66.91,67.06,66.76,66.76,3900.0
2012-01-31,66.76,66.91,66.76,66.76,2780.0
2012-02-01,66.76,67.5,66.76,66.76,1300.0
2012-02-02,66.76,66.91,66.76,66.91,3180.0
2012-02-05,66.91,66.91,66.17,66.32,2700.0
2012-02-06,66.32,66.17,66.02,66.17,1900.0
2012-02-07,66.17,66.32,65.87,66.02,900.0
2012-02-08,66.02,66.17,65.87,65.87,2510.0
2012-02-09,65.87,66.17,65.87,66.17,1300.0
2012-02-12,66.17,66.17,65.72,66.02,1480.0
2012-02-13,66.02,66.32,65.58,66.32,3980.0
2012-02-14,66.32,66.91,66.02,66.17,3110.0
2012-02-15,66.17,66.17,65.58,66.17,4880.0
2012-02-16,66.17,66.17,65.58,65.72,4010.0
2012-02-21,65.72,65.72,65.58,65.58,1450.0
2012-02-23,65.58,66.02,65.43,65.43,5580.0
2012-02-26,65.43,65.72,65.58,65.72,1310.0
2012-02-27,65.72,66.17,65.87,66.02,980.0
2012-02-28,66.02,66.32,65.72,66.32,1480.0
2012-02-29,66.32,66.32,66.02,66.17,1590.0
2012-03-01,66.17,66.17,65.87,66.17,500.0
2012-03-04,66.17,66.32,66.02,66.02,1830.0
2012-03-05,66.02,66.32,66.02,66.02,1000.0
2012-03-06,66.02,66.17,66.02,66.02,1140.0
2012-03-11,66.02,65.87,65.72,65.72,500.0
2012-03-12,65.72,65.72,65.43,65.58,3000.0
2012-03-13,65.58,65.87,65.58,65.87,350.0
2012-03-14,65.87,66.02,65.72,65.72,270.0
2012-03-15,65.72,66.17,65.87,66.02,1890.0
2012-03-18,66.02,66.32,65.87,65.87,2160.0
2012-03-19,65.87,66.02,65.43,65.58,1330.0
2012-03-20,65.58,65.72,65.58,65.58,1130.0
2012-03-21,65.58,65.72,65.58,65.72,390.0
2012-03-25,65.72,65.87,65.43,65.72,1990.0
2012-03-26,65.72,65.87,65.28,65.72,1240.0
2012-03-27,65.72,65.87,65.72,65.87,1890.0
2012-03-28,65.87,65.87,65.87,65.87,1010.0
2012-03-29,65.87,65.87,65.58,65.58,1060.0
2012-04-01,65.58,65.58,65.58,65.58,420.0
2012-04-02,65.58,65.87,65.43,65.72,3510.0
2012-04-04,65.72,65.58,65.28,65.58,3980.0
2012-04-05,65.58,65.58,65.43,65.43,1740.0
2012-04-08,65.43,65.58,65.43,65.43,460.0
2012-04-09,65.43,65.87,65.58,65.87,1450.0
