Date,Open,High,Low,Close,Volume
2016/11/24,105.28,105.93,105.28,105.93,20.0
2016/11/27,106.74,109.99,106.74,109.99,512.0
2016/11/28,110.8,113.24,109.18,112.92,2505.0
2016/11/29,113.73,117.63,113.08,117.63,1057.0
2016/11/30,117.63,122.83,117.63,122.83,998.0
2016/12/01,123.96,128.51,123.96,128.51,1290.0
2016/12/04,129.65,132.41,127.54,129.33,3303.0
2016/12/05,129.33,129.33,122.99,123.15,1845.0
2016/12/06,124.29,125.75,122.99,125.1,631.0
2016/12/07,125.1,127.86,124.45,125.91,399.0
2016/12/08,124.78,125.43,123.8,124.29,276.0
2016/12/11,125.43,125.43,123.96,124.29,234.0
2016/12/12,123.48,124.61,122.34,124.61,1492.0
2016/12/14,125.75,126.73,124.61,126.73,879.0
2016/12/15,126.73,132.9,125.75,132.9,962.0
2016/12/18,134.2,134.2,131.11,132.25,2471.0
2016/12/19,131.11,131.11,128.51,129.65,142.0
2016/12/20,128.51,128.51,126.24,127.54,91.0
2016/12/21,126.4,126.73,125.26,126.73,242.0
2016/12/22,125.75,130.79,125.75,129.98,7745.0
2016/12/26,129.98,131.6,129.16,130.79,676.0
2016/12/27,130.79,130.79,128.51,129.65,1505.0
2016/12/28,128.68,133.23,128.51,133.23,1042.0
2016/12/29,134.52,134.85,131.11,134.85,709.0
2017/01/01,133.55,134.85,132.58,132.58,561.0
2017/01/02,133.87,139.24,133.87,137.77,5982.0
2017/01/03,138.26,143.14,138.26,142.16,1654.0
2017/01/04,140.7,142.97,137.77,142.16,682.0
2017/01/05,143.62,146.22,140.7,140.7,1485.0
2017/01/08,139.24,143.62,137.77,142.97,1521.0
2017/01/09,145.09,146.22,140.7,143.62,1281.0
2017/01/10,144.6,145.41,142.97,145.41,741.0
2017/01/11,146.55,146.55,144.92,144.92,60.0
2017/01/12,145.41,151.58,143.95,151.58,2125.0
2017/01/15,151.91,151.91,145.41,148.66,415.0
2017/01/16,150.28,156.95,150.28,156.95,4524.0
2017/01/17,158.73,166.04,158.73,166.04,13365.0
2017/01/18,167.99,169.62,157.6,159.22,6619.0
2017/01/19,159.22,162.79,156.13,156.13,4746.0
2017/01/22,157.6,158.73,149.47,149.47,3795.0
2017/01/23,151.1,151.1,146.22,147.2,3961.0
2017/01/24,146.22,154.18,146.22,153.53,5303.0
2017/01/25,151.91,151.91,147.85,150.28,1213.0
2017/01/26,148.66,148.82,148.66,148.66,235.0
2017/01/30,147.85,147.85,144.6,144.6,362.0
2017/01/31,145.9,145.9,142.32,142.97,641.0
2017/02/01,141.51,144.44,141.51,144.44,547.0
2017/02/02,144.44,144.76,142.97,142.97,800.0
2017/02/05,144.44,144.44,141.67,142.16,690.0
2017/02/06,142.16,142.16,141.35,141.35,340.0
2017/02/07,141.51,141.51,141.51,141.51,298.0
2017/02/08,141.84,141.84,141.84,141.84,110.0
2017/02/09,140.37,140.37,137.29,137.29,350.0
2017/02/12,136.47,136.47,133.06,133.06,415.0
2017/02/13,131.76,131.76,129.98,129.98,340.0
2017/02/14,129.98,130.14,129.16,129.16,580.0
2017/02/15,128.03,129.49,126.89,129.49,1486.0
2017/02/16,129.98,130.3,129.16,129.16,748.0
2017/02/19,130.3,130.3,130.3,130.3,100.0
2017/02/20,131.6,132.41,130.3,132.41,200.0
2017/02/21,133.71,133.71,131.6,132.9,906.0
2017/02/22,133.23,133.39,132.9,132.9,150.0
2017/02/23,131.6,131.6,131.28,131.28,110.0
2017/02/26,129.98,132.58,129.98,131.28,430.0
2017/02/28,131.28,131.28,129.98,130.14,230.0
2017/03/01,128.84,128.84,125.59,125.59,178.0
2017/03/02,126.73,129.0,126.73,129.0,450.0
2017/03/05,129.65,131.6,129.65,131.6,476.0
2017/03/06,132.9,132.9,131.6,132.9,157.0
2017/03/07,132.58,132.58,132.58,132.58,22.0
2017/03/09,132.41,133.23,132.09,133.23,254.0
2017/03/14,133.23,133.23,131.76,132.41,353.0
2017/03/15,131.93,131.93,129.98,129.98,150.0
2017/03/16,130.3,131.6,130.3,131.6,100.0
2017/03/19,131.6,130.79,130.79,130.79,50.0
2017/03/20,131.6,131.6,131.6,131.6,21.0
2017/03/21,131.76,133.23,131.76,133.23,261.0
2017/03/22,134.04,134.36,134.04,134.36,60.0
2017/03/23,134.36,136.8,134.36,136.8,310.0
2017/03/26,138.1,139.56,138.1,138.1,126.0
2017/03/28,138.1,142.97,139.56,142.97,237.0
2017/03/29,142.97,145.25,143.62,145.25,182.0
2017/03/30,145.25,146.55,143.79,146.55,360.0
2017/04/02,148.17,147.85,147.36,147.36,31.0
2017/04/03,147.85,147.85,142.16,142.16,601.0
2017/04/04,143.62,143.62,140.54,140.7,284.0
2017/04/06,140.7,148.17,142.16,148.17,547.0
2017/04/09,149.8,156.46,149.8,156.46,1397.0
2017/04/10,158.25,165.56,158.25,165.56,6060.0
2017/04/11,167.34,175.47,167.34,175.47,1509.0
2017/04/12,177.58,186.52,177.58,186.52,5115.0
2017/04/13,184.24,198.54,179.69,182.78,4966.0
2017/04/16,183.59,194.48,171.08,171.08,1188.0
2017/04/18,168.97,169.13,161.01,167.18,2761.0
2017/04/19,167.18,175.63,165.39,175.63,1733.0
2017/04/20,177.74,184.08,177.74,181.97,2016.0
2017/04/23,184.24,184.24,181.97,182.29,1501.0
2017/04/24,179.69,181.15,176.28,179.85,1794.0
2017/04/25,178.72,180.34,177.9,178.55,1484.0
2017/04/26,176.6,179.2,176.6,177.25,926.0
2017/04/27,178.88,178.88,175.47,176.93,572.0
2017/04/30,179.04,179.04,170.92,174.65,1292.0
2017/05/02,176.6,177.09,168.97,168.97,2016.0
2017/05/03,170.92,177.9,170.92,177.9,1166.0
2017/05/04,177.9,177.9,173.84,174.82,1808.0
2017/05/07,173.03,173.03,169.94,169.94,571.0
2017/05/08,167.99,171.41,167.34,167.83,310.0
2017/05/09,167.83,172.22,169.78,170.59,257.0
2017/05/11,168.64,170.76,166.53,168.48,993.0
2017/05/15,168.48,168.97,166.86,168.81,351.0
2017/05/16,166.86,173.68,165.72,171.57,117.0
2017/05/17,173.03,173.03,168.97,168.97,187.0
2017/05/18,168.97,168.16,167.51,167.83,293.0
2017/05/21,167.83,169.78,167.83,168.16,894.0
2017/05/22,169.78,169.94,169.29,169.62,120.0
2017/05/23,168.97,170.92,168.97,169.62,121.0
2017/05/24,169.62,170.59,167.67,170.59,532.0
2017/05/28,170.59,170.59,165.72,165.88,524.0
2017/05/30,167.83,169.29,165.72,167.34,693.0
2017/05/31,165.72,175.79,164.09,175.79,2823.0
2017/06/01,177.9,182.29,177.9,180.34,4897.0
2017/06/04,181.15,184.4,181.15,182.94,2486.0
2017/06/05,182.78,185.05,181.32,184.08,2162.0
2017/06/06,185.22,186.84,183.59,184.4,1336.0
2017/06/07,186.68,186.68,182.13,182.78,344.0
2017/06/08,182.78,185.05,181.15,182.94,973.0
2017/06/11,183.59,186.03,181.97,181.97,2452.0
2017/06/12,181.15,181.97,177.9,177.9,471.0
2017/06/13,178.72,180.34,176.44,180.02,932.0
2017/06/14,180.99,181.97,178.07,181.97,1053.0
2017/06/15,180.34,180.34,174.65,174.65,1531.0
2017/06/18,174.65,176.77,174.65,174.65,255.0
2017/06/19,176.77,176.77,174.65,174.65,90.0
2017/06/20,174.65,174.65,174.65,174.65,165.0
2017/06/21,173.84,174.82,171.73,171.73,279.0
2017/06/22,169.62,169.62,167.34,167.34,418.0
2017/06/25,166.04,169.29,166.04,168.64,113.0
2017/06/27,168.64,168.97,167.51,168.16,340.0
2017/06/28,167.34,168.64,164.91,167.67,350.0
2017/07/02,167.34,167.34,166.69,166.69,130.0
2017/07/04,165.72,167.34,165.07,165.72,130.0
2017/07/05,164.09,165.07,162.47,164.26,365.0
2017/07/06,164.09,167.34,164.09,167.34,130.0
2017/07/09,167.34,169.29,166.53,166.69,247.0
2017/07/10,165.72,165.72,163.77,164.42,140.0
2017/07/11,162.47,167.34,162.47,166.53,1221.0
2017/07/12,166.53,170.43,165.72,168.97,610.0
2017/07/13,167.02,169.62,165.07,166.86,671.0
2017/07/16,164.91,167.67,164.91,166.04,252.0
2017/07/17,164.74,167.02,164.74,165.56,338.0
2017/07/18,165.72,167.67,165.72,167.34,343.0
2017/07/19,168.81,169.29,168.16,168.16,270.0
2017/07/20,166.21,167.34,165.39,165.72,180.0
2017/07/23,164.91,166.53,164.09,166.53,236.0
2017/07/24,164.58,165.88,164.09,165.72,90.0
2017/07/25,167.34,168.97,166.53,167.34,415.0
2017/07/26,165.39,167.34,165.39,166.53,443.0
2017/07/27,164.74,166.69,164.74,165.23,390.0
2017/07/30,167.18,168.16,165.23,167.34,411.0
2017/07/31,166.37,167.34,164.74,165.72,499.0
2017/08/01,163.77,168.97,163.77,167.51,330.0
2017/08/02,168.97,168.97,166.04,166.04,238.0
2017/08/03,166.04,167.34,165.72,166.69,420.0
2017/08/06,165.07,166.69,164.42,165.23,583.0
2017/08/07,165.23,166.53,164.91,166.04,360.0
2017/08/09,166.53,167.67,166.53,166.69,767.0
2017/08/10,165.07,173.35,165.07,173.35,300.0
2017/08/13,171.41,171.41,162.63,162.63,1754.0
2017/08/15,160.84,162.47,158.41,160.36,1492.0
2017/08/16,158.57,162.96,158.41,159.38,452.0
2017/08/17,159.38,162.47,158.57,161.49,353.0
2017/08/20,161.49,161.49,156.13,156.13,102.0
2017/08/21,156.13,161.01,156.13,161.01,191.0
2017/08/22,159.22,160.84,157.6,160.84,50.0
2017/08/23,159.06,162.63,157.6,162.47,340.0
2017/08/24,162.63,162.47,158.73,161.17,212.0
2017/08/27,161.17,161.17,157.76,160.84,487.0
2017/08/28,160.03,161.66,156.62,160.03,306.0
2017/08/30,159.87,162.47,159.87,162.31,1028.0
2017/08/31,162.31,165.88,154.83,159.38,698.0
2017/09/04,160.84,160.84,156.78,156.78,422.0
2017/09/06,157.6,157.6,155.97,157.27,200.0
2017/09/07,155.65,156.13,153.86,155.97,421.0
2017/09/10,157.92,157.92,154.35,155.81,596.0
2017/09/11,154.18,154.18,151.26,152.72,166.0
2017/09/12,151.1,152.72,151.1,152.72,230.0
2017/09/13,151.1,151.1,148.66,148.66,30.0
2017/09/14,147.03,149.8,147.03,149.8,95.0
2017/09/17,151.42,155.16,151.42,155.16,178.0
2017/09/18,156.95,159.22,155.16,157.6,461.0
2017/09/20,157.6,157.6,154.02,154.02,150.0
2017/09/24,152.4,152.4,152.4,152.4,20.0
2017/09/25,151.1,156.13,151.1,156.13,40.0
2017/10/04,156.78,156.78,156.78,156.78,10.0
2017/10/09,155.0,155.0,155.0,155.0,20.0
2017/10/10,153.21,153.21,151.58,152.72,195.0
2017/10/11,153.53,153.53,151.1,151.1,80.0
2017/10/15,152.72,154.35,151.1,154.35,90.0
2017/10/16,154.35,154.35,154.35,154.35,60.0
2017/10/17,155.16,155.16,153.37,153.37,620.0
2017/10/18,151.75,151.91,150.28,151.91,255.0
2017/10/22,150.28,151.1,150.28,151.1,54.0
2017/10/23,151.1,153.53,151.1,153.53,113.0
2017/10/24,153.53,154.35,152.72,152.72,40.0
2017/10/25,154.35,156.13,153.53,153.53,370.0
2017/10/29,152.72,153.53,152.72,152.72,540.0
2017/10/30,153.37,154.35,151.26,151.26,240.0
2017/10/31,149.63,149.63,148.01,148.17,305.0
2017/11/01,146.55,146.55,144.92,146.55,183.0
2017/11/02,147.03,147.03,145.41,147.03,61.0
2017/11/05,146.22,147.85,143.14,143.14,140.0
2017/11/06,143.14,145.09,140.37,141.35,1036.0
2017/11/07,140.05,140.05,139.24,139.24,142.0
2017/11/08,139.24,139.24,136.47,137.77,950.0
2017/11/09,138.1,139.56,136.64,137.94,525.0
2017/11/12,137.94,139.72,137.94,138.1,440.0
2017/11/13,136.64,136.96,136.64,136.8,50.0
2017/11/14,136.47,137.29,136.47,137.29,256.0
2017/11/15,138.1,140.05,137.29,137.29,659.0
2017/11/16,137.29,138.59,137.29,137.45,30.0
2017/11/19,137.45,140.05,137.29,140.05,372.0
2017/11/20,141.51,147.52,141.51,147.52,1238.0
2017/11/21,149.15,155.65,149.15,155.65,3241.0
2017/11/22,157.43,164.58,157.43,164.58,5120.0
2017/11/23,164.58,174.49,154.83,162.47,4695.0
2017/11/26,162.47,162.47,159.06,160.52,1787.0
2017/11/27,162.31,162.31,158.73,159.22,1249.0
2017/11/28,160.84,162.47,159.06,161.66,653.0
2017/11/29,161.66,161.66,160.84,161.01,580.0
2017/11/30,159.22,161.17,159.22,160.19,447.0
2017/12/04,160.03,160.84,159.22,159.38,700.0
2017/12/05,157.92,158.73,157.76,158.57,364.0
2017/12/06,158.57,161.98,158.57,161.17,847.0
2017/12/10,162.63,162.63,159.71,160.84,1128.0
2017/12/11,159.22,160.03,159.22,160.03,176.0
2017/12/12,160.03,160.03,158.41,158.41,220.0
2017/12/13,158.41,158.41,157.43,157.76,123.0
2017/12/14,156.95,157.6,156.78,157.6,241.0
2017/12/17,157.6,157.6,156.78,156.78,150.0
2017/12/18,156.3,156.3,155.97,155.97,170.0
2017/12/19,155.16,155.32,154.35,155.16,282.0
2017/12/20,153.37,153.37,151.75,152.07,196.0
2017/12/21,150.45,152.07,150.45,152.07,380.0
2017/12/24,153.7,160.68,153.7,160.68,4571.0
2017/12/26,161.33,163.28,160.68,161.66,5301.0
2017/12/27,160.03,160.84,159.22,160.68,3347.0
