Date,Open,High,Low,Close,Volume
2012/02/13,84.57,84.23,84.23,84.23,110.0
2012/05/22,84.23,84.65,84.4,84.65,63.0
2012/06/25,84.65,84.32,84.32,84.32,30.0
2012/07/24,84.32,84.91,84.57,84.57,879.0
2012/07/25,84.57,84.91,84.91,84.91,10.0
2012/08/30,84.91,84.57,84.57,84.57,136.0
2012/09/06,84.57,84.23,83.98,83.98,78.0
2012/09/09,83.98,83.73,83.22,83.22,247.0
2012/09/10,83.22,82.97,82.97,82.97,100.0
2012/09/11,82.97,82.72,82.21,82.21,341.0
2012/09/12,82.21,81.96,81.96,81.96,134.0
2012/09/13,81.96,81.71,80.61,80.61,2168.0
2012/09/16,80.61,80.36,79.35,79.35,24867.0
2012/09/19,79.35,78.85,78.85,78.85,2500.0
2012/09/20,78.85,79.02,79.02,79.02,30.0
2012/09/23,79.02,79.69,79.18,79.69,224.0
2012/10/09,79.69,79.86,79.86,79.86,134.0
2012/10/10,79.86,81.04,80.03,81.04,442.0
2012/10/14,81.04,82.3,81.29,82.3,274.0
2012/10/18,82.3,82.55,82.55,82.55,50.0
2012/10/31,82.55,83.98,82.8,83.98,200.0
2012/11/01,83.98,85.58,84.23,85.58,420.0
2012/11/04,85.58,87.26,85.92,87.09,1282.0
2012/11/05,87.09,87.35,87.01,87.01,218.0
2012/11/20,87.01,87.09,87.09,87.09,390.0
2012/11/28,87.09,86.76,86.76,86.76,38.0
2012/12/13,86.76,87.09,87.09,87.09,20.0
2012/12/26,87.09,86.76,86.08,86.08,70.0
2012/12/27,86.08,85.75,85.75,85.75,188.0
2013/01/02,85.75,85.41,84.15,84.15,606.0
2013/01/03,84.15,83.9,83.56,83.9,390.0
2013/01/09,83.9,83.73,83.64,83.73,352.0
2013/01/16,83.73,83.48,83.48,83.48,135.0
2013/01/23,83.48,83.22,83.22,83.22,101.0
2013/01/27,83.22,82.97,82.97,82.97,78.0
2013/01/30,82.97,83.22,83.22,83.22,350.0
2013/01/31,83.22,83.31,83.22,83.22,400.0
2013/02/05,83.22,82.97,82.97,82.97,100.0
2013/02/10,82.97,82.72,82.47,82.47,347.0
2013/02/14,82.47,83.9,82.72,83.9,1400.0
2013/02/17,83.9,84.15,84.15,84.15,50.0
2013/02/21,84.15,84.15,84.06,84.15,134.0
2013/03/07,84.15,84.65,84.4,84.65,163.0
2013/03/13,84.65,84.32,84.06,84.15,632.0
2013/04/25,84.15,84.15,84.15,84.15,20777.0
2013/05/07,84.15,83.9,83.9,83.9,200.0
2013/05/08,83.9,84.15,84.15,84.15,30.0
2013/05/09,84.15,83.98,83.48,83.73,195.0
2013/05/13,83.73,83.48,82.97,82.97,714.0
2013/05/14,82.97,83.22,82.72,83.22,1452.0
2013/06/04,83.22,82.97,82.97,82.97,165.0
2013/06/09,82.97,83.22,83.14,83.14,317.0
2013/06/11,83.14,83.14,83.14,83.14,98.0
2013/06/12,83.14,83.05,83.05,83.05,134.0
2013/06/17,83.05,83.05,83.05,83.05,327.0
2013/06/18,83.05,83.05,83.05,83.05,515.0
2013/07/02,83.05,83.31,83.31,83.31,3360.0
2013/07/07,83.31,83.05,83.05,83.05,70.0
2013/07/08,83.05,83.31,83.31,83.31,200.0
2013/07/09,83.31,83.05,83.05,83.05,220.0
2013/07/22,83.05,83.31,83.31,83.31,34.0
2013/08/06,83.31,83.73,83.56,83.73,250.0
2013/08/07,83.73,84.23,83.98,84.23,202.0
2013/08/08,84.23,84.15,83.9,83.9,281.0
2013/08/15,83.9,84.4,84.15,84.4,20.0
2013/08/19,84.4,85.33,84.65,85.33,10022.0
2013/08/20,85.33,85.41,85.41,85.41,10777.0
2013/08/25,85.41,87.09,85.75,87.09,50.0
2013/08/26,87.09,89.03,87.43,89.03,60.0
2013/08/27,89.03,91.13,89.45,91.13,80.0
2013/08/29,91.13,93.24,91.56,93.24,50.0
2013/09/01,93.24,95.76,93.74,95.76,8025.0
2013/09/02,95.76,98.54,96.27,98.54,1497.0
2013/09/03,98.54,101.57,99.13,101.57,2530.0
2013/09/04,101.57,102.83,98.2,98.2,16883.0
2013/09/05,98.2,98.04,95.17,98.04,8946.0
2013/09/08,98.04,99.21,98.2,98.71,3930.0
2013/09/09,98.71,98.71,98.12,98.71,3800.0
2013/09/10,98.71,98.46,98.46,98.46,100.0
2013/09/11,98.46,98.04,98.04,98.04,112.0
2013/09/12,98.04,97.45,97.45,97.45,120.0
2013/09/15,97.45,97.7,97.7,97.7,60.0
2013/09/16,97.7,97.62,97.28,97.28,684.0
2013/09/17,97.28,97.95,97.36,97.53,950.0
2013/09/19,97.53,99.8,98.04,98.2,3067.0
