Date,Open,High,Low,Close,Volume
2017-12-10,382.98,382.98,377.42,377.42,350.0
2017-12-11,375.96,375.96,367.77,375.96,615.0
2017-12-12,370.7,370.99,365.73,365.73,745.0
2017-12-13,365.73,375.08,363.09,373.91,865.0
2017-12-14,370.11,370.11,365.73,367.19,685.0
2017-12-17,365.73,365.73,365.43,365.73,200.0
2017-12-18,371.57,381.52,365.73,367.19,1020.0
2017-12-19,361.63,380.35,361.63,371.57,4265.0
2017-12-20,370.11,370.11,365.43,367.77,1165.0
2017-12-21,367.19,367.19,361.63,362.22,427.0
2017-12-24,367.77,373.91,364.26,364.85,624.0
2017-12-26,359.88,359.88,357.83,357.83,1000.0
2017-12-27,351.69,355.49,351.11,354.03,1755.0
2017-12-28,356.95,358.42,354.03,354.03,600.0
2017-12-31,349.64,349.64,343.8,347.01,1289.0
2018-01-01,341.16,367.48,341.16,362.8,2625.0
2018-01-02,358.42,369.82,354.03,358.42,2420.0
2018-01-03,355.49,355.49,348.47,355.49,760.0
2018-01-04,355.2,355.2,346.72,349.94,4472.0
2018-01-07,351.11,355.49,351.11,351.11,920.0
2018-01-08,356.95,362.22,354.32,354.32,1110.0
2018-01-09,354.32,362.8,358.42,362.8,1025.0
2018-01-10,359.59,359.59,356.66,356.66,490.0
2018-01-14,350.81,351.11,345.26,350.81,1078.0
2018-01-16,346.72,348.18,346.43,348.18,876.0
2018-01-17,346.43,346.72,346.43,346.72,654.0
2018-01-21,348.18,348.77,348.18,348.18,715.0
2018-01-22,342.33,346.72,342.33,344.09,250.0
2018-01-23,338.24,340.87,332.39,337.07,2674.0
2018-01-24,337.07,338.24,336.49,336.78,920.0
2018-01-25,337.95,340.87,335.02,340.58,740.0
2018-01-28,345.26,345.26,337.95,337.95,640.0
2018-01-29,332.68,338.24,332.68,337.95,400.0
2018-01-31,335.02,340.87,335.02,337.36,880.0
2018-02-01,339.41,339.41,337.95,337.95,140.0
2018-02-04,339.41,340.87,339.12,339.41,1090.0
2018-02-05,339.12,339.12,335.02,335.02,40.0
2018-02-06,333.56,335.02,332.1,335.02,150.0
2018-02-07,330.64,330.64,329.47,330.64,631.0
2018-02-08,332.1,332.1,331.81,331.81,120.0
2018-02-11,327.71,327.71,321.57,326.84,830.0
2018-02-12,321.28,326.54,321.28,324.79,700.0
2018-02-14,326.25,329.18,326.25,329.18,660.0
2018-02-15,332.1,346.72,332.1,336.49,956.0
2018-02-18,336.49,347.89,336.49,337.95,1002.0
