Date,Open,High,Low,Close,Volume,Change
2021-07-29,317.54,343.63,309.2,343.63,100.0,
2021-08-01,350.09,377.99,350.09,377.99,210.0,34.360000000000014
2021-08-02,377.99,393.2,377.99,393.2,132.0,15.20999999999998
2021-08-03,393.2,432.5,393.2,432.5,220.0,39.30000000000001
2021-08-04,433.85,475.71,433.85,475.71,160.0,43.20999999999998
2021-08-05,475.71,523.27,475.71,523.27,145.0,47.56
2021-08-08,525.19,575.6,525.19,575.6,308.0,52.33000000000004
2021-08-09,586.71,633.13,586.71,633.13,240.0,57.52999999999997
2021-08-10,645.77,696.43,645.77,696.43,250.0,63.299999999999955
2021-08-11,696.43,766.05,696.43,766.05,250.0,69.62
2021-08-12,766.05,842.65,781.37,842.65,320.0,76.60000000000002
2021-08-15,851.79,926.9,851.79,926.9,540.0,84.25
2021-08-16,945.42,1019.59,945.42,1019.59,200.0,92.69000000000004
2021-08-17,1039.95,1121.52,1039.95,1121.52,280.0,101.92999999999996
2021-08-18,1143.93,1233.67,1143.93,1233.67,294.0,112.15000000000008
2021-08-19,1258.33,1357.03,1258.33,1357.03,548.0,123.3599999999999
2021-08-24,1384.17,1492.73,1384.17,1492.73,959.0,135.70000000000005
2021-08-25,1522.58,1641.98,1522.58,1641.98,2881.0,149.25
2021-08-26,1674.81,1806.17,1674.81,1806.17,39086.0,164.19000000000003
2021-08-29,1842.27,1916.65,1668.28,1764.52,145451.0,-41.65000000000009
2021-08-31,1764.52,1764.52,1676.27,1680.09,56195.0,-84.43000000000006
2021-09-01,1667.59,1767.99,1657.2,1709.62,31824.0,29.529999999999973
2021-09-02,1737.07,1737.07,1664.15,1667.59,22335.0,-42.02999999999997
2021-09-05,1667.59,1667.59,1574.86,1580.39,31477.0,-87.19999999999982
2021-09-06,1563.36,1718.31,1552.94,1702.33,21268.0,121.93999999999984
2021-09-07,1736.38,1736.38,1625.9,1653.69,11413.0,-48.63999999999987
2021-09-08,1684.96,1684.96,1601.58,1618.95,9190.0,-34.74000000000001
2021-09-09,1598.1,1625.9,1594.63,1597.76,13102.0,-21.190000000000055
2021-09-12,1591.16,1658.9,1591.16,1648.55,16737.0,50.78999999999997
2021-09-13,1650.22,1666.89,1615.48,1616.17,9952.0,-32.37999999999988
