Date,Open,High,Low,Close,Volume
2012-01-02,32.48,31.91,31.91,31.91,50.0
2012-01-12,31.91,31.35,30.08,30.08,648.0
2012-01-18,30.08,29.51,28.24,28.24,239.0
2012-01-22,28.24,27.68,27.68,27.68,500.0
2012-01-23,27.68,28.1,27.68,27.68,180.0
2012-01-26,27.68,27.39,26.97,26.97,246.0
2012-02-02,26.97,26.97,26.97,26.97,123.0
2012-02-09,26.97,27.39,27.39,27.39,500.0
2012-02-12,27.39,26.97,26.55,26.55,925.0
2012-02-28,26.55,26.97,26.97,26.97,49.0
2012-03-01,26.97,28.81,27.39,28.81,90.0
2012-03-04,28.81,29.37,29.37,29.37,20.0
2012-03-05,29.37,29.94,28.81,28.81,130.0
2012-03-06,28.81,29.23,28.95,28.95,401.0
2012-03-11,28.95,28.95,28.95,28.95,10.0
2012-03-12,28.95,28.81,28.52,28.52,359.0
2012-03-13,28.52,28.1,28.1,28.1,200.0
2012-03-14,28.1,28.52,28.24,28.24,207.0
2012-03-18,28.24,28.81,28.81,28.81,1000.0
2012-03-27,28.81,28.24,28.1,28.1,1750.0
2012-03-29,28.1,28.24,28.24,28.24,60.0
2012-04-01,28.24,28.52,28.52,28.52,130.0
2012-04-15,28.52,29.09,29.09,29.09,40.0
2012-04-18,29.09,29.65,29.09,29.65,2502.0
2012-05-02,29.65,30.22,30.22,30.22,50.0
2012-05-07,30.22,31.63,31.63,31.63,10.0
2012-05-08,31.63,32.2,32.2,32.2,40.0
2012-05-09,32.2,32.76,32.76,32.76,2844.0
2012-05-13,32.76,33.89,33.32,33.89,1060.0
2012-05-14,33.89,36.29,34.45,36.29,120.0
2012-05-16,36.29,37.7,37.0,37.0,1025.0
2012-05-17,37.0,40.53,37.7,40.53,1479.0
2012-05-20,40.53,41.94,41.23,41.94,41.0
2012-05-21,41.94,42.64,41.23,41.66,3189.0
2012-05-22,41.66,40.95,39.54,39.54,150.0
2012-05-23,39.54,39.54,38.83,39.54,78.0
2012-05-24,39.54,40.24,40.24,40.24,20.0
2012-05-29,40.24,39.54,36.29,36.29,2159.0
2012-05-30,36.29,35.58,34.88,35.44,490.0
2012-06-04,35.44,36.15,36.15,36.15,20.0
2012-06-05,36.15,36.01,35.44,35.58,595.0
2012-06-06,35.58,35.3,35.16,35.3,467.0
2012-06-07,35.3,36.71,36.01,36.01,45.0
2012-06-10,36.01,36.71,36.57,36.71,59.0
2012-06-11,36.71,38.13,37.42,38.13,470.0
2012-06-12,38.13,38.13,37.42,38.13,2669.0
2012-06-13,38.13,40.95,38.27,40.95,140.0
2012-06-14,40.95,40.24,38.13,38.83,365.0
2012-06-17,38.83,38.27,38.13,38.13,2196.0
2012-06-18,38.13,38.83,38.13,38.83,2957.0
2012-06-26,38.83,38.13,37.42,37.42,118.0
