Date,Open,High,Low,Close,Volume
2012/01/01,57.77,58.41,58.41,58.41,99.0
2012/01/02,58.41,59.54,58.74,59.54,187.0
2012/01/03,59.54,60.99,58.25,58.9,1602.0
2012/01/04,58.9,59.22,58.58,59.22,100.0
2012/01/05,59.22,58.58,57.29,57.45,2247.0
2012/01/08,57.45,58.74,56.48,58.09,3488.0
2012/01/09,58.09,59.38,58.25,59.22,952.0
2012/01/10,59.22,59.7,57.61,57.77,871.0
2012/01/11,57.77,58.58,57.61,57.61,1832.0
2012/01/12,57.61,60.19,58.09,58.09,1043.0
2012/01/17,60.86,60.17,58.25,58.25,510.0
2012/01/18,58.25,58.95,57.91,58.95,400.0
2012/01/22,58.95,58.43,58.25,58.25,240.0
2012/01/23,58.25,58.08,57.38,58.08,610.0
2012/01/25,58.08,58.6,58.6,58.6,49.0
2012/01/26,58.6,58.6,57.38,57.56,466.0
2012/01/29,57.56,58.08,57.91,58.08,651.0
2012/01/31,58.08,58.25,57.38,57.38,228.0
2012/02/01,57.38,57.56,57.04,57.38,1409.0
2012/02/02,57.38,57.38,54.77,55.47,6590.0
2012/02/05,55.47,55.64,55.29,55.64,1647.0
2012/02/06,55.64,55.47,54.95,55.29,1995.0
2012/02/07,55.29,55.47,54.77,55.47,1172.0
2012/02/08,55.47,56.86,55.82,56.51,745.0
2012/02/09,56.51,57.56,57.04,57.38,944.0
2012/02/12,57.38,57.73,56.34,57.38,1961.0
2012/02/13,57.38,57.56,56.86,57.21,542.0
2012/02/14,57.21,57.38,57.04,57.38,627.0
2012/02/15,57.38,56.86,56.34,56.34,146.0
2012/02/16,56.34,55.99,55.64,55.82,366.0
2012/02/21,55.82,55.64,55.64,55.64,47.0
2012/02/23,55.64,56.16,55.64,55.64,287.0
2012/02/26,55.64,55.64,55.47,55.64,1046.0
2012/02/28,55.64,57.04,55.64,55.99,605.0
2012/02/29,55.99,56.16,55.64,55.82,1119.0
2012/03/01,55.82,56.16,55.82,55.82,1529.0
2012/03/04,55.82,55.99,55.82,55.99,939.0
2012/03/05,55.99,56.51,56.51,56.51,40.0
2012/03/06,56.51,55.99,55.64,55.64,360.0
2012/03/11,55.64,55.47,54.77,54.77,1405.0
2012/03/12,54.77,54.42,53.38,54.08,1729.0
2012/03/13,54.08,54.6,53.9,54.42,2482.0
2012/03/14,54.42,53.9,53.03,53.73,1340.0
2012/03/18,53.73,53.38,51.99,52.68,1289.0
2012/03/19,52.68,53.73,53.21,53.73,548.0
2012/03/20,53.73,53.21,53.03,53.03,630.0
2012/03/21,53.03,53.38,52.86,52.86,532.0
2012/03/25,52.86,52.68,51.81,52.16,2866.0
2012/03/26,52.16,52.16,51.64,52.16,748.0
2012/03/27,52.16,52.16,51.81,51.81,795.0
2012/03/29,51.81,52.33,52.33,52.33,73.0
2012/04/01,52.33,52.86,52.16,52.68,771.0
2012/04/02,52.68,53.21,52.86,53.21,678.0
2012/04/03,53.21,53.73,53.03,53.03,417.0
2012/04/04,53.03,53.38,52.86,53.38,209.0
2012/04/05,53.38,53.38,52.86,53.21,510.0
2012/04/09,53.21,53.73,53.38,53.38,924.0
2012/04/10,53.38,54.42,53.03,53.9,1004.0
2012/04/11,53.9,55.99,54.08,55.12,1156.0
2012/04/12,55.12,57.21,55.64,56.34,4530.0
2012/04/15,56.34,59.47,56.86,59.47,230.0
2012/04/16,59.47,62.95,60.17,62.95,3085.0
2012/04/17,62.95,65.74,61.21,61.21,5925.0
2012/04/18,61.21,64.52,59.12,62.43,3687.0
2012/04/19,62.43,64.52,60.86,63.3,3239.0
2012/04/22,63.3,67.13,63.13,67.13,9337.0
2012/04/24,67.13,68.0,68.0,68.0,174.0
2012/04/25,68.0,68.87,68.87,68.87,15.0
2012/04/26,68.87,73.4,66.96,73.4,25597.0
2012/04/29,73.4,75.66,69.05,73.05,14147.0
2012/04/30,73.05,72.35,70.61,70.79,4435.0
2012/05/02,70.79,69.92,68.18,68.18,147.0
2012/05/03,68.18,69.92,69.05,69.92,170.0
2012/05/07,69.92,72.53,70.79,72.53,6585.0
2012/05/08,72.53,77.4,73.4,77.4,16326.0
2012/05/09,77.4,77.4,72.01,74.27,12468.0
2012/05/10,74.27,73.4,69.92,72.35,4928.0
2012/05/13,72.35,71.48,67.48,67.65,3537.0
2012/05/14,67.65,66.78,63.3,64.0,3514.0
2012/05/15,64.0,66.09,64.69,66.09,558.0
2012/05/17,66.09,70.27,66.78,70.27,5270.0
2012/05/20,70.27,73.05,67.65,70.61,6991.0
2012/05/21,70.61,72.7,69.22,71.48,4919.0
2012/05/22,71.48,71.14,69.74,69.74,1603.0
2012/05/23,69.74,68.87,65.22,65.39,1896.0
2012/05/24,65.39,69.22,64.69,68.87,3712.0
2012/05/27,68.87,73.4,69.74,71.31,3385.0
2012/05/29,71.31,70.44,66.61,66.61,97.0
2012/05/30,66.61,65.91,62.43,62.43,184.0
2012/05/31,62.43,63.48,58.95,62.78,8028.0
2012/06/03,62.78,66.61,63.48,66.26,3352.0
2012/06/04,66.26,66.44,64.0,64.0,2013.0
2012/06/05,64.0,64.69,62.95,63.13,1202.0
2012/06/06,63.13,62.43,60.86,61.39,1476.0
2012/06/07,61.39,64.0,61.39,63.48,2250.0
2012/06/10,63.48,62.78,61.04,61.21,675.0
2012/06/11,61.21,62.61,61.56,61.74,1219.0
2012/06/12,61.74,62.43,61.04,62.43,520.0
2012/06/13,62.43,62.26,61.56,62.08,1541.0
2012/06/14,62.08,62.43,61.39,62.26,1135.0
2012/06/17,62.26,61.74,60.34,60.69,1803.0
2012/06/18,60.69,62.08,60.34,62.08,1005.0
2012/06/19,62.08,62.78,61.56,62.78,335.0
2012/06/20,62.78,64.17,62.08,62.43,802.0
2012/06/21,62.43,62.95,61.56,62.61,720.0
2012/06/25,62.61,64.69,62.08,64.69,3830.0
2012/06/26,64.69,64.0,64.0,64.0,11.0
2012/06/27,64.0,64.17,62.78,64.17,1237.0
2012/06/28,64.17,64.52,63.48,64.17,1171.0
2012/07/01,64.17,64.35,62.08,62.08,1382.0
2012/07/02,62.08,62.26,60.34,62.26,8469.0
2012/07/03,62.26,62.08,61.56,62.08,1273.0
2012/07/04,62.08,63.3,62.78,63.3,479.0
2012/07/05,63.3,63.82,61.91,61.91,4563.0
2012/07/08,61.91,64.0,62.61,62.61,1125.0
2012/07/09,62.61,62.95,61.91,61.91,1167.0
2012/07/10,61.91,63.48,62.61,63.13,2966.0
2012/07/11,63.13,63.13,62.43,62.43,1252.0
2012/07/12,62.43,63.13,62.43,62.43,575.0
2012/07/15,62.43,66.26,63.13,65.56,1889.0
2012/07/16,65.56,64.87,62.78,62.95,1070.0
2012/07/17,62.95,63.48,62.43,62.78,1761.0
2012/07/18,62.78,64.0,63.13,64.0,2928.0
2012/07/19,64.0,65.56,63.13,63.48,6757.0
2012/07/22,63.48,67.48,64.17,65.56,6412.0
2012/07/23,65.56,68.52,66.26,66.96,7189.0
2012/07/24,66.96,66.44,65.04,65.22,396.0
2012/07/25,65.22,66.26,65.39,65.39,6446.0
2012/07/26,65.39,65.22,64.69,65.22,1035.0
2012/07/29,65.22,64.87,64.17,64.17,225.0
2012/07/30,64.17,64.87,63.65,64.87,840.0
2012/07/31,64.87,65.74,65.22,65.39,1799.0
2012/08/01,65.39,66.44,65.22,66.09,3011.0
2012/08/05,66.09,66.26,66.26,66.26,100.0
2012/08/06,66.26,67.13,66.09,66.09,1260.0
2012/08/07,66.09,66.78,65.39,66.78,3322.0
2012/08/08,66.78,66.26,64.87,65.39,2344.0
2012/08/12,65.39,65.22,63.65,63.65,936.0
2012/08/13,63.65,65.74,64.17,65.22,5554.0
2012/08/14,65.22,64.52,62.95,63.48,1836.0
2012/08/15,63.48,63.48,62.08,63.48,1135.0
2012/08/16,63.48,64.69,63.65,64.69,1985.0
2012/08/19,64.69,64.17,63.82,63.82,400.0
