Date,Open,High,Low,Close,Volume,Change
2020-09-07,531.93,542.06,531.93,542.06,453.0,
2020-09-08,552.18,595.79,552.18,595.79,50.0,53.73000000000002
2020-09-09,607.48,630.84,595.79,630.84,37.0,35.05000000000007
2020-09-10,661.99,688.47,661.99,688.47,35.0,57.629999999999995
2020-09-13,722.74,757.01,722.74,757.01,45.0,68.53999999999996
2020-09-14,794.39,832.55,794.39,832.55,325.0,75.53999999999996
2020-09-15,873.83,915.11,873.83,915.11,3175.0,82.56000000000006
2020-09-16,960.28,1006.23,960.28,1006.23,5452.0,91.12
2020-09-17,1056.07,1106.7,915.89,938.47,19872.0,-67.75999999999999
2020-09-20,985.2,985.2,893.3,893.3,3708.0,-45.17000000000007
2020-09-21,937.69,937.69,845.02,856.7,6121.0,-36.59999999999991
2020-09-22,856.7,871.5,841.12,841.12,3189.0,-15.580000000000041
2020-09-23,883.18,883.18,830.22,853.58,3398.0,12.460000000000036
2020-09-24,869.94,880.84,856.7,859.03,4074.0,5.449999999999932
2020-09-27,845.02,856.7,845.02,847.35,484.0,-11.67999999999995
2020-09-28,834.11,838.01,833.33,833.33,1443.0,-14.019999999999982
2020-09-29,827.88,833.33,811.53,816.98,2156.0,-16.350000000000023
2020-09-30,809.97,809.97,799.07,805.3,928.0,-11.680000000000064
2020-10-01,805.3,825.55,805.3,821.65,2046.0,16.350000000000023
2020-10-04,819.31,825.55,817.76,825.55,1017.0,3.8999999999999773
2020-10-05,817.76,819.31,817.76,817.76,1396.0,-7.789999999999964
2020-10-06,817.76,817.76,790.5,790.5,2100.0,-27.25999999999999
2020-10-07,786.6,798.29,783.49,784.27,1261.0,-6.230000000000018
2020-10-08,783.49,794.39,778.82,778.82,1563.0,-5.449999999999932
2020-10-11,777.26,778.82,766.36,767.91,1163.0,-10.910000000000082
2020-10-12,760.12,769.47,759.35,759.35,2077.0,-8.559999999999945
2020-10-13,757.01,786.6,750.78,762.46,2457.0,3.1100000000000136
2020-10-14,767.13,778.04,756.23,775.7,1340.0,13.240000000000009
2020-10-15,790.5,790.5,775.7,775.7,702.0,0.0
2020-10-18,790.5,790.5,774.92,774.92,623.0,-0.7800000000000864
2020-10-19,778.82,782.71,774.92,774.92,368.0,0.0
2020-10-20,782.71,799.07,782.71,792.06,1055.0,17.139999999999986
2020-10-21,802.18,802.18,781.15,792.83,840.0,0.7700000000000955
2020-10-22,800.62,800.62,785.83,786.6,740.0,-6.230000000000018
2020-10-28,786.6,786.6,776.48,779.6,141.0,-7.0
2020-10-29,778.82,795.17,778.04,794.39,454.0,14.789999999999964
2020-11-01,785.05,794.39,778.82,790.5,618.0,-3.8899999999999864
2020-11-02,802.18,837.23,801.4,817.76,1958.0,27.25999999999999
2020-11-03,834.11,838.01,822.43,825.55,2826.0,7.789999999999964
2020-11-04,817.76,845.02,817.76,835.67,891.0,10.120000000000005
2020-11-05,847.35,847.35,819.31,836.45,274.0,0.7800000000000864
2020-11-08,852.02,852.02,803.74,833.33,794.0,-3.1200000000000045
2020-11-09,849.69,860.59,833.33,852.8,3335.0,19.469999999999914
2020-11-10,848.13,848.13,833.33,843.46,765.0,-9.339999999999918
2020-11-11,848.13,848.13,826.32,826.32,557.0,-17.139999999999986
2020-11-12,817.76,819.31,817.76,817.76,383.0,-8.56000000000006
2020-11-18,834.11,834.11,805.3,825.55,1170.0,7.789999999999964
2020-11-19,831.78,839.56,830.22,838.79,1418.0,13.240000000000009
2020-11-22,855.14,863.71,833.33,841.12,3369.0,2.330000000000041
2020-11-23,825.55,841.12,824.77,840.34,824.0,-0.7799999999999727
2020-11-24,855.14,855.14,834.11,840.34,1610.0,0.0
2020-11-25,856.7,856.7,832.55,833.33,2034.0,-7.009999999999991
2020-11-26,863.71,866.82,840.34,840.34,1913.0,7.009999999999991
2020-11-29,827.1,856.7,827.1,840.34,1342.0,0.0
2020-11-30,856.7,856.7,831.0,834.89,876.0,-5.4500000000000455
2020-12-01,851.25,851.25,812.31,812.31,2648.0,-22.58000000000004
2020-12-02,827.88,893.3,826.32,893.3,9646.0,80.99000000000001
2020-12-03,910.44,957.94,901.09,903.43,10277.0,10.129999999999995
2020-12-06,921.34,921.34,841.12,845.79,1748.0,-57.639999999999986
2020-12-07,862.15,878.5,829.44,875.39,1992.0,29.600000000000023
2020-12-08,892.52,906.54,833.33,844.24,2095.0,-31.149999999999977
2020-12-09,830.22,830.22,817.76,821.65,463.0,-22.590000000000032
2020-12-10,809.19,833.33,809.19,825.55,480.0,3.8999999999999773
2020-12-13,817.76,841.9,814.64,820.09,1328.0,-5.459999999999923
2020-12-14,836.45,865.26,833.33,865.26,3267.0,45.16999999999996
2020-12-15,878.5,909.66,857.48,878.5,3056.0,13.240000000000009
2020-12-16,861.37,911.21,856.7,878.5,5297.0,0.0
2020-12-17,895.64,965.73,888.63,903.43,7775.0,24.92999999999995
2020-12-20,895.64,895.64,844.24,848.91,3886.0,-54.51999999999998
2020-12-21,833.33,863.71,833.33,842.68,1138.0,-6.230000000000018
2020-12-22,856.7,868.38,856.7,860.59,1058.0,17.910000000000082
2020-12-23,864.49,873.05,840.34,841.12,1714.0,-19.470000000000027
2020-12-24,856.7,856.7,818.54,833.33,3090.0,-7.789999999999964
2020-12-27,837.23,841.12,825.55,833.33,748.0,0.0
2020-12-28,825.55,838.79,822.43,826.32,1080.0,-7.009999999999991
2020-12-29,827.1,845.02,822.43,828.66,1223.0,2.339999999999918
2020-12-30,821.65,856.7,821.65,856.7,2386.0,28.040000000000077
2020-12-31,872.27,873.05,841.9,855.92,317.0,-0.7800000000000864
2021-01-03,871.5,872.27,852.8,852.8,392.0,-3.1200000000000045
2021-01-04,856.7,937.69,856.7,933.8,10743.0,81.0
2021-01-05,979.75,979.75,922.12,930.69,5440.0,-3.1099999999999
2021-01-06,930.69,930.69,913.55,922.9,813.0,-7.790000000000077
2021-01-07,938.47,942.37,911.99,920.56,2118.0,-2.340000000000032
2021-01-10,913.55,922.12,903.43,913.55,1257.0,-7.009999999999991
2021-01-11,919.78,919.78,894.08,916.67,1618.0,3.1200000000000045
2021-01-12,901.09,920.56,899.53,915.11,804.0,-1.5599999999999454
2021-01-13,933.02,946.26,919.0,923.68,2807.0,8.569999999999936
2021-01-17,969.63,1015.58,950.16,1015.58,13289.0,91.90000000000009
2021-01-18,1028.04,1098.13,1020.25,1082.55,5272.0,66.96999999999991
2021-01-19,1102.02,1102.02,1044.39,1051.4,3778.0,-31.149999999999864
2021-01-20,1051.4,1051.4,1028.04,1034.27,4301.0,-17.13000000000011
