Date,Open,High,Low,Close,Volume
2018-10-11,66.04,72.65,66.04,72.65,1330.0
2018-10-14,73.85,79.85,69.05,72.65,16907.0
2018-10-15,71.45,73.85,69.65,71.45,8242.0
2018-10-21,70.25,72.05,69.05,72.05,2940.0
2018-10-22,71.45,70.85,68.45,69.65,12677.0
2018-10-23,68.45,69.65,67.85,68.45,7050.0
2018-10-24,67.25,69.05,66.04,66.04,7911.0
2018-10-25,65.44,69.65,64.84,68.45,4390.0
2018-10-28,67.25,70.85,65.44,67.85,7500.0
2018-10-29,66.64,69.05,65.44,68.45,5000.0
2018-10-30,67.25,70.85,67.25,70.85,11750.0
2018-10-31,69.65,72.05,68.45,70.25,2710.0
2018-11-01,69.05,70.85,68.45,69.65,2940.0
2018-11-04,68.45,70.25,68.45,69.05,1792.0
2018-11-05,67.85,69.05,67.25,67.85,2250.0
2018-11-14,66.64,69.65,65.44,67.85,1160.0
2018-11-15,67.85,68.45,66.04,66.64,2355.0
2018-11-18,66.64,67.85,65.44,66.04,1610.0
2018-11-19,66.04,67.25,64.84,64.84,2361.0
2018-11-20,64.84,66.04,64.24,64.24,780.0
2018-11-21,64.24,65.44,63.04,64.84,1090.0
2018-11-22,64.84,65.44,63.64,64.24,1200.0
2018-11-25,64.24,64.24,61.84,62.44,2390.0
2018-11-26,62.44,62.44,61.24,62.44,1010.0
2018-11-27,62.44,63.64,61.84,62.44,890.0
2018-11-28,62.44,63.64,61.84,63.64,4570.0
2018-11-29,63.64,63.64,61.24,61.84,610.0
2018-12-02,61.84,63.04,60.64,63.04,650.0
2018-12-03,63.04,63.64,61.84,62.44,760.0
2018-12-04,62.44,63.04,61.84,61.84,1420.0
2018-12-06,63.04,63.64,61.84,62.44,300.0
2018-12-09,62.44,62.44,61.24,61.84,250.0
2018-12-10,61.84,62.44,61.24,62.44,180.0
2018-12-11,62.44,63.04,61.24,61.84,160.0
2018-12-12,61.84,62.44,60.64,61.84,460.0
2018-12-13,61.84,63.04,60.64,63.04,820.0
2018-12-16,63.04,64.24,61.84,64.24,470.0
2018-12-17,64.24,64.84,61.84,61.84,1610.0
2018-12-18,61.84,61.84,60.64,61.84,230.0
2018-12-19,61.84,63.04,60.64,61.24,500.0
2018-12-20,61.24,61.84,60.64,61.24,470.0
2018-12-23,61.24,63.04,60.04,60.64,2640.0
2018-12-24,60.64,60.64,58.84,60.64,3080.0
2018-12-25,60.64,61.24,59.44,60.04,680.0
2018-12-26,60.04,61.24,59.44,59.44,420.0
2018-12-27,59.44,62.44,59.44,61.84,2250.0
2018-12-30,61.84,63.04,60.04,60.04,740.0
2018-12-31,60.04,62.44,60.04,62.44,590.0
2019-01-01,62.44,62.44,60.64,61.24,710.0
2019-01-02,61.24,61.84,60.04,60.64,1220.0
2019-01-03,60.64,61.24,60.04,61.24,520.0
2019-01-06,60.04,60.64,60.04,60.04,300.0
2019-01-07,60.04,61.24,60.04,61.24,600.0
2019-01-08,61.24,61.24,59.44,60.04,360.0
2019-01-09,60.04,60.64,59.44,60.04,520.0
2019-01-10,60.04,60.64,60.04,60.04,820.0
2019-01-13,60.04,61.24,59.44,59.44,1150.0
2019-01-14,59.44,60.64,59.44,59.44,730.0
2019-01-15,59.44,61.24,59.44,61.24,180.0
2019-01-16,61.24,61.24,60.04,60.04,100.0
2019-01-17,60.04,61.24,59.44,60.64,890.0
2019-01-20,60.64,60.64,58.84,59.44,1470.0
2019-01-21,59.44,60.04,57.64,57.64,2150.0
2019-01-22,57.64,58.84,57.64,58.24,1910.0
2019-01-23,58.24,60.04,57.64,60.04,1460.0
2019-01-24,60.04,60.04,58.84,58.84,570.0
2019-01-27,58.84,60.04,58.24,58.24,1000.0
2019-01-28,58.24,58.84,57.64,57.64,1680.0
2019-01-29,57.64,58.24,57.64,57.64,850.0
2019-01-30,57.64,58.24,57.04,57.04,3600.0
2019-01-31,57.04,58.24,56.44,57.04,1340.0
2019-02-03,57.04,57.64,56.44,57.04,820.0
2019-02-04,56.44,57.04,55.84,55.84,610.0
2019-02-05,56.44,57.04,55.84,56.44,750.0
2019-02-06,55.84,56.44,55.24,55.24,660.0
2019-02-07,54.64,55.84,54.64,54.64,950.0
2019-02-10,54.64,55.24,54.04,54.04,750.0
2019-02-11,53.44,58.24,53.44,58.24,1650.0
2019-02-12,60.04,60.04,55.84,58.24,1440.0
2019-02-13,60.04,60.04,55.84,55.84,1200.0
2019-02-14,55.84,55.84,54.04,54.64,1900.0
2019-02-17,54.64,55.24,53.44,55.24,1030.0
2019-02-18,54.64,55.24,54.04,54.04,750.0
2019-02-19,54.64,55.84,54.04,54.04,990.0
2019-02-20,54.64,54.64,54.04,54.04,330.0
2019-02-21,53.44,54.64,53.44,54.04,940.0
2019-02-24,54.04,55.84,53.44,53.44,1160.0
2019-02-25,54.04,54.64,53.44,54.64,620.0
2019-02-26,55.24,55.84,53.44,54.64,900.0
2019-02-27,54.04,54.64,54.04,54.04,470.0
2019-03-03,53.44,54.64,52.84,54.04,930.0
2019-03-05,54.04,55.24,54.04,55.24,380.0
2019-03-06,54.64,56.44,54.04,56.44,520.0
2019-03-07,55.84,56.44,55.24,55.84,1920.0
2019-03-09,55.24,55.84,54.64,55.24,630.0
2019-03-10,55.24,55.84,54.64,55.24,630.0
2019-03-11,55.24,56.44,54.64,54.64,1560.0
2019-03-12,55.24,58.84,54.64,58.84,1310.0
2019-03-13,58.84,59.44,57.04,57.64,1190.0
2019-03-14,57.64,58.84,56.44,58.24,377.0
2019-03-17,58.84,58.84,56.44,57.64,551.0
2019-03-18,57.04,57.64,56.44,57.04,1750.0
2019-03-19,57.04,57.64,56.44,57.04,280.0
2019-03-21,56.44,57.64,55.84,57.64,310.0
2019-03-24,57.04,57.64,54.64,57.04,930.0
2019-03-25,56.44,57.04,55.84,55.84,1210.0
2019-03-26,55.24,56.44,55.24,55.84,920.0
2019-03-27,55.84,56.44,55.24,55.84,1105.0
2019-03-28,55.84,56.44,55.24,55.24,2120.0
2019-03-31,55.24,56.44,55.24,55.84,1361.0
2019-04-01,55.84,55.84,54.64,55.24,750.0
2019-04-02,54.64,55.84,54.64,55.24,820.0
2019-04-03,55.24,57.64,54.64,55.24,1380.0
2019-04-04,55.24,55.84,54.64,55.24,933.0
2019-04-07,55.24,55.84,55.24,55.84,890.0
2019-04-08,55.84,56.44,54.04,56.44,1220.0
2019-04-09,55.84,55.84,55.24,55.24,400.0
2019-04-10,54.64,55.24,54.64,55.24,540.0
2019-04-11,54.64,55.24,54.04,54.64,1420.0
2019-04-15,54.04,55.24,54.04,54.64,380.0
2019-04-16,54.64,55.84,54.64,55.24,770.0
2019-04-17,55.24,55.24,54.04,54.04,1160.0
2019-04-18,53.44,54.64,53.44,54.04,610.0
2019-04-21,54.04,54.04,53.44,53.44,280.0
2019-04-22,53.44,54.64,53.44,54.64,630.0
2019-04-23,54.04,54.64,53.44,54.64,460.0
2019-04-24,54.04,54.04,53.44,53.44,210.0
2019-04-25,52.84,54.04,52.84,54.04,760.0
2019-04-28,53.44,54.64,52.24,53.44,860.0
2019-04-29,52.84,54.64,52.84,54.64,750.0
2019-04-30,54.04,55.84,52.84,55.84,590.0
2019-05-02,55.24,57.04,55.24,55.24,696.0
2019-05-05,55.24,56.44,54.64,55.24,1780.0
2019-05-06,54.64,57.04,54.04,56.44,390.0
2019-05-07,56.44,58.84,54.64,58.24,1190.0
2019-05-08,57.64,57.64,56.44,56.44,1080.0
2019-05-09,55.84,56.44,55.84,55.84,260.0
2019-05-12,55.84,56.44,55.24,55.84,460.0
2019-05-13,55.24,55.84,54.64,55.24,240.0
2019-05-14,55.24,56.44,54.64,55.24,2540.0
2019-05-15,54.64,55.24,54.04,54.64,380.0
2019-05-16,54.64,55.24,54.64,55.24,520.0
2019-05-19,55.24,56.44,55.24,55.24,870.0
2019-05-20,54.64,55.84,54.04,54.04,750.0
2019-05-21,54.04,57.04,54.04,57.04,1790.0
2019-05-22,56.44,62.44,55.84,61.24,12494.0
2019-05-23,60.04,61.24,55.84,57.04,1280.0
2019-05-26,57.04,58.24,56.44,57.04,500.0
2019-05-27,56.44,57.04,55.24,55.84,280.0
2019-05-28,56.44,56.44,55.24,55.84,620.0
2019-05-29,55.24,57.64,55.24,57.64,1550.0
2019-05-30,58.24,63.04,58.24,59.44,6252.0
2019-06-02,59.44,60.04,58.24,59.44,3130.0
2019-06-03,59.44,61.24,56.44,56.44,1810.0
2019-06-04,56.44,57.64,56.44,57.64,640.0
2019-06-06,57.64,58.24,55.24,55.84,480.0
2019-06-10,56.44,57.04,54.04,54.64,9280.0
2019-06-11,54.04,58.24,54.04,56.44,1940.0
2019-06-12,55.84,57.64,55.84,57.04,3930.0
2019-06-13,56.44,57.64,56.44,57.64,1350.0
2019-06-16,57.04,57.64,54.64,55.84,1820.0
2019-06-17,55.84,56.44,55.24,55.84,1368.0
2019-06-18,55.84,57.04,54.64,55.24,670.0
2019-06-19,54.64,58.24,54.64,58.24,570.0
2019-06-23,57.64,57.64,55.84,55.84,130.0
2019-06-24,55.24,55.84,54.04,54.64,1320.0
2019-06-25,54.64,55.84,54.64,55.84,420.0
2019-06-26,55.24,58.24,54.64,58.24,2060.0
2019-06-27,58.24,58.24,54.64,55.84,520.0
2019-06-30,54.04,55.24,54.04,54.64,900.0
2019-07-01,54.04,55.84,54.04,54.64,440.0
2019-07-02,54.04,55.84,54.04,55.24,3220.0
2019-07-03,54.64,57.04,54.04,56.44,800.0
2019-07-04,55.84,55.84,54.64,55.24,480.0
2019-07-07,54.64,55.84,54.64,55.84,260.0
2019-07-08,55.24,55.84,55.24,55.24,70.0
2019-07-09,55.24,55.24,54.04,54.64,530.0
2019-07-10,54.64,55.24,54.04,54.64,889.0
2019-07-11,54.04,55.84,54.04,55.24,1740.0
2019-07-14,54.64,54.64,54.04,54.04,300.0
2019-07-15,54.64,55.24,54.04,54.64,250.0
2019-07-16,54.64,55.84,54.64,54.64,590.0
2019-07-17,54.64,56.44,54.64,54.64,470.0
2019-07-18,55.24,55.84,55.24,55.24,230.0
2019-07-21,55.84,55.84,54.64,55.24,170.0
2019-07-22,55.24,55.24,55.24,55.24,220.0
2019-07-23,54.64,55.24,54.64,55.24,240.0
2019-07-24,55.24,55.84,54.64,54.64,240.0
2019-07-25,54.04,55.24,54.04,54.64,310.0
2019-07-28,54.04,54.04,53.44,53.44,210.0
2019-07-29,54.04,54.64,53.44,53.44,360.0
2019-07-30,54.04,55.24,54.04,54.64,640.0
2019-07-31,54.04,54.04,53.44,54.04,280.0
2019-08-01,54.04,55.84,53.44,54.04,2300.0
2019-08-04,54.64,54.64,52.84,53.44,840.0
2019-08-05,52.84,53.44,51.63,51.63,2111.0
2019-08-06,51.03,52.84,51.03,52.84,690.0
2019-08-07,52.24,54.04,51.63,53.44,430.0
2019-08-08,52.84,52.84,51.63,52.24,290.0
2019-08-11,51.63,52.24,50.43,51.63,1055.0
2019-08-12,51.03,52.24,51.03,51.63,750.0
2019-08-13,52.24,52.84,51.63,52.84,870.0
2019-08-14,52.24,52.24,51.03,51.63,210.0
2019-08-15,51.03,52.24,51.03,52.24,870.0
