Date,Open,High,Low,Close,Volume
2017-09-12,140.48,147.42,127.66,127.66,7343.0
2017-09-13,125.52,125.52,115.91,115.91,93673.0
2017-09-14,115.37,121.78,115.37,121.25,17514.0
2017-09-17,123.38,124.45,119.11,122.32,12984.0
2017-09-18,120.18,123.38,120.18,120.71,16659.0
2017-09-20,120.18,122.85,119.64,122.32,9440.0
2017-09-24,122.32,124.45,120.71,121.78,5400.0
2017-09-25,120.71,123.92,120.71,123.38,4141.0
2017-09-26,122.85,124.45,122.32,124.45,10633.0
2017-10-03,124.45,124.45,121.78,123.92,2751.0
2017-10-04,123.38,126.59,122.85,122.85,6871.0
2017-10-08,120.71,121.25,116.44,120.71,12008.0
2017-10-09,121.25,121.25,116.97,118.04,7255.0
2017-10-10,117.51,120.71,117.51,119.11,5882.0
2017-10-11,116.97,120.18,116.97,118.58,5223.0
2017-10-12,118.58,119.64,118.58,119.64,2728.0
2017-10-15,121.78,121.78,118.58,119.64,4111.0
2017-10-16,120.18,123.92,119.11,123.92,6763.0
2017-10-17,123.92,126.05,121.25,121.78,3147.0
2017-10-18,121.78,123.92,120.71,123.92,10641.0
2017-10-22,125.52,127.12,123.92,124.45,4750.0
2017-10-23,124.45,123.38,122.32,123.38,8048.0
2017-10-24,123.38,123.92,121.25,123.92,8416.0
2017-10-25,122.32,122.85,121.25,121.78,2494.0
2017-10-29,122.85,122.85,120.71,120.71,4124.0
2017-10-30,120.71,121.78,119.11,120.71,5957.0
2017-10-31,119.64,121.25,119.64,120.18,1228.0
2017-11-01,119.11,119.64,118.04,119.11,8997.0
2017-11-02,118.04,119.64,118.04,119.11,6568.0
2017-11-05,118.04,119.11,116.44,117.51,11845.0
2017-11-06,117.51,119.64,114.84,115.91,16064.0
2017-11-07,115.37,118.58,115.37,115.91,7720.0
2017-11-08,116.44,116.44,114.84,114.84,10537.0
2017-11-09,114.84,116.97,113.24,114.84,12107.0
2017-11-12,114.84,117.51,114.84,117.51,6391.0
2017-11-13,118.04,118.04,114.84,116.44,3313.0
2017-11-14,116.44,117.51,115.91,117.51,13191.0
