Date,Open,High,Low,Close,Volume
2017/07/25,94.8,102.0,94.8,102.0,60.0
2017/07/26,103.67,111.98,103.67,111.98,70.0
2017/07/27,114.2,123.07,114.2,123.07,30929.0
2017/07/30,125.29,134.16,121.41,121.96,102185.0
2017/07/31,121.96,127.51,118.08,120.3,24722.0
2017/08/01,119.19,125.29,119.19,121.96,26324.0
2017/08/02,121.96,124.18,119.19,121.96,20920.0
2017/08/03,121.96,124.18,119.19,119.19,20630.0
2017/08/06,116.97,121.41,116.97,118.64,25258.0
2017/08/07,120.85,126.4,119.74,125.84,67466.0
2017/08/09,125.84,131.94,124.18,126.4,58843.0
2017/08/10,124.73,126.4,124.18,125.29,13085.0
2017/08/13,124.73,124.73,120.3,123.07,19656.0
2017/08/15,120.85,123.07,119.19,121.41,13441.0
2017/08/16,123.63,124.18,118.08,119.19,31194.0
2017/08/17,118.08,123.63,118.08,123.63,12938.0
2017/08/20,123.07,123.63,119.19,120.85,6669.0
2017/08/21,120.3,121.96,118.64,120.3,6370.0
2017/08/22,120.3,122.52,119.19,120.3,4885.0
2017/08/23,120.3,121.96,118.08,120.3,12790.0
2017/08/24,120.3,120.85,119.19,120.3,8635.0
2017/08/27,120.3,122.52,119.19,119.74,8827.0
2017/08/28,121.96,121.96,118.64,119.74,11794.0
2017/08/30,118.64,119.19,117.53,117.53,6034.0
2017/08/31,117.53,119.19,116.42,116.97,4932.0
2017/09/04,115.86,118.08,114.2,115.31,15033.0
2017/09/06,116.97,119.19,114.76,116.42,8627.0
2017/09/07,114.76,116.97,114.2,115.86,6117.0
2017/09/10,115.31,115.31,112.54,113.09,17434.0
2017/09/11,112.54,114.2,110.87,112.54,6218.0
2017/09/12,111.98,111.98,110.32,111.43,5710.0
2017/09/13,111.43,113.65,110.87,111.43,7189.0
2017/09/14,113.09,115.31,111.43,115.31,3899.0
2017/09/17,116.42,116.97,114.76,115.31,6024.0
2017/09/18,116.42,116.97,114.2,115.86,7145.0
2017/09/20,115.31,117.53,114.2,116.42,7323.0
2017/09/24,118.64,118.64,114.2,114.76,10056.0
2017/09/25,115.31,118.64,115.31,117.53,2424.0
2017/09/26,116.42,119.19,116.42,117.53,2972.0
2017/10/03,119.74,120.3,118.08,118.08,909.0
2017/10/04,115.86,118.08,115.31,115.86,2312.0
2017/10/08,114.76,114.76,110.87,113.09,9664.0
2017/10/09,111.43,115.31,110.87,113.65,8312.0
2017/10/10,111.98,115.86,111.98,115.31,4627.0
2017/10/11,118.08,118.08,115.31,115.31,8138.0
2017/10/12,114.2,115.86,114.2,115.31,2985.0
2017/10/15,116.42,117.53,114.76,117.53,4951.0
2017/10/16,118.64,120.85,114.2,119.74,16004.0
2017/10/17,120.85,120.85,116.42,119.19,21769.0
2017/10/18,118.64,120.85,118.08,120.85,5821.0
2017/10/22,119.74,121.96,118.64,120.85,4072.0
2017/10/23,119.74,121.41,118.08,118.64,7241.0
2017/10/24,118.64,120.85,116.97,118.64,5290.0
2017/10/25,116.97,118.64,116.97,117.53,6070.0
2017/10/29,116.97,118.08,115.31,117.53,11218.0
2017/10/30,116.97,116.97,114.76,115.31,16480.0
2017/10/31,115.86,117.53,115.31,117.53,9957.0
2017/11/01,115.86,116.42,114.2,114.2,12386.0
2017/11/02,114.76,116.42,113.65,116.42,4795.0
2017/11/05,114.2,114.2,112.54,113.65,11688.0
2017/11/06,113.65,113.65,108.66,111.43,19787.0
2017/11/07,113.09,113.65,110.87,111.43,8564.0
2017/11/08,109.21,110.32,108.66,109.77,3530.0
2017/11/09,109.77,111.98,109.21,110.32,3502.0
2017/11/12,109.77,111.98,109.77,111.43,3067.0
2017/11/13,112.54,112.54,110.32,110.87,3826.0
2017/11/14,110.32,115.31,109.77,110.87,10261.0
2017/11/15,108.66,113.09,108.66,111.43,14949.0
2017/11/16,109.77,110.32,109.21,109.21,3546.0
2017/11/19,109.21,109.77,108.1,109.21,6632.0
2017/11/20,109.77,109.77,107.55,108.1,1521.0
2017/11/21,106.44,111.43,106.44,111.43,1224.0
2017/11/22,109.77,109.77,108.1,109.77,3874.0
2017/11/23,109.77,109.77,108.1,109.77,1328.0
2017/11/26,109.77,111.98,109.21,110.32,3732.0
2017/11/27,111.98,111.98,108.1,111.43,5642.0
2017/11/28,109.21,109.77,108.66,108.66,3580.0
2017/11/29,107.55,113.09,107.55,110.32,23541.0
2017/11/30,109.21,111.98,108.66,109.77,3596.0
2017/12/04,108.66,111.43,106.99,109.77,3953.0
2017/12/05,111.43,111.98,108.66,110.32,1379.0
2017/12/06,111.98,111.98,109.21,109.77,4100.0
2017/12/10,111.43,111.43,109.77,109.77,1200.0
2017/12/11,108.66,109.21,108.66,109.21,1701.0
2017/12/12,110.32,110.32,106.44,107.55,3344.0
2017/12/13,105.89,108.66,105.89,108.66,5626.0
2017/12/14,106.99,108.66,106.99,107.55,1494.0
2017/12/17,108.66,108.66,106.99,106.99,2095.0
2017/12/18,105.89,107.55,105.89,106.99,3340.0
2017/12/19,106.99,106.99,105.89,105.89,15143.0
2017/12/20,105.33,106.99,104.78,106.99,6611.0
2017/12/21,105.33,105.89,104.22,104.78,4993.0
