Date,Open,High,Low,Close,Volume
2012-01-03,56.7,56.6,56.6,56.6,40.0
2012-01-05,56.6,56.51,56.51,56.51,40.0
2012-01-09,56.51,56.6,56.41,56.41,80.0
2012-01-10,56.41,56.41,56.41,56.41,20.0
2012-01-16,56.41,56.41,56.41,56.41,70.0
2012-01-18,56.41,56.51,56.51,56.51,380.0
2012-01-22,56.51,56.6,56.6,56.6,700.0
2012-01-23,56.6,56.7,56.7,56.7,430.0
2012-01-25,56.7,57.55,56.79,57.55,1180.0
2012-01-26,57.55,57.74,57.74,57.74,480.0
2012-01-29,57.74,57.84,57.65,57.65,620.0
2012-01-31,57.65,57.46,57.17,57.17,510.0
2012-02-01,57.17,56.98,56.89,56.89,510.0
2012-02-02,56.89,56.79,56.79,56.79,710.0
2012-02-05,56.79,56.79,56.7,56.79,760.0
2012-02-06,56.79,56.79,56.7,56.7,720.0
2012-02-07,56.7,56.7,56.6,56.6,690.0
2012-02-08,56.6,56.7,56.7,56.7,700.0
2012-02-09,56.7,56.7,56.7,56.7,940.0
2012-02-12,56.7,56.79,56.41,56.41,880.0
2012-02-13,57.25,57.14,56.42,56.62,2110.0
2012-02-14,56.62,56.83,56.73,56.83,940.0
2012-02-15,56.83,56.94,56.94,56.94,1070.0
2012-02-16,56.94,56.94,56.94,56.94,810.0
2012-02-21,56.94,56.94,56.73,56.83,910.0
2012-02-23,56.83,56.83,56.73,56.73,780.0
2012-02-26,56.73,56.83,56.83,56.83,750.0
2012-02-27,56.83,56.83,56.73,56.73,1570.0
2012-02-28,56.73,56.83,56.83,56.83,1170.0
2012-02-29,56.83,56.83,56.83,56.83,980.0
2012-03-01,56.83,56.83,56.83,56.83,860.0
2012-03-04,56.83,56.83,56.83,56.83,900.0
2012-03-05,56.83,56.83,56.83,56.83,900.0
2012-03-06,56.83,56.83,56.83,56.83,750.0
2012-03-11,56.83,56.83,56.73,56.73,770.0
2012-03-12,56.73,56.83,56.73,56.73,920.0
2012-03-13,56.73,56.83,56.62,56.83,900.0
2012-03-14,56.83,56.73,56.62,56.62,630.0
2012-03-15,56.62,56.52,56.52,56.52,940.0
2012-03-18,56.52,56.52,56.52,56.52,750.0
2012-03-19,56.52,56.52,56.42,56.42,700.0
2012-03-20,56.42,56.52,56.42,56.52,640.0
2012-03-21,56.52,56.52,56.52,56.52,650.0
2012-03-25,56.52,56.52,56.1,56.31,700.0
2012-03-26,56.31,56.21,55.69,56.0,730.0
2012-03-27,56.0,56.0,56.0,56.0,360.0
2012-03-28,56.0,56.0,56.0,56.0,400.0
2012-03-29,56.0,56.0,55.89,55.89,640.0
2012-04-01,55.89,56.0,55.79,56.0,760.0
2012-04-02,56.0,56.0,56.0,56.0,420.0
2012-04-03,56.0,56.0,56.0,56.0,590.0
2012-04-04,56.0,56.0,55.89,56.0,320.0
2012-04-05,56.0,56.0,55.17,55.17,2060.0
2012-04-08,55.17,55.37,55.27,55.37,1230.0
2012-04-10,55.37,55.27,55.27,55.27,470.0
2012-04-24,55.27,55.37,55.37,55.37,160.0
2012-04-25,55.37,55.48,55.48,55.48,10.0
2012-04-26,55.48,55.79,55.79,55.79,10.0
2012-04-30,55.79,56.31,56.1,56.31,50.0
2012-05-02,56.31,56.73,56.73,56.73,10.0
2012-05-03,56.73,57.14,57.14,57.14,10.0
2012-05-07,57.14,57.56,57.56,57.56,10.0
2012-05-09,57.56,57.98,57.98,57.98,10.0
2012-05-10,57.98,58.08,58.08,58.08,20.0
2012-05-21,58.08,57.87,57.87,57.87,30.0
2012-05-27,57.87,57.87,57.77,57.87,300.0
2012-05-29,57.87,57.77,57.77,57.77,90.0
2012-05-31,57.77,57.66,57.56,57.66,1150.0
2012-06-07,57.66,57.66,57.66,57.66,300.0
2012-06-10,58.98,57.68,57.68,57.68,80.0
2012-06-27,57.68,57.57,57.57,57.57,100.0
2012-07-11,57.57,57.68,57.68,57.68,300.0
2012-07-15,57.68,57.57,57.57,57.57,10.0
2012-07-16,57.57,57.57,57.33,57.33,1230.0
2012-07-22,57.33,57.68,57.45,57.68,400.0
2012-07-25,57.68,57.68,57.68,57.68,100.0
2012-07-26,57.68,57.57,57.57,57.57,100.0
2012-08-05,57.57,57.45,57.45,57.45,440.0
2012-08-06,57.45,57.1,57.1,57.1,400.0
2012-08-07,57.1,57.21,57.21,57.21,220.0
2012-08-08,57.21,57.33,57.33,57.33,40.0
2012-08-13,57.33,57.57,57.45,57.57,300.0
2012-08-21,57.57,57.68,57.68,57.68,200.0
2012-08-29,57.68,57.92,57.8,57.92,30.0
2012-08-30,57.92,58.16,58.04,58.16,90.0
2012-09-02,58.16,59.1,58.27,59.1,80.0
2012-09-03,59.1,60.16,59.22,60.16,60.0
2012-09-04,60.16,61.34,60.39,61.34,50.0
2012-09-05,61.34,62.63,61.1,61.1,880.0
2012-09-06,61.1,61.1,60.87,61.1,80.0
2012-09-09,61.1,61.1,60.87,61.1,130.0
2012-09-11,61.1,61.34,61.34,61.34,100.0
2012-09-12,61.34,61.57,61.1,61.57,78643.0
2012-09-13,61.57,61.69,61.69,61.69,440.0
2012-09-16,61.69,61.46,61.34,61.34,450.0
2012-09-17,61.34,61.57,61.22,61.57,970.0
2012-09-18,61.57,61.81,61.57,61.81,860.0
2012-09-19,61.81,62.04,61.81,62.04,420.0
2012-09-20,62.04,61.81,61.81,61.81,60.0
2012-09-25,61.81,61.57,61.57,61.57,50.0
2012-09-26,61.57,61.34,61.1,61.1,210.0
2012-10-01,61.1,60.87,60.87,60.87,100.0
2012-10-02,60.87,60.63,60.16,60.16,79261.0
2012-10-04,60.16,60.51,60.39,60.51,620.0
2012-10-07,60.51,61.69,60.75,61.69,160.0
2012-10-08,61.69,62.99,61.93,62.99,320.0
2012-10-09,62.99,64.52,63.22,63.34,4890.0
2012-10-10,63.34,63.11,62.87,62.87,230.0
2012-10-11,62.87,62.75,62.52,62.52,1590.0
2012-10-14,62.52,62.75,62.75,62.75,44.0
2012-10-17,62.75,62.75,62.52,62.75,650.0
2012-10-31,62.75,62.75,62.52,62.52,220.0
2012-11-05,62.52,62.99,62.75,62.99,400.0
2012-11-06,62.99,63.22,62.75,62.75,1102.0
2012-11-07,62.75,62.99,62.75,62.87,860.0
2012-11-08,62.87,62.99,62.99,62.99,100.0
2012-11-12,62.99,63.11,62.99,62.99,510.0
2012-11-18,62.99,63.46,63.22,63.22,80.0
2012-11-20,63.22,63.46,63.22,63.22,320.0
2012-11-22,63.22,63.22,63.22,63.22,180.0
2012-11-25,63.22,63.46,63.34,63.46,240.0
2012-11-27,63.46,63.22,63.22,63.22,150.0
2012-12-02,63.22,63.46,62.52,62.52,560.0
2012-12-03,62.52,62.28,62.04,62.04,500.0
2012-12-04,62.04,62.04,61.81,62.04,236.0
2012-12-09,62.04,61.81,61.81,61.81,20.0
2012-12-13,61.81,61.81,61.69,61.81,410.0
