Date,Open,High,Low,Close,Volume,Change
2012/01/02,70.03,71.05,70.54,71.05,30.0,
2012/01/04,71.05,70.48,69.97,69.97,60.0,
2012/01/09,69.97,70.48,70.48,70.48,10.0,
2012/01/17,70.48,72.07,70.99,72.07,80.0,
2012/01/22,72.07,72.64,71.96,72.64,150.0,
2012/01/23,72.64,72.18,72.13,72.13,20.0,
2012/01/26,72.13,72.64,72.64,72.64,10.0,
2012/01/31,72.64,72.64,72.18,72.18,110.0,
2012/02/02,72.18,72.24,72.24,72.24,10.0,
2012/02/05,72.24,72.47,72.24,72.24,30.0,
2012/02/06,72.24,72.47,72.24,72.24,90.0,
2012/02/07,72.24,72.47,71.9,72.47,290.0,
2012/02/08,72.47,72.47,72.24,72.24,280.0,
2012/02/12,72.24,72.24,72.24,72.24,10.0,
2012/02/14,72.24,71.9,71.9,71.9,50.0,
2012/02/15,71.9,71.39,71.39,71.39,150.0,
2012/02/16,71.39,71.96,71.96,71.96,60.0,
2012/02/23,71.96,72.01,71.96,72.01,60.0,
2012/02/29,72.01,73.89,72.18,73.43,2070.0,
2012/03/06,73.43,74.45,74.0,74.45,60.0,
2012/03/12,74.45,74.97,73.94,74.97,560.0,
2012/03/13,74.97,75.31,75.02,75.31,310.0,
2012/03/18,75.31,75.31,75.31,75.31,440.0,
2012/03/19,75.31,75.08,74.17,75.08,4960.0,
2012/03/20,75.08,74.85,74.74,74.85,20.0,
2012/03/21,74.85,75.31,75.02,75.31,30.0,
2012/03/28,75.31,75.08,75.08,75.08,10.0,
2012/03/29,75.08,75.08,75.08,75.08,20.0,
2012/04/02,75.08,75.08,75.08,75.08,20.0,
2012/04/04,75.08,76.5,75.7,76.5,180.0,
2012/04/05,76.5,77.01,77.01,77.01,50.0,
2012/04/10,77.01,76.73,76.73,76.73,20.0,
2012/04/12,76.73,77.86,77.41,77.86,560.0,
2012/04/17,77.86,77.18,77.18,77.18,20.0,
2012/04/19,77.18,77.86,77.86,77.86,50.0,
2012/04/26,77.86,79.9,77.86,79.9,460.0,
2012/04/29,79.9,82.86,80.64,82.86,830.0,
