Date,Open,High,Low,Close,Volume
2013/09/08,148.71,89.16,86.36,87.2,44339.0
2013/09/09,87.2,87.76,85.52,87.2,63530.0
2013/09/10,87.2,87.48,86.64,87.2,35018.0
2013/09/11,87.2,87.2,86.64,86.92,39660.0
2013/09/12,86.92,87.76,86.64,87.48,31083.0
2013/09/15,87.48,87.48,86.92,87.2,23167.0
2013/09/16,87.2,87.48,86.64,86.92,29516.0
2013/09/17,86.92,87.2,86.08,86.64,18344.0
2013/09/19,86.64,86.92,85.8,86.36,16703.0
2013/09/22,86.36,86.36,84.12,84.68,25713.0
2013/09/23,84.68,85.24,84.4,84.96,14340.0
2013/09/24,84.96,86.64,84.68,85.8,13037.0
2013/09/25,85.8,86.64,85.52,86.36,11867.0
2013/09/26,86.36,86.64,85.52,86.08,16191.0
2013/09/29,86.08,86.36,85.8,86.08,14539.0
2013/09/30,86.08,86.64,85.8,85.8,11224.0
2013/10/01,85.8,86.08,85.24,86.08,13501.0
2013/10/02,86.08,86.36,85.52,86.08,22389.0
2013/10/03,86.08,86.08,84.96,85.8,12343.0
2013/10/06,85.8,86.64,85.52,86.36,31043.0
2013/10/07,86.36,86.92,86.08,86.92,23385.0
2013/10/08,86.92,86.92,86.36,86.92,12717.0
2013/10/09,86.92,88.04,86.92,87.76,9847.0
2013/10/10,87.76,88.6,86.92,87.48,12824.0
2013/10/17,87.48,89.16,86.92,88.32,7117.0
2013/10/20,88.32,92.23,88.04,91.11,15767.0
2013/10/21,91.11,95.03,91.11,93.63,42569.0
2013/10/22,93.63,93.63,92.23,93.07,28193.0
2013/10/23,93.07,93.63,92.51,93.35,29883.0
2013/10/24,93.35,93.63,92.51,92.79,32429.0
2013/10/27,92.79,92.79,91.95,92.51,18437.0
2013/10/28,92.51,93.63,91.95,93.63,22167.0
2013/10/29,93.63,93.63,91.95,92.51,23127.0
2013/10/30,92.51,94.19,91.95,93.63,17704.0
2013/10/31,93.63,93.91,92.51,93.07,31586.0
2013/11/06,93.07,93.07,92.23,92.79,9339.0
2013/11/07,92.79,98.38,93.07,97.54,23282.0
2013/11/10,97.54,103.41,97.54,102.3,27899.0
2013/11/11,102.3,106.77,102.02,106.77,47417.0
2013/11/12,106.77,112.08,107.05,109.29,39464.0
2013/11/13,109.29,110.68,106.49,109.56,28781.0
2013/11/14,109.56,109.29,106.49,109.01,65668.0
2013/11/21,109.01,113.2,110.4,113.2,1437.0
2013/11/24,113.2,120.75,114.6,120.75,24087.0
2013/11/25,120.75,122.43,119.07,121.59,61999.0
2013/11/26,121.59,123.26,119.91,122.15,38528.0
2013/11/27,122.15,121.87,119.07,120.47,26979.0
2013/11/28,120.47,120.75,119.91,120.47,19902.0
2013/12/01,120.47,121.31,119.63,121.03,15636.0
