Date,Open,High,Low,Close,Volume
2020/12/16,216.76,238.19,216.76,238.19,53050.0
2020/12/17,249.53,261.5,249.53,261.5,82221.0
2020/12/20,274.1,274.1,235.66,238.82,78494.0
2020/12/21,234.4,245.75,216.13,243.86,60950.0
2020/12/22,239.45,239.45,233.14,239.45,32646.0
2020/12/23,239.45,243.86,229.99,235.03,16780.0
2020/12/24,229.99,258.35,229.99,246.38,53120.0
2020/12/27,250.16,257.72,243.86,243.86,72682.0
2020/12/28,239.45,251.42,238.82,247.01,13200.0
2020/12/29,258.35,258.35,240.71,243.23,20180.0
2020/12/30,239.45,247.64,239.45,247.64,11930.0
2020/12/31,243.23,245.75,240.08,241.34,10550.0
2021/01/03,239.45,244.49,238.19,238.82,12200.0
2021/01/04,238.19,242.6,235.66,237.56,11910.0
2021/01/05,233.77,257.72,233.77,241.34,12881.0
2021/01/06,241.34,245.75,239.45,241.34,11846.0
2021/01/07,236.93,242.6,234.4,240.71,8342.0
2021/01/10,236.93,240.71,236.29,238.19,8420.0
2021/01/11,238.82,246.38,236.29,240.71,22075.0
2021/01/12,237.56,241.34,235.66,238.19,11793.0
2021/01/13,236.93,242.6,236.93,241.97,9015.0
2021/01/17,238.82,255.2,238.82,249.53,24735.0
2021/01/18,261.5,261.5,248.9,252.68,18495.0
2021/01/19,247.64,255.2,247.64,252.05,18151.0
2021/01/20,248.9,257.09,247.01,250.16,9485.0
2021/01/21,254.57,274.73,249.53,274.73,40405.0
2021/01/24,264.65,301.83,264.65,301.83,31823.0
2021/01/25,301.83,331.44,290.49,331.44,47755.0
2021/01/26,331.44,339.0,319.47,330.81,26215.0
2021/01/27,314.43,343.42,314.43,338.37,25862.0
2021/01/28,354.76,354.76,328.29,335.22,14435.0
2021/01/31,335.22,337.11,323.88,337.11,21790.0
2021/02/01,331.44,370.51,328.29,370.51,29582.0
2021/02/02,378.07,407.06,364.21,407.06,37690.0
2021/02/03,427.22,445.49,394.45,408.95,34106.0
2021/02/04,401.39,442.97,386.89,425.96,34561.0
2021/02/07,419.03,457.47,413.36,437.3,25785.0
2021/02/08,431.63,441.71,415.88,425.33,24905.0
2021/02/09,445.49,445.49,400.13,403.28,22132.0
2021/02/10,426.59,426.59,391.93,403.28,26200.0
2021/02/11,395.72,403.28,389.41,390.67,15428.0
2021/02/14,387.52,396.98,380.59,386.26,20260.0
2021/02/15,384.37,409.58,384.37,405.17,40120.0
2021/02/16,405.17,409.58,395.09,409.58,28501.0
2021/02/17,401.39,408.32,396.35,400.13,34932.0
2021/02/18,396.98,415.25,396.98,409.58,21616.0
2021/02/21,416.51,422.18,399.5,409.58,40535.0
2021/02/22,415.88,417.77,401.39,407.69,18510.0
2021/02/23,400.13,407.69,400.13,406.43,17585.0
2021/02/24,406.43,412.73,400.13,407.06,20264.0
2021/02/25,409.58,409.58,400.76,405.17,13120.0
2021/02/28,398.24,398.87,387.52,391.93,14411.0
2021/03/01,385.63,400.13,378.07,393.82,14902.0
2021/03/02,413.36,413.36,388.78,389.41,8426.0
2021/03/03,383.11,404.54,383.11,393.19,16220.0
2021/03/04,393.19,407.06,393.19,405.17,12160.0
2021/03/08,400.13,405.17,400.13,401.39,7910.0
2021/03/09,393.82,403.91,393.82,403.28,14810.0
2021/03/10,400.13,417.77,397.61,413.99,13721.0
2021/03/14,399.5,447.39,399.5,438.56,44120.0
2021/03/15,459.99,459.99,422.81,429.11,25060.0
2021/03/16,422.18,436.67,420.29,423.44,8842.0
2021/03/17,415.25,431.63,407.69,420.29,7630.0
2021/03/18,412.1,427.22,412.1,424.7,6386.0
2021/03/21,416.51,435.41,396.98,428.48,21793.0
2021/03/22,428.48,434.78,412.1,431.63,12700.0
2021/03/23,410.21,451.17,410.21,450.54,43777.0
2021/03/24,450.54,456.84,438.56,444.23,18923.0
2021/03/25,459.99,463.14,428.48,439.19,10760.0
2021/03/29,434.78,439.19,426.59,430.37,13610.0
2021/03/30,428.48,445.49,415.25,434.78,5594.0
2021/03/31,428.48,437.93,428.48,434.15,7189.0
