Date,Open,High,Low,Close,Volume
2017-01-09,186.5,193.53,165.42,165.42,9577.0
2017-01-10,162.17,162.17,149.2,153.52,70481.0
2017-01-11,156.23,158.93,150.82,153.52,12035.0
2017-01-12,153.52,153.52,151.36,151.36,1685.0
2017-01-15,154.06,154.06,147.04,149.2,5691.0
2017-01-16,146.5,146.5,140.55,141.63,5861.0
2017-01-17,138.93,147.58,137.85,147.58,21098.0
2017-01-18,145.96,145.96,143.25,145.96,15196.0
2017-01-19,145.42,148.12,143.25,145.42,15912.0
2017-01-22,143.79,144.88,140.55,144.88,11336.0
2017-01-23,143.25,143.25,135.14,137.85,21929.0
2017-01-24,135.14,135.14,129.74,129.74,10304.0
2017-01-25,127.58,129.74,117.31,121.63,13164.0
2017-01-26,119.47,121.09,115.14,118.39,7305.0
2017-01-30,120.55,120.55,109.2,109.2,5572.0
2017-01-31,111.36,115.68,110.28,111.36,5814.0
2017-02-01,111.36,122.17,110.28,122.17,6666.0
2017-02-02,124.33,126.5,122.17,122.71,3069.0
2017-02-05,124.87,127.04,120.55,122.17,10333.0
2017-02-06,120.55,127.04,120.55,126.5,16214.0
2017-02-07,126.5,126.5,123.25,124.33,2431.0
2017-02-08,127.58,132.44,124.87,132.44,11204.0
2017-02-09,134.6,135.69,124.87,129.74,24264.0
2017-02-12,127.58,127.58,118.93,119.47,12830.0
2017-02-13,117.31,125.41,108.66,123.25,9848.0
2017-02-14,123.25,125.41,118.93,121.09,10215.0
2017-02-15,123.25,128.66,122.71,127.58,9269.0
2017-02-16,126.5,131.9,124.33,129.74,10039.0
2017-02-19,128.12,130.82,126.5,129.74,7194.0
2017-02-20,131.9,131.9,125.95,127.04,6048.0
2017-02-21,129.2,132.98,127.04,127.04,11285.0
2017-02-22,127.04,136.23,125.41,135.69,23669.0
2017-02-23,136.23,146.5,136.23,140.55,42316.0
2017-02-26,143.25,143.25,135.14,140.01,19321.0
2017-02-28,137.31,141.09,132.98,134.06,310966.0
2017-03-01,132.98,140.01,132.44,135.14,7707.0
2017-03-02,135.14,139.47,135.14,135.14,13144.0
2017-03-05,137.85,141.09,136.77,138.39,7909.0
2017-03-06,138.39,138.39,134.06,134.6,5126.0
2017-03-07,136.77,136.77,135.69,135.69,194.0
2017-03-09,134.06,134.06,134.06,134.06,122.0
2017-03-13,134.06,134.06,128.66,130.28,9135.0
2017-03-14,129.74,129.74,122.17,123.25,19713.0
2017-08-13,118.39,129.74,120.55,129.74,192.0
2017-08-15,131.9,142.71,131.9,142.71,112861.0
2017-08-16,145.42,148.12,135.14,136.77,61187.0
2017-08-17,136.77,139.47,135.14,136.23,18577.0
2017-08-20,137.85,138.39,132.44,134.6,12602.0
2017-08-21,135.14,135.69,130.28,132.98,4225.0
2017-08-22,134.6,137.85,131.9,134.06,8606.0
