Date,Open,High,Low,Close,Volume
2012-01-01,25.79,25.97,25.85,25.85,1820.0
2012-01-02,25.85,25.97,25.74,25.91,450.0
2012-01-03,25.91,26.08,25.82,26.0,950.0
2012-01-04,26.0,25.97,25.91,25.97,1590.0
2012-01-05,25.97,26.02,26.0,26.02,940.0
2012-01-08,26.02,26.05,25.94,26.05,990.0
2012-01-09,26.05,26.2,26.05,26.14,970.0
2012-01-10,26.14,26.26,26.14,26.26,700.0
2012-01-11,26.26,26.37,26.17,26.37,1000.0
2012-01-12,26.37,26.4,26.26,26.28,1700.0
2012-01-16,26.28,26.28,26.23,26.23,1100.0
2012-01-17,26.23,26.2,26.14,26.17,1310.0
2012-01-18,26.17,26.28,26.17,26.28,1200.0
2012-01-22,26.26,26.26,26.23,26.23,1000.0
2012-01-23,26.23,26.17,26.08,26.17,580.0
2012-01-25,26.17,26.11,26.08,26.11,140.0
2012-01-26,26.11,26.26,26.11,26.17,300.0
2012-01-29,26.17,26.4,26.26,26.34,1610.0
2012-01-31,26.34,26.43,26.31,26.31,1390.0
2012-02-01,26.31,26.4,26.31,26.37,60.0
2012-02-02,26.37,26.4,26.31,26.4,620.0
2012-02-05,26.4,26.4,26.26,26.4,430.0
2012-02-06,26.4,26.4,26.26,26.28,810.0
2012-02-07,26.28,26.34,26.28,26.28,510.0
2012-02-08,26.28,26.4,26.31,26.31,2320.0
2012-02-09,26.31,26.34,26.26,26.31,560.0
2012-02-12,26.31,26.28,26.28,26.28,390.0
2012-02-13,26.28,26.52,26.26,26.31,290.0
2012-02-14,26.31,26.26,26.23,26.23,250.0
2012-02-15,26.23,26.31,26.05,26.31,850.0
2012-02-16,26.31,26.26,26.23,26.26,730.0
2012-02-21,26.26,26.37,26.23,26.37,1940.0
2012-02-23,26.37,26.43,26.26,26.26,800.0
2012-02-26,26.26,26.31,26.23,26.31,100.0
2012-02-27,26.31,26.28,26.26,26.28,1150.0
2012-02-28,26.28,26.28,26.26,26.28,60.0
2012-02-29,26.28,26.46,26.37,26.46,40.0
2012-03-01,26.46,26.4,26.31,26.31,230.0
2012-03-05,26.31,26.4,26.34,26.34,340.0
2012-03-06,26.34,26.57,26.28,26.57,300.0
2012-03-11,26.57,26.66,26.4,26.4,620.0
2012-03-12,26.4,26.37,26.31,26.37,30.0
2012-03-13,26.37,26.54,26.4,26.54,490.0
2012-03-14,26.54,26.63,26.46,26.52,1550.0
2012-03-15,26.52,26.6,26.52,26.54,1260.0
2012-03-18,26.54,26.57,26.49,26.54,370.0
2012-03-19,26.54,26.63,26.54,26.54,60.0
2012-03-20,26.54,26.52,26.46,26.49,280.0
2012-03-21,26.49,26.57,26.26,26.57,1130.0
2012-03-25,26.57,26.49,26.31,26.43,860.0
2012-03-26,26.43,26.49,26.46,26.49,190.0
2012-03-27,26.49,26.52,26.52,26.52,270.0
2012-03-28,26.52,26.54,26.54,26.54,100.0
2012-03-29,26.54,26.46,26.46,26.46,120.0
2012-04-01,26.46,26.49,26.4,26.49,290.0
2012-04-02,26.49,26.57,26.52,26.57,1430.0
2012-04-03,26.57,26.6,26.54,26.54,1350.0
2012-04-04,26.54,26.72,26.54,26.54,1290.0
2012-04-05,26.54,26.52,26.49,26.52,80.0
2012-04-08,26.52,26.69,26.54,26.69,700.0
2012-04-09,26.69,26.86,26.69,26.8,850.0
2012-04-10,26.8,26.98,26.72,26.8,1490.0
2012-04-11,26.8,27.24,26.89,27.24,1160.0
2012-04-12,27.24,27.41,26.95,27.15,2510.0
2012-04-15,27.15,27.41,27.24,27.32,180.0
2012-04-16,27.32,27.41,27.41,27.41,1310.0
2012-04-17,27.41,27.76,27.3,27.3,2780.0
2012-04-18,27.3,27.82,27.21,27.7,2130.0
2012-04-19,27.7,28.05,27.67,27.67,2070.0
2012-04-22,27.67,28.25,27.79,28.25,300.0
2012-04-24,28.25,28.88,28.36,28.88,320.0
2012-04-25,28.88,29.46,29.03,29.46,170.0
2012-04-26,29.46,30.04,29.61,30.04,1810.0
2012-04-29,30.04,30.5,29.69,29.69,3240.0
2012-04-30,29.69,29.55,28.91,29.43,2230.0
2012-05-02,29.43,29.29,29.29,29.29,20.0
2012-05-03,29.29,29.72,29.43,29.72,1160.0
2012-05-07,29.72,29.87,29.87,29.87,30.0
2012-05-08,29.87,29.84,29.69,29.69,2330.0
2012-05-09,29.69,29.63,29.35,29.49,2450.0
2012-05-10,29.49,29.35,28.8,29.0,3370.0
2012-05-13,29.0,29.03,28.57,28.6,430.0
2012-05-14,28.6,28.48,28.25,28.36,150.0
2012-05-15,28.36,28.83,28.48,28.83,450.0
2012-05-16,28.83,29.37,28.94,29.37,880.0
2012-05-17,29.37,29.95,29.52,29.95,1340.0
2012-05-20,29.95,29.81,29.14,29.14,1330.0
2012-05-21,29.14,29.32,28.71,29.11,2080.0
2012-05-22,29.11,29.11,28.83,29.03,270.0
2012-05-23,29.03,28.88,28.62,28.62,40.0
2012-05-24,28.62,28.88,28.39,28.86,2730.0
2012-05-27,28.86,29.43,29.0,29.43,760.0
2012-05-29,29.43,29.29,28.71,28.71,50.0
2012-05-30,28.71,28.6,28.02,28.02,2700.0
2012-05-31,28.02,28.65,27.9,28.31,2760.0
2012-06-03,28.31,28.77,28.42,28.77,430.0
2012-06-04,28.77,28.94,28.71,28.94,680.0
2012-06-05,28.94,28.8,28.51,28.54,2300.0
2012-06-06,28.54,28.71,28.25,28.39,1520.0
2012-06-07,28.39,28.8,28.36,28.8,850.0
2012-06-10,28.8,29.14,28.13,28.28,2410.0
2012-06-11,28.28,28.39,28.39,28.39,390.0
2012-06-12,28.39,28.36,28.05,28.36,190.0
2012-06-13,28.36,28.51,28.42,28.45,1530.0
2012-06-14,28.45,28.36,28.16,28.16,780.0
2012-06-17,28.16,28.36,28.13,28.36,210.0
2012-06-19,28.36,28.34,28.19,28.34,1190.0
2012-06-20,28.34,28.54,28.34,28.34,550.0
2012-06-21,28.34,28.39,28.28,28.34,380.0
2012-06-25,28.34,28.88,28.45,28.88,120.0
2012-06-28,28.88,28.94,28.62,28.62,190.0
2012-07-01,28.62,28.71,28.6,28.62,380.0
2012-07-02,28.62,28.57,28.54,28.54,610.0
2012-07-03,28.54,28.6,28.51,28.6,450.0
2012-07-04,28.6,28.71,28.54,28.54,500.0
2012-07-05,28.54,28.62,28.54,28.6,1640.0
2012-07-08,28.6,28.6,28.54,28.6,320.0
2012-07-09,28.6,28.8,28.57,28.8,470.0
2012-07-10,28.8,29.11,28.91,28.94,280.0
2012-07-11,28.94,29.09,28.94,29.03,1580.0
2012-07-12,29.03,29.17,29.0,29.03,4100.0
2012-07-15,29.03,29.52,28.88,29.52,1370.0
2012-07-16,29.52,29.37,28.8,28.8,1190.0
2012-07-17,28.8,29.2,28.86,29.14,1340.0
2012-07-18,29.14,29.61,29.14,29.46,1260.0
2012-07-19,29.46,30.24,29.61,29.98,5870.0
2012-07-22,29.98,30.15,29.78,30.07,470.0
2012-07-23,30.07,30.21,30.07,30.15,3460.0
2012-07-24,30.15,30.04,29.61,30.01,1650.0
2012-07-25,30.01,30.3,30.13,30.15,4180.0
2012-07-26,30.15,30.27,30.1,30.27,3130.0
2012-07-29,30.27,30.27,29.87,30.01,1600.0
2012-07-30,30.01,30.13,29.89,29.98,1450.0
2012-07-31,29.98,30.07,29.95,29.95,1930.0
2012-08-01,29.95,30.07,29.92,30.01,2180.0
2012-08-05,30.01,30.15,29.89,30.01,430.0
2012-08-06,30.01,30.3,30.01,30.21,3100.0
2012-08-07,30.21,30.18,30.13,30.13,550.0
2012-08-08,30.13,30.21,30.1,30.15,990.0
2012-08-12,30.15,30.01,29.87,29.87,140.0
2012-08-13,29.87,29.87,29.61,29.84,1480.0
2012-08-14,29.84,29.98,29.69,29.98,530.0
2012-08-15,29.98,29.89,29.72,29.72,410.0
2012-08-16,29.72,29.87,29.49,29.66,1350.0
2012-08-19,29.66,29.84,29.55,29.84,120.0
2012-08-21,29.84,30.1,29.84,30.07,2670.0
2012-08-22,30.07,30.36,30.18,30.18,90.0
2012-08-23,30.18,30.04,29.92,30.04,1040.0
2012-08-26,30.04,30.07,29.78,30.07,170.0
2012-08-27,30.07,30.15,30.04,30.07,1140.0
2012-08-28,30.07,30.15,30.15,30.15,360.0
2012-08-29,30.15,30.13,29.87,30.13,620.0
2012-08-30,30.13,30.15,30.07,30.1,730.0
2012-09-02,30.1,30.93,30.21,30.93,7250.0
2012-09-03,30.93,31.54,30.76,31.02,13090.0
2012-09-04,31.02,31.34,31.05,31.17,10580.0
2012-09-05,31.17,31.17,30.73,30.88,7230.0
2012-09-06,30.88,31.19,30.88,31.05,5960.0
2012-09-09,31.05,30.88,30.73,30.76,1850.0
2012-09-10,30.76,30.91,30.85,30.88,1590.0
2012-09-11,30.88,31.05,30.91,31.05,800.0
2012-09-12,31.05,31.05,30.88,30.99,3750.0
2012-09-13,30.99,31.05,30.88,30.96,470.0
2012-09-16,30.96,31.02,30.88,30.99,3100.0
2012-09-17,30.99,30.88,30.73,30.82,2310.0
2012-09-18,30.82,31.28,30.88,31.28,500.0
2012-09-19,31.28,31.28,31.05,31.05,950.0
2012-09-20,31.05,30.99,30.96,30.99,1310.0
2012-09-23,30.99,31.19,30.96,31.05,2620.0
2012-09-24,31.05,30.99,30.93,30.99,540.0
2012-09-25,30.99,31.02,30.88,30.93,1320.0
2012-09-26,30.93,31.34,30.85,30.91,6870.0
2012-09-27,30.91,31.05,30.79,30.79,3370.0
2012-09-30,30.79,30.88,30.82,30.82,1630.0
2012-10-01,30.82,31.25,30.56,31.25,3980.0
2012-10-02,31.25,31.08,30.39,30.5,11280.0
2012-10-03,30.5,30.39,30.07,30.18,6880.0
2012-10-04,30.18,30.96,30.01,30.96,6330.0
2012-10-07,33.06,30.8,30.05,30.05,140.0
2012-10-08,30.05,29.91,29.35,29.35,470.0
2012-10-09,29.35,29.24,29.24,29.24,10.0
2012-10-11,29.24,29.1,29.1,29.1,10.0
2012-10-14,29.1,29.24,29.17,29.24,440.0
2012-10-15,29.24,29.17,29.17,29.17,40.0
2012-10-18,29.17,29.17,29.17,29.17,20.0
2012-10-30,29.17,29.24,29.24,29.24,180.0
2012-11-01,29.24,29.95,29.38,29.95,50.0
2012-11-04,29.95,30.69,30.09,30.69,100.0
2012-11-05,30.69,31.58,30.87,31.58,1770.0
