Date,Open,High,Low,Close,Volume
2012/02/12,109.29,109.29,109.29,109.29,10.0
2012/02/21,109.29,108.4,107.93,107.93,30.0
2012/03/06,107.93,106.92,106.92,106.92,10.0
2012/04/08,106.92,105.91,105.49,105.49,20.0
2012/04/11,105.49,104.54,103.47,103.47,50.0
2012/06/06,103.47,103.12,103.12,103.12,10.0
2012/06/17,103.12,102.23,102.23,102.23,200.0
2012/07/25,102.23,101.39,101.39,101.39,10.0
2012/08/16,101.39,100.56,100.56,100.56,10.0
2012/08/22,100.56,99.79,99.79,99.79,10.0
2012/08/27,99.79,99.08,99.08,99.08,10.0
2012/09/12,99.08,98.37,97.89,97.89,40.0
2012/09/13,97.89,97.65,97.18,97.18,30.0
2012/09/18,97.18,96.58,95.99,95.99,70.0
2012/09/20,95.99,95.46,94.92,94.92,80.0
2012/09/24,94.92,94.74,94.39,94.39,50.0
2012/09/30,94.39,93.91,93.44,93.44,80.0
2012/10/07,93.44,93.02,92.61,92.61,100.0
2012/10/08,92.61,92.49,92.37,92.37,30.0
2012/10/09,92.37,92.01,91.89,91.89,40.0
2012/10/11,91.89,91.54,91.18,91.18,40.0
2012/10/14,91.18,91.06,90.53,90.53,620.0
2012/10/15,90.53,90.29,89.99,89.99,1260.0
2012/10/18,89.99,89.99,89.58,89.58,1020.0
2012/10/30,89.58,89.93,89.64,89.88,1480.0
2012/10/31,89.88,90.05,89.88,89.88,1030.0
2012/11/01,89.88,89.93,89.88,89.88,1500.0
2012/11/04,89.88,89.88,89.82,89.82,1280.0
2012/11/05,89.82,89.88,89.82,89.82,460.0
2012/11/06,89.82,89.82,89.76,89.82,1540.0
2012/11/07,89.82,89.82,89.82,89.82,800.0
2012/11/08,89.82,89.82,89.82,89.82,550.0
2012/11/11,89.82,89.82,89.82,89.82,2230.0
2012/11/12,89.82,89.76,89.7,89.7,300.0
2012/11/18,89.7,89.82,89.7,89.76,590.0
2012/11/20,89.76,89.93,89.82,89.93,1390.0
2012/11/22,89.93,89.88,89.88,89.88,1020.0
2012/11/25,89.88,89.88,89.88,89.88,60.0
2012/11/26,89.88,89.82,89.82,89.82,5670.0
2012/11/28,89.82,89.82,89.7,89.82,830.0
2012/12/03,89.82,89.88,89.88,89.88,410.0
2012/12/04,89.88,89.93,89.93,89.93,600.0
2012/12/05,89.93,89.88,89.88,89.88,20.0
2012/12/06,89.88,89.93,89.88,89.93,390.0
2012/12/09,89.93,89.99,89.99,89.99,320.0
2012/12/11,89.99,89.93,89.93,89.93,530.0
2012/12/13,89.93,89.82,89.82,89.82,500.0
2012/12/16,89.82,89.82,89.82,89.82,400.0
2012/12/17,89.82,89.82,89.76,89.82,160.0
2012/12/18,89.82,89.76,89.76,89.76,280.0
2012/12/23,89.76,89.7,89.7,89.7,20.0
2012/12/26,89.7,89.64,89.64,89.64,500.0
2012/12/27,89.64,89.64,89.64,89.64,60.0
2012/12/31,89.64,89.64,89.64,89.64,300.0
2013/01/01,89.64,89.76,89.7,89.76,100.0
2013/01/02,89.76,89.82,89.82,89.82,40.0
2013/01/07,89.82,89.76,89.7,89.7,320.0
2013/01/09,89.7,89.76,89.76,89.76,300.0
2013/01/10,89.76,89.76,89.7,89.76,320.0
2013/01/20,89.76,89.7,89.64,89.64,90.0
2013/01/23,89.64,89.82,89.58,89.82,230.0
2013/01/24,89.82,89.82,89.82,89.82,10.0
2013/02/04,89.82,89.82,89.82,89.82,200.0
2013/02/27,89.82,89.88,89.82,89.82,120.0
2013/03/25,89.82,89.76,89.76,89.76,100.0
2013/03/28,89.76,89.58,89.58,89.58,240.0
2013/03/31,89.58,89.52,89.28,89.34,270.0
2013/04/01,89.34,89.4,89.28,89.28,230.0
2013/04/02,89.28,89.22,89.22,89.22,350.0
2013/04/03,89.22,89.1,89.1,89.1,600.0
2013/04/04,89.1,89.04,88.98,88.98,120.0
2013/04/07,88.98,89.1,88.63,88.63,870.0
2013/04/08,88.63,88.69,88.57,88.57,680.0
2013/04/09,88.57,88.57,88.51,88.57,230.0
2013/04/11,88.57,88.51,88.39,88.39,130.0
2013/04/15,88.39,88.75,88.39,88.75,420.0
2013/04/17,88.75,88.57,88.51,88.51,660.0
2013/04/18,88.51,88.69,88.69,88.69,550.0
2013/04/21,88.69,88.75,88.69,88.69,340.0
2013/04/29,88.69,88.75,88.75,88.75,280.0
2013/04/30,88.75,88.81,88.81,88.81,240.0
2013/05/02,88.81,88.87,88.87,88.87,200.0
2013/05/05,88.87,88.81,88.75,88.75,30.0
2013/05/09,88.75,88.75,88.75,88.75,120.0
2013/05/12,88.75,88.75,88.75,88.75,110.0
2013/05/19,88.75,88.69,88.69,88.69,280.0
2013/05/21,88.69,88.63,88.63,88.63,40.0
2013/05/30,88.63,88.57,88.51,88.51,60.0
2013/06/11,88.51,88.51,88.51,88.51,780.0
2013/06/13,88.51,88.51,88.51,88.51,320.0
2013/06/25,88.51,88.51,88.51,88.51,10.0
2013/06/27,88.51,88.51,88.51,88.51,380.0
2013/07/01,88.51,88.33,88.21,88.21,70.0
2013/07/07,88.21,88.15,88.15,88.15,20.0
2013/07/09,88.15,88.09,88.09,88.09,10.0
2013/07/10,88.09,88.15,88.15,88.15,20.0
2013/07/30,88.15,88.09,88.09,88.09,10.0
2013/08/12,88.09,88.15,88.15,88.15,60.0
2013/09/17,88.15,88.21,87.97,87.97,170.0
2013/09/19,87.97,87.92,87.92,87.92,10.0
2013/09/22,87.92,87.86,87.86,87.86,10.0
2013/10/01,87.86,87.8,87.8,87.8,50.0
2013/10/02,87.8,87.97,87.86,87.97,90.0
2013/10/07,87.97,88.27,87.92,88.27,340.0
2013/10/08,88.27,88.33,88.27,88.33,160.0
2013/10/09,88.33,88.33,88.33,88.33,100.0
2013/10/10,88.33,88.51,88.39,88.51,30.0
2014/04/02,88.51,88.87,88.45,88.87,220.0
2014/04/03,88.87,89.28,88.92,89.28,560.0
2014/04/06,89.28,88.87,88.75,88.87,180.0
2014/04/07,88.87,88.98,88.92,88.98,20.0
2014/04/09,88.98,89.1,89.04,89.1,330.0
2014/04/27,89.1,89.16,89.16,89.16,10.0
2014/05/26,89.16,89.28,89.22,89.28,20.0
2014/05/28,89.28,89.34,89.34,89.34,10.0
2014/06/03,89.34,89.4,89.4,89.4,10.0
2014/06/17,89.4,89.46,89.46,89.46,10.0
2014/06/26,89.46,89.58,89.52,89.58,40.0
2014/06/29,89.58,89.64,89.64,89.64,60.0
2014/07/02,89.64,89.76,89.7,89.76,50.0
2014/07/22,89.76,89.82,89.82,89.82,20.0
2014/07/30,89.82,89.99,89.88,89.99,60.0
2014/07/31,89.99,90.23,90.05,90.23,140.0
2014/08/06,90.23,90.29,90.29,90.29,10.0
2014/08/07,90.29,90.41,90.35,90.41,40.0
2014/08/13,90.41,90.41,90.41,90.41,20.0
2014/08/14,90.41,90.94,90.47,90.94,70.0
2014/08/18,90.94,91.3,91.06,91.3,30.0
2014/08/19,91.3,91.42,91.42,91.42,20.0
2014/08/24,91.42,91.66,91.54,91.66,40.0
2014/08/25,91.66,92.31,91.78,92.31,110.0
2014/08/26,92.31,93.02,92.43,93.02,1020.0
2014/08/27,93.02,93.26,92.78,92.84,2210.0
2014/08/28,92.84,92.9,92.73,92.9,500.0
2014/08/31,92.9,92.9,92.67,92.67,550.0
2014/09/01,92.67,92.9,92.67,92.78,540.0
2014/09/03,92.78,92.73,92.49,92.73,400.0
2014/09/04,92.73,92.78,92.67,92.67,240.0
2014/09/07,92.67,92.55,92.31,92.31,70.0
2014/09/09,92.31,92.55,92.43,92.43,190.0
2014/09/10,92.43,92.37,91.89,92.13,350.0
2014/09/11,92.13,92.01,91.48,91.6,390.0
2014/09/14,91.6,91.48,91.48,91.48,10.0
2014/09/15,91.48,92.01,91.6,92.01,460.0
2014/09/16,92.01,92.31,92.13,92.31,190.0
2014/09/17,92.31,92.55,92.31,92.55,230.0
2014/10/09,92.55,92.67,92.43,92.55,240.0
2014/10/12,92.55,92.67,92.43,92.43,1240.0
2014/10/13,92.43,92.31,92.07,92.07,1000.0
2014/10/14,92.07,91.95,91.95,91.95,370.0
2014/10/15,91.95,92.07,91.83,92.07,900.0
2014/10/16,92.07,91.95,91.72,91.72,210.0
2014/10/26,91.72,91.83,91.72,91.78,300.0
2014/10/27,91.78,92.49,91.66,91.83,2520.0
2014/10/28,91.83,91.95,91.72,91.83,440.0
2014/10/30,91.83,91.83,91.72,91.78,160.0
2014/11/02,91.78,92.13,91.83,91.83,3300.0
2014/11/03,91.83,92.19,91.95,91.95,90.0
2014/11/04,91.95,91.83,91.6,91.6,380.0
2014/11/05,91.6,91.72,91.48,91.72,230.0
2014/11/06,91.72,91.95,91.72,91.95,820.0
2014/11/09,91.95,91.89,91.89,91.89,100.0
2014/11/10,91.89,91.78,91.54,91.72,1050.0
2014/11/11,91.72,91.6,91.6,91.6,1040.0
2014/11/12,91.6,91.72,91.6,91.72,500.0
2014/11/13,91.72,91.66,91.6,91.6,60.0
2014/11/16,91.6,91.48,91.48,91.48,60.0
2014/11/17,91.48,91.6,91.36,91.36,910.0
2014/11/18,91.36,91.54,91.24,91.54,500.0
2014/11/30,91.54,91.42,91.18,91.24,500.0
2014/12/01,91.24,91.36,91.36,91.36,110.0
2014/12/02,91.36,91.24,90.71,90.83,610.0
2014/12/03,90.83,90.83,90.83,90.83,20.0
2014/12/07,90.83,90.71,90.59,90.59,190.0
2014/12/08,90.59,90.88,90.59,90.59,560.0
2014/12/09,90.59,90.59,90.59,90.59,30.0
2014/12/10,90.59,91.18,90.71,90.94,880.0
2014/12/11,90.94,90.94,90.83,90.94,490.0
2014/12/15,90.94,91.42,91.06,91.42,1460.0
2014/12/16,91.42,91.54,91.54,91.54,920.0
2014/12/17,91.54,91.66,91.66,91.66,1080.0
2014/12/24,91.66,91.54,91.0,91.0,520.0
