Date,Open,High,Low,Close,Volume
2020-12-03,124.38,124.38,124.38,124.38,10.0
2020-12-06,125.0,125.0,125.0,125.0,8390.0
2020-12-07,125.75,128.75,125.75,128.75,50.0
2020-12-08,129.5,132.88,129.5,132.88,160.0
2020-12-09,133.75,137.38,133.75,137.38,60.0
2020-12-10,137.5,142.25,137.5,142.25,250.0
2020-12-13,143.25,147.63,143.25,147.63,5450.0
2020-12-14,148.75,153.63,148.75,153.63,670.0
2020-12-15,154.88,160.13,154.88,160.13,3440.0
2020-12-16,161.5,167.38,161.5,167.38,7501.0
2020-12-17,171.25,173.25,160.0,161.38,4695.0
2020-12-20,160.0,160.0,154.63,154.63,350.0
2020-12-21,153.38,153.38,148.0,148.0,5170.0
2020-12-22,146.88,146.88,142.0,142.0,615.0
2020-12-23,141.0,141.0,136.63,136.63,3463.0
2020-12-24,135.75,135.75,131.75,134.63,23660.0
2020-12-27,135.5,139.25,135.5,139.25,310.0
2020-12-28,140.25,144.38,140.25,144.38,1785.0
2020-12-29,145.5,150.0,145.5,150.0,9638.0
2020-12-30,151.25,152.5,143.75,143.75,5984.0
2020-12-31,142.75,143.75,141.63,141.63,1778.0
2021-01-03,141.63,143.75,136.25,142.63,20237.0
2021-01-04,143.63,148.13,141.88,147.0,2945.0
2021-01-05,148.13,152.88,148.13,152.88,6655.0
2021-01-06,154.13,159.38,154.13,159.38,265.0
2021-01-07,162.88,166.5,162.88,166.5,26188.0
2021-01-10,168.0,174.38,168.0,174.38,15905.0
2021-01-11,176.0,183.0,176.0,183.0,10813.0
2021-01-12,187.75,192.5,177.5,191.13,28984.0
2021-01-13,193.5,202.75,193.5,202.75,481.0
2021-01-17,205.25,215.5,205.25,215.5,7180.0
2021-01-18,218.25,229.5,218.25,229.5,5430.0
2021-01-19,232.5,244.75,232.5,244.75,29142.0
2021-01-20,248.0,261.5,248.0,261.5,10415.0
2021-01-21,270.75,270.75,243.0,249.0,11045.0
2021-01-24,249.0,249.0,231.75,231.75,6893.0
2021-01-25,224.0,247.25,216.25,240.0,12599.0
2021-01-26,242.5,246.75,234.25,237.0,4596.0
2021-01-27,238.75,238.75,231.25,235.0,6994.0
2021-01-28,237.5,243.75,235.0,235.0,2890.0
2021-01-31,243.0,251.0,235.0,244.25,12644.0
2021-02-01,247.25,247.5,240.75,244.25,3224.0
2021-02-02,247.5,247.5,239.25,240.25,1702.0
2021-02-03,237.25,238.0,231.25,233.0,5709.0
2021-02-04,240.75,240.75,231.25,236.25,2445.0
2021-02-07,233.25,236.25,231.25,231.75,4631.0
2021-02-08,231.25,231.25,229.0,229.5,4372.0
2021-02-09,226.75,229.5,226.25,226.75,3274.0
2021-02-10,227.5,229.5,224.0,226.5,4718.0
2021-02-11,223.5,226.25,223.25,224.75,3004.0
2021-02-14,223.75,223.75,217.0,220.0,2775.0
2021-02-15,222.75,234.25,217.0,227.75,5285.0
2021-02-16,228.75,228.75,224.75,225.75,1902.0
2021-02-17,228.75,229.0,222.5,225.5,2175.0
2021-02-18,225.5,230.5,222.5,223.25,1759.0
2021-02-21,222.5,226.75,221.5,226.75,880.0
2021-02-22,224.5,226.25,223.75,226.0,1719.0
2021-02-23,223.25,225.0,220.0,221.25,1200.0
2021-02-24,224.0,227.5,223.0,224.75,1385.0
2021-02-25,227.5,227.5,219.5,220.0,2166.0
2021-02-28,220.0,222.75,217.75,219.5,751.0
2021-03-01,220.0,227.0,217.5,222.75,1190.0
2021-03-02,220.75,220.75,215.5,218.75,1074.0
2021-03-03,220.0,220.0,211.25,212.5,2197.0
2021-03-04,212.5,215.25,212.5,213.75,1625.0
2021-03-08,216.5,216.5,211.0,212.25,776.0
2021-03-09,210.0,210.0,205.0,207.75,1235.0
2021-03-10,205.75,208.5,205.75,208.5,758.0
2021-03-14,210.0,210.0,200.25,200.75,1946.0
2021-03-15,200.5,203.25,198.5,203.25,1277.0
2021-03-16,205.5,208.0,205.5,207.0,1311.0
2021-03-17,204.5,206.75,204.5,206.25,218.0
2021-03-18,206.25,215.0,206.25,214.75,955.0
2021-03-21,214.75,217.25,209.5,214.5,1958.0
2021-03-22,212.5,212.5,209.25,211.25,1402.0
2021-03-23,213.75,217.75,208.75,210.0,1135.0
2021-03-24,210.0,212.5,209.75,209.75,316.0
2021-03-25,212.25,212.25,207.25,209.5,913.0
2021-03-29,207.0,210.25,205.5,208.0,495.0
2021-03-30,209.75,213.75,208.75,212.5,1746.0
2021-03-31,209.75,211.25,209.75,211.25,170.0
2021-04-01,213.75,213.75,209.25,212.5,2562.0
2021-04-04,210.0,210.0,208.75,209.0,213.0
2021-04-05,207.0,215.25,207.0,211.25,1780.0
2021-04-06,212.5,217.75,212.5,216.25,2615.0
2021-04-07,218.75,221.5,214.5,221.5,3140.0
2021-04-08,218.75,227.75,218.75,223.75,2265.0
2021-04-12,226.5,228.75,220.0,221.25,2144.0
2021-04-13,223.75,223.75,221.0,223.75,650.0
2021-04-15,221.25,225.75,219.0,223.75,1330.0
2021-04-18,223.0,223.0,219.0,219.25,408.0
2021-04-19,216.5,221.25,216.5,217.5,869.0
2021-04-20,217.5,223.0,215.75,223.0,1640.0
2021-04-21,220.25,224.75,215.25,217.5,2030.0
2021-04-22,215.0,223.0,215.0,218.5,1707.0
2021-04-25,215.75,215.75,204.5,206.75,24805.0
2021-04-26,204.5,204.5,197.5,200.0,17042.0
2021-04-27,197.5,206.5,197.5,203.25,11513.0
2021-04-28,203.25,213.25,203.25,209.5,9228.0
2021-04-29,210.0,210.25,202.25,207.5,11449.0
2021-05-02,205.0,206.25,202.5,206.0,7418.0
2021-05-03,204.0,215.0,204.0,206.25,4351.0
2021-05-04,205.0,206.25,204.5,205.5,2480.0
