Date,Open,High,Low,Close,Volume,Change
2012-01-01,83.27,83.84,81.17,83.84,799.0,
2012-01-02,83.84,87.08,84.12,85.84,1002.0,2.0
2012-01-03,85.84,87.37,85.08,85.08,2653.0,-0.7600000000000051
2012-01-04,85.08,83.46,80.31,82.5,490.0,-2.5799999999999983
2012-01-05,82.5,83.46,81.84,81.84,121.0,-0.6599999999999966
2012-01-08,81.84,80.6,77.64,79.17,4835.0,-2.6700000000000017
2012-01-09,79.17,80.69,79.17,80.69,195.0,1.519999999999996
2012-01-10,80.69,82.22,80.6,80.6,658.0,-0.09000000000000341
2012-01-11,80.6,83.36,80.6,83.36,969.0,2.760000000000005
2012-01-12,83.36,86.22,82.03,86.22,773.0,2.8599999999999994
2012-01-16,86.22,84.51,82.69,83.84,235.0,-2.3799999999999955
2012-01-17,83.84,82.5,78.21,82.12,2244.0,-1.7199999999999989
2012-01-18,82.12,84.12,79.17,84.12,1617.0,2.0
2012-01-22,84.12,82.98,79.74,79.74,1273.0,-4.38000000000001
2012-01-23,79.74,80.4,78.78,79.64,1255.0,-0.09999999999999432
2012-01-25,79.64,80.12,78.69,80.12,442.0,0.480000000000004
2012-01-26,80.12,79.17,78.78,79.17,408.0,-0.9500000000000028
2012-01-29,79.17,79.17,78.5,79.17,496.0,0.0
2012-01-31,79.17,80.6,80.31,80.31,143.0,1.1400000000000006
2012-02-01,80.31,80.12,79.36,79.36,250.0,-0.9500000000000028
2012-02-02,79.36,81.07,79.45,81.07,382.0,1.7099999999999937
2012-02-05,81.07,80.12,78.59,79.07,1035.0,-2.0
2012-02-06,79.07,79.07,78.59,78.59,545.0,-0.47999999999998977
2012-02-07,78.59,79.45,78.21,79.17,816.0,0.5799999999999983
2012-02-08,79.17,80.21,79.17,80.21,187.0,1.039999999999992
2012-02-09,80.21,80.12,79.17,80.12,437.0,-0.0899999999999892
2012-02-12,80.12,80.4,78.97,80.4,1780.0,0.28000000000000114
2012-02-13,80.4,83.55,79.36,83.55,885.0,3.1499999999999915
2012-02-14,83.55,82.98,82.03,82.03,447.0,-1.519999999999996
2012-02-15,82.03,82.03,80.4,80.4,182.0,-1.6299999999999955
2012-02-16,80.4,81.07,79.45,81.07,1286.0,0.6699999999999875
2012-02-21,81.07,81.07,79.74,81.07,170.0,0.0
2012-02-23,81.07,81.07,80.6,81.07,79.0,0.0
2012-02-26,81.07,81.64,79.45,80.5,1025.0,-0.5699999999999932
2012-02-27,80.5,80.79,79.26,80.79,1055.0,0.29000000000000625
2012-02-28,80.79,82.69,80.6,82.69,825.0,1.8999999999999915
2012-02-29,82.69,82.88,82.03,82.12,602.0,-0.5699999999999932
2012-03-01,82.12,84.6,82.5,84.6,497.0,2.4799999999999898
2012-03-04,84.6,83.55,82.98,83.36,590.0,-1.2399999999999949
2012-03-05,83.36,84.6,82.6,84.22,571.0,0.8599999999999994
2012-03-06,84.22,84.41,83.46,84.12,301.0,-0.09999999999999432
2012-03-11,84.12,84.41,82.79,84.41,361.0,0.28999999999999204
2012-03-12,84.41,84.12,83.93,83.93,256.0,-0.47999999999998977
2012-03-13,83.93,83.93,82.31,83.93,501.0,0.0
2012-03-14,83.93,83.46,82.03,82.03,389.0,-1.9000000000000057
2012-03-15,82.03,81.26,79.74,81.26,446.0,-0.769999999999996
2012-03-18,81.26,82.88,81.07,82.69,168.0,1.4299999999999926
2012-03-19,82.69,84.12,81.36,84.12,281.0,1.4300000000000068
2012-03-20,84.12,83.36,80.79,83.36,307.0,-0.7600000000000051
2012-03-21,83.36,83.74,81.07,83.74,900.0,0.37999999999999545
2012-03-25,83.74,83.74,80.6,83.74,521.0,0.0
2012-03-26,83.74,82.12,82.12,82.12,50.0,-1.6199999999999903
2012-03-27,82.12,83.27,81.07,82.69,342.0,0.5699999999999932
2012-03-28,82.69,82.69,81.07,82.69,317.0,0.0
2012-03-29,82.69,82.69,81.07,82.69,64.0,0.0
2012-04-01,82.69,81.26,79.64,81.26,981.0,-1.4299999999999926
2012-04-02,81.26,83.93,81.26,83.93,270.0,2.6700000000000017
2012-04-03,83.93,84.98,82.69,83.46,145.0,-0.4700000000000131
2012-04-04,83.46,86.03,83.74,86.03,106.0,2.5700000000000074
2012-04-08,86.03,85.36,83.84,85.36,318.0,-0.6700000000000017
2012-04-09,85.36,85.94,84.32,85.94,906.0,0.5799999999999983
2012-04-10,85.94,85.08,84.89,84.89,249.0,-1.0499999999999972
2012-04-11,84.89,88.23,84.41,86.8,1173.0,1.9099999999999966
2012-04-12,86.8,94.24,87.75,94.24,1316.0,7.439999999999998
2012-04-15,94.24,102.53,96.05,102.53,1840.0,8.290000000000006
2012-04-17,102.53,112.74,94.81,95.38,2664.0,-7.150000000000006
2012-04-18,95.38,103.11,90.71,103.11,1741.0,7.730000000000004
2012-04-19,103.11,109.11,102.82,107.78,3104.0,4.670000000000002
2012-04-22,107.78,114.46,107.78,114.46,3423.0,6.679999999999993
2012-04-24,114.46,125.9,116.74,125.9,880.0,11.440000000000012
2012-04-25,125.9,138.49,128.38,138.3,3631.0,12.400000000000006
2012-04-26,138.3,147.84,133.53,147.84,6246.0,9.539999999999992
2012-04-29,147.84,146.69,139.35,143.07,4632.0,-4.77000000000001
2012-04-30,143.07,140.21,131.62,133.53,2746.0,-9.539999999999992
2012-05-02,133.53,130.86,120.18,120.18,956.0,-13.349999999999994
2012-05-03,120.18,132.2,122.56,132.2,522.0,12.019999999999982
2012-05-07,132.2,145.36,134.77,145.36,1302.0,13.160000000000025
2012-05-08,145.36,151.18,140.21,145.36,4092.0,0.0
2012-05-09,145.36,148.22,134.96,139.16,6781.0,-6.200000000000017
2012-05-10,139.16,138.59,132.29,135.44,3591.0,-3.719999999999999
2012-05-13,135.44,132.77,123.04,124.18,1788.0,-11.259999999999991
2012-05-14,124.18,121.7,114.46,116.27,2577.0,-7.910000000000011
2012-05-15,116.27,127.81,116.27,127.81,2424.0,11.540000000000006
2012-05-16,127.81,140.59,127.81,140.59,1090.0,12.780000000000001
2012-05-17,140.59,149.08,135.53,138.3,6367.0,-2.289999999999992
2012-05-20,138.3,139.06,132.58,138.3,1648.0,0.0
2012-05-21,138.3,139.25,133.53,137.82,3948.0,-0.4800000000000182
2012-05-22,137.82,137.16,131.62,137.16,1664.0,-0.6599999999999966
2012-05-23,137.16,134.49,126.38,126.38,617.0,-10.780000000000001
2012-05-24,126.38,133.53,123.99,130.57,3006.0,4.189999999999998
2012-05-27,130.57,138.11,130.86,135.44,4735.0,4.8700000000000045
2012-05-29,135.44,132.77,127.62,127.62,30.0,-7.819999999999993
2012-05-30,127.62,125.14,114.93,114.93,399.0,-12.689999999999998
2012-05-31,114.93,117.13,106.16,114.46,5417.0,-0.4700000000000131
2012-06-03,114.46,125.9,115.41,125.23,2718.0,10.77000000000001
2012-06-04,125.23,125.23,120.66,123.04,2280.0,-2.1899999999999977
2012-06-05,123.04,120.66,116.08,118.46,1088.0,-4.5800000000000125
2012-06-06,118.46,116.46,113.5,115.03,4535.0,-3.4299999999999926
2012-06-07,115.03,119.99,115.41,116.84,1504.0,1.8100000000000023
2012-06-10,116.84,115.41,113.31,114.93,1572.0,-1.9099999999999966
2012-06-11,114.93,119.51,114.46,114.46,602.0,-0.4700000000000131
2012-06-12,114.46,115.41,113.98,115.41,1025.0,0.9500000000000028
2012-06-13,115.41,116.36,114.55,116.36,197.0,0.9500000000000028
2012-06-14,116.36,115.89,114.07,115.6,903.0,-0.7600000000000051
2012-06-17,115.6,114.93,113.88,114.93,306.0,-0.6699999999999875
2012-06-18,114.93,116.74,114.46,115.41,320.0,0.47999999999998977
2012-06-19,115.41,115.5,113.12,115.5,624.0,0.09000000000000341
2012-06-20,115.5,119.99,113.98,115.6,226.0,0.09999999999999432
2012-06-21,115.6,115.6,114.46,114.93,730.0,-0.6699999999999875
2012-06-25,114.93,120.56,114.17,120.56,721.0,5.6299999999999955
2012-06-26,120.56,118.18,116.17,116.94,358.0,-3.6200000000000045
2012-06-27,116.94,120.56,118.27,119.13,1302.0,2.1899999999999977
2012-06-28,119.13,123.8,119.22,120.85,1238.0,1.7199999999999989
2012-07-01,120.85,120.18,119.22,120.18,1135.0,-0.6699999999999875
2012-07-02,120.18,119.22,118.46,118.75,790.0,-1.4300000000000068
2012-07-03,118.75,122.09,119.22,122.09,1302.0,3.3400000000000034
2012-07-04,122.09,126.38,122.18,124.18,784.0,2.0900000000000034
2012-07-05,124.18,123.33,121.7,123.33,789.0,-0.8500000000000085
2012-07-08,123.33,122.18,120.66,122.18,1230.0,-1.1499999999999915
2012-07-09,122.18,122.56,120.18,121.61,907.0,-0.5700000000000074
2012-07-10,121.61,124.18,122.85,123.99,955.0,2.3799999999999955
2012-07-11,123.99,125.52,124.95,124.95,1338.0,0.960000000000008
2012-07-12,124.95,125.81,124.09,125.81,1100.0,0.8599999999999994
2012-07-15,125.81,130.19,127.62,129.24,1155.0,3.430000000000007
2012-07-16,129.24,129.05,127.81,128.76,904.0,-0.4800000000000182
2012-07-17,128.76,130.77,128.76,130.77,2701.0,2.0100000000000193
2012-07-18,130.77,133.05,130.48,131.81,2406.0,1.039999999999992
2012-07-19,131.81,137.63,133.53,136.39,1362.0,4.579999999999984
2012-07-22,136.39,140.97,136.39,140.68,4131.0,4.2900000000000205
2012-07-23,140.68,143.26,140.97,141.45,3631.0,0.7699999999999818
2012-07-24,141.45,141.73,138.01,140.59,3187.0,-0.8599999999999852
2012-07-25,140.59,142.12,139.44,140.21,2707.0,-0.37999999999999545
2012-07-26,140.21,139.73,138.3,138.3,1828.0,-1.9099999999999966
2012-07-29,138.3,138.3,136.49,137.35,943.0,-0.950000000000017
2012-07-30,137.35,138.78,135.44,138.3,2028.0,0.950000000000017
2012-07-31,138.3,139.44,137.44,138.3,651.0,0.0
2012-08-01,138.3,140.21,138.3,139.25,2222.0,0.9499999999999886
2012-08-05,139.25,140.21,137.35,140.21,969.0,0.960000000000008
2012-08-06,140.21,141.26,140.21,140.97,897.0,0.7599999999999909
2012-08-07,140.97,141.73,140.21,141.16,975.0,0.18999999999999773
2012-08-08,141.16,140.68,139.25,140.11,1167.0,-1.049999999999983
2012-08-12,140.11,139.25,138.4,138.4,508.0,-1.710000000000008
2012-08-13,138.4,143.07,138.78,139.35,3040.0,0.9499999999999886
2012-08-14,139.35,140.49,138.3,138.78,1350.0,-0.5699999999999932
2012-08-15,138.78,139.25,137.82,138.3,2545.0,-0.47999999999998977
2012-08-16,138.3,140.68,138.01,140.11,2466.0,1.8100000000000023
2012-08-19,140.11,138.4,137.44,138.4,385.0,-1.710000000000008
2012-08-21,138.4,139.73,136.39,139.73,2488.0,1.329999999999984
2012-08-22,139.73,140.4,138.4,139.44,1036.0,-0.28999999999999204
2012-08-23,139.44,140.02,137.44,139.73,1546.0,0.28999999999999204
2012-08-26,139.73,139.73,136.39,137.25,569.0,-2.4799999999999898
2012-08-27,137.25,138.3,136.97,138.3,1059.0,1.0500000000000114
2012-08-28,138.3,138.4,137.06,137.06,1216.0,-1.240000000000009
2012-08-29,137.06,137.35,135.73,137.35,1265.0,0.28999999999999204
2012-08-30,137.35,137.06,134.01,137.06,1420.0,-0.28999999999999204
2012-09-02,137.06,139.64,137.35,139.44,1427.0,2.3799999999999955
2012-09-03,139.44,140.11,138.3,139.25,731.0,-0.18999999999999773
2012-09-04,139.25,139.16,136.58,138.78,683.0,-0.46999999999999886
2012-09-05,138.78,139.25,137.35,138.4,681.0,-0.37999999999999545
2012-09-06,138.4,138.4,137.35,137.63,2276.0,-0.7700000000000102
2012-09-09,137.63,138.2,136.87,138.11,1031.0,0.4800000000000182
2012-09-10,138.11,137.44,136.01,136.01,524.0,-2.1000000000000227
2012-09-11,136.01,144.98,138.68,142.12,7009.0,6.110000000000014
2012-09-12,142.12,143.55,141.16,141.16,5042.0,-0.960000000000008
2012-09-13,141.16,142.02,140.97,141.26,1771.0,0.09999999999999432
2012-09-16,141.26,142.21,141.16,141.64,1019.0,0.37999999999999545
2012-09-17,141.64,141.92,141.26,141.92,1287.0,0.28000000000000114
2012-09-18,141.92,143.07,141.73,141.73,897.0,-0.18999999999999773
2012-09-19,141.73,142.12,141.16,141.35,998.0,-0.37999999999999545
2012-09-20,141.35,140.21,137.82,140.21,350.0,-1.1399999999999864
2012-09-23,140.21,139.25,137.54,138.49,921.0,-1.7199999999999989
2012-09-24,138.49,136.97,134.49,136.97,898.0,-1.5200000000000102
2012-09-25,136.97,136.77,134.96,136.01,1942.0,-0.960000000000008
2012-09-26,136.01,138.49,133.53,134.49,6206.0,-1.5199999999999818
2012-09-27,134.49,135.44,134.49,135.34,1035.0,0.8499999999999943
2012-09-30,135.34,137.73,133.53,133.53,1097.0,-1.8100000000000023
2012-10-01,133.53,136.2,133.53,133.72,4518.0,0.18999999999999773
2012-10-02,133.72,134.77,131.15,132.1,5576.0,-1.6200000000000045
2012-10-03,158.52,129.45,128.19,128.19,218.0,-3.9099999999999966
2012-10-04,128.19,128.76,126.02,128.76,723.0,0.5699999999999932
2012-10-07,128.76,131.05,129.68,131.05,1039.0,2.2900000000000205
2012-10-08,131.05,132.77,131.05,131.62,570.0,0.5699999999999932
2012-10-09,131.62,133.0,130.48,133.0,514.0,1.3799999999999955
2012-10-10,133.0,131.85,130.82,131.85,224.0,-1.1500000000000057
2012-10-11,131.85,130.48,129.91,129.91,377.0,-1.9399999999999977
2012-10-14,129.91,132.42,129.91,132.42,177.0,2.509999999999991
2012-10-15,132.42,132.77,132.77,132.77,26.0,0.35000000000002274
2012-10-17,132.77,132.77,132.77,132.77,211.0,0.0
2012-10-18,132.77,133.34,130.14,133.34,636.0,0.5699999999999932
2012-10-30,133.34,140.09,135.63,140.09,291.0,6.75
2012-10-31,140.09,142.84,140.09,142.73,806.0,2.6399999999999864
2012-11-01,142.73,142.95,139.64,142.95,1358.0,0.21999999999999886
2012-11-04,142.95,147.65,143.07,144.79,602.0,1.8400000000000034
2012-11-05,144.79,149.94,146.5,146.5,521.0,1.710000000000008
2012-11-06,146.5,152.11,148.79,150.62,2280.0,4.1200000000000045
2012-11-07,150.62,165.62,153.6,165.62,1661.0,15.0
2012-11-08,165.62,180.27,168.82,172.14,5562.0,6.519999999999982
2012-11-11,172.14,172.26,157.49,161.38,3220.0,-10.759999999999991
2012-11-12,161.38,166.53,160.24,166.53,1858.0,5.150000000000006
2012-11-18,166.53,172.14,166.53,172.03,5211.0,5.5
2012-11-20,172.03,179.92,175.0,177.41,3483.0,5.3799999999999955
2012-11-21,177.41,179.12,174.54,175.69,2159.0,-1.7199999999999989
2012-11-22,175.69,172.83,169.39,172.83,3477.0,-2.859999999999985
2012-11-25,172.83,173.63,169.39,171.8,5926.0,-1.0300000000000011
2012-11-26,171.8,170.77,168.25,169.17,14328.0,-2.630000000000024
2012-11-27,169.17,169.97,167.91,169.97,2331.0,0.8000000000000114
2012-11-28,169.97,171.57,167.1,171.57,1685.0,1.5999999999999943
2012-11-29,171.57,168.25,166.19,167.1,513.0,-4.469999999999999
2012-12-02,167.1,167.22,163.21,165.39,3251.0,-1.710000000000008
2012-12-03,165.39,167.1,160.58,167.1,1078.0,1.710000000000008
2012-12-04,167.1,170.42,167.1,167.79,1708.0,0.6899999999999977
2012-12-05,167.79,172.83,168.82,172.03,6029.0,4.240000000000009
2012-12-06,172.03,171.68,168.82,171.45,2285.0,-0.5800000000000125
2012-12-09,171.45,168.82,165.96,165.96,718.0,-5.489999999999981
2012-12-10,165.96,165.96,162.53,165.96,1548.0,0.0
2012-12-11,165.96,167.56,165.39,165.96,742.0,0.0
2012-12-13,165.96,172.71,167.68,170.54,601.0,4.579999999999984
2012-12-16,170.54,175.57,171.68,174.89,4987.0,4.349999999999994
2012-12-17,174.89,180.73,175.69,178.44,11942.0,3.5500000000000114
2012-12-18,178.44,174.89,171.68,174.2,2787.0,-4.240000000000009
2012-12-19,174.2,177.98,174.32,177.06,4192.0,2.8600000000000136
2012-12-20,177.06,178.44,175.12,178.09,4104.0,1.0300000000000011
2012-12-23,178.09,180.27,176.83,180.27,4289.0,2.180000000000007
2012-12-24,180.27,180.73,177.41,179.35,6737.0,-0.9200000000000159
2012-12-26,179.35,185.76,178.55,184.85,5465.0,5.5
2012-12-27,184.85,194.69,172.37,194.69,7127.0,9.840000000000003
2012-12-31,194.69,194.0,184.27,193.77,3896.0,-0.9199999999999875
2013-01-01,193.77,194.35,190.0,190.0,2821.0,-3.7700000000000102
2013-01-02,190.0,192.74,187.13,190.11,3397.0,0.11000000000001364
2013-01-03,190.11,193.43,190.0,193.32,5596.0,3.2099999999999795
2013-01-06,193.32,194.35,191.71,191.71,1363.0,-1.6099999999999852
2013-01-07,191.71,192.63,188.85,190.57,4852.0,-1.1400000000000148
2013-01-08,190.57,190.57,189.19,189.31,619.0,-1.259999999999991
2013-01-09,189.31,188.85,187.71,188.85,1314.0,-0.46000000000000796
2013-01-10,188.85,188.39,185.42,187.71,2114.0,-1.1399999999999864
2013-01-13,187.71,190.57,188.39,188.85,1896.0,1.1399999999999864
2013-01-15,188.85,190.91,188.85,188.85,1850.0,0.0
2013-01-16,188.85,190.22,187.71,188.85,1823.0,0.0
2013-01-17,188.85,187.13,185.07,185.42,2605.0,-3.430000000000007
2013-01-20,185.42,181.98,176.26,177.41,2151.0,-8.009999999999991
2013-01-21,177.41,184.5,180.95,181.98,468.0,4.569999999999993
2013-01-22,181.98,185.42,181.98,183.13,1194.0,1.1500000000000057
2013-01-23,183.13,183.13,180.27,181.18,1800.0,-1.9499999999999886
2013-01-24,181.18,183.24,180.61,183.24,3866.0,2.0600000000000023
