Date,Open,High,Low,Close,Volume
2012/12/17,96.22,81.93,74.79,74.79,22060.0
2012/12/18,82.91,82.91,82.91,82.91,10.0
2012/12/19,82.91,84.76,83.93,84.76,40.0
2012/12/20,84.76,86.81,85.89,86.81,31.0
2012/12/23,86.81,89.07,88.05,89.07,40.0
2012/12/24,89.07,92.93,89.59,92.93,1292.0
2012/12/26,92.93,94.78,92.36,94.78,91.0
2012/12/27,94.78,98.07,96.42,98.07,1260.0
2012/12/31,98.07,101.66,99.86,101.66,6361.0
2013/01/01,101.66,105.62,103.62,105.62,40.0
2013/01/02,105.62,109.99,107.78,109.99,8498.0
2013/01/03,109.99,114.82,110.91,114.82,1573.0
2013/01/06,114.82,120.11,117.44,120.11,4983.0
2013/01/07,120.11,125.92,122.99,125.92,11538.0
2013/01/08,125.92,129.52,125.92,128.18,8462.0
2013/01/09,128.18,126.9,121.55,121.55,5575.0
2013/01/10,121.55,120.37,115.59,115.59,2609.0
2013/01/13,115.59,114.51,112.51,113.02,8816.0
2013/01/15,113.02,112.97,110.35,110.45,4209.0
2013/01/16,110.45,109.94,108.86,109.47,1956.0
2013/01/17,109.47,109.53,108.65,109.22,3713.0
2013/01/20,109.22,109.68,107.06,108.04,1931.0
2013/01/21,108.04,109.68,107.62,108.76,1308.0
2013/01/22,108.76,111.43,108.09,110.45,607.0
2013/01/23,110.45,111.74,109.68,111.48,1882.0
2013/01/24,111.48,112.46,109.17,110.45,1717.0
2013/01/27,110.45,111.22,108.91,109.42,1613.0
2013/01/28,109.42,109.53,108.65,109.12,2067.0
2013/01/30,109.12,109.73,108.96,109.42,855.0
2013/01/31,109.42,109.94,109.17,109.42,1442.0
2013/02/03,109.42,109.94,108.86,108.86,2609.0
2013/02/04,108.86,109.42,107.98,108.91,1557.0
2013/02/05,108.91,109.42,108.4,108.96,1868.0
2013/02/06,108.96,108.76,108.14,108.24,1037.0
2013/02/07,108.24,108.91,107.47,108.91,1392.0
2013/02/10,108.91,108.14,107.88,107.88,618.0
2013/02/12,107.88,108.5,106.85,106.85,4393.0
2013/02/13,106.85,108.14,104.8,107.73,21258.0
2013/02/14,107.73,106.85,103.15,103.15,13260.0
2013/02/19,103.15,104.03,102.59,102.74,3313.0
2013/02/20,102.74,103.56,101.92,102.28,3091.0
2013/02/21,102.28,103.0,101.71,101.71,2252.0
2013/02/24,101.71,101.66,99.45,100.79,3195.0
2013/02/25,100.79,101.2,98.48,98.89,2420.0
2013/02/26,98.89,98.32,97.35,97.6,1765.0
2013/02/27,97.6,97.6,96.83,96.94,1607.0
2013/02/28,96.94,97.71,96.83,96.88,1121.0
2013/03/03,96.88,98.32,96.58,96.58,1388.0
2013/03/04,96.58,96.73,95.91,96.73,1069.0
2013/03/05,96.73,97.4,96.06,96.06,1618.0
2013/03/06,96.06,96.73,95.39,95.55,3071.0
2013/03/07,95.55,96.22,94.11,94.11,4218.0
2013/03/11,94.11,95.14,94.01,94.78,3483.0
2013/03/13,94.78,95.55,95.03,95.55,523.0
2013/03/14,95.55,96.58,95.19,96.58,2852.0
2013/03/17,96.58,96.99,96.22,96.58,1952.0
2013/03/18,96.58,96.58,96.06,96.58,819.0
2013/03/19,96.58,97.3,96.58,96.88,474.0
2013/03/20,96.88,96.22,96.22,96.22,781.0
2013/03/21,96.22,97.24,95.86,95.86,924.0
2013/03/24,95.86,96.06,94.52,95.14,1488.0
2013/03/25,95.14,95.81,94.88,95.81,520.0
2013/03/27,95.81,96.32,95.34,95.81,596.0
2013/03/28,95.81,96.32,95.14,95.14,1635.0
2013/03/31,95.14,95.5,94.93,95.03,597.0
2013/04/01,95.03,94.78,94.37,94.52,2200.0
2013/04/02,94.52,94.78,94.26,94.57,1725.0
2013/04/03,94.57,95.14,94.31,94.52,2128.0
2013/04/04,94.52,94.57,94.06,94.42,926.0
2013/04/07,94.42,94.78,94.31,94.47,1254.0
2013/04/08,94.47,95.03,94.42,94.57,963.0
2013/04/09,94.57,97.76,94.52,96.83,5896.0
2013/04/11,96.83,99.86,96.83,98.99,6685.0
2013/04/15,98.99,100.69,98.63,100.58,3605.0
2013/04/16,100.58,100.33,99.61,100.33,2554.0
2013/04/17,100.33,100.22,99.56,99.56,738.0
2013/04/18,99.56,99.3,97.66,98.12,1677.0
2013/04/21,98.12,98.12,97.45,97.86,741.0
2013/04/22,97.86,97.76,97.04,97.71,560.0
2013/04/23,97.71,98.37,96.88,97.6,7895.0
2013/04/25,97.6,97.91,96.88,97.86,2462.0
2013/04/28,97.86,98.58,97.35,97.55,1420.0
2013/04/29,97.55,98.01,96.47,97.35,2872.0
2013/04/30,97.35,97.35,93.8,93.8,13940.0
2013/05/02,93.8,93.24,90.61,90.61,8316.0
2013/05/05,90.61,90.15,87.74,87.74,11463.0
2013/05/06,87.74,88.4,85.17,88.4,293777.0
2013/05/07,88.4,90.31,87.12,88.87,29919.0
2013/05/08,88.87,89.54,86.81,88.97,140540.0
2013/05/09,91.05,91.05,91.05,91.05,135.0
2013/05/22,91.05,98.61,94.83,98.61,40.0
2013/05/23,98.61,106.7,100.22,106.7,60.0
2013/05/26,106.7,115.87,108.32,115.87,120.0
2013/05/27,115.87,122.89,112.64,112.64,3065.0
2013/05/28,112.64,111.02,104.54,104.54,3812.0
2013/05/30,104.54,108.32,104.54,108.32,1153.0
2013/06/02,108.32,107.78,106.16,107.78,1170.0
2013/06/03,107.78,106.7,105.62,106.16,2302.0
2013/06/04,106.16,104.54,104.54,104.54,20.0
2013/06/05,104.54,106.16,103.46,103.46,937.0
2013/06/06,103.46,103.46,101.84,102.38,1250.0
2013/06/09,102.38,102.38,101.3,101.3,425.0
2013/06/10,101.3,103.46,100.76,103.46,3093.0
2013/06/11,103.46,101.84,101.84,101.84,240.0
2013/06/12,101.84,101.84,99.69,100.22,3937.0
2013/06/13,100.22,100.22,100.22,100.22,602.0
2013/06/16,100.22,100.22,98.61,100.22,252.0
2013/06/18,100.22,100.76,99.69,100.76,696.0
2013/06/19,100.76,101.84,100.22,100.22,271.0
2013/06/20,100.22,100.22,98.61,100.22,200.0
2013/06/23,100.22,98.61,96.99,96.99,200.0
2013/06/24,96.99,96.45,93.75,93.75,1088.0
2013/06/25,93.75,94.83,91.59,93.21,4291.0
2013/06/26,93.21,96.99,93.75,95.37,2618.0
2013/06/27,95.37,99.15,95.37,97.53,1660.0
2013/06/30,97.53,99.69,97.53,99.69,1507.0
2013/07/01,99.69,99.15,98.07,98.07,3204.0
2013/07/02,98.07,98.07,94.83,96.45,2012.0
2013/07/03,96.45,98.61,96.99,98.61,1080.0
2013/07/04,98.61,100.22,98.07,98.61,641.0
2013/07/07,98.61,97.53,97.53,97.53,15.0
2013/07/08,97.53,96.45,94.29,95.91,425.0
2013/07/09,95.91,98.61,97.53,97.53,940.0
2013/07/10,97.53,99.15,99.15,99.15,1169.0
2013/07/11,99.15,100.76,99.15,99.15,741.0
2013/07/14,99.15,105.62,98.61,105.62,239.0
2013/07/15,105.62,105.08,104.0,105.08,110.0
2013/07/18,105.08,103.46,101.84,101.84,95.0
2013/07/21,101.84,100.22,96.45,96.45,1141.0
2013/07/22,96.45,95.37,93.75,93.75,2360.0
2013/07/23,93.75,95.91,92.13,95.91,1246.0
2013/07/24,95.91,96.45,94.83,96.45,1423.0
2013/07/25,96.45,99.69,98.07,98.07,2518.0
2013/07/28,98.07,100.76,98.07,99.15,1824.0
2013/07/29,99.15,100.76,100.22,100.76,1196.0
2013/07/30,100.76,104.0,101.84,104.0,690.0
2013/07/31,104.0,105.08,102.92,105.08,1821.0
2013/08/01,105.08,109.94,106.7,107.24,4726.0
2013/08/04,107.24,111.02,108.86,111.02,653.0
2013/08/05,111.02,109.4,107.78,107.78,143.0
2013/08/06,107.78,107.24,105.62,105.62,391.0
2013/08/07,105.62,107.24,104.54,105.08,1481.0
2013/08/08,105.08,105.08,103.46,103.46,2231.0
2013/08/11,103.46,101.84,96.99,96.99,1563.0
2013/08/12,96.99,100.22,96.45,100.22,1832.0
2013/08/13,100.22,103.46,98.61,98.61,3641.0
2013/08/14,98.61,99.15,97.53,99.15,1093.0
2013/08/15,99.15,99.15,97.53,97.53,614.0
2013/08/18,97.53,100.76,98.07,98.61,3189.0
2013/08/19,98.61,100.76,98.07,100.76,713.0
2013/08/20,100.76,102.38,99.69,102.38,1102.0
2013/08/25,102.38,100.76,99.15,99.69,556.0
2013/08/26,99.69,102.92,98.61,102.92,1924.0
2013/08/27,102.92,102.92,101.84,102.92,767.0
2013/08/29,102.92,105.08,101.84,104.54,859.0
2013/09/01,104.54,104.0,102.92,104.0,156.0
2013/09/02,104.0,105.08,102.92,104.0,1333.0
2013/09/03,104.0,105.08,101.84,101.84,1851.0
2013/09/04,101.84,104.0,101.3,104.0,3643.0
2013/09/05,104.0,104.0,102.38,104.0,1176.0
2013/09/08,104.0,105.62,104.0,104.0,1231.0
2013/09/09,104.0,105.62,102.38,104.0,2047.0
2013/09/10,104.0,107.24,102.38,102.38,660.0
2013/09/11,102.38,103.46,100.76,100.76,1849.0
2013/09/12,100.76,100.22,99.15,99.15,600.0
2013/09/15,99.15,102.38,100.76,102.38,282.0
2013/09/16,102.38,100.76,97.53,97.53,329.0
2013/09/17,97.53,99.69,95.91,99.69,507.0
2013/09/19,99.69,100.22,97.53,99.15,1948.0
2013/09/22,99.15,99.15,97.53,98.07,560.0
2013/09/23,98.07,96.45,96.45,96.45,471.0
2013/09/24,96.45,97.53,94.83,97.53,1180.0
2013/09/25,97.53,102.38,96.99,99.69,6778.0
2013/09/26,99.69,106.16,100.22,101.3,10220.0
2013/09/29,101.3,101.84,100.76,100.76,3030.0
2013/09/30,100.76,102.92,101.3,101.3,1537.0
2013/10/01,101.3,102.38,97.53,97.53,8349.0
2013/10/02,97.53,97.53,93.75,95.91,52517.0
2013/10/03,95.91,95.91,93.21,95.91,8108.0
2013/10/06,95.91,98.07,95.37,97.53,12146.0
2013/10/07,97.53,100.22,96.99,97.53,18733.0
2013/10/08,97.53,98.61,96.45,96.45,15100.0
2013/10/09,96.45,96.45,94.83,96.45,17525.0
2013/10/10,96.45,101.3,97.53,101.3,13270.0
2013/10/17,101.3,104.54,101.3,104.54,3590.0
2013/10/20,104.54,105.08,101.84,104.0,11234.0
2013/10/21,104.0,105.62,101.84,103.46,17977.0
2013/10/22,103.46,103.46,99.15,101.84,21064.0
2013/10/23,101.84,102.92,99.15,102.92,25741.0
2013/10/24,102.92,104.54,101.84,104.54,20198.0
2013/10/27,104.54,103.46,97.53,102.92,34123.0
2013/10/28,102.92,103.46,100.22,101.84,28422.0
2013/10/29,101.84,103.46,99.15,102.38,68595.0
2013/10/30,102.38,104.54,99.15,104.54,57590.0
2013/10/31,104.54,107.78,103.46,107.78,67419.0
2013/11/06,107.78,116.95,106.7,116.95,97079.0
2013/11/07,116.95,120.19,110.48,111.02,59077.0
2013/11/10,111.02,117.49,111.56,117.49,84685.0
2013/11/11,117.49,121.81,114.79,121.81,42226.0
2013/11/12,121.81,125.59,120.73,121.81,158799.0
2013/11/13,121.81,126.66,122.89,125.05,88652.0
2013/11/14,125.05,128.82,121.81,128.28,200113.0
2013/11/21,128.28,132.6,130.44,132.6,1267.0
2013/11/24,132.6,144.47,134.76,144.47,201821.0
2013/11/25,144.47,153.11,139.62,151.49,158053.0
