Date,Open,High,Low,Close,Volume
2012/01/02,51.99,52.49,52.49,52.49,20.0
2012/01/03,52.49,51.99,51.99,51.99,10.0
2012/01/04,51.99,51.49,48.99,49.99,3280.0
2012/01/05,49.99,49.49,49.49,49.49,360.0
2012/01/08,49.49,49.99,48.99,49.74,2830.0
2012/01/09,49.74,49.99,49.49,49.99,350.0
2012/01/10,49.99,49.74,49.24,49.74,2210.0
2012/01/11,49.74,49.99,49.49,49.49,560.0
2012/01/12,49.49,52.24,49.49,52.24,1350.0
2012/02/21,52.24,51.74,51.74,51.74,360.0
2012/02/23,51.74,52.24,52.24,52.24,20.0
2012/03/05,52.24,51.74,49.24,49.24,5130.0
2012/03/06,49.24,49.24,47.24,48.24,5560.0
2012/03/11,48.24,47.99,46.74,46.99,3700.0
2012/03/12,46.99,47.49,46.74,47.24,3360.0
2012/03/13,47.24,47.24,46.74,46.74,820.0
2012/03/14,46.74,47.24,46.99,47.24,2740.0
2012/03/15,47.24,46.99,46.99,46.99,200.0
2012/03/18,46.99,46.99,46.49,46.99,1280.0
2012/03/19,46.99,47.24,46.74,47.24,1640.0
2012/03/20,47.24,47.24,46.74,47.24,700.0
2012/03/21,47.24,47.49,46.74,47.49,810.0
2012/03/25,47.49,47.99,47.99,47.99,40.0
2012/03/26,47.99,47.49,47.49,47.49,660.0
2012/03/27,47.49,46.99,46.24,46.74,2170.0
2012/03/28,46.74,47.24,46.49,46.74,1090.0
2012/03/29,46.74,46.74,46.24,46.74,1550.0
2012/04/01,46.74,47.24,46.99,47.24,1330.0
2012/04/02,47.24,47.74,47.24,47.24,240.0
2012/04/03,47.24,46.99,46.74,46.99,1160.0
2012/04/04,46.99,46.99,45.99,46.99,2300.0
2012/04/05,46.99,47.49,46.49,47.49,1610.0
2012/04/08,47.49,47.99,47.99,47.99,20.0
2012/04/09,47.99,47.49,47.49,47.49,100.0
2012/04/10,47.49,46.99,46.99,46.99,50.0
2012/04/11,46.99,48.74,46.49,48.74,2790.0
2012/04/12,48.74,51.24,47.24,51.24,7015.0
2012/04/15,51.24,53.24,51.74,52.74,2180.0
