Date,Open,High,Low,Close,Volume
2016-09-07,109.85,109.85,109.85,109.85,200.0
2016-09-14,110.47,113.24,110.47,113.24,70.0
2016-09-18,113.99,114.74,113.99,114.74,40.0
2016-09-20,115.5,118.63,115.5,118.63,744.0
2016-09-21,119.39,120.27,119.39,120.27,33.0
2016-09-22,121.14,121.14,121.14,121.14,10.0
2016-09-25,121.14,121.14,121.14,121.14,10.0
2016-09-26,126.67,130.68,126.67,130.68,2100.0
2016-09-27,131.69,136.21,126.17,126.54,15383.0
2016-09-28,126.54,130.31,125.91,130.31,4662.0
2016-09-29,130.56,135.83,130.56,133.82,7258.0
2016-10-02,132.69,132.69,128.05,129.18,1282.0
2016-10-03,129.55,131.56,129.3,130.31,1968.0
2016-10-04,129.3,130.43,129.3,129.68,732.0
2016-10-05,129.68,129.68,129.18,129.3,520.0
2016-10-06,128.3,131.31,128.3,130.31,511.0
2016-10-16,130.31,130.31,128.42,128.8,339.0
2016-10-17,127.8,129.05,127.55,127.92,1075.0
2016-10-18,127.92,127.92,126.29,126.29,1064.0
2016-10-19,126.54,129.93,125.54,126.67,2962.0
2016-10-20,126.92,129.68,126.92,129.05,2743.0
2016-10-23,129.05,129.05,126.42,127.55,7497.0
2016-10-24,127.8,127.8,125.04,126.04,3821.0
2016-10-25,126.17,127.17,124.53,125.91,2395.0
2016-10-26,126.92,126.92,124.28,124.28,6824.0
2016-10-27,125.16,126.04,124.03,125.29,2172.0
2016-11-03,125.16,125.16,123.4,123.4,160.0
2016-11-07,123.4,123.4,122.78,123.15,842.0
2016-11-08,123.4,123.4,120.39,120.39,1597.0
2016-11-09,120.89,120.89,117.5,117.75,1216.0
2016-11-10,117.75,118.51,116.25,118.51,160.0
2016-11-13,118.51,119.01,117.5,118.01,633.0
2016-11-14,118.01,118.38,117.75,118.26,1271.0
2016-11-15,117.75,117.88,117.13,117.25,1645.0
2016-11-16,117.13,117.13,115.87,115.87,218.0
2016-11-17,116.37,116.37,115.24,116.37,310.0
2016-11-20,115.87,115.87,113.99,113.99,234.0
2016-11-21,113.36,113.36,111.98,113.24,1703.0
2016-11-22,113.24,113.24,111.98,111.98,817.0
2016-11-23,111.48,112.61,111.35,111.6,1426.0
2016-11-24,111.6,112.48,111.6,112.48,102.0
2016-11-27,112.48,112.48,111.48,112.23,215.0
2016-11-28,111.6,112.73,111.6,112.73,103.0
2016-11-29,112.98,115.75,112.98,115.62,305.0
2016-11-30,115.87,117.25,115.87,115.87,420.0
2016-12-01,115.87,116.62,113.36,113.36,2042.0
2016-12-04,113.36,113.36,112.73,112.73,1090.0
2016-12-05,112.73,113.24,111.6,112.48,226.0
2016-12-06,111.85,113.49,111.85,112.86,1290.0
2016-12-07,112.86,113.36,111.6,111.73,525.0
2016-12-08,111.73,112.36,111.1,111.1,1389.0
2016-12-11,110.6,110.72,109.97,110.72,462.0
2016-12-12,111.35,111.35,109.59,109.59,240.0
2016-12-14,109.59,110.22,108.34,110.22,338.0
2016-12-15,110.85,110.85,110.22,110.22,40.0
2016-12-18,110.22,110.22,109.59,109.59,306.0
2016-12-19,109.59,109.59,108.72,108.72,699.0
2016-12-20,109.34,109.34,107.84,108.09,359.0
2016-12-21,107.46,107.46,105.45,106.58,161.0
2016-12-22,105.95,107.59,105.95,107.59,262.0
2016-12-26,106.96,107.59,106.96,107.21,600.0
2016-12-27,106.58,107.34,106.58,107.34,122.0
2016-12-28,107.08,107.96,107.08,107.34,251.0
2016-12-29,107.34,107.96,107.34,107.96,1218.0
2017-01-01,108.59,110.85,108.47,109.85,193.0
2017-01-02,110.22,110.85,110.22,110.85,1337.0
2017-01-03,110.22,110.85,110.22,110.22,130.0
2017-01-04,110.22,111.48,110.22,110.98,126.0
2017-01-05,110.98,113.11,110.98,113.11,670.0
2017-01-08,113.11,113.86,112.36,112.61,670.0
2017-01-09,112.73,112.61,109.85,110.47,1009.0
2017-01-10,111.1,112.11,111.1,112.11,90.0
2017-01-11,112.11,112.11,111.6,111.6,140.0
2017-01-12,111.1,112.23,111.1,112.23,1030.0
2017-01-15,112.36,112.36,111.73,111.98,290.0
2017-01-16,112.11,111.48,111.35,111.48,22.0
2017-01-17,111.48,112.36,111.48,112.36,1803.0
2017-01-18,111.73,111.98,111.73,111.98,237.0
2017-01-19,111.35,111.48,110.72,110.98,92.0
2017-01-22,110.35,110.6,109.85,110.47,670.0
2017-01-23,110.85,110.85,109.47,109.72,379.0
2017-01-24,109.59,109.72,109.22,109.59,130.0
2017-01-25,109.59,109.59,107.71,107.71,115.0
2017-01-26,107.34,107.34,106.71,107.21,527.0
2017-01-30,106.58,106.58,105.95,105.95,80.0
2017-01-31,106.46,107.08,106.46,107.08,317.0
2017-02-01,106.46,109.85,106.46,109.85,1300.0
2017-02-02,109.72,110.35,108.97,109.09,282.0
2017-02-05,109.09,109.09,108.21,108.21,324.0
2017-02-06,108.21,108.34,107.71,107.96,162.0
2017-02-07,108.09,108.34,107.71,108.34,1540.0
2017-02-08,108.34,109.09,106.58,109.09,1131.0
2017-02-09,108.84,108.84,107.71,107.71,370.0
2017-02-12,107.08,107.08,105.83,105.83,441.0
2017-02-13,105.33,105.33,104.82,104.95,89.0
2017-02-14,105.45,106.21,105.45,106.21,717.0
2017-02-15,105.83,106.33,105.83,106.33,183.0
2017-02-16,106.83,108.97,106.83,108.97,520.0
2017-02-19,108.34,108.59,107.96,107.96,160.0
2017-02-20,107.96,109.97,107.96,109.34,362.0
2017-02-21,109.85,109.85,108.59,108.59,270.0
2017-02-22,107.96,108.21,107.46,108.21,428.0
2017-02-23,108.21,108.34,107.71,107.71,80.0
2017-02-26,108.09,108.34,106.08,106.83,1210.0
2017-02-28,106.83,106.83,106.21,106.46,120.0
2017-03-01,106.46,106.83,105.7,106.83,709.0
2017-03-02,106.21,106.58,105.95,106.46,3810.0
2017-03-05,107.08,107.59,107.08,107.46,228.0
2017-03-06,107.46,107.46,106.21,106.71,281.0
2017-03-07,106.71,107.08,106.46,106.46,207.0
2017-03-09,105.83,106.96,105.08,106.58,408.0
2017-03-13,106.21,106.83,105.95,106.71,200.0
2017-03-14,107.08,107.08,106.46,106.96,100.0
2017-03-15,106.58,106.58,106.46,106.46,30.0
2017-03-16,106.46,108.34,106.46,108.34,1503.0
2017-03-19,108.34,107.96,107.08,107.71,168.0
2017-03-20,107.84,109.09,107.84,109.09,141.0
2017-03-21,109.72,110.22,109.09,110.22,320.0
2017-03-22,109.72,110.85,109.72,110.35,675.0
2017-03-23,109.72,110.98,108.84,109.72,1576.0
2017-03-26,109.09,112.11,107.84,110.98,2073.0
2017-03-28,110.98,112.73,111.48,112.73,520.0
2017-03-29,112.73,114.24,112.11,112.11,2252.0
2017-03-30,112.11,112.86,111.1,111.48,616.0
2017-04-02,111.48,112.11,111.48,112.11,5785.0
2017-04-03,112.73,112.73,110.85,110.85,599.0
2017-04-04,110.85,112.11,110.22,111.6,701.0
2017-04-06,111.6,112.98,111.6,112.86,7059.0
2017-04-09,112.86,115.12,112.86,114.74,1189.0
2017-04-10,114.62,116.37,114.62,116.37,1182.0
2017-04-11,116.88,117.25,114.99,117.25,2441.0
2017-04-12,116.5,116.5,115.24,115.37,626.0
2017-04-13,114.62,116.12,114.62,115.62,1332.0
