Date,Open,High,Low,Close,Volume
2012-01-01,61.46,61.46,60.89,61.46,6400.0
2012-01-02,61.46,61.46,61.46,61.46,1500.0
2012-01-03,61.46,62.02,61.46,62.02,3110.0
2012-01-04,62.02,61.46,60.33,60.33,3000.0
2012-01-08,60.33,60.89,60.33,60.89,403500.0
2012-01-09,60.89,61.46,59.77,61.46,648225.0
2012-01-10,61.46,62.02,61.46,62.02,8000.0
2012-01-11,62.02,63.14,62.58,63.14,70.0
2012-01-12,63.14,62.58,62.58,62.58,500.0
2012-01-16,62.58,62.02,62.02,62.02,1000.0
2012-01-17,62.02,62.02,61.46,61.46,3000.0
2012-01-22,61.46,62.02,61.46,61.46,2000.0
2012-01-26,61.46,60.89,60.89,60.89,2000.0
2012-01-29,60.89,60.89,60.33,60.89,6000.0
2012-02-01,60.89,60.33,60.33,60.33,1200.0
2012-02-05,60.33,59.77,59.21,59.21,2000.0
2012-02-07,59.21,59.77,59.21,59.21,2500.0
2012-02-08,59.21,59.21,58.64,58.64,1860.0
2012-02-09,58.64,60.89,59.21,60.89,1050.0
2012-02-12,60.89,60.33,60.33,60.33,1000.0
2012-02-13,60.33,62.02,60.33,62.02,781.0
2012-02-16,62.02,61.46,61.46,61.46,190.0
2012-02-21,61.46,61.46,61.46,61.46,1000.0
2012-02-26,61.46,60.89,60.89,60.89,250.0
2012-02-28,60.89,60.89,60.89,60.89,60.0
2012-03-05,60.89,61.46,61.46,61.46,100.0
2012-03-11,61.46,60.89,60.33,60.33,300.0
2012-03-12,60.33,59.77,59.77,59.77,300.0
2012-03-13,59.77,59.77,59.77,59.77,400.0
2012-03-19,59.77,59.77,59.77,59.77,100.0
2012-03-29,59.77,59.21,58.64,58.64,2300.0
2012-04-01,58.64,58.08,56.39,56.39,12800.0
2012-04-02,56.39,56.39,55.27,56.39,20100.0
2012-04-03,56.39,57.52,55.83,57.52,5400.0
2012-04-04,57.52,58.08,56.39,56.96,9000.0
2012-04-05,56.96,56.96,56.39,56.39,4000.0
2012-04-08,56.39,56.39,55.83,55.83,25000.0
2012-04-09,55.83,56.96,55.83,56.96,15000.0
2012-04-10,56.96,58.64,57.52,58.08,6200.0
2012-04-11,58.08,59.21,56.96,56.96,5600.0
2012-04-12,56.96,58.08,56.39,58.08,4400.0
2012-04-15,58.08,60.33,58.64,59.77,29800.0
2012-04-16,59.77,60.33,60.33,60.33,100.0
2012-04-17,60.33,61.46,60.89,60.89,11600.0
2012-04-18,60.89,63.14,60.33,63.14,10505.0
2012-04-19,63.14,64.83,62.02,63.14,24800.0
2012-04-22,63.14,65.96,63.71,65.39,63050.0
2012-04-24,65.39,67.64,65.96,67.64,1800.0
2012-04-25,67.64,69.33,68.21,69.33,34020.0
2012-04-26,69.33,72.71,69.33,72.71,84660.0
2012-04-29,72.71,76.64,73.27,76.64,23280.0
2012-04-30,76.64,81.14,77.21,80.02,64618.0
2012-05-02,80.02,84.52,75.52,75.52,55215.0
2012-05-03,75.52,76.64,76.08,76.64,150.0
2012-05-07,76.64,80.58,78.33,80.58,14380.0
2012-05-08,80.58,83.96,81.14,83.39,13110.0
2012-05-09,83.39,83.96,80.58,81.14,3750.0
2012-05-10,81.14,80.58,76.64,76.64,56480.0
2012-05-13,76.64,76.64,76.08,76.08,420.0
2012-05-14,76.08,75.52,73.83,73.83,1050.0
2012-05-15,73.83,77.77,74.39,77.21,18400.0
2012-05-16,77.21,79.46,77.21,79.46,9250.0
2012-05-17,79.46,80.58,77.77,78.89,15090.0
2012-05-20,78.89,78.33,74.39,74.39,24110.0
2012-05-21,74.39,74.96,72.14,72.71,35630.0
2012-05-22,72.71,76.08,71.58,75.52,10210.0
2012-05-24,75.52,76.08,76.08,76.08,520.0
2012-05-27,76.08,76.64,76.08,76.08,70.0
2012-05-31,76.08,75.52,72.14,72.14,430.0
2012-06-03,72.14,71.58,68.77,68.77,17950.0
2012-06-04,68.77,68.21,65.96,65.96,14600.0
2012-06-05,65.96,65.96,63.14,64.27,7730.0
2012-06-06,64.27,65.96,63.71,65.96,13350.0
2012-06-07,65.96,68.77,65.96,66.52,32500.0
2012-06-10,66.52,67.64,66.52,67.08,17770.0
2012-06-11,67.08,67.08,66.52,66.52,3000.0
2012-06-12,66.52,66.52,64.83,64.83,5900.0
