Date,Open,High,Low,Close,Volume
2012/01/18,69.38,69.19,68.28,68.28,1088.0
2012/01/25,68.28,68.2,68.2,68.2,75.0
2012/01/29,68.2,68.2,68.0,68.0,357.0
2012/01/31,68.0,67.84,67.84,67.84,27.0
2012/02/01,67.84,67.96,67.96,67.96,13.0
2012/02/06,67.96,67.88,67.65,67.73,10686.0
2012/02/13,67.73,67.57,67.57,67.57,54.0
2012/02/15,67.57,67.41,67.41,67.41,1201.0
2012/02/28,67.41,67.41,67.41,67.41,48.0
2012/02/29,67.41,67.29,67.25,67.29,270.0
2012/03/01,67.29,67.13,67.13,67.13,39.0
2012/03/04,67.13,66.98,66.82,66.82,163.0
2012/03/06,66.82,66.66,66.66,66.66,377.0
2012/03/11,66.66,66.66,66.66,66.66,13.0
2012/03/18,66.66,66.5,66.5,66.5,13.0
2012/03/19,66.5,66.34,66.34,66.34,46.0
2012/03/21,66.34,66.19,66.07,66.07,375.0
2012/03/28,66.07,65.95,65.83,65.83,1948.0
2012/04/09,65.83,65.83,65.83,65.83,50.0
2012/04/30,65.83,66.58,65.95,66.58,6097.0
2012/05/07,66.58,67.05,66.74,67.05,8082.0
2012/05/29,67.7,67.74,67.74,67.74,3170.0
2012/06/12,67.74,66.89,66.72,66.81,557.0
2012/06/13,66.81,66.98,66.81,66.98,163.0
2012/07/30,66.98,67.15,67.15,67.15,116.0
2012/08/14,67.15,67.32,67.32,67.32,136.0
2012/08/15,67.32,67.19,67.19,67.19,246.0
2012/09/09,67.19,67.61,67.61,67.61,20.0
2012/09/11,67.61,68.04,68.04,68.04,20.0
2012/09/12,68.04,68.5,68.5,68.5,20.0
2012/09/13,68.5,69.01,69.01,69.01,20.0
2012/09/16,69.01,69.52,69.52,69.52,20.0
2012/09/17,69.52,70.28,70.07,70.28,184.0
2012/09/18,70.28,70.45,70.45,70.45,20.0
2012/09/19,70.45,71.04,70.79,70.79,3717.0
2012/09/20,70.79,72.02,71.38,72.02,56.0
2012/09/23,72.02,72.95,72.7,72.7,282.0
2012/09/24,72.7,72.48,71.93,71.93,135.0
2012/11/25,71.93,71.89,71.68,71.68,273.0
2012/12/03,71.68,71.51,70.62,70.62,127.0
2012/12/05,70.62,71.0,70.83,71.0,478.0
2012/12/11,71.0,70.83,70.79,70.79,512.0
2012/12/16,70.79,70.62,70.62,70.62,13.0
2012/12/20,70.62,70.66,70.66,70.66,62.0
2012/12/23,70.66,70.66,70.66,70.66,624.0
2012/12/24,70.66,71.09,70.87,71.09,761.0
2012/12/26,71.09,71.34,71.34,71.34,624.0
2012/12/31,73.94,73.94,73.94,73.94,859.0
2013/02/05,73.94,71.35,71.35,71.35,5149.0
2013/03/05,71.35,71.09,70.84,70.84,205.0
2013/03/20,70.84,71.04,70.99,71.04,257.0
2013/04/03,71.04,70.89,70.89,70.89,50.0
2013/04/04,70.89,70.84,70.84,70.84,50.0
2013/04/29,70.84,70.99,70.99,70.99,32.0
2013/05/02,70.99,70.79,70.79,70.79,100.0
2013/05/09,70.79,70.79,70.79,70.79,51.0
2013/05/20,70.79,70.79,70.79,70.79,317.0
2013/06/03,70.79,70.99,70.99,70.99,454.0
2013/06/10,70.99,71.2,71.2,71.2,2600.0
2013/06/27,71.2,71.2,70.79,71.2,11628.0
2013/07/09,71.2,71.04,71.04,71.04,11031.0
2013/07/22,71.04,70.79,70.18,70.18,617.0
2013/07/30,70.18,70.59,70.38,70.59,22.0
2013/08/06,70.59,70.99,70.79,70.99,595.0
2013/08/07,70.99,71.45,71.2,71.45,1354.0
2013/08/08,71.45,72.21,71.2,72.21,2754.0
2013/08/11,72.21,72.47,72.21,72.21,5333.0
2013/08/12,72.21,71.96,70.99,71.04,3487.0
2013/08/15,71.04,70.84,70.74,70.74,99.0
2013/08/25,70.74,70.94,70.94,70.94,716.0
2013/08/29,70.94,71.91,71.15,71.91,5000.0
2013/09/01,71.91,72.67,72.16,72.67,3879.0
2013/09/02,72.67,72.92,72.92,72.92,17.0
2013/09/04,72.92,72.67,72.16,72.16,716.0
2013/09/05,72.16,72.16,72.16,72.16,2021.0
2013/09/08,72.16,72.92,72.42,72.92,74.0
2013/09/10,72.92,73.69,73.18,73.69,1240.0
2013/09/11,73.69,75.01,73.99,74.55,5123.0
2013/09/15,74.55,74.25,74.25,74.25,287.0
2013/09/24,74.25,74.55,74.55,74.55,25.0
2013/10/03,74.55,76.13,74.6,76.13,3129.0
2013/10/06,76.13,77.91,76.48,77.91,150.0
2013/10/07,77.91,79.18,77.65,79.18,6097.0
2013/10/08,79.18,79.84,79.43,79.84,313.0
2013/10/10,79.84,81.01,80.19,81.01,177.0
2013/10/21,81.01,81.01,80.65,80.65,650.0
2013/10/22,80.65,80.7,80.6,80.7,1033.0
2013/10/24,80.7,80.7,80.7,80.7,24.0
2013/12/01,80.7,81.31,80.85,80.85,5812.0
2013/12/02,80.85,81.72,81.26,81.72,38.0
2013/12/04,81.72,83.55,82.18,83.55,40.0
2013/12/05,83.55,84.01,84.01,84.01,469.0
2013/12/08,84.01,84.77,84.26,84.77,2549.0
2013/12/09,84.77,86.29,84.77,85.79,5866.0
2013/12/10,85.79,85.53,85.28,85.28,687.0
2013/12/11,85.28,84.77,84.77,84.77,500.0
2013/12/15,84.77,85.79,85.28,85.79,975.0
2013/12/22,85.79,86.29,86.29,86.29,31.0
2013/12/23,86.29,86.85,86.85,86.85,38.0
2013/12/26,86.85,87.41,87.41,87.41,400.0
2013/12/29,87.41,86.85,86.85,86.85,72.0
2013/12/31,86.85,86.8,86.8,86.8,1000.0
2014/01/01,86.8,86.8,85.79,85.79,2250.0
2014/01/02,85.79,85.28,85.28,85.28,1000.0
2014/01/05,85.28,84.77,84.77,84.77,25.0
2014/01/06,84.77,85.23,85.23,85.23,172.0
2014/01/07,85.23,84.77,84.77,84.77,209.0
2014/01/08,84.77,85.28,85.28,85.28,1226.0
2014/01/12,85.28,84.77,84.77,84.77,133.0
2014/01/13,84.77,84.72,84.21,84.72,3684.0
2014/01/14,84.72,85.28,85.02,85.28,3262.0
2014/01/16,85.28,85.53,85.53,85.53,500.0
2014/01/20,85.53,87.97,86.04,87.97,2020.0
2014/01/21,87.97,89.7,88.53,89.7,1617.0
2014/01/22,89.7,90.11,89.6,89.6,521.0
2014/01/23,89.6,90.87,89.85,89.85,2496.0
2014/01/27,89.85,90.36,90.36,90.36,551.0
2014/01/28,90.36,90.97,90.97,90.97,1000.0
2014/01/29,90.97,91.48,90.87,90.87,3000.0
2014/02/02,90.87,91.12,90.87,90.97,1368.0
2014/02/03,90.97,91.38,89.9,89.9,4995.0
2014/02/04,89.9,90.46,89.85,90.46,613.0
2014/02/05,90.46,90.82,89.6,90.31,8571.0
2014/02/06,90.31,89.85,89.6,89.85,656.0
2014/02/09,89.85,90.46,89.8,90.46,720.0
2014/02/10,90.46,91.07,90.46,90.87,5549.0
2014/02/11,90.87,90.61,90.36,90.61,3669.0
2014/02/12,90.61,91.12,90.61,90.87,3250.0
2014/02/13,90.87,92.6,90.87,91.89,2719.0
2014/02/16,91.89,94.07,92.55,93.66,7852.0
2014/02/17,93.66,97.17,93.92,97.17,12666.0
2014/02/18,97.17,101.04,97.93,101.04,10866.0
2014/02/20,101.04,105.31,101.85,104.39,7873.0
2014/02/23,104.39,104.9,104.59,104.85,873.0
2014/02/24,104.85,105.76,104.09,104.09,1607.0
2014/02/25,104.09,103.32,101.8,101.8,1050.0
2014/02/26,101.8,100.93,99.31,99.31,2301.0
2014/03/03,99.31,100.02,99.15,99.15,838.0
2014/03/04,99.15,99.26,98.44,99.21,1108.0
2014/03/05,99.21,98.49,98.39,98.49,580.0
2014/03/06,98.49,99.0,98.49,99.0,703.0
2014/03/09,99.0,99.0,98.49,99.0,225.0
2014/03/10,99.0,98.24,98.24,98.24,969.0
2014/03/11,98.24,97.93,97.93,97.93,1500.0
2014/03/13,97.93,97.99,97.48,97.48,943.0
2014/03/17,97.48,97.22,96.46,96.46,1400.0
2014/03/18,96.46,95.7,94.27,94.27,395.0
2014/03/19,94.27,94.99,91.22,91.22,2209.0
2014/03/20,91.22,91.83,91.83,91.83,1021.0
2014/03/23,91.83,95.14,92.5,95.14,2259.0
2014/03/24,95.14,98.09,95.85,98.09,417.0
2014/03/25,98.09,102.05,98.85,100.37,3350.0
2014/03/26,100.37,101.29,99.0,99.0,2179.0
2014/03/27,99.0,99.26,98.24,98.6,2318.0
2014/03/31,98.6,97.99,96.51,96.51,2714.0
2014/04/01,96.51,98.24,97.27,98.24,6834.0
2014/04/02,98.24,98.24,98.24,98.24,278.0
2014/04/03,98.24,97.99,97.48,97.99,1677.0
2014/04/06,97.99,98.7,97.93,97.93,556.0
2014/04/07,97.93,98.49,97.99,98.49,779.0
2014/04/09,98.49,99.0,97.73,98.19,5853.0
2014/04/10,98.19,101.04,98.95,100.53,4753.0
2014/04/13,100.53,101.54,100.53,100.68,4794.0
2014/04/15,100.68,101.19,100.58,101.04,3193.0
2014/04/16,101.04,101.19,100.78,100.78,392.0
2014/04/17,100.78,101.49,101.04,101.04,1097.0
2014/04/20,101.04,104.03,101.04,103.98,16334.0
2014/04/21,103.98,105.0,102.76,103.68,8438.0
2014/04/22,103.68,104.54,101.95,103.58,11511.0
2014/04/23,103.58,105.41,103.83,105.25,11501.0
2014/04/27,105.25,109.17,106.17,107.59,10103.0
2014/04/28,107.59,108.1,105.66,106.63,14857.0
2014/04/29,106.63,107.14,105.1,105.1,21654.0
2014/04/30,106.12,106.12,106.12,106.12,531.0
2014/05/04,106.12,111.41,107.14,111.41,950.0
2014/05/05,111.41,117.2,112.52,117.2,8106.0
2014/05/06,117.2,119.64,118.42,119.64,387.0
2014/05/07,119.64,124.93,120.96,123.5,1426.0
2014/05/08,123.5,122.89,122.89,122.89,200.0
2014/05/12,122.89,121.57,121.57,121.57,100.0
2014/05/21,121.57,120.25,118.93,118.93,36.0
2014/05/25,118.93,117.71,117.71,117.71,18.0
2014/05/27,117.71,116.49,116.49,116.49,78.0
2014/06/02,116.49,115.27,115.27,115.27,18.0
2014/06/11,115.27,114.05,111.81,111.81,128.0
2014/06/15,111.81,112.93,112.93,112.93,10.0
2014/06/16,112.93,112.93,111.81,112.93,110.0
2014/06/18,112.93,112.22,110.08,110.19,6473.0
2014/06/19,110.19,112.22,110.19,110.19,1566.0
2014/06/24,110.19,111.2,109.17,109.17,998.0
2014/06/30,109.17,108.15,107.14,107.24,1270.0
2014/07/01,107.24,108.05,107.14,107.95,2086.0
2014/07/02,107.95,113.34,108.97,113.34,8333.0
2014/07/03,113.34,117.71,114.25,114.56,6585.0
2014/07/06,114.56,118.52,112.63,116.29,7760.0
2014/07/07,116.29,121.78,117.51,121.67,8125.0
2014/07/08,121.67,125.64,122.39,123.91,5430.0
2014/07/09,123.91,123.91,121.27,121.27,896.0
2014/07/10,121.27,120.86,117.3,117.3,1482.0
2014/07/13,117.3,116.08,116.08,116.08,239.0
