Date,Open,High,Low,Close,Volume
2012-08-28,53.68,53.23,52.95,52.95,620.0
2012-08-29,52.95,53.35,53.03,53.35,896.0
2012-08-30,53.35,53.8,53.43,53.8,468.0
2012-09-02,53.8,54.04,53.68,53.68,1651.0
2012-09-05,53.68,53.59,53.51,53.51,46.0
2012-09-06,53.51,53.43,53.19,53.27,946.0
2012-09-09,53.27,53.35,53.35,53.35,167.0
2012-09-11,53.35,53.35,53.19,53.35,436.0
2012-09-13,53.35,53.43,53.43,53.43,46.0
2012-09-16,53.43,53.51,53.35,53.51,870.0
2012-09-17,53.51,53.59,53.51,53.59,740.0
2012-09-18,53.59,53.76,53.68,53.68,570.0
2012-09-20,53.68,53.59,53.51,53.59,136.0
2012-10-02,53.59,53.63,53.51,53.51,10758.0
2012-10-03,53.51,53.43,53.43,53.43,23.0
2012-10-04,53.43,53.35,53.35,53.35,254.0
2012-10-07,53.35,53.76,53.43,53.68,622.0
2012-10-08,53.68,53.72,53.59,53.72,531.0
2012-10-09,53.72,54.12,53.8,54.08,1479.0
2012-10-10,54.08,54.16,54.16,54.16,23.0
2012-10-15,54.16,54.08,53.92,53.92,185.0
2012-10-30,53.92,53.84,53.84,53.84,100.0
2012-10-31,53.84,53.76,53.76,53.76,39.0
2012-11-06,53.76,53.68,53.68,53.68,24.0
2012-11-20,53.68,53.59,53.59,53.59,13.0
2012-11-27,53.59,53.51,53.51,53.51,100.0
2012-12-10,53.51,53.43,53.43,53.43,400.0
2013-01-06,53.43,53.35,53.19,53.27,1038.0
2013-01-07,53.27,53.31,53.23,53.31,503.0
2013-01-15,53.31,53.23,53.15,53.15,154.0
2013-01-17,53.15,53.23,53.19,53.23,98.0
2013-01-23,53.23,53.47,53.31,53.47,743.0
2013-01-24,53.47,53.63,53.55,53.63,352.0
2013-01-28,53.63,53.63,53.55,53.63,244.0
2013-01-31,53.63,53.63,53.63,53.63,253.0
2013-02-04,53.63,53.72,53.72,53.72,24.0
2013-02-28,53.72,53.63,53.63,53.63,20.0
2013-04-23,53.63,53.8,53.72,53.8,54.0
2013-04-25,53.8,53.8,53.72,53.72,420.0
2013-04-29,53.72,53.68,53.68,53.68,72.0
2013-04-30,53.68,53.59,53.59,53.59,72.0
2013-06-04,54.13,54.04,53.68,54.04,495.0
2013-06-05,54.04,54.13,54.0,54.0,1575.0
2013-06-06,54.0,54.08,54.0,54.08,813.0
2013-07-01,54.08,54.17,54.08,54.08,132.0
2013-07-04,54.08,54.0,54.0,54.0,100.0
2013-07-29,54.0,54.08,54.08,54.08,142.0
2013-07-30,54.08,54.35,54.17,54.26,375.0
2013-07-31,54.26,54.44,54.35,54.44,33.0
2013-08-01,54.44,54.53,54.44,54.53,327.0
2013-08-05,54.53,54.44,54.44,54.44,160.0
2013-08-06,54.44,54.67,54.49,54.49,5020.0
2013-08-12,54.49,54.58,54.58,54.58,198.0
2013-08-14,54.58,54.93,54.62,54.93,740.0
2013-08-15,54.93,55.34,54.98,55.34,470.0
2013-08-18,55.34,55.96,55.34,55.96,787.0
2013-08-19,55.96,56.63,56.1,56.63,1124.0
2013-08-20,56.63,57.39,56.77,57.39,4380.0
2013-08-25,57.39,58.2,57.39,58.2,2102.0
2013-08-26,58.2,59.09,58.37,59.09,358.0
2013-08-27,59.09,59.63,59.0,59.0,4338.0
2013-08-29,59.0,59.18,58.96,58.96,462.0
2013-09-03,58.96,58.78,58.06,58.06,203.0
2013-09-12,58.06,57.88,57.88,57.88,54.0
2013-10-06,57.88,57.7,57.57,57.57,120.0
2013-10-08,57.57,57.44,56.9,56.9,50.0
2013-10-09,56.9,56.77,56.5,56.5,439.0
2013-10-10,56.5,56.36,56.36,56.36,27.0
2013-10-20,56.36,56.23,55.65,55.65,84.0
2013-10-21,55.65,55.51,55.02,55.11,1088.0
2013-10-22,55.11,55.38,55.16,55.38,1073.0
2013-10-23,55.38,55.47,55.47,55.47,13.0
2013-10-27,55.47,56.1,55.56,56.1,877.0
2013-10-28,56.1,56.32,55.65,56.32,8082.0
2013-10-29,56.32,56.77,56.41,56.54,735.0
2013-10-30,56.54,56.94,56.54,56.54,418.0
2013-10-31,56.54,56.68,56.54,56.54,557.0
2013-11-06,56.54,56.45,56.41,56.41,285.0
2013-11-07,56.41,56.81,56.54,56.81,1443.0
2013-11-11,56.81,56.68,56.54,56.68,305.0
2013-11-14,56.68,57.08,56.81,57.08,47.0
2013-11-21,57.08,57.35,57.21,57.35,791.0
2013-11-24,57.35,57.61,57.48,57.61,791.0
2013-11-25,57.61,58.06,57.75,57.75,2013.0
2013-11-26,57.75,58.11,57.88,58.11,856.0
2013-11-27,58.11,58.29,58.2,58.2,202.0
2013-11-28,58.2,58.55,58.37,58.37,8381.0
2014-06-01,58.37,59.27,58.55,59.27,120.0
2014-06-02,59.27,60.3,59.45,60.3,64.0
2014-06-03,60.3,61.41,60.52,61.41,50.0
2014-06-04,61.41,61.19,61.19,61.19,7536.0
2014-06-09,61.19,62.4,61.14,62.4,1987.0
2014-06-10,62.4,63.74,62.66,63.74,80.0
2014-06-11,63.74,65.21,64.0,65.21,90.0
2014-06-12,65.21,65.84,65.52,65.84,20.0
2014-06-15,65.84,67.49,66.15,67.49,60.0
2014-06-16,67.49,67.94,67.85,67.94,39005.0
2014-06-17,67.94,69.81,68.29,69.81,698.0
2014-06-18,69.81,71.87,70.22,71.87,522.0
2014-06-19,71.87,74.15,72.99,74.15,2485.0
2014-06-23,74.15,76.65,74.64,76.65,5709.0
2014-06-24,76.65,79.42,77.19,79.42,7282.0
2014-06-25,79.42,82.46,80.0,82.46,25100.0
2014-06-26,82.46,84.47,80.54,81.12,12212.0
2014-06-29,81.12,80.89,79.96,80.58,8474.0
2014-06-30,80.58,81.21,80.22,80.27,2044.0
2014-07-01,80.27,83.31,80.22,81.79,8166.0
2014-07-02,81.79,85.05,82.41,83.8,1404.0
