Date,Open,High,Low,Close,Volume
2023-02-23,232.2,232.2,213.2,216.0,276758.0
2023-02-26,212.0,212.0,204.0,207.5,129624.0
2023-02-27,207.0,210.6,203.1,206.0,88701.0
2023-02-28,206.0,207.0,203.2,203.7,62491.0
2023-03-01,205.0,205.9,203.7,204.0,41099.0
2023-03-02,207.8,207.8,200.0,200.5,57048.0
2023-03-05,202.0,202.0,197.1,197.5,78195.0
2023-03-07,196.1,199.8,196.1,197.0,40001.0
2023-03-09,199.5,202.9,199.2,201.2,67668.0
2023-03-12,204.0,204.0,196.0,198.2,58923.0
2023-03-13,196.1,198.5,195.1,197.0,45952.0
2023-03-14,200.9,200.9,195.0,195.0,57432.0
2023-03-15,197.0,197.0,192.6,193.2,58388.0
2023-03-16,192.0,193.0,190.6,192.0,55926.0
2023-03-19,192.1,193.0,189.7,190.9,72137.0
2023-03-20,192.0,194.0,190.2,191.4,41833.0
2023-03-22,194.5,194.5,190.0,191.5,51533.0
2023-03-23,191.0,193.8,188.5,192.0,55968.0
2023-03-26,193.0,193.0,186.2,187.9,85585.0
2023-03-27,189.0,190.7,184.3,188.3,62229.0
2023-03-28,191.0,193.0,187.2,191.0,39108.0
2023-03-29,190.0,191.9,186.0,191.4,74551.0
2023-03-30,189.0,191.0,187.3,187.5,74624.0
2023-04-02,187.5,191.2,183.0,184.9,74001.0
2023-04-03,184.0,186.0,182.0,184.0,98341.0
2023-04-04,181.5,184.8,179.1,181.1,78330.0
2023-04-05,181.0,184.0,180.5,183.3,38531.0
2023-04-06,183.9,185.0,181.0,182.8,82265.0
2023-04-09,181.0,182.0,179.0,181.0,100811.0
2023-04-10,180.1,182.7,179.3,180.5,61761.0
2023-04-11,177.0,187.2,177.0,183.5,83463.0
2023-04-12,186.0,193.2,184.6,192.9,112996.0
2023-04-13,196.0,196.0,187.0,191.0,95095.0
2023-04-16,193.0,193.0,186.2,186.5,66764.0
2023-04-17,185.0,190.0,184.6,185.0,42409.0
2023-04-18,188.0,188.7,182.5,185.0,46710.0
2023-04-19,183.0,188.0,182.6,185.0,68139.0
2023-04-20,184.1,186.0,181.5,184.0,48699.0
2023-04-23,187.6,187.6,180.1,181.0,80139.0
2023-04-24,181.9,183.0,180.0,182.5,48384.0
2023-04-25,180.2,184.7,180.2,183.8,37663.0
2023-04-26,185.0,186.0,182.4,184.0,89370.0
2023-04-27,187.0,187.0,182.1,183.5,34985.0
2023-04-30,183.0,185.0,182.0,182.9,195178.0
2023-05-02,184.0,184.0,181.0,182.0,56145.0
