Date,Open,High,Low,Close,Volume
2012-01-04,27.12,26.63,25.23,25.23,3045.0
2012-01-05,25.23,25.72,25.72,25.72,375.0
2012-01-12,25.72,27.8,26.22,27.8,250.0
2012-01-16,27.8,28.34,28.34,28.34,200.0
2012-01-17,28.34,28.34,27.8,28.34,80.0
2012-01-22,28.34,28.25,28.25,28.25,45.0
2012-01-23,28.25,28.34,28.07,28.07,525.0
2012-01-26,28.07,28.07,28.07,28.07,376.0
2012-01-29,28.07,28.12,28.03,28.12,150.0
2012-01-31,28.12,28.57,28.03,28.57,250.0
2012-02-01,28.57,28.71,28.53,28.53,560.0
2012-02-02,28.53,28.53,28.53,28.53,50.0
2012-02-05,28.53,28.71,28.57,28.71,45.0
2012-02-06,28.71,29.25,29.25,29.25,200.0
2012-02-07,29.25,28.93,28.71,28.93,1015.0
2012-02-08,28.93,28.93,28.93,28.93,15.0
2012-02-14,28.93,28.93,28.71,28.93,45.0
2012-02-15,28.93,29.38,29.16,29.16,43.0
2012-02-23,29.16,28.98,28.93,28.98,138.0
2012-02-26,28.98,29.02,29.02,29.02,172.0
2012-02-29,29.02,29.57,29.57,29.57,53.0
2012-03-01,29.57,29.38,29.38,29.38,30.0
2012-03-04,29.38,29.38,29.38,29.38,108.0
2012-03-05,29.38,29.84,29.25,29.38,135.0
2012-03-06,29.38,29.84,29.38,29.84,43.0
2012-03-11,29.84,29.84,29.84,29.84,500.0
2012-03-12,29.84,29.79,29.25,29.79,28.0
2012-03-13,29.79,29.79,29.79,29.79,20.0
2012-03-14,29.79,29.61,29.61,29.61,1250.0
2012-03-19,29.61,29.16,29.16,29.16,4395.0
2012-03-20,29.16,28.93,28.93,28.93,27.0
2012-03-25,28.93,28.93,28.48,28.48,160.0
2012-03-28,28.48,28.93,28.48,28.48,36107.0
2012-04-01,28.48,28.93,28.93,28.93,1000.0
2012-04-03,28.93,28.93,28.93,28.93,175.0
2012-04-04,28.93,28.93,28.48,28.48,25.0
2012-04-12,28.48,29.02,29.02,29.02,20.0
2012-04-15,29.02,29.57,29.57,29.57,10.0
2012-04-16,29.57,31.33,30.15,31.33,40.0
2012-04-17,31.33,31.92,31.92,31.92,13.0
2012-04-18,31.92,35.08,32.5,35.08,95.0
2012-04-19,35.08,37.84,35.76,37.48,894.0
2012-04-22,37.48,37.07,37.07,37.07,10.0
2012-04-24,37.07,38.25,36.84,37.52,1776.0
2012-04-25,37.52,37.75,37.52,37.75,1500.0
2012-04-26,37.75,38.25,36.8,37.07,6259.0
2012-04-29,37.07,38.92,37.07,38.92,3980.0
2012-05-03,38.92,38.92,38.92,38.92,23.0
2012-05-08,38.92,38.92,38.92,38.92,305.0
2012-05-09,38.92,40.46,39.69,40.46,60.0
2012-05-16,40.46,41.95,41.18,41.95,80.0
