Date,Open,High,Low,Close,Volume
2012/01/01,49.19,49.19,49.19,49.19,100.0
2012/01/02,49.19,53.0,50.14,53.0,235.0
2012/01/03,53.0,56.81,53.0,53.0,2686.0
2012/01/04,53.0,52.05,52.05,52.05,50.0
2012/01/05,52.05,51.09,51.09,51.09,1250.0
2012/01/08,51.09,51.41,50.78,51.09,844.0
2012/01/09,51.09,51.73,50.14,51.09,3559.0
2012/01/10,51.09,53.0,51.73,51.73,414.0
2012/01/11,51.73,52.05,52.05,52.05,236.0
2012/01/12,52.05,51.09,49.19,49.83,937.0
2012/01/16,49.83,50.78,47.92,50.78,2376.0
2012/01/18,50.78,51.73,51.09,51.09,2603.0
2012/01/22,51.09,50.14,48.56,48.56,4227.0
2012/01/23,48.56,51.09,48.87,51.09,1628.0
2012/01/25,51.09,50.14,49.19,49.19,258.0
2012/01/26,49.19,48.56,48.56,48.56,553.0
2012/01/29,48.56,50.46,49.51,50.46,573.0
2012/02/01,50.46,49.51,48.24,49.51,1905.0
2012/02/02,49.51,50.14,48.24,49.19,725.0
2012/02/05,49.19,49.83,47.6,48.87,5961.0
2012/02/06,48.87,48.56,47.6,48.56,13376.0
2012/02/07,48.56,48.87,46.97,47.6,3631.0
2012/02/08,47.6,48.24,48.24,48.24,120.0
2012/02/09,48.24,47.92,47.29,47.92,1224.0
2012/02/12,47.92,48.24,47.29,47.29,313.0
2012/02/13,47.29,47.6,46.97,47.6,546.0
2012/02/14,47.6,48.24,47.6,48.24,457.0
2012/02/15,48.24,48.56,47.6,47.92,763.0
2012/02/16,47.92,47.6,46.65,47.29,653.0
2012/02/21,47.29,47.6,46.97,47.29,1263.0
2012/02/23,47.29,47.29,46.97,46.97,341.0
2012/02/26,46.97,47.6,46.97,47.6,331.0
2012/02/27,47.6,47.6,47.6,47.6,667.0
2012/02/28,47.6,48.56,47.29,48.56,537.0
2012/02/29,48.56,50.46,48.56,49.51,1487.0
2012/03/01,49.51,50.14,48.87,49.51,1919.0
2012/03/04,49.51,48.87,48.56,48.87,1220.0
2012/03/05,48.87,50.46,49.19,50.14,2915.0
2012/03/06,50.14,50.46,49.83,50.14,1240.0
2012/03/12,50.14,49.19,48.56,48.56,653.0
2012/03/13,48.56,49.19,48.87,48.87,2664.0
2012/03/14,48.87,49.19,48.87,48.87,922.0
2012/03/15,48.87,48.87,48.87,48.87,100.0
2012/03/18,48.87,49.83,48.24,48.24,3873.0
2012/03/19,48.24,48.56,48.24,48.56,1287.0
2012/03/20,48.56,48.87,48.56,48.87,432.0
2012/03/25,48.87,48.56,47.92,47.92,328.0
2012/03/26,47.92,48.24,46.97,46.97,1645.0
2012/03/27,46.97,46.97,46.33,46.33,1336.0
2012/03/28,46.33,47.29,46.02,47.29,1178.0
2012/03/29,47.29,47.29,46.65,46.65,696.0
2012/04/01,46.65,46.65,45.7,46.65,5184.0
2012/04/02,46.65,48.56,46.65,48.56,3769.0
2012/04/03,48.56,48.24,47.6,48.24,2848.0
2012/04/04,48.24,49.19,48.24,48.24,712.0
2012/04/08,48.24,49.19,48.24,48.24,937.0
2012/04/09,48.24,48.87,48.87,48.87,79.0
2012/04/10,48.87,48.87,47.92,48.87,770.0
2012/04/11,48.87,51.73,48.24,48.24,2767.0
2012/04/12,48.24,53.0,48.56,53.0,5232.0
2012/04/15,53.0,58.08,53.95,58.08,1974.0
2012/04/16,58.08,59.03,59.03,59.03,107.0
2012/04/17,59.03,61.89,53.32,53.32,9024.0
2012/04/18,53.32,58.39,52.36,58.39,2661.0
2012/04/19,58.39,64.11,58.71,59.98,5224.0
2012/04/22,59.98,65.69,60.93,65.69,9545.0
2012/04/24,65.69,72.04,66.96,72.04,1660.0
2012/04/25,72.04,74.58,73.31,74.58,612.0
2012/04/26,74.58,81.88,72.68,80.93,20246.0
2012/04/29,80.93,84.74,74.9,76.17,9887.0
2012/04/30,76.17,75.53,71.41,72.04,6256.0
2012/05/03,72.04,75.21,73.31,75.21,1189.0
2012/05/07,75.21,80.29,76.48,80.29,1712.0
2012/05/08,80.29,84.42,80.29,82.51,23993.0
2012/05/09,82.51,80.93,76.8,77.75,8787.0
2012/05/10,77.75,77.75,72.99,75.21,10371.0
2012/05/13,75.21,73.94,67.91,68.55,5013.0
2012/05/14,68.55,67.28,62.2,64.74,1589.0
2012/05/15,64.74,71.09,66.01,71.09,1976.0
2012/05/16,71.09,72.36,72.36,72.36,10.0
2012/05/17,72.36,77.44,73.63,77.12,14497.0
2012/05/20,77.12,75.85,72.04,74.58,8161.0
2012/05/21,74.58,77.12,72.36,74.58,5557.0
2012/05/22,74.58,73.63,70.77,71.72,2571.0
2012/05/23,71.72,70.45,65.69,66.01,4243.0
2012/05/24,66.01,72.36,65.38,72.04,4151.0
2012/05/27,72.04,76.8,72.04,75.53,10497.0
2012/06/03,75.53,75.53,70.45,71.72,3680.0
2012/06/04,71.72,70.77,66.65,69.82,2544.0
2012/06/05,69.82,68.55,64.74,64.74,5794.0
2012/06/06,64.74,64.74,61.25,61.57,3672.0
2012/06/07,61.57,66.65,60.62,61.57,3479.0
2012/06/11,61.57,63.47,61.89,62.84,3369.0
2012/06/12,62.84,63.15,60.93,60.93,2033.0
2012/06/13,60.93,61.25,59.66,59.66,3083.0
2012/06/14,59.66,59.98,59.03,59.66,1718.0
2012/06/17,59.66,59.66,57.12,57.12,2026.0
2012/06/18,57.12,58.71,57.44,57.76,3209.0
2012/06/19,57.76,58.71,57.76,57.76,1531.0
2012/06/20,57.76,58.71,57.76,58.71,2179.0
2012/06/21,58.71,59.03,59.03,59.03,79.0
2012/06/25,59.03,62.84,59.03,60.93,3765.0
2012/06/26,60.93,60.3,59.66,59.66,648.0
2012/06/27,59.66,61.25,59.03,59.66,2935.0
2012/06/28,59.66,62.84,60.62,61.89,2615.0
2012/07/01,61.89,61.25,60.3,60.93,955.0
2012/07/02,60.93,60.3,57.12,57.12,6024.0
2012/07/03,57.12,60.62,57.12,60.62,1804.0
2012/07/04,60.62,60.3,59.66,59.98,2743.0
2012/07/05,59.98,59.98,59.03,59.98,1723.0
2012/07/08,59.98,59.66,58.71,59.03,1221.0
2012/07/09,59.03,59.03,57.44,57.76,1823.0
2012/07/10,57.76,59.98,58.71,59.98,1520.0
2012/07/11,59.98,60.3,59.66,60.3,770.0
2012/07/12,60.3,59.35,57.44,57.44,1326.0
2012/07/15,57.44,57.44,56.49,57.12,2300.0
2012/07/16,57.12,57.12,55.54,56.81,2888.0
2012/07/17,56.81,56.81,54.9,56.81,1241.0
2012/07/18,56.81,56.49,55.86,56.49,657.0
2012/07/19,56.49,57.44,53.63,54.27,7243.0
2012/07/22,54.27,57.12,55.22,56.49,1646.0
2012/07/23,56.49,59.35,57.44,58.39,4745.0
2012/07/24,58.39,58.08,57.12,58.08,1170.0
2012/07/25,58.08,57.76,57.12,57.12,1051.0
2012/07/26,57.12,56.17,54.27,56.17,3871.0
2012/07/29,56.17,56.17,54.59,55.22,1682.0
2012/07/30,55.22,57.12,55.86,57.12,2282.0
2012/07/31,57.12,58.08,57.12,57.12,1613.0
2012/08/01,57.12,57.44,56.49,57.12,4535.0
2012/08/05,57.12,57.12,56.81,56.81,731.0
2012/08/06,56.81,56.17,55.22,56.17,3860.0
2012/08/07,56.17,57.44,56.17,56.17,600.0
2012/08/08,56.17,56.17,55.86,56.17,282.0
2012/08/12,56.17,55.22,52.68,53.95,2155.0
2012/08/13,53.95,53.32,52.68,53.0,1341.0
2012/08/14,53.0,52.05,50.14,52.05,5362.0
2012/08/15,52.05,51.09,47.92,48.56,5796.0
2012/08/16,48.56,51.09,48.24,51.09,2407.0
2012/08/19,51.09,50.46,48.56,49.19,1376.0
2012/08/21,49.19,50.14,48.24,50.14,1307.0
2012/08/22,50.14,50.78,50.14,50.14,250.0
2012/08/23,50.14,51.09,48.87,48.87,808.0
2012/08/26,48.87,49.19,48.87,48.87,1220.0
2012/08/27,48.87,50.78,49.19,49.19,1838.0
2012/08/28,49.19,50.46,49.51,49.51,530.0
2012/08/29,49.51,49.51,49.19,49.19,881.0
2012/08/30,49.19,50.14,49.19,49.51,1177.0
2012/09/02,49.51,48.56,47.6,48.24,1144.0
2012/09/03,48.24,53.0,49.19,51.73,1763.0
2012/09/04,51.73,51.73,50.78,51.41,5945.0
2012/09/05,51.41,53.0,50.46,51.09,448.0
2012/09/06,51.09,50.78,49.83,49.83,2031.0
2012/09/09,49.83,50.46,48.24,50.46,1678.0
2012/09/10,50.46,52.36,51.41,52.36,324.0
2012/09/11,52.36,52.36,51.09,52.05,1165.0
2012/09/12,52.05,53.32,52.36,52.36,2014.0
2012/09/13,52.36,53.32,52.68,53.32,3645.0
2012/09/16,53.32,54.27,53.0,53.0,2630.0
2012/09/17,53.0,53.95,53.95,53.95,395.0
2012/09/18,53.95,55.86,54.59,55.86,4782.0
2012/09/19,55.86,55.22,53.32,53.32,1118.0
2012/09/20,53.32,54.27,52.36,52.36,2503.0
2012/09/23,52.36,51.41,49.83,50.46,1277.0
2012/09/24,50.46,50.14,49.51,50.14,1528.0
2012/09/25,50.14,50.46,49.51,50.14,10084.0
2012/09/26,50.14,50.78,49.83,49.83,661.0
2012/09/27,49.83,51.73,49.83,51.73,2500.0
2012/09/30,51.73,50.78,50.14,50.78,892.0
2012/10/01,50.78,50.78,49.51,50.78,2794.0
2012/10/02,50.78,51.41,51.41,51.41,44.0
2012/10/03,51.41,51.73,51.09,51.41,3073.0
2012/10/04,51.41,52.36,51.09,52.36,2050.0
2012/10/07,52.36,53.32,52.05,52.68,5279.0
2012/10/08,52.68,53.32,52.68,52.68,3137.0
2012/10/09,52.68,53.63,51.73,53.63,4428.0
2012/10/10,53.63,53.95,53.0,53.32,1383.0
2012/10/11,53.32,53.32,52.68,52.68,2025.0
2012/10/14,52.68,54.59,53.0,53.95,950.0
2012/10/15,53.95,56.49,54.59,55.54,576.0
2012/10/17,55.54,58.39,56.17,58.39,2010.0
2012/10/18,58.39,59.35,57.44,57.76,2680.0
