Date,Open,High,Low,Close,Volume,Change
2020-11-02,647.55,647.55,617.89,647.55,875.0,
2020-11-03,642.61,711.81,628.49,642.61,935.0,-4.939999999999941
2020-11-04,670.86,676.51,648.97,670.86,919.0,28.25
2020-11-05,656.73,684.27,653.91,656.73,961.0,-14.129999999999995
2020-11-08,663.79,669.44,649.67,663.79,920.0,7.059999999999945
2020-11-09,656.73,676.51,656.73,656.73,957.0,-7.059999999999945
2020-11-10,654.61,662.38,653.2,654.61,938.0,-2.1200000000000045
2020-11-11,641.9,656.73,630.61,653.2,3185.0,-1.4099999999999682
2020-11-12,663.79,663.79,639.79,643.32,3472.0,-9.879999999999995
2020-11-18,656.03,656.03,635.55,635.55,2995.0,-7.7700000000000955
2020-11-19,667.33,667.33,621.43,628.49,3943.0,-7.059999999999945
2020-11-22,635.55,640.49,618.6,618.6,5115.0,-9.889999999999986
2020-11-23,610.83,628.49,610.83,620.72,3149.0,2.1200000000000045
2020-11-24,628.49,642.61,621.43,628.49,2400.0,7.769999999999982
2020-11-25,622.84,656.73,622.13,642.61,3541.0,14.120000000000005
2020-11-26,665.91,665.91,627.07,629.9,2737.0,-12.710000000000036
2020-11-29,635.55,635.55,625.66,630.61,3555.0,0.7100000000000364
2020-11-30,630.61,642.61,630.61,636.25,3670.0,5.639999999999986
2020-12-01,668.03,668.03,631.31,632.02,5339.0,-4.230000000000018
2020-12-02,634.84,694.87,634.84,670.15,14184.0,38.129999999999995
2020-12-03,682.86,736.53,668.74,683.57,9252.0,13.420000000000073
2020-12-06,670.15,683.57,636.25,646.14,6085.0,-37.430000000000064
2020-12-07,640.49,665.21,622.84,656.73,4361.0,10.590000000000032
2020-12-08,669.44,694.87,635.55,647.55,5674.0,-9.180000000000064
2020-12-09,647.55,647.55,626.37,633.43,3849.0,-14.120000000000005
2020-12-10,630.61,649.67,623.54,623.54,4342.0,-9.889999999999986
2020-12-13,635.55,648.26,635.55,646.14,2069.0,22.600000000000023
2020-12-14,658.85,680.04,658.85,675.8,8841.0,29.659999999999968
2020-12-15,689.22,716.76,676.51,687.1,7427.0,11.300000000000068
2020-12-16,695.57,701.22,682.16,692.75,9085.0,5.649999999999977
2020-12-17,706.16,761.95,695.57,735.82,19556.0,43.07000000000005
2020-12-20,735.82,735.82,669.44,669.44,12870.0,-66.38
2020-12-21,687.8,692.04,664.5,687.1,6440.0,17.659999999999968
2020-12-22,700.52,742.18,698.4,709.7,2796.0,22.600000000000023
2020-12-23,723.82,723.82,672.27,687.1,2613.0,-22.600000000000023
2020-12-24,700.52,700.52,674.39,678.62,2577.0,-8.480000000000018
2020-12-27,692.04,705.46,668.03,669.44,3915.0,-9.17999999999995
2020-12-28,682.16,689.92,677.92,677.92,2539.0,8.479999999999905
