Date,Open,High,Low,Close,Volume
2021/11/29,282.3,310.5,282.3,310.5,194.0
2021/11/30,316.7,341.5,316.7,341.5,171.0
2021/12/01,348.3,375.6,348.3,375.6,150.0
2021/12/02,375.6,413.1,375.6,413.1,390.0
2021/12/05,421.3,454.4,421.3,454.4,1533.0
2021/12/06,463.4,499.8,409.0,433.0,81212.0
2021/12/07,441.0,459.0,414.0,416.0,30287.0
2021/12/08,408.0,410.0,400.0,408.0,10795.0
2021/12/09,399.9,404.0,385.0,393.0,12424.0
2021/12/12,387.0,392.0,364.0,365.0,17386.0
2021/12/13,358.0,386.0,332.0,347.0,10591.0
2021/12/14,350.0,381.7,350.0,381.7,4849.0
2021/12/15,389.3,412.0,363.0,372.0,17495.0
2021/12/16,365.0,385.5,360.0,363.0,5854.0
2021/12/20,362.0,362.0,343.0,347.0,4850.0
2021/12/21,349.0,356.9,344.0,356.9,5216.0
2021/12/22,357.0,378.0,357.0,378.0,7385.0
2021/12/23,378.1,380.0,365.1,371.0,8049.0
2021/12/26,370.1,377.0,362.6,375.0,8054.0
2021/12/27,375.0,375.0,358.0,360.0,11881.0
2021/12/28,355.0,362.4,351.0,358.0,4065.0
2021/12/29,351.2,372.0,351.2,364.0,4050.0
2022/01/02,356.8,386.1,353.0,383.0,11390.0
2022/01/03,375.4,390.0,362.0,379.0,13813.0
2022/01/04,371.5,388.0,367.1,384.0,7729.0
2022/01/05,384.0,397.8,371.0,382.0,14924.0
2022/01/06,375.0,393.0,369.1,393.0,11525.0
2022/01/09,390.1,432.3,390.1,430.0,24892.0
2022/01/10,430.0,439.9,420.0,439.0,20907.0
2022/01/11,431.0,482.0,431.0,482.0,31728.0
2022/01/12,482.0,486.0,460.0,482.0,25627.0
2022/01/13,472.4,485.0,463.0,481.0,20163.0
2022/01/16,481.0,489.6,469.0,470.1,32274.0
2022/01/17,463.0,492.0,460.0,492.0,28599.0
2022/01/18,492.0,505.0,490.0,499.0,30733.0
2022/01/19,499.0,499.0,481.0,484.1,13433.0
2022/01/20,475.0,529.0,474.6,527.0,34689.0
2022/01/23,530.0,545.0,510.0,517.0,31446.0
2022/01/24,517.0,520.0,480.0,492.0,37075.0
2022/01/25,486.0,503.0,472.0,485.1,18223.0
2022/01/26,477.0,485.0,463.0,473.0,11451.0
2022/01/27,473.0,481.0,465.0,475.0,9620.0
2022/01/30,484.5,510.0,484.5,505.0,25004.0
2022/01/31,505.0,505.0,488.0,489.0,9895.0
2022/02/01,495.0,524.0,481.0,509.0,21831.0
2022/02/03,509.0,530.2,503.0,530.0,56373.0
2022/02/06,527.0,527.0,503.0,515.0,34028.0
2022/02/07,504.8,515.0,499.1,509.0,11704.0
2022/02/08,509.0,529.2,495.1,498.0,18203.0
2022/02/09,490.0,500.0,480.2,489.9,13550.0
2022/02/10,480.2,499.8,475.0,478.0,13357.0
2022/02/13,468.5,469.0,448.0,451.0,21099.0
2022/02/14,451.0,459.0,444.0,445.0,7201.0
2022/02/15,445.0,489.5,437.0,489.5,11328.0
2022/02/16,490.0,490.0,457.7,475.0,17166.0
2022/02/17,465.5,483.0,460.0,483.0,7677.0
2022/02/20,473.4,507.0,464.0,491.6,30263.0
2022/02/21,482.0,516.0,482.0,511.0,28319.0
2022/02/22,520.0,555.0,512.0,535.0,68842.0
2022/02/23,545.7,566.0,530.0,550.0,44722.0
2022/02/24,550.0,550.8,518.0,520.0,37596.0
2022/02/27,520.0,535.0,510.0,525.0,30184.0
2022/02/28,535.0,545.0,490.0,490.0,25258.0
2022/03/02,481.0,490.0,472.6,475.0,11964.0
2022/03/06,484.5,488.0,470.0,488.0,16335.0
2022/03/07,497.5,497.5,478.3,486.0,8970.0
2022/03/09,494.7,494.7,464.0,470.0,10317.0
2022/03/10,470.0,517.0,447.0,503.0,16084.0
2022/03/13,513.0,517.0,491.1,505.0,27030.0
2022/03/14,495.0,504.9,486.1,490.4,6148.0
2022/03/15,483.2,499.7,467.0,476.0,19314.0
2022/03/16,485.5,489.2,470.5,483.5,8788.0
2022/03/20,475.0,493.1,475.0,484.0,6100.0
2022/03/21,490.0,496.0,475.1,489.0,9304.0
2022/03/22,498.6,498.6,478.0,484.0,7378.0
2022/03/23,483.0,483.0,470.0,471.0,12633.0
2022/03/24,471.0,475.0,467.0,469.0,7182.0
2022/03/27,459.7,470.0,447.0,453.0,13798.0
2022/03/28,460.0,469.1,442.0,444.0,5974.0
2022/03/29,436.0,459.0,436.0,449.7,9089.0
2022/03/30,440.8,464.2,440.8,463.0,7335.0
2022/03/31,458.0,470.0,451.1,451.1,8375.0
2022/04/03,442.2,454.9,442.0,454.9,4216.0
2022/04/04,445.9,450.0,439.0,450.0,4533.0
2022/04/05,441.0,441.0,425.0,438.0,10520.0
2022/04/06,429.3,441.0,419.9,436.0,6185.0
2022/04/07,444.0,444.0,425.0,429.1,10979.0
