Date,Open,High,Low,Close,Volume
2012/01/01,37.1,38.03,36.79,38.03,2109.0
2012/01/02,38.03,38.96,37.56,38.34,4247.0
2012/01/03,38.34,39.9,38.34,38.81,6446.0
2012/01/04,38.81,38.65,37.41,37.41,1119.0
2012/01/05,37.41,37.56,36.94,37.41,2289.0
2012/01/08,37.41,37.87,37.41,37.72,2656.0
2012/01/09,37.72,38.03,37.56,38.03,3658.0
2012/01/10,38.03,38.5,37.56,37.72,1240.0
2012/01/11,37.72,37.87,37.56,37.56,4325.0
2012/01/12,37.56,37.87,37.1,37.72,2003.0
2012/01/16,37.72,37.87,37.25,37.41,1320.0
2012/01/17,37.41,37.87,37.41,37.41,879.0
2012/01/18,37.1,37.25,37.1,37.25,99.0
2012/01/22,37.25,37.41,36.79,36.94,1378.0
2012/01/23,36.94,37.25,36.47,36.94,2453.0
2012/01/25,36.94,36.94,36.79,36.79,995.0
2012/01/26,36.79,37.1,36.63,36.94,900.0
2012/01/29,36.94,36.94,36.32,36.94,4568.0
2012/01/31,36.94,36.94,36.32,36.32,7767.0
2012/02/01,36.32,37.1,36.32,36.94,1722.0
2012/02/02,36.94,37.25,36.16,36.63,3895.0
2012/02/05,36.63,36.79,36.16,36.16,2630.0
2012/02/06,36.16,36.63,36.16,36.32,2313.0
2012/02/07,36.32,36.79,35.85,36.32,2703.0
2012/02/08,36.32,36.94,35.39,36.32,1467.0
2012/02/09,36.32,36.32,35.85,35.85,1363.0
2012/02/12,35.85,36.01,35.54,35.54,788.0
2012/02/13,35.54,36.63,34.92,36.63,3916.0
2012/02/14,36.63,37.25,35.54,36.01,1141.0
2012/02/15,36.01,36.01,35.23,35.39,1394.0
2012/02/16,35.39,35.7,34.92,35.54,1919.0
2012/02/21,35.54,35.7,35.54,35.7,480.0
2012/02/23,35.7,36.16,35.39,35.85,1742.0
2012/02/26,35.85,36.01,34.92,35.08,2627.0
2012/02/27,35.08,35.85,35.54,35.7,512.0
2012/02/28,35.7,36.16,35.54,35.85,1597.0
2012/02/29,35.85,36.32,35.85,35.85,1299.0
2012/03/01,35.85,36.32,35.39,36.32,1754.0
2012/03/04,36.32,36.47,36.01,36.32,1518.0
2012/03/05,36.32,36.63,36.32,36.32,1621.0
2012/03/06,36.32,36.63,35.85,36.32,1199.0
