Date,Open,High,Low,Close,Volume
2012-01-31,78.6,77.24,73.85,73.85,300.0
2012-02-07,73.85,72.83,67.75,67.75,200.0
2012-02-08,67.75,66.73,66.73,66.73,3120.0
2012-02-23,66.73,65.71,65.71,65.71,10.0
2012-03-18,65.71,64.69,60.62,60.62,60.0
2012-03-19,60.62,59.61,58.93,58.93,40.0
2012-03-20,58.93,58.25,58.25,58.25,20.0
2012-03-28,58.25,57.57,56.9,56.9,2000.0
2012-03-29,56.9,56.22,53.5,53.5,1520.0
2012-04-03,53.5,52.83,52.15,52.15,40.0
2012-04-04,52.15,51.47,48.08,48.08,120.0
2012-04-05,48.08,47.4,44.35,44.35,210.0
2012-04-08,44.35,43.67,41.98,41.98,1063.0
2012-04-09,41.98,42.32,42.32,42.32,60.0
2012-04-10,42.32,43.67,42.32,43.67,1976.0
2012-04-11,43.67,43.67,42.32,42.32,1200.0
2012-04-15,42.32,45.03,42.65,45.03,180.0
2012-04-17,45.03,45.71,45.71,45.71,130.0
2012-04-19,45.71,47.06,46.38,47.06,140.0
2012-04-22,47.06,49.1,47.74,49.1,100.0
2012-04-26,49.1,50.45,49.77,50.45,212.0
2012-04-29,50.45,51.81,50.45,51.81,740.0
2012-04-30,51.81,52.49,52.49,52.49,355.0
2012-05-08,52.49,52.49,52.49,52.49,182.0
2012-05-17,52.49,53.17,53.17,53.17,20.0
2012-05-24,53.17,52.49,51.81,51.81,282.0
2012-07-02,51.81,51.81,51.13,51.13,100.0
2012-11-07,51.13,50.45,50.45,50.45,26.0
2012-11-20,50.45,49.77,47.74,47.74,310.0
2012-11-28,47.74,47.06,45.71,45.71,462.0
2012-11-29,45.71,45.37,45.03,45.37,502.0
2013-01-28,45.37,44.69,44.01,44.01,256.0
2013-02-20,44.01,43.33,42.65,42.99,9172.0
2013-04-11,42.99,42.99,42.99,42.99,50.0
2013-05-07,42.99,42.32,42.32,42.32,60.0
2013-06-18,42.32,41.98,41.64,41.64,20.0
2013-07-01,41.64,41.3,40.28,40.28,132.0
2013-07-17,40.28,39.94,39.94,39.94,60.0
2013-08-01,39.94,40.28,40.28,40.28,50.0
2013-08-07,40.28,40.62,40.62,40.62,202.0
2013-08-14,40.62,40.96,40.96,40.96,30.0
2013-09-09,40.96,41.98,41.3,41.98,60.0
2013-09-10,41.98,42.99,42.32,42.99,86.0
2013-09-11,42.99,45.03,42.99,45.03,140.0
2013-09-12,45.03,45.71,45.71,45.71,20.0
2013-09-15,45.71,45.37,45.37,45.37,100.0
2013-09-16,45.37,46.04,45.37,45.37,190.0
2013-09-17,45.37,46.72,46.04,46.72,40.0
2013-10-27,46.72,47.4,47.4,47.4,20.0
2013-10-30,47.4,46.72,46.72,46.72,20.0
2013-12-03,46.72,50.11,46.72,50.11,1984.0
2013-12-04,50.11,52.15,50.79,52.15,471.0
2013-12-05,52.15,52.83,52.15,52.83,3000.0
2013-12-08,52.83,52.15,51.47,51.47,2500.0
2013-12-10,51.47,50.79,50.11,50.11,312.0
2014-01-05,50.11,49.44,49.44,49.44,500.0
2014-01-09,49.44,48.76,48.76,48.76,52.0
2014-01-14,48.76,48.08,48.08,48.08,100.0
2014-01-16,48.08,47.4,47.4,47.4,240.0
2014-01-20,47.4,46.72,46.72,46.72,602.0
2014-01-23,46.72,47.06,46.38,47.06,12227.0
2014-02-02,47.06,48.76,47.06,48.76,1800.0
