Date,Open,High,Low,Close,Volume
2012-01-01,49.88,49.88,49.88,49.88,70.0
2012-01-02,49.88,50.57,49.99,50.57,510.0
2012-01-03,50.57,50.68,50.22,50.22,110.0
2012-01-04,50.22,49.88,49.65,49.65,160.0
2012-01-05,49.65,49.99,49.65,49.65,200.0
2012-01-08,49.65,49.99,49.88,49.99,600.0
2012-01-09,49.99,50.45,50.34,50.45,20.0
2012-01-10,50.45,50.34,49.31,50.22,1080.0
2012-01-11,50.22,50.34,49.99,49.99,690.0
2012-01-12,49.99,50.57,50.11,50.11,700.0
2012-01-16,50.11,50.45,50.11,50.11,90.0
2012-01-17,50.11,50.45,49.77,50.11,1120.0
2012-01-18,50.11,50.34,49.99,50.11,470.0
2012-01-22,50.11,50.45,49.88,50.11,1640.0
2012-01-23,50.11,50.22,49.88,50.11,440.0
2012-01-25,50.11,50.45,49.99,50.34,200.0
2012-01-26,50.34,50.45,50.11,50.45,820.0
2012-01-29,50.45,50.22,49.54,49.65,1040.0
2012-01-31,49.65,50.22,49.65,50.22,750.0
2012-02-01,50.22,50.34,49.88,50.34,310.0
2012-02-02,50.34,50.11,49.88,49.99,360.0
2012-02-05,49.99,50.34,49.99,49.99,130.0
2012-02-06,49.99,49.99,49.99,49.99,70.0
2012-02-07,49.99,50.11,49.77,49.88,1460.0
2012-02-08,49.88,50.34,49.88,50.22,1040.0
2012-02-09,50.22,50.57,49.99,50.11,1270.0
2012-02-12,50.11,50.57,49.77,49.88,700.0
2012-02-13,49.88,50.34,49.88,50.11,2170.0
2012-02-14,50.11,50.22,49.77,50.22,770.0
2012-02-15,50.22,51.37,49.99,51.37,1970.0
2012-02-16,55.43,55.43,53.78,53.78,270.0
2012-02-23,53.78,53.36,53.36,53.36,60.0
2012-02-26,53.36,51.03,50.06,50.75,1730.0
2012-02-27,50.75,51.16,51.03,51.03,260.0
2012-03-01,51.03,51.03,51.03,51.03,20.0
2012-03-04,51.03,50.75,50.48,50.48,30.0
2012-03-06,50.48,50.48,50.06,50.06,180.0
2012-03-11,50.06,50.34,50.06,50.06,60.0
2012-03-12,50.06,50.2,49.93,50.2,30.0
2012-03-13,50.2,49.93,49.93,49.93,80.0
2012-03-14,49.93,50.34,50.2,50.34,1100.0
2012-03-18,50.34,50.61,50.06,50.61,360.0
2012-03-19,50.61,50.61,50.34,50.61,30.0
2012-03-20,50.61,50.34,50.2,50.2,90.0
2012-03-21,50.2,50.2,50.2,50.2,20.0
2012-03-25,50.2,49.93,49.93,49.93,90.0
2012-03-26,49.93,50.34,49.79,50.06,980.0
2012-03-27,50.06,50.34,50.34,50.34,10.0
2012-03-28,50.34,50.48,50.2,50.48,880.0
2012-03-29,50.48,50.75,50.75,50.75,210.0
2012-04-01,50.75,50.89,50.48,50.89,500.0
2012-04-02,50.89,51.03,51.03,51.03,510.0
2012-04-05,51.03,51.03,51.03,51.03,120.0
2012-04-09,51.03,51.3,51.3,51.3,90.0
2012-04-10,51.3,51.58,51.3,51.58,200.0
2012-04-11,51.58,52.68,51.85,51.99,990.0
2012-04-12,51.99,52.81,51.99,52.81,280.0
2012-04-16,52.81,53.23,53.23,53.23,20.0
2012-04-17,53.23,53.23,52.68,52.68,620.0
2012-04-18,52.68,52.68,52.26,52.68,140.0
2012-04-19,52.68,54.74,53.09,54.74,1320.0
2012-04-22,54.74,56.39,55.15,56.39,340.0
2012-04-24,56.39,56.39,56.39,56.39,5900.0
2012-04-25,56.39,56.8,56.8,56.8,40.0
2012-04-26,56.8,58.87,57.9,58.73,1080.0
2012-04-29,58.73,61.07,58.73,61.07,2270.0
2012-04-30,61.07,61.48,61.34,61.48,100.0
2012-05-03,61.48,62.03,62.03,62.03,180.0
2012-05-07,62.03,62.58,62.58,62.58,20.0
2012-05-08,62.58,62.03,62.03,62.03,126.0
2012-05-09,62.03,61.48,59.0,59.0,1960.0
2012-05-10,59.0,58.87,58.04,58.18,1552.0
2012-05-15,58.18,60.24,57.77,60.24,1014.0
2012-05-17,60.24,61.89,58.45,58.87,2158.0
2012-05-20,58.87,58.32,57.08,58.04,468.0
2012-05-21,58.04,59.28,57.08,58.73,2220.0
2012-05-22,58.73,59.14,57.77,59.14,572.0
2012-05-24,59.14,58.73,58.04,58.59,2680.0
2012-05-27,58.59,58.18,58.18,58.18,30.0
2012-05-29,58.18,57.77,55.57,55.57,356.0
2012-05-30,55.57,55.15,53.23,53.23,4468.0
2012-05-31,53.23,54.46,52.81,54.46,3092.0
2012-06-03,54.46,55.29,54.88,55.29,82.0
2012-06-04,55.29,56.12,55.29,55.29,3130.0
2012-06-05,55.29,55.43,54.46,55.43,498.0
2012-06-06,55.43,55.57,54.74,55.01,790.0
