Date,Open,High,Low,Close,Volume
2015/06/04,95.26,94.01,94.01,94.01,10.0
2015/06/07,94.01,95.61,94.01,94.19,3130.0
2015/06/08,94.19,93.47,91.52,91.69,794.0
2015/06/09,91.69,93.83,92.58,93.83,548.0
2015/06/11,93.83,92.76,92.76,92.76,10.0
2015/06/23,91.52,91.52,90.27,90.27,412.0
2015/06/24,91.52,91.52,89.02,89.02,600.0
2015/06/29,89.02,95.08,89.02,95.08,2733.0
2015/06/30,96.33,99.71,96.15,99.71,5305.0
2015/07/01,100.6,102.56,99.71,100.24,3482.0
2015/07/02,100.07,100.07,95.08,95.08,634.0
2015/07/06,94.9,95.43,94.9,95.43,732.0
2015/07/07,94.37,94.37,94.37,94.37,155.0
2015/07/08,93.12,93.12,93.12,93.12,61.0
2015/07/09,94.37,94.37,94.37,94.37,200.0
2015/07/12,93.47,94.37,93.12,93.12,530.0
2015/07/13,91.87,92.94,90.8,92.94,2385.0
2015/07/14,91.69,91.69,91.69,91.69,310.0
2015/07/15,90.8,92.58,89.91,92.58,4147.0
2015/07/16,92.58,92.58,89.91,89.91,3017.0
2015/07/22,89.91,89.91,87.95,89.02,990.0
2015/07/23,89.02,89.2,89.02,89.02,385.0
2015/07/26,89.02,91.34,90.09,91.34,23.0
2015/07/27,91.34,92.58,91.69,91.69,257.0
2015/07/28,91.69,90.8,89.02,89.02,1313.0
2015/07/29,89.02,89.56,89.56,89.56,200.0
2015/07/30,89.56,90.62,89.02,90.62,583.0
2015/08/03,90.62,89.38,87.24,87.24,1003.0
2015/08/04,87.24,88.13,88.13,88.13,300.0
2015/08/05,88.13,87.95,87.06,87.95,1094.0
2015/08/06,87.95,89.02,88.13,88.13,547.0
2015/08/09,88.13,88.13,87.6,87.6,1795.0
2015/08/12,88.13,89.38,88.13,89.38,853.0
2015/08/13,90.45,90.45,90.45,90.45,31.0
2015/08/16,91.69,93.83,91.69,93.83,727.0
2015/08/17,95.08,100.42,95.08,100.42,6482.0
2015/08/18,101.49,104.52,100.6,104.52,12961.0
2015/08/19,105.05,112.18,105.05,112.18,7292.0
2015/08/20,113.78,115.39,113.07,113.07,3177.0
2015/08/23,111.47,113.78,111.29,113.78,3301.0
2015/08/24,115.39,116.99,113.07,113.07,4238.0
2015/08/25,111.47,112.18,109.69,111.29,1073.0
2015/08/26,112.18,113.43,111.29,112.71,4575.0
2015/08/27,113.96,116.63,113.96,115.92,12853.0
2015/08/31,115.03,116.63,113.96,116.63,5463.0
2015/09/01,116.63,114.85,112.36,112.36,689.0
2015/09/02,110.75,110.75,109.51,109.51,840.0
2015/09/03,107.9,107.9,107.9,107.9,100.0
2015/09/06,109.51,109.51,107.9,108.08,868.0
2015/09/07,106.66,106.66,106.48,106.48,1139.0
2015/09/08,107.19,107.19,107.01,107.01,893.0
2015/09/09,108.44,108.79,107.01,107.01,2315.0
2015/09/10,107.01,107.01,105.41,106.84,5503.0
2015/09/13,105.94,106.3,105.94,106.3,605.0
2015/09/14,105.94,105.94,105.77,105.77,3300.0
2015/09/16,105.94,107.19,104.52,107.19,2075.0
2015/09/17,108.62,108.62,106.84,106.84,1720.0
2015/09/22,106.12,106.12,104.7,104.7,537.0
2015/09/23,103.27,103.27,102.38,102.38,656.0
2015/09/24,102.74,103.27,102.74,103.27,210.0
2015/09/28,102.38,102.38,102.38,102.38,454.0
2015/09/30,102.38,102.38,102.38,102.38,2493.0
2015/10/01,101.49,101.49,101.49,101.49,17.0
2015/10/05,100.42,100.6,100.42,100.6,411.0
2015/10/06,100.6,100.6,100.6,100.6,161.0
2015/10/08,99.18,99.18,97.75,99.0,1172.0
2015/10/11,97.57,97.57,96.33,96.33,1593.0
2015/10/14,97.57,97.57,97.57,97.57,385.0
2015/10/15,96.5,97.39,96.5,97.39,1044.0
2015/10/28,96.15,96.15,96.15,96.15,580.0
2015/10/29,95.26,95.26,94.37,94.37,547.0
2015/11/01,93.12,93.12,92.58,92.58,719.0
2015/11/02,93.83,93.83,92.76,92.76,1758.0
2015/11/04,92.41,92.41,92.41,92.41,55.0
2015/11/05,93.65,93.65,93.65,93.65,14.0
2015/11/09,93.65,94.9,93.65,94.9,176.0
2015/11/16,96.15,96.15,96.15,96.15,110.0
2015/11/18,94.9,98.64,94.9,98.11,1542.0
2015/11/19,98.11,98.82,98.11,98.28,1546.0
2015/11/23,97.04,97.04,95.79,96.15,408.0
2015/11/24,96.15,96.15,95.61,95.61,251.0
2015/11/25,95.79,96.86,95.61,96.86,327.0
2015/11/26,95.61,95.61,95.61,95.61,220.0
2015/12/01,95.61,98.82,95.97,98.82,1830.0
2015/12/02,97.39,98.64,96.33,98.46,2351.0
2015/12/04,92.05,94.37,92.05,94.37,323.0
2015/12/07,93.65,94.37,93.47,94.37,398.0
2015/12/08,93.3,94.54,93.3,94.54,593.0
2015/12/09,95.79,97.04,95.79,97.04,1297.0
2015/12/10,96.15,96.15,96.15,96.15,133.0
2015/12/13,97.04,97.39,97.04,97.39,477.0
2015/12/14,96.15,97.04,96.15,97.04,753.0
2015/12/15,98.28,103.99,98.28,103.99,9766.0
2015/12/16,105.41,111.11,103.27,104.16,6112.0
2015/12/17,103.27,108.26,103.27,106.66,2592.0
2015/12/20,107.55,109.33,108.97,109.33,228.0
2015/12/21,109.33,107.73,106.12,106.12,906.0
2015/12/22,107.55,107.55,104.7,104.7,476.0
2015/12/23,104.7,103.27,103.27,103.27,254.0
2015/12/24,104.7,110.75,104.7,110.75,13615.0
2015/12/25,109.15,116.28,109.15,113.43,6755.0
2015/12/28,113.43,115.03,111.29,115.03,4369.0
2015/12/29,115.03,119.31,116.28,118.41,9773.0
2015/12/31,120.2,127.5,119.84,127.5,17000.0
2016/01/03,129.46,137.48,129.46,137.48,22068.0
2016/01/04,137.48,139.61,132.67,135.34,17659.0
2016/01/05,133.2,133.2,129.99,130.17,5747.0
2016/01/06,128.21,129.1,125.36,129.1,8299.0
2016/01/07,130.88,134.45,129.1,129.82,4227.0
2016/01/10,129.82,129.1,125.54,127.5,14912.0
2016/01/11,125.54,125.54,124.65,124.83,3152.0
2016/01/12,126.61,126.61,123.58,125.01,2327.0
2016/01/13,125.01,126.79,126.79,126.79,200.0
2016/01/14,128.75,131.77,128.75,131.77,220.0
2016/03/02,133.73,142.11,133.73,142.11,70.0
2016/03/03,144.24,153.51,144.24,153.51,446.0
2016/03/06,156.0,165.98,156.0,165.98,1353.0
2016/03/10,168.65,179.69,168.65,179.69,470.0
2016/03/13,182.72,194.84,179.69,194.84,46543.0
2016/03/14,195.55,195.55,183.44,188.6,12331.0
2016/03/15,185.39,187.53,177.2,186.11,12907.0
2016/03/16,187.0,187.0,180.05,181.3,3614.0
2016/03/17,178.27,181.65,176.31,177.73,13574.0
2016/03/20,180.05,180.05,176.31,176.31,891.0
2016/03/21,177.2,181.65,176.31,176.31,5307.0
2016/03/23,174.53,174.53,167.58,168.29,1673.0
2016/03/24,168.29,167.4,160.46,166.51,6757.0
2016/03/27,166.51,166.33,158.67,161.17,14104.0
2016/03/28,161.17,166.51,157.78,163.84,8180.0
2016/03/29,166.51,170.97,165.62,168.29,6657.0
2016/03/30,168.29,169.36,165.62,165.62,1376.0
2016/03/31,165.62,162.95,161.17,161.17,440.0
2016/04/03,161.17,162.41,156.0,162.41,1419.0
2016/04/04,162.41,161.52,161.35,161.52,308.0
2016/04/05,164.2,166.51,164.2,164.73,1401.0
2016/04/10,164.73,162.95,160.28,160.28,159.0
2016/04/11,160.28,159.39,155.29,159.39,1530.0
2016/04/12,159.39,160.28,157.07,160.28,2969.0
2016/04/14,160.28,165.62,160.28,162.95,2564.0
2016/04/17,161.17,165.62,160.28,165.62,2866.0
2016/04/18,165.62,171.68,167.4,171.68,5411.0
2016/04/19,171.68,169.9,167.94,167.94,1777.0
2016/04/20,167.94,171.86,168.29,168.29,1044.0
2016/04/24,168.29,170.07,165.62,170.07,4704.0
2016/04/25,170.07,173.46,167.22,173.46,12863.0
2016/04/26,173.46,172.92,165.62,170.07,3599.0
2016/04/27,170.07,170.07,167.58,167.58,1305.0
2016/04/28,167.58,170.07,166.51,170.07,8781.0
2016/05/02,170.07,169.01,166.69,169.01,1097.0
2016/05/03,169.01,166.33,164.73,164.73,1360.0
2016/05/04,164.73,167.4,164.73,164.73,2188.0
2016/05/05,164.73,166.51,162.95,166.33,4008.0
2016/05/10,169.01,174.53,169.01,173.46,19005.0
2016/05/11,173.64,180.76,175.24,178.09,20127.0
2016/05/12,180.76,184.5,180.76,182.54,4305.0
2016/05/15,183.79,196.08,183.79,196.08,43374.0
2016/05/16,196.08,207.48,196.08,200.36,60785.0
2016/05/17,202.14,202.14,195.01,195.01,28317.0
2016/05/18,195.01,204.81,196.8,203.21,24902.0
2016/05/19,203.21,212.83,203.74,210.87,33535.0
2016/05/22,210.87,229.04,214.43,229.04,30687.0
2016/05/23,229.04,246.5,221.73,244.89,39261.0
2016/05/24,244.89,250.24,237.77,240.44,21164.0
2016/05/25,240.44,243.11,232.42,235.1,21199.0
2016/05/26,235.1,242.76,227.08,239.55,26145.0
2016/05/29,239.55,260.75,243.65,256.47,22889.0
2016/05/30,256.47,259.14,248.63,250.24,14122.0
2016/05/31,250.24,253.8,241.33,241.33,13329.0
2016/06/01,241.33,242.4,234.2,241.33,17032.0
2016/06/02,241.33,243.11,237.23,239.55,6048.0
2016/06/05,239.55,241.33,228.33,228.33,14298.0
2016/06/06,228.33,238.66,232.25,235.1,18078.0
2016/06/07,238.66,248.46,238.48,244.18,12768.0
2016/06/08,244.18,261.82,247.57,260.93,34226.0
2016/06/09,265.56,284.26,265.38,284.08,52481.0
2016/06/12,284.08,294.77,269.83,282.48,31705.0
2016/06/13,282.48,287.47,276.96,280.7,11709.0
2016/06/14,280.52,289.25,280.34,289.25,15256.0
2016/06/15,290.32,309.2,290.32,309.02,28301.0
2016/06/16,309.02,337.17,314.37,337.17,38607.0
2016/06/19,337.17,336.46,314.37,328.62,32210.0
2016/06/20,328.62,327.01,314.55,317.4,21800.0
2016/06/21,317.4,323.27,319.71,320.07,10848.0
2016/06/22,325.77,331.65,323.27,329.15,13301.0
2016/06/23,329.15,344.65,331.29,339.13,26268.0
2016/06/26,339.13,337.53,325.59,330.22,8317.0
2016/06/27,330.22,329.15,321.49,326.66,8919.0
2016/06/28,326.66,329.51,316.15,323.99,10042.0
2016/06/29,323.99,330.93,322.21,323.27,16589.0
2016/06/30,323.27,324.16,319.71,321.49,7209.0
2016/07/03,321.49,321.49,316.5,318.46,9964.0
2016/07/04,318.46,316.15,312.59,312.76,8359.0
2016/07/05,314.37,320.6,310.8,318.82,11233.0
2016/07/06,311.87,314.01,303.68,303.68,7232.0
2016/07/10,303.68,313.48,301.9,305.64,18915.0
2016/07/11,305.64,311.16,300.12,300.12,5468.0
2016/07/12,300.12,300.12,279.27,294.95,8486.0
2016/07/13,294.95,294.77,277.85,294.77,3469.0
2016/07/14,296.55,296.55,288.54,289.43,10147.0
2016/07/17,289.43,294.77,281.06,281.06,4968.0
2016/07/18,281.06,306.35,276.07,306.35,7614.0
2016/07/19,311.87,328.44,296.02,305.46,9633.0
2016/07/20,305.46,309.74,302.79,304.93,12556.0
2016/07/21,304.75,315.44,305.46,310.63,5244.0
2016/07/25,310.63,321.49,313.48,317.93,11795.0
2016/07/26,317.93,325.95,317.75,324.7,11692.0
2016/07/27,324.7,323.27,316.15,318.82,6643.0
2016/07/28,318.82,329.15,313.12,329.15,11622.0
2016/07/31,329.15,330.4,321.49,321.85,8644.0
2016/08/01,321.85,320.25,310.8,320.25,3158.0
2016/08/02,320.25,317.4,307.6,307.6,6297.0
2016/08/03,307.6,314.37,304.39,309.02,3940.0
2016/08/04,309.02,305.46,291.21,292.99,9841.0
2016/08/07,292.99,310.98,291.21,292.1,15001.0
2016/08/08,292.1,294.77,282.66,282.66,3964.0
2016/08/09,287.65,297.98,287.65,297.98,3000.0
2016/08/10,303.32,308.67,289.43,297.27,14658.0
2016/08/11,298.87,298.87,290.5,295.66,9515.0
2016/08/14,290.5,290.5,280.88,280.88,4448.0
2016/08/15,276.07,294.59,268.05,276.07,6885.0
2016/08/16,279.63,284.8,275.0,280.52,17246.0
2016/08/17,285.51,297.44,285.51,295.13,18126.0
2016/08/21,295.13,303.5,293.88,293.88,3291.0
2016/08/22,293.88,293.88,283.55,286.76,3341.0
2016/08/23,288.54,294.77,283.19,285.86,2030.0
2016/08/24,291.03,311.7,289.43,311.7,18515.0
2016/08/28,317.22,334.67,312.59,328.62,40381.0
2016/08/29,328.97,334.5,321.49,324.34,18515.0
2016/08/30,325.06,326.48,313.48,320.25,10455.0
2016/08/31,319.71,330.22,319.71,325.06,12695.0
2016/09/01,325.41,326.84,319.18,326.66,9311.0
2016/09/04,326.84,327.01,321.49,325.06,3066.0
2016/09/05,325.06,325.06,322.38,322.92,2809.0
2016/09/06,326.84,331.82,321.49,325.06,11909.0
2016/09/07,329.51,344.65,328.44,343.76,43234.0
2016/09/08,349.1,349.82,341.09,342.87,30563.0
2016/09/11,340.2,349.99,340.2,348.21,18186.0
2016/09/12,349.99,358.19,348.21,356.94,31464.0
2016/09/14,362.29,366.92,358.9,360.68,32540.0
2016/09/18,361.4,367.1,353.56,355.34,15188.0
2016/09/20,361.75,361.75,345.72,347.32,15998.0
2016/09/21,341.09,347.32,339.13,346.43,11376.0
2016/09/22,342.87,342.87,339.48,339.48,7635.0
2016/09/25,342.87,342.87,339.48,339.48,7635.0
2016/09/26,332.18,338.77,330.22,335.74,9927.0
2016/09/27,340.2,340.2,333.96,335.57,4389.0
2016/09/28,332.18,333.96,329.51,332.36,2153.0
2016/09/29,332.18,335.74,328.62,332.54,14715.0
2016/10/02,334.85,341.09,333.96,339.13,4300.0
2016/10/03,344.65,352.49,344.65,344.65,7833.0
2016/10/04,350.89,357.3,344.65,353.2,20004.0
2016/10/05,357.12,357.12,348.21,355.34,25467.0
2016/10/06,356.94,360.33,356.23,359.61,21963.0
2016/10/16,366.38,366.38,332.18,346.61,29688.0
