Date,Open,High,Low,Close,Volume,Change
2017-02-08,71.24,72.32,71.24,72.32,30.0,
2017-02-21,72.85,72.85,72.85,72.85,10.0,0.5300000000000011
2017-02-23,73.48,75.35,73.48,75.35,50.0,2.5
2017-02-26,75.98,77.23,75.98,77.23,30.0,1.8800000000000097
2017-03-01,77.94,80.8,77.94,80.8,72.0,3.569999999999993
2017-03-02,81.51,84.64,81.51,84.64,58.0,3.8400000000000034
2017-03-05,85.44,88.92,85.44,88.92,90.0,4.280000000000001
2017-03-06,89.82,92.67,89.82,93.66,54.0,4.739999999999995
2017-03-07,93.66,97.76,93.66,97.76,236.0,4.1000000000000085
2017-03-09,98.83,103.39,98.83,103.39,58.0,5.6299999999999955
2017-03-13,106.42,109.55,106.42,109.55,182.0,6.159999999999997
2017-03-21,110.84,112.17,110.84,112.17,50.0,2.6200000000000045
2017-03-22,113.5,113.5,113.5,114.94,14.0,2.769999999999996
2017-03-29,113.5,117.1,117.1,117.1,14.0,2.1599999999999966
2017-04-04,41.42,41.42,41.42,118.54,14.0,1.440000000000012
2017-04-10,118.54,118.54,118.54,118.54,10.0,0.0
2017-04-13,120.08,120.08,120.08,120.08,10.0,1.539999999999992
2017-04-18,121.62,123.16,121.62,123.16,20.0,3.0799999999999983
2017-04-24,124.7,124.7,124.7,124.7,10.0,1.5400000000000065
2017-04-25,126.34,129.63,126.34,129.63,38.0,4.929999999999993
2017-04-26,131.37,133.12,131.37,133.12,28.0,3.490000000000009
2017-04-27,41.42,41.42,41.42,134.86,10.0,1.740000000000009
2017-04-30,134.86,134.86,134.86,134.86,20.0,0.0
2017-05-02,136.71,142.36,136.71,142.36,44.0,7.5
2017-05-04,144.31,144.31,144.31,144.31,10.0,1.9499999999999889
2017-05-08,146.36,146.36,146.36,146.36,10.0,2.0500000000000114
2017-05-09,146.36,41.42,41.42,41.42,10.0,-104.94
2017-05-11,151.6,153.76,151.6,153.76,24.0,112.34
2017-05-16,41.42,41.42,41.42,153.76,10.0,0.0
2017-05-21,155.91,160.43,155.91,160.43,30.0,6.670000000000016
2017-05-22,162.79,165.15,162.79,165.15,20.0,4.719999999999999
2017-05-23,167.62,172.65,167.62,172.65,38.0,7.5
2017-05-24,172.65,185.69,175.22,185.69,80.0,13.039999999999992
2017-05-28,188.57,197.4,188.57,197.4,40.0,11.710000000000008
2017-05-30,200.48,203.56,200.48,203.56,20.0,6.159999999999997
2017-05-31,203.56,216.7,206.74,216.7,54.0,13.139999999999986
2017-06-01,220.19,223.68,220.19,223.68,20.0,6.980000000000018
2017-06-04,227.28,241.86,227.28,241.86,58.0,18.180000000000007
2017-06-05,245.86,261.88,245.86,261.88,60.0,20.019999999999985
2017-06-06,266.19,283.85,266.19,283.85,60.0,21.970000000000027
2017-06-07,288.68,308.09,288.68,308.09,68.0,24.239999999999952
2017-06-08,313.32,334.68,313.32,334.68,178.0,26.590000000000032
2017-06-11,340.54,363.95,340.54,363.95,4040.0,29.269999999999985
2017-06-12,370.31,396.19,344.95,356.66,17573.0,-7.289999999999964
2017-06-13,350.5,353.06,344.33,349.47,6005.0,-7.189999999999998
2017-06-14,349.26,349.26,337.35,338.48,2670.0,-10.990000000000007
2017-06-15,335.09,350.39,333.04,339.3,3317.0,0.8199999999999932
2017-06-18,339.3,338.17,334.07,335.2,1279.0,-4.100000000000023
2017-06-19,334.07,335.5,332.01,332.94,910.0,-2.259999999999991
2017-06-20,330.99,337.15,330.47,333.04,1464.0,0.1000000000000227
2017-06-21,333.04,341.97,331.09,334.68,702.0,1.6399999999999864
2017-06-22,334.78,338.17,331.09,337.97,1405.0,3.2900000000000205
2017-06-25,332.32,348.44,332.32,345.36,1034.0,7.389999999999986
2017-06-27,345.36,348.44,339.2,340.43,1136.0,-4.930000000000007
2017-06-28,339.2,344.85,339.2,341.87,1203.0,1.4399999999999975
