Date,Open,High,Low,Close,Volume
2021-05-03,232.58,250.87,232.58,250.87,50.0
2021-05-04,255.45,275.7,255.45,275.7,1759.0
2021-05-05,280.93,296.61,280.93,296.61,40.0
2021-05-06,302.49,326.01,302.49,326.01,300.0
2021-05-09,341.68,358.02,341.68,358.02,800.0
2021-05-10,375.66,393.3,375.66,393.3,1040.0
2021-05-11,412.9,432.5,412.9,432.5,2386.0
2021-05-12,454.06,475.61,454.06,475.61,1100.0
2021-05-13,499.13,522.65,499.13,522.65,2030.0
2021-05-16,548.79,574.92,548.79,574.92,4169.0
2021-05-17,603.67,632.41,603.67,632.41,9826.0
2021-05-18,663.77,695.13,663.77,695.13,7325.0
2021-05-19,729.76,764.38,729.76,764.38,3350.0
2021-05-20,802.27,840.82,687.94,734.98,44213.0
2021-05-23,770.26,770.26,672.92,707.54,10376.0
2021-05-24,707.54,719.3,682.72,693.82,12738.0
2021-05-25,693.82,712.77,687.29,701.01,5907.0
2021-05-27,685.98,708.85,685.98,708.85,4868.0
2021-05-30,718.0,718.65,685.98,687.29,5325.0
2021-05-31,685.98,699.05,660.5,663.77,8268.0
2021-06-01,653.32,663.12,653.32,652.66,6065.0
2021-06-02,673.57,673.57,632.41,672.92,2625.0
2021-06-03,659.85,684.68,649.4,661.16,1684.0
2021-06-06,653.32,667.04,648.74,650.7,3992.0
2021-06-07,636.98,674.88,636.98,646.78,3880.0
2021-06-08,653.97,667.04,641.56,645.48,3180.0
2021-06-09,643.52,653.32,643.52,653.32,1821.0
2021-06-10,653.32,653.32,653.32,632.41,11978.0
2021-06-13,653.32,655.93,635.68,633.72,5710.0
2021-06-14,640.25,652.66,624.57,636.33,3620.0
2021-06-15,631.1,631.1,616.08,620.65,4493.0
2021-06-16,601.71,629.14,578.19,597.13,3420.0
2021-06-17,588.64,623.26,580.8,620.65,4414.0
2021-06-20,608.89,653.32,604.32,640.25,8256.0
2021-06-21,640.25,640.25,612.16,623.26,3410.0
2021-06-22,623.92,647.44,611.5,621.3,3954.0
2021-06-23,621.3,627.18,609.54,611.5,1115.0
2021-06-24,601.05,630.45,601.05,627.18,2380.0
2021-06-27,658.54,658.54,608.24,629.8,3500.0
2021-06-28,629.8,633.72,609.54,620.65,710.0
2021-06-29,614.12,614.12,597.79,604.32,1330.0
2021-06-30,601.71,616.08,592.56,605.63,1608.0
2021-07-01,593.87,614.12,582.11,611.5,4440.0
2021-07-04,599.75,601.05,588.64,596.48,1629.0
2021-07-05,586.68,594.52,584.72,591.25,1966.0
2021-07-06,591.25,617.38,582.76,594.52,1340.0
2021-07-07,583.41,592.56,583.41,592.56,600.0
2021-07-08,592.56,604.32,585.37,589.29,2672.0
2021-07-11,588.64,607.59,587.99,593.87,2120.0
2021-07-12,597.79,601.05,589.29,589.95,2670.0
2021-07-13,589.95,594.52,587.99,594.52,771.0
2021-07-14,587.99,606.28,587.99,597.79,1305.0
2021-07-15,591.25,607.59,587.99,591.91,4000.0
2021-07-18,603.73,614.12,587.99,613.46,2851.0
2021-07-19,607.59,607.59,595.83,601.05,1119.0
2021-07-20,589.95,612.16,589.95,607.59,1060.0
2021-07-22,617.38,653.32,614.77,631.76,16210.0
2021-07-25,644.17,644.17,618.69,631.76,5781.0
2021-07-26,623.92,633.72,620.65,620.72,2890.0
2021-07-27,614.12,659.85,614.12,637.7,5827.0
2021-07-28,650.05,669.65,636.98,654.62,6938.0
2021-07-29,642.21,653.06,630.45,652.66,4385.0
2021-08-01,652.66,656.58,627.84,646.13,5907.0
2021-08-02,656.58,656.58,636.98,640.25,2335.0
2021-08-03,653.06,704.28,651.36,704.28,17893.0
2021-08-04,718.32,774.7,718.32,753.01,14963.0
2021-08-05,752.62,759.68,708.91,718.65,12292.0
2021-08-08,704.93,731.72,692.52,718.65,6768.0
2021-08-09,705.26,734.98,705.26,725.18,5454.0
2021-08-10,728.45,747.33,708.85,718.65,8160.0
2021-08-11,705.58,790.51,705.58,790.51,19474.0
2021-08-12,806.32,869.57,806.19,869.57,14822.0
2021-08-15,885.24,914.64,811.42,913.34,23547.0
2021-08-16,913.99,1004.67,860.09,999.58,15796.0
2021-08-17,1019.57,1099.53,1019.57,1099.53,11943.0
2021-08-18,1099.53,1156.37,1003.95,1156.37,20233.0
2021-08-19,1179.24,1208.11,1040.73,1184.46,24376.0
2021-08-24,1160.81,1160.81,1066.02,1066.02,4658.0
2021-08-25,1044.72,1044.72,959.46,1012.64,26750.0
2021-08-26,1015.91,1085.81,915.95,1085.81,20481.0
2021-08-29,1064.12,1064.12,977.23,977.23,22376.0
2021-08-31,957.7,966.26,879.56,879.56,14913.0
2021-09-01,862.38,966.26,849.31,946.0,6391.0
2021-09-02,964.3,964.3,874.79,944.04,6272.0
2021-09-05,925.16,925.16,849.64,849.64,8156.0
2021-09-06,849.31,921.18,836.9,913.34,3706.0
2021-09-07,917.91,917.91,835.53,849.31,7207.0
2021-09-08,852.58,882.63,836.25,852.58,4575.0
2021-09-09,868.91,869.57,836.25,855.85,4705.0
2021-09-12,872.83,908.11,865.65,901.58,7991.0
2021-09-13,914.64,919.22,883.94,898.31,2965.0
2021-09-14,901.58,901.58,875.51,900.92,1520.0
2021-09-15,898.31,911.38,826.45,857.15,4869.0
2021-09-16,840.17,852.58,836.25,836.25,4861.0
2021-09-20,849.31,849.31,754.58,757.85,4631.0
2021-09-21,742.69,801.62,694.67,801.62,4787.0
2021-09-22,816.65,880.02,803.58,866.95,6324.0
2021-09-23,866.69,891.12,840.82,848.08,3958.0
2021-09-26,833.63,833.63,776.14,794.83,2429.0
2021-09-27,794.83,794.83,717.14,765.36,3031.0
2021-09-28,754.58,765.29,697.81,700.68,3578.0
2021-09-29,701.4,770.75,689.9,758.89,2109.0
2021-09-30,773.98,804.81,712.9,804.81,2644.0
2021-10-03,804.17,820.7,754.58,768.24,2525.0
2021-10-04,783.54,783.54,711.46,768.95,1575.0
2021-10-05,753.58,784.33,725.84,783.33,1260.0
2021-10-06,790.51,854.47,747.39,790.51,1803.0
2021-10-10,806.32,806.32,754.58,768.95,2424.0
2021-10-11,784.05,784.05,739.49,754.58,2058.0
2021-10-17,769.67,815.67,739.49,750.99,700.0
2021-10-18,735.97,735.97,707.94,710.67,830.0
2021-10-19,697.09,697.09,668.34,697.09,1805.0
2021-10-20,710.74,766.8,673.3,736.62,1120.0
2021-10-21,722.24,729.43,662.95,728.71,2135.0
2021-10-24,733.02,733.02,686.31,711.46,1071.0
2021-10-25,711.46,736.62,711.46,736.62,2477.0
2021-10-26,736.62,806.32,736.62,763.92,2095.0
2021-10-27,779.02,790.51,746.68,781.89,5118.0
2021-10-28,797.48,797.48,753.58,775.42,2670.0
2021-10-31,783.33,851.02,760.62,836.51,7583.0
2021-11-01,836.51,912.11,820.7,820.7,3601.0
2021-11-02,836.51,871.0,803.67,826.45,1950.0
2021-11-03,842.98,842.98,809.99,826.45,1682.0
2021-11-08,826.45,826.45,794.11,794.11,1512.0
2021-11-09,778.3,778.3,740.93,742.36,3240.0
2021-11-11,727.99,773.91,727.27,754.58,2227.0
2021-11-14,754.58,765.36,731.66,733.74,3813.0
2021-11-15,733.74,763.06,733.74,736.69,2451.0
2021-11-16,751.42,781.67,735.97,761.77,1890.0
2021-11-17,754.58,784.33,754.58,769.67,2261.0
2021-11-18,756.02,784.76,746.53,754.58,1852.0
2021-11-21,761.77,769.67,742.36,743.8,1163.0
2021-11-22,733.02,761.77,733.02,737.33,1061.0
2021-11-23,737.33,743.8,725.84,740.21,1797.0
2021-11-24,725.4,743.8,718.65,743.8,970.0
2021-11-25,758.17,758.17,733.02,737.33,806.0
2021-11-28,737.33,737.33,715.06,718.65,3064.0
2021-11-29,718.65,722.96,707.87,707.87,1463.0
2021-11-30,722.03,722.03,697.81,711.46,1816.0
2021-12-01,711.46,733.02,710.03,710.03,1314.0
2021-12-02,705.71,714.34,697.09,697.09,1051.0
2021-12-05,697.09,697.09,661.16,668.34,1899.0
2021-12-06,668.34,680.56,641.9,680.56,3009.0
2021-12-07,686.31,733.02,649.66,649.66,1864.0
2021-12-08,649.66,694.14,638.16,653.97,1415.0
2021-12-09,653.97,655.41,633.85,646.78,1707.0
2021-12-12,646.78,659.72,633.85,639.6,955.0
