Date,Open,High,Low,Close,Volume
2012-01-18,91.9,90.91,89.92,89.92,180.0
2012-04-01,89.92,88.92,88.92,88.92,170.0
2012-04-30,88.92,87.93,86.94,86.94,270.0
2012-05-07,86.94,86.15,86.15,86.15,20.0
2012-05-20,86.15,83.76,83.76,83.76,1240.0
2012-05-29,83.76,82.38,82.38,82.38,1240.0
2012-07-10,82.38,80.19,80.19,80.19,50.0
2012-07-12,80.19,78.21,78.21,78.21,50.0
2012-07-16,78.21,77.41,77.41,77.41,70.0
2012-07-17,77.41,76.62,76.62,76.62,270.0
2012-07-26,76.62,76.02,76.02,76.02,20.0
2012-08-12,76.02,75.43,75.43,75.43,500.0
2012-08-19,75.43,73.64,73.64,73.64,1320.0
2012-08-26,73.64,71.86,71.86,71.86,110.0
2012-09-09,71.86,71.26,68.48,68.48,60.0
2012-09-25,68.48,67.89,66.9,66.9,30.0
2012-09-26,66.9,66.5,66.1,66.1,70.0
2012-09-27,66.1,65.7,64.91,64.91,60.0
2012-10-02,64.91,64.51,62.33,62.33,200.0
2012-10-03,62.33,61.93,59.95,59.95,4850.0
2012-10-04,59.95,60.15,58.76,59.75,4670.0
2012-10-07,59.75,60.15,58.76,59.95,3980.0
2012-10-08,59.95,60.35,59.55,60.35,2710.0
2012-10-09,60.35,60.15,59.75,59.95,2770.0
2012-10-10,59.95,60.35,59.95,59.95,390.0
2012-10-11,59.95,60.35,60.35,60.35,50.0
2012-10-14,60.35,60.15,59.75,59.75,2020.0
2012-10-15,59.75,61.14,59.95,61.14,820.0
2012-10-18,61.14,61.54,61.14,61.54,1090.0
2012-10-30,61.54,61.34,61.14,61.34,780.0
2012-10-31,61.34,61.93,61.54,61.93,760.0
2012-11-01,61.93,61.74,61.34,61.54,550.0
2012-11-04,61.54,61.93,61.14,61.54,660.0
2012-11-05,61.54,62.33,61.93,62.33,1440.0
2012-11-06,62.33,63.12,62.53,63.12,490.0
2012-11-07,63.12,63.32,63.12,63.12,220.0
2012-11-21,63.12,63.52,63.52,63.52,720.0
2012-11-22,63.52,63.12,62.73,62.73,470.0
2012-11-25,62.73,62.33,60.74,60.74,660.0
2012-11-26,60.74,61.14,60.74,60.74,5040.0
2012-11-27,60.74,60.94,60.94,60.94,2530.0
2012-11-28,60.94,61.34,61.34,61.34,520.0
2012-11-29,61.34,60.94,60.94,60.94,750.0
2012-12-03,60.94,60.74,60.74,60.74,80.0
2012-12-04,60.74,61.14,60.74,61.14,310.0
2012-12-05,61.14,61.14,60.94,60.94,730.0
2012-12-06,60.94,61.34,60.94,61.14,1180.0
2012-12-09,61.14,61.14,60.74,60.74,1430.0
2012-12-10,60.74,61.14,60.74,60.74,200.0
2012-12-11,60.74,61.14,60.35,61.14,910.0
2012-12-13,61.14,60.94,60.94,60.94,360.0
2012-12-17,60.94,60.94,60.94,60.94,120.0
2012-12-18,60.94,60.74,60.74,60.74,430.0
2012-12-19,60.74,60.74,60.74,60.74,50.0
2012-12-20,60.74,61.54,61.14,61.54,160.0
2012-12-24,61.54,61.93,61.93,61.93,200.0
2012-12-31,61.93,61.74,61.54,61.54,1010.0
2013-01-01,61.54,61.14,61.14,61.14,80.0
2013-01-03,61.14,61.14,61.14,61.14,50.0
2013-01-06,61.14,61.14,61.14,61.14,60.0
2013-01-08,61.14,60.94,60.74,60.74,1690.0
2013-01-10,60.74,60.54,60.54,60.54,50.0
2013-01-16,60.54,60.74,60.54,60.54,690.0
2013-01-20,60.54,60.54,60.54,60.54,320.0
2013-01-22,60.54,62.53,60.94,62.53,1280.0
2013-01-24,62.53,63.52,62.93,63.52,2080.0
2013-01-27,63.52,63.92,63.12,63.12,3060.0
2013-01-28,63.12,62.93,62.53,62.53,670.0
2013-01-30,62.53,62.53,62.13,62.53,1440.0
2013-01-31,62.53,62.93,62.93,62.93,620.0
2013-02-03,62.93,63.32,62.93,62.93,780.0
2013-02-04,62.93,63.72,62.93,63.52,1340.0
2013-02-05,63.52,63.12,62.93,62.93,250.0
2013-02-06,62.93,63.52,63.12,63.32,1030.0
2013-02-07,63.32,63.32,62.93,63.32,440.0
2013-02-12,63.32,63.52,63.52,63.52,100.0
2013-02-13,63.52,63.32,63.32,63.32,450.0
2013-02-14,63.32,63.72,63.52,63.72,380.0
2013-02-19,63.72,64.12,64.12,64.12,430.0
2013-02-20,64.12,64.12,63.72,63.72,390.0
2013-02-21,63.72,63.32,63.32,63.32,200.0
2013-02-24,63.32,63.12,62.93,62.93,240.0
2014-09-07,62.93,65.31,63.32,65.31,60.0
2014-09-09,65.31,67.69,66.5,67.69,40.0
