Date,Open,High,Low,Close,Volume
2012-02-27,64.82,60.94,60.94,60.94,10.0
2012-02-29,60.94,60.19,59.6,59.6,2224.0
2012-03-06,59.6,59.0,56.61,56.61,50.0
2012-03-13,56.61,56.02,54.23,54.23,40.0
2012-03-14,54.23,53.63,51.24,51.24,60.0
2012-03-15,51.24,50.79,48.56,48.56,60.0
2012-03-18,48.56,48.11,46.02,46.02,79.0
2012-03-19,46.02,45.57,43.78,43.78,82.0
2012-03-20,43.78,43.48,41.84,42.44,62910.0
2012-03-21,42.44,42.59,41.84,42.59,19823.0
2012-03-25,42.59,42.59,42.29,42.59,7490.0
2012-03-26,42.59,42.89,42.44,42.74,15479.0
2012-03-27,42.74,43.04,42.59,43.04,12407.0
2012-03-28,43.04,43.78,42.89,43.48,13523.0
2012-03-29,43.48,43.63,43.18,43.18,10263.0
2012-04-01,43.18,43.63,43.04,43.33,10278.0
2012-04-02,43.33,43.78,43.33,43.78,9248.0
2012-04-03,43.78,44.68,43.78,44.53,2732.0
2012-04-04,44.53,44.23,43.93,44.23,2269.0
2012-04-05,44.23,44.53,44.08,44.53,2037.0
2012-04-08,44.53,44.53,43.93,43.93,3641.0
2012-04-09,43.93,44.23,43.93,44.08,2302.0
2012-04-10,44.08,44.83,43.93,44.83,4696.0
2012-04-11,44.83,45.42,43.93,44.83,11950.0
2012-04-12,44.83,46.91,45.12,46.91,12740.0
2012-04-15,46.91,49.3,47.36,49.3,6574.0
2012-04-16,49.3,51.54,49.75,51.54,8164.0
2012-04-17,51.54,54.37,50.05,50.05,9132.0
2012-04-18,50.05,52.14,47.66,51.39,19469.0
2012-04-19,51.39,54.23,51.84,53.18,31297.0
2012-04-22,53.18,56.16,53.18,56.16,28005.0
2012-04-24,56.16,59.15,56.76,59.15,6186.0
2012-04-25,59.15,62.73,59.75,62.73,5101.0
2012-04-26,62.73,66.61,59.15,66.61,50478.0
2012-04-29,66.61,67.5,63.33,65.56,38288.0
2012-04-30,65.56,65.56,62.58,62.58,6881.0
2012-05-02,62.58,61.83,59.6,59.6,593.0
2012-05-03,59.6,62.58,60.19,62.58,11940.0
2012-05-07,62.58,66.46,63.33,66.46,10796.0
2012-05-08,66.46,68.85,66.31,67.2,38625.0
2012-05-09,67.2,66.46,63.47,64.22,25046.0
2012-05-10,64.22,64.52,60.79,63.33,15507.0
2012-05-13,63.33,62.58,59.3,59.3,18779.0
2012-05-14,59.3,58.7,56.61,56.61,7920.0
2012-05-15,56.61,58.4,56.61,58.4,21588.0
2012-05-16,58.4,61.83,59.0,61.83,1519.0
2012-05-17,61.83,64.82,62.58,63.77,28384.0
2012-05-20,63.77,63.62,60.04,62.43,6948.0
2012-05-21,62.43,64.22,60.19,63.03,16475.0
2012-05-22,63.03,63.03,59.6,62.43,7398.0
2012-05-23,62.43,61.68,58.55,58.55,9377.0
2012-05-24,58.55,61.09,58.1,59.6,28346.0
2012-05-27,59.6,63.18,59.75,62.58,12866.0
2012-05-30,62.58,61.83,59.0,59.0,50.0
2012-05-31,59.0,58.4,55.42,56.76,9726.0
2012-06-03,56.76,60.04,57.36,60.04,10550.0
2012-06-04,60.04,60.79,58.1,59.0,10165.0
2012-06-05,59.0,59.15,56.76,57.36,4701.0
2012-06-06,57.36,56.76,54.82,55.42,7159.0
2012-06-07,55.42,57.95,55.12,57.51,6698.0
2012-06-10,57.51,57.51,55.72,55.87,1075.0
2012-06-11,55.87,58.7,55.57,56.46,12237.0
2012-06-12,56.46,56.16,55.12,56.16,9497.0
2012-06-13,56.16,56.61,55.42,56.61,1736.0
2012-06-14,56.61,56.16,55.57,55.57,812.0
2012-06-17,55.57,55.27,54.08,54.52,2510.0
2012-06-18,54.52,55.12,54.08,55.12,2438.0
