Date,Open,High,Low,Close,Volume
2012/01/01,47.57,43.14,43.14,43.14,532.0
2012/01/02,48.78,48.78,48.78,48.78,419.0
2012/01/03,48.78,50.79,49.32,50.39,2840.0
2012/01/04,50.39,49.85,49.85,49.85,200.0
2012/01/05,49.85,50.12,49.59,49.59,158.0
2012/01/08,49.59,50.12,49.59,50.12,805.0
2012/01/09,50.12,49.99,49.85,49.99,832.0
2012/01/11,49.99,50.39,49.05,49.18,878.0
2012/01/12,49.18,51.33,49.72,51.33,80.0
2012/01/23,51.33,50.79,48.38,48.78,3035.0
2012/01/25,48.78,48.78,48.24,48.51,486.0
2012/01/26,48.51,48.91,48.24,48.91,1143.0
2012/01/29,48.91,49.45,48.91,48.91,291.0
2012/01/31,48.91,49.32,49.32,49.32,32.0
2012/02/01,49.32,48.91,48.91,48.91,64.0
2012/02/02,48.91,49.18,48.51,48.65,1523.0
2012/02/05,48.65,48.65,47.84,47.97,1993.0
2012/02/06,47.97,48.24,47.7,47.97,4406.0
2012/02/07,47.97,47.97,47.57,47.7,2102.0
2012/02/08,47.7,47.84,47.3,47.44,1794.0
2012/02/09,47.44,47.97,47.17,47.44,855.0
2012/02/12,47.44,47.84,47.44,47.84,330.0
2012/02/13,47.84,48.24,47.7,47.97,1436.0
2012/02/14,47.97,48.51,48.38,48.38,116.0
2012/02/15,48.38,47.97,47.44,47.7,1233.0
2012/02/16,47.7,47.97,47.03,47.84,1228.0
2012/02/23,47.84,47.44,47.44,47.44,645.0
2012/02/26,47.44,47.97,47.44,47.44,391.0
2012/02/27,47.44,47.7,47.17,47.7,1120.0
2012/02/28,47.7,48.24,47.7,48.24,760.0
2012/02/29,48.24,48.51,48.38,48.51,1209.0
2012/03/01,48.51,48.51,48.51,48.51,70.0
2012/03/04,48.51,48.38,47.84,48.38,1091.0
2012/03/05,48.38,48.38,48.38,48.38,100.0
2012/03/06,48.38,48.65,48.65,48.65,90.0
2012/03/11,48.65,48.65,48.11,48.11,432.0
2012/03/12,48.11,48.11,47.57,47.84,4702.0
2012/03/13,47.84,48.24,47.57,47.57,7475.0
2012/03/14,47.57,47.7,46.5,47.3,13277.0
2012/03/15,47.3,47.7,47.03,47.3,4621.0
2012/03/18,47.3,47.57,47.03,47.3,498.0
2012/03/19,47.3,47.57,47.03,47.17,866.0
2012/03/20,47.17,47.7,47.03,47.03,558.0
2012/03/21,47.03,48.24,47.03,48.24,1198.0
2012/03/25,48.24,47.7,47.3,47.3,421.0
2012/03/26,47.3,47.44,47.03,47.44,838.0
2012/03/27,47.44,47.17,46.9,47.17,1989.0
2012/03/28,47.17,47.3,46.9,47.3,1572.0
2012/03/29,47.3,47.17,47.03,47.17,1052.0
2012/04/01,47.17,47.44,46.63,47.44,232.0
2012/04/02,47.44,47.7,47.17,47.44,479.0
2012/04/03,47.44,47.97,47.03,47.7,1349.0
2012/04/04,47.7,48.11,47.84,48.11,288.0
2012/04/05,48.11,47.97,47.97,47.97,385.0
2012/04/08,47.97,47.84,47.3,47.44,2500.0
2012/04/09,47.44,48.38,47.03,47.97,5237.0
2012/04/10,47.97,48.65,47.44,48.65,395.0
2012/04/11,48.65,50.26,48.91,48.91,1758.0
2012/04/12,48.91,51.6,48.91,51.6,5677.0
2012/04/15,51.6,53.75,52.14,52.94,2290.0
2012/04/17,52.94,56.17,49.72,50.12,12214.0
2012/04/18,50.12,53.08,50.12,53.08,4246.0
2012/04/19,53.08,56.3,53.62,56.3,14028.0
2012/04/22,56.3,59.8,56.97,59.8,7989.0
2012/04/25,59.8,62.89,60.47,62.89,345.0
2012/04/26,62.89,67.05,59.12,67.05,24512.0
2012/04/29,67.05,69.33,65.84,69.33,12609.0
2012/04/30,69.33,68.93,65.17,67.72,3782.0
2012/05/03,67.72,72.42,68.66,72.42,735.0
2012/05/07,72.42,76.45,73.36,76.45,665.0
2012/05/08,76.45,78.6,72.29,73.63,10810.0
2012/05/09,73.63,74.04,69.6,70.54,15840.0
2012/05/10,70.54,71.48,65.98,68.8,12228.0
2012/05/13,68.8,67.86,64.23,65.71,2389.0
2012/05/14,65.71,64.9,61.81,63.02,6765.0
2012/05/15,63.02,67.18,63.83,67.18,2541.0
2012/05/16,67.18,71.89,68.13,71.89,363.0
2012/05/17,71.89,76.99,69.6,70.95,8575.0
2012/05/20,70.95,71.89,68.13,69.2,5590.0
2012/05/21,69.2,71.22,68.13,69.87,5306.0
2012/05/22,69.87,68.93,67.18,67.45,5509.0
2012/05/23,67.45,66.51,64.23,64.23,177.0
2012/05/24,64.23,68.26,63.42,67.05,3736.0
2012/05/27,67.05,71.08,67.18,68.66,3808.0
2012/06/03,68.66,68.66,65.84,65.84,7611.0
2012/06/04,65.84,65.71,63.56,63.83,3595.0
2012/06/05,63.83,63.02,60.6,62.08,6115.0
2012/06/06,62.08,61.27,59.12,60.47,3568.0
2012/06/07,60.47,61.27,59.12,59.93,4131.0
2012/06/10,59.93,60.6,59.39,59.39,1628.0
2012/06/11,59.39,61.01,60.06,60.47,2293.0
2012/06/12,60.47,60.47,59.12,59.93,4002.0
2012/06/13,59.93,59.93,59.12,59.12,7853.0
2012/06/14,59.12,59.8,59.12,59.12,643.0
2012/06/17,59.12,59.53,57.24,57.65,2482.0
2012/06/18,57.65,58.45,56.44,58.45,3053.0
2012/06/19,58.45,58.05,57.24,57.65,1392.0
2012/06/20,57.65,59.8,58.05,58.59,1674.0
2012/06/21,58.59,59.93,59.12,59.8,1321.0
2012/06/25,59.8,62.21,59.8,62.21,4473.0
2012/06/26,62.21,61.41,60.47,60.6,335.0
2012/06/27,60.6,62.08,60.74,62.08,2594.0
2012/06/28,62.08,63.83,62.62,63.02,3456.0
2012/07/01,63.02,63.15,61.68,61.81,2504.0
2012/07/02,61.81,61.81,60.06,60.47,7545.0
2012/07/03,60.47,61.27,61.14,61.27,198.0
2012/07/04,61.27,62.21,61.27,61.81,3142.0
2012/07/05,61.81,63.02,61.95,63.02,1329.0
2012/07/08,63.02,63.83,61.54,62.62,728.0
2012/07/09,62.62,62.08,60.47,62.08,4371.0
2012/07/10,62.08,63.02,62.21,62.48,1799.0
2012/07/11,62.48,62.75,62.35,62.48,2579.0
2012/07/12,62.48,62.75,61.41,62.75,756.0
2012/07/15,62.75,66.51,61.95,66.51,1583.0
2012/07/19,66.51,65.71,63.69,64.36,5242.0
2012/07/22,64.36,66.51,64.63,65.71,6695.0
2012/07/23,65.71,66.51,65.3,65.44,1376.0
2012/07/24,65.44,65.17,63.83,64.77,1730.0
2012/07/25,64.77,65.04,63.96,64.5,2760.0
2012/07/26,64.5,64.23,63.29,63.83,2881.0
2012/07/29,63.83,63.83,62.48,63.02,710.0
2012/07/30,63.02,63.83,63.15,63.29,3854.0
2012/07/31,63.29,63.83,62.48,63.83,4035.0
2012/08/01,63.83,64.36,63.29,64.36,2464.0
2012/08/05,64.36,63.56,63.42,63.42,225.0
