Date,Open,High,Low,Close,Volume
2012/01/01,230.48,235.64,230.48,233.06,1155.0
2012/01/02,233.06,240.8,237.7,239.08,455.0
2012/01/03,239.08,245.44,239.08,239.08,1351.0
2012/01/04,239.08,238.22,232.02,236.5,657.0
2012/01/05,236.5,238.04,232.2,238.04,1204.0
2012/01/08,238.04,233.92,227.9,231.17,2337.0
2012/01/09,231.17,233.92,223.6,229.45,2110.0
2012/01/10,229.45,236.5,223.6,232.54,1520.0
2012/01/11,232.54,240.62,224.46,240.62,904.0
2012/01/12,240.62,242.52,230.48,242.52,437.0
2012/01/16,242.52,238.56,230.65,235.64,960.0
2012/01/17,235.64,240.28,235.64,240.28,100.0
2012/01/18,240.28,235.64,230.99,231.85,212.0
2012/01/22,232.2,232.2,229.1,230.48,1022.0
2012/01/23,230.48,232.2,227.04,228.76,1716.0
2012/01/25,228.76,231.34,226.18,231.34,637.0
2012/01/26,231.34,228.76,223.94,228.76,1732.0
2012/01/29,228.76,227.38,227.04,227.38,578.0
2012/01/31,227.38,229.79,224.97,229.79,1887.0
2012/02/01,229.79,227.9,227.9,227.9,36.0
2012/02/02,227.9,227.9,225.32,227.9,643.0
2012/02/05,227.9,230.13,227.9,230.13,75.0
2012/02/06,230.13,231.17,228.76,231.17,379.0
2012/02/07,231.17,231.34,230.13,231.34,420.0
2012/02/08,231.34,231.34,230.48,231.34,200.0
2012/02/09,231.34,231.17,227.04,227.73,1695.0
2012/02/12,227.73,229.1,227.38,229.1,2039.0
2012/02/13,229.1,231.17,227.9,228.93,575.0
2012/02/14,228.93,229.79,228.93,229.62,571.0
2012/02/15,229.62,232.2,231.34,232.2,61.0
2012/02/16,232.2,231.34,228.76,228.93,5547.0
2012/02/21,228.93,229.62,227.9,229.27,908.0
2012/02/23,229.27,230.48,229.45,230.48,112.0
2012/02/26,230.48,234.78,231.34,232.54,202.0
2012/02/27,232.54,232.2,230.48,231.34,1113.0
2012/02/28,231.34,233.92,232.2,233.92,639.0
2012/02/29,233.92,236.5,233.92,234.95,213.0
2012/03/01,234.95,240.45,235.29,240.45,924.0
2012/03/04,240.45,239.94,237.36,238.04,186.0
2012/03/05,238.04,240.11,235.64,235.64,710.0
2012/03/06,235.64,237.87,235.64,237.87,220.0
2012/03/11,237.87,236.5,235.29,236.5,421.0
2012/03/12,236.5,236.5,236.5,236.5,50.0
2012/03/13,236.5,238.73,236.5,237.36,390.0
2012/03/14,237.36,237.18,234.78,237.18,736.0
2012/03/15,237.18,236.5,232.54,232.54,919.0
2012/03/18,232.54,235.98,233.92,235.29,603.0
2012/03/19,235.29,236.5,232.2,236.5,220.0
2012/03/20,236.5,236.5,233.92,233.92,323.0
2012/03/21,233.92,238.56,233.06,238.56,639.0
2012/03/25,238.56,237.36,232.37,237.01,858.0
2012/03/26,237.01,236.84,230.48,236.84,1414.0
2012/03/27,236.84,241.48,232.2,236.84,310.0
2012/03/28,236.84,233.92,232.2,233.92,212.0
2012/03/29,233.92,237.7,230.82,237.7,212.0
2012/04/01,237.7,233.23,230.13,232.2,327.0
2012/04/02,232.2,237.7,231.85,237.7,564.0
2012/04/03,237.7,233.92,232.2,232.2,938.0
2012/04/04,232.2,236.84,232.2,236.84,951.0
2012/04/05,236.84,235.81,231.34,235.81,150.0
2012/04/08,235.81,236.84,234.78,236.84,609.0
2012/04/09,236.84,237.36,236.5,237.36,318.0
2012/04/10,237.36,240.62,238.73,240.62,656.0
2012/04/11,240.62,245.96,240.8,244.92,1858.0
2012/04/12,244.92,250.26,240.8,249.4,1560.0
2012/04/15,249.4,271.93,254.38,271.93,535.0
2012/04/16,271.93,293.94,277.26,293.94,350.0
2012/04/17,293.94,317.85,272.62,272.62,2734.0
2012/04/18,272.62,299.28,268.32,290.68,1282.0
2012/04/19,290.68,299.28,285.52,295.84,2261.0
2012/04/22,295.84,310.28,300.82,309.6,2364.0
2012/04/24,309.6,340.56,315.79,340.56,1191.0
2012/04/25,340.56,374.61,347.26,374.61,2301.0
2012/04/26,374.61,391.98,338.49,378.4,5867.0
2012/04/29,378.4,380.98,363.26,377.19,2982.0
2012/04/30,377.19,374.96,350.02,350.36,3263.0
2012/05/02,350.36,343.48,315.44,317.34,1101.0
2012/05/03,317.34,336.43,323.53,336.43,532.0
2012/05/07,336.43,356.72,343.14,356.72,669.0
2012/05/08,356.72,378.4,354.32,378.4,3667.0
2012/05/09,378.4,380.12,354.49,361.2,6406.0
2012/05/10,361.2,359.65,337.12,352.6,3831.0
2012/05/13,352.6,345.54,326.8,327.14,1623.0
2012/05/14,327.14,323.36,294.46,299.28,2897.0
2012/05/15,299.28,329.2,305.12,329.2,913.0
2012/05/16,329.2,342.45,335.74,342.45,30.0
2012/05/17,342.45,376.68,344.0,352.6,5152.0
2012/05/20,352.6,348.3,337.12,343.14,1391.0
2012/05/21,343.14,353.97,344.0,345.72,1681.0
2012/05/22,345.72,343.82,337.12,339.7,1365.0
2012/05/23,339.7,332.99,319.92,320.43,679.0
2012/05/24,320.43,342.28,311.83,328.86,2004.0
2012/05/27,328.86,347.44,329.38,341.93,2131.0
2012/05/29,341.93,335.22,322.15,322.15,30.0
2012/05/30,322.15,315.79,289.99,289.99,860.0
2012/05/31,289.99,289.82,261.09,286.03,2945.0
2012/06/03,286.03,314.58,291.71,314.58,1155.0
2012/06/04,314.58,312.35,293.26,306.16,1566.0
2012/06/05,306.16,301.68,293.26,297.56,1870.0
2012/06/06,297.56,297.56,292.74,297.56,1406.0
2012/06/07,297.56,306.16,292.4,299.28,1457.0
2012/06/10,299.28,293.43,292.4,292.4,259.0
2012/06/11,292.4,304.09,292.4,292.4,1726.0
2012/06/12,292.4,294.29,292.05,294.12,1479.0
2012/06/13,294.12,299.28,293.26,295.84,316.0
2012/06/14,295.84,297.21,291.54,292.4,1463.0
2012/06/17,292.4,293.94,289.3,293.94,698.0
2012/06/18,293.94,294.8,292.22,293.26,1101.0
2012/06/19,293.26,292.91,290.85,292.22,341.0
2012/06/20,292.22,296.35,289.82,294.12,2270.0
2012/06/21,294.12,294.98,291.54,294.98,1687.0
2012/06/25,294.98,306.84,291.71,306.84,472.0
2012/06/26,306.84,300.82,295.15,296.7,500.0
2012/06/27,296.7,303.4,297.21,303.06,895.0
2012/06/28,303.06,309.6,301.0,302.72,1478.0
2012/07/01,302.72,305.3,301.68,303.75,469.0
2012/07/02,303.75,303.58,296.52,296.52,961.0
2012/07/03,296.52,297.56,291.88,295.66,8194.0
2012/07/04,295.66,303.58,297.56,299.28,2013.0
2012/07/05,299.28,301.34,294.46,300.48,1478.0
2012/07/08,300.48,301.0,295.84,296.7,825.0
2012/07/09,296.7,304.44,296.7,302.72,601.0
2012/07/10,302.72,308.56,306.33,307.53,1387.0
2012/07/11,307.53,307.88,305.3,305.3,1039.0
2012/07/12,305.3,310.11,303.92,310.11,877.0
2012/07/15,310.11,311.32,305.47,309.42,2070.0
2012/07/16,309.42,307.53,306.16,306.33,293.0
2012/07/17,306.33,307.88,306.16,307.88,436.0
2012/07/18,307.88,309.6,304.44,309.6,1728.0
2012/07/19,309.6,319.92,311.32,311.32,1702.0
2012/07/22,311.32,319.23,310.46,318.54,1609.0
2012/07/23,318.54,326.8,322.5,323.53,807.0
2012/07/24,323.53,331.1,318.2,320.78,1380.0
2012/07/25,320.78,330.92,323.01,325.08,1434.0
2012/07/26,325.08,320.6,317.34,318.54,995.0
2012/07/29,318.54,318.88,315.96,316.48,589.0
2012/07/30,316.48,314.93,314.93,314.93,15.0
2012/07/31,314.93,318.2,313.9,318.2,1723.0
2012/08/01,318.2,318.54,314.76,316.48,590.0
2012/08/05,316.48,319.92,316.48,316.48,891.0
