Date,Open,High,Low,Close,Volume
2019/11/28,95.0,95.0,94.44,94.44,200.0
2019/12/09,95.0,95.0,95.0,95.0,10.0
2019/12/12,95.56,97.78,95.56,97.78,248.0
2019/12/15,98.33,98.89,98.33,98.89,30.0
2019/12/17,103.33,104.44,103.33,103.33,252.0
2019/12/23,104.44,105.56,104.44,104.44,350.0
2019/12/24,105.56,107.78,104.44,104.44,611.0
2019/12/25,104.44,104.44,100.0,100.0,1030.0
2019/12/26,99.44,99.44,99.44,99.44,170.0
2019/12/29,99.44,99.44,98.89,98.89,720.0
2019/12/31,98.33,98.89,98.33,98.89,120.0
2020/01/01,99.44,100.0,99.44,100.0,20.0
2020/01/02,100.56,100.56,98.89,98.89,175.0
2020/01/05,98.89,98.89,98.33,98.33,120.0
2020/01/06,98.89,98.89,98.89,98.89,100.0
2020/01/07,98.33,98.89,98.33,98.89,2200.0
2020/01/09,99.44,101.11,99.44,101.11,210.0
2020/01/13,102.22,102.22,101.11,101.11,220.0
2020/01/15,101.11,101.11,101.11,101.11,100.0
2020/01/16,102.22,103.33,102.22,102.78,1258.0
2020/01/19,103.89,107.22,103.89,105.0,3265.0
2020/01/20,106.11,107.22,102.78,102.78,4280.0
2020/01/21,102.78,102.78,101.67,101.67,1440.0
2020/01/22,102.78,102.78,100.56,100.56,1540.0
2020/01/23,101.67,102.78,101.67,102.78,220.0
2020/01/27,101.67,101.67,101.67,101.67,493.0
2020/01/28,102.78,105.0,102.78,104.44,2117.0
2020/01/29,103.33,103.33,102.22,102.22,330.0
2020/01/30,103.33,103.33,101.67,102.22,400.0
2020/02/03,102.22,102.22,100.56,100.56,2760.0
2020/02/04,100.56,101.67,100.0,101.67,1953.0
2020/02/05,102.78,102.78,100.0,100.0,810.0
2020/02/06,100.0,105.56,100.0,105.56,8548.0
2020/02/09,106.11,107.22,105.0,105.56,4574.0
2020/02/10,105.56,105.56,104.44,104.44,357.0
2020/02/11,104.44,104.44,103.33,103.33,2100.0
2020/02/12,102.22,102.22,102.22,102.22,600.0
2020/02/13,101.11,102.78,101.11,102.22,828.0
2020/02/16,103.33,103.33,103.33,103.33,100.0
2020/02/17,104.44,104.44,102.22,102.22,550.0
2020/02/18,102.22,102.22,101.11,101.11,724.0
2020/02/19,100.56,105.56,100.56,104.44,2525.0
2020/02/20,104.44,105.0,102.22,102.22,4954.0
2020/02/23,103.33,104.44,102.22,102.22,417.0
2020/02/24,102.22,102.78,102.22,102.78,441.0
2020/02/25,102.22,106.11,101.67,106.11,2636.0
2020/02/26,106.67,108.33,106.67,107.22,1190.0
2020/02/27,106.11,106.11,103.33,103.33,953.0
2020/03/01,103.33,102.78,102.22,102.22,642.0
2020/03/02,101.11,101.11,100.0,100.0,100.0
2020/03/03,100.0,101.11,100.56,100.56,2050.0
2020/03/04,100.0,100.0,99.44,100.0,600.0
2020/03/05,100.0,101.11,99.44,101.11,1390.0
2020/03/11,102.22,102.22,102.22,102.22,224.0
2020/03/12,103.33,103.33,101.11,101.11,1560.0
2020/03/15,100.0,100.0,98.89,98.89,1150.0
2020/03/16,98.89,98.89,98.33,98.89,426.0
2020/03/17,98.33,98.33,98.33,98.33,200.0
2020/07/05,98.89,98.89,97.78,98.33,617.0
2020/07/07,98.89,103.33,98.89,103.33,165.0
2020/07/08,104.44,104.44,103.33,103.33,110.0
2020/07/09,103.33,103.33,102.78,102.78,93.0
2020/07/12,102.22,102.22,101.67,101.67,148.0
2020/07/13,102.78,103.89,102.78,102.78,55.0
2020/07/14,102.78,102.78,98.89,98.89,2288.0
2020/07/15,98.89,98.89,98.33,98.33,400.0
2020/07/16,98.33,98.33,97.78,98.33,442.0
2020/07/21,98.89,103.33,98.89,103.33,1565.0
2020/07/22,104.44,105.56,103.33,103.33,325.0
2020/07/23,102.22,102.22,102.22,102.22,93.0
2020/07/26,101.67,102.22,100.56,100.56,2369.0
2020/07/27,100.0,100.0,99.44,99.44,1443.0
2020/07/28,99.44,99.44,98.89,99.44,4151.0
2020/07/29,100.0,101.11,100.0,101.11,78.0
2020/07/30,102.22,104.44,102.22,103.89,1490.0
2020/08/02,102.78,102.78,100.56,100.56,271.0
2020/08/03,101.11,101.11,101.11,101.11,200.0
2020/08/05,100.0,100.0,100.0,100.0,508.0
2020/08/06,100.0,102.22,100.0,102.22,1183.0
2020/08/09,101.11,107.22,101.11,103.33,7685.0
2020/08/10,103.89,107.22,103.89,107.22,3960.0
2020/08/11,110.0,113.33,107.78,108.89,27195.0
2020/08/12,110.0,110.0,105.56,107.78,16035.0
2020/08/13,106.67,108.33,102.78,105.0,4530.0
2020/08/16,103.89,104.44,102.78,104.44,2199.0
2020/08/17,103.33,105.56,102.22,105.56,2003.0
2020/08/18,106.11,106.11,104.44,105.56,1795.0
2020/08/19,108.33,111.67,108.33,111.67,28860.0
2020/08/20,112.78,118.33,112.78,118.33,804.0
2020/08/23,119.44,125.56,119.44,125.56,92680.0
2020/08/24,129.44,133.33,127.78,129.44,26833.0
2020/08/25,131.11,131.11,121.67,123.89,21928.0
2020/08/26,122.78,125.0,116.11,116.11,33661.0
2020/08/27,117.22,120.56,112.22,113.89,56383.0
2020/08/30,105.55,110.0,107.33,108.0,14504.0
2020/08/31,109.33,109.33,106.67,106.67,4856.0
2020/09/02,108.0,109.33,106.67,107.33,10407.0
2020/09/03,108.0,108.67,106.0,106.67,2490.0
2020/09/06,106.67,108.0,106.67,108.0,4175.0
2020/09/07,108.0,108.0,107.33,108.0,1915.0
2020/09/08,107.33,108.67,107.33,108.0,996.0
2020/09/09,111.33,111.33,106.67,106.67,1042.0
2020/09/10,108.0,109.33,106.0,106.0,2830.0
2020/09/13,106.0,109.33,106.0,108.67,6445.0
2020/09/14,110.0,110.0,107.33,108.67,4297.0
2020/09/15,107.33,108.67,106.67,108.0,4340.0
2020/09/16,106.67,108.67,106.67,108.0,3703.0
2020/09/17,109.33,115.33,109.33,115.33,15513.0
2020/09/20,116.67,123.33,116.0,118.0,13492.0
2020/09/21,122.0,122.0,112.0,114.0,6913.0
2020/09/22,118.0,120.0,114.0,115.33,17052.0
2020/09/23,116.0,116.67,114.0,116.0,5185.0
2020/09/24,115.33,118.0,114.0,114.67,13788.0
2020/09/27,114.0,119.33,114.0,116.0,9975.0
2020/09/28,116.67,120.0,116.67,118.0,11221.0
2020/09/29,116.67,120.67,116.67,120.0,10516.0
2020/09/30,119.33,119.33,116.67,118.67,6321.0
2020/10/01,120.0,121.33,118.67,120.0,14991.0
2020/10/04,119.33,122.67,118.0,118.67,13838.0
2020/10/05,118.67,119.33,116.67,119.33,14847.0
2020/10/06,119.33,120.67,118.0,120.67,7726.0
2020/10/07,119.33,129.33,119.33,129.33,36554.0
2020/10/08,130.67,138.67,130.67,138.67,34027.0
2020/10/11,143.33,145.33,129.33,139.33,40724.0
2020/10/12,138.67,139.33,132.0,135.33,15664.0
2020/10/13,133.33,133.33,128.67,128.67,12256.0
2020/10/14,127.33,128.67,124.67,126.67,7724.0
2020/10/15,128.0,130.67,124.67,126.67,16549.0
2020/10/18,125.33,126.67,121.33,123.33,6519.0
2020/10/19,124.67,126.0,122.0,126.0,9127.0
2020/10/20,127.33,127.33,124.67,126.67,4409.0
2020/10/21,126.67,129.33,126.0,128.0,6387.0
2020/10/22,126.67,127.33,125.33,126.0,7080.0
2020/10/28,124.67,128.0,122.0,126.67,5515.0
2020/10/29,131.33,131.33,126.0,126.67,5185.0
2020/11/01,128.0,128.0,126.0,126.0,4237.0
2020/11/02,127.33,127.33,125.33,125.33,4170.0
2020/11/03,124.67,126.67,124.67,125.33,2996.0
2020/11/04,124.67,126.67,124.67,124.67,5147.0
2020/11/05,126.0,126.67,126.0,126.0,4435.0
2020/11/08,125.33,127.33,124.67,127.33,9412.0
2020/11/09,126.0,128.67,126.0,126.67,5238.0
2020/11/10,128.0,129.33,126.67,126.67,5447.0
2020/11/11,127.33,128.0,127.33,127.33,4455.0
2020/11/12,126.0,127.33,126.0,126.0,2236.0
2020/11/18,126.0,130.0,125.33,126.67,4283.0
2020/11/19,127.33,127.33,125.33,127.33,10677.0
2020/11/22,126.67,127.33,125.33,126.0,3815.0
2020/11/23,127.33,127.33,124.67,126.0,2475.0
2020/11/24,127.33,127.33,125.33,125.33,5908.0
2020/11/25,126.67,130.67,126.67,130.0,12148.0
2020/11/26,130.0,134.0,125.33,128.0,19745.0
2020/11/29,127.33,128.0,126.67,128.0,5958.0
2020/11/30,128.67,128.67,127.33,127.33,5625.0
2020/12/01,127.33,132.67,126.0,129.33,5912.0
2020/12/02,130.0,130.67,127.33,130.0,4682.0
2020/12/03,130.67,130.67,126.67,128.0,4810.0
2020/12/06,127.33,127.33,124.67,124.67,2410.0
2020/12/07,126.0,127.33,124.67,126.0,2134.0
2020/12/08,126.67,128.0,124.67,125.33,1714.0
2020/12/09,124.0,129.33,122.67,126.67,3520.0
2020/12/10,130.67,130.67,124.0,125.33,1755.0
2020/12/13,124.0,124.0,122.67,124.0,1233.0
2020/12/14,124.0,124.67,122.67,124.0,5133.0
2020/12/15,125.33,126.67,121.33,122.0,2811.0
2020/12/16,122.0,123.33,120.67,122.0,3445.0
2020/12/17,122.0,122.0,114.67,118.67,45630.0
2020/12/20,117.33,117.33,110.67,113.33,33043.0
2020/12/21,117.33,117.33,109.33,115.33,37791.0
2020/12/22,116.67,123.33,116.67,123.33,50227.0
2020/12/23,127.33,132.0,127.33,132.0,45112.0
2020/12/24,136.67,141.33,122.67,124.0,49630.0
2020/12/27,128.0,128.0,120.0,122.67,10119.0
2020/12/28,121.33,122.67,119.33,119.33,9655.0
2020/12/29,120.67,121.33,118.67,120.0,7084.0
2020/12/30,121.33,121.33,118.0,120.0,4611.0
2020/12/31,119.33,120.0,118.67,119.33,5106.0
2021/01/03,120.0,121.33,118.67,120.0,10252.0
2021/01/04,119.33,120.67,119.33,120.0,5160.0
2021/01/05,120.0,120.67,118.0,119.33,5072.0
2021/01/06,118.67,123.33,118.67,120.0,11663.0
2021/01/07,124.0,124.0,119.33,120.0,13103.0
2021/01/10,121.33,123.33,118.67,122.0,17645.0
2021/01/11,123.33,128.67,120.0,122.67,49702.0
2021/01/12,124.0,131.33,124.0,131.33,36474.0
2021/01/13,136.0,140.67,136.0,140.67,38463.0
2021/01/17,146.0,151.33,132.67,146.0,227556.0
2021/01/18,151.33,151.33,140.0,141.33,47887.0
2021/01/19,143.33,147.33,139.33,146.0,42062.0
2021/01/20,148.0,156.67,144.67,156.0,108087.0
2021/01/21,160.0,162.0,156.0,157.33,60433.0
2021/01/24,163.33,163.33,151.33,156.67,48966.0
2021/01/25,162.67,165.33,154.0,154.0,53427.0
2021/01/26,160.0,160.0,150.67,152.67,34978.0
2021/01/27,153.33,156.0,152.67,153.33,36156.0
2021/01/28,154.67,156.67,150.67,150.67,22223.0
2021/01/31,150.0,150.0,146.0,146.0,22662.0
2021/02/01,146.0,148.0,140.0,147.33,48861.0
2021/02/02,146.67,153.33,145.33,145.33,24217.0
2021/02/03,147.33,153.33,143.33,144.67,19666.0
2021/02/04,142.67,151.33,140.67,143.33,76217.0
2021/02/07,142.67,146.67,141.33,142.67,45965.0
2021/02/08,143.33,149.33,142.67,145.33,41297.0
2021/02/09,150.67,156.0,146.67,156.0,171953.0
2021/02/10,162.0,168.0,155.33,160.67,127433.0
2021/02/11,162.67,162.67,155.33,155.33,26059.0
2021/02/14,157.33,157.33,146.0,150.67,26096.0
2021/02/15,152.67,156.67,150.67,153.33,23383.0
2021/02/16,152.0,155.33,151.33,152.67,38556.0
2021/02/17,158.0,164.0,155.33,164.0,88535.0
2021/02/18,170.0,176.67,165.33,176.67,260673.0
2021/02/21,183.33,190.67,180.67,190.67,138216.0
2021/02/22,196.67,200.0,181.33,185.33,169505.0
2021/02/23,185.33,186.0,171.33,185.33,104792.0
2021/02/24,186.67,196.0,182.0,186.67,53998.0
2021/02/25,186.67,189.33,178.0,179.33,45835.0
2021/02/28,181.33,181.33,170.0,171.33,47286.0
2021/03/01,171.33,184.0,166.0,176.67,35243.0
2021/03/02,176.67,178.67,166.0,170.0,41177.0
2021/03/03,176.67,176.67,164.0,166.67,53148.0
2021/03/04,168.67,178.0,164.67,174.0,39384.0
2021/03/08,176.67,178.67,170.67,170.67,14922.0
2021/03/09,168.0,176.0,166.67,168.67,34076.0
2021/03/10,171.33,174.0,169.33,170.67,25876.0
2021/03/14,172.67,172.67,164.67,166.67,23159.0
2021/03/15,169.33,172.0,164.0,167.33,20537.0
2021/03/16,170.0,170.0,166.67,168.0,14890.0
2021/03/17,170.67,170.67,168.0,169.33,14822.0
2021/03/18,176.0,176.0,169.33,171.33,15370.0
2021/03/21,168.67,172.0,168.67,169.33,16500.0
2021/03/22,167.33,172.67,167.33,170.0,18921.0
2021/03/23,168.67,170.67,168.67,169.33,15568.0
2021/03/24,170.67,171.33,167.33,169.33,31101.0
2021/03/25,176.0,176.0,168.67,168.67,21307.0
2021/03/29,175.33,175.33,166.67,167.33,15071.0
2021/03/30,169.33,169.33,166.67,166.67,15320.0
2021/03/31,169.33,172.0,166.67,168.67,12625.0
2021/04/01,170.67,171.33,168.0,170.67,19340.0
2021/04/04,177.33,177.33,168.67,170.0,35441.0
2021/04/05,172.0,173.33,170.67,172.0,18677.0
2021/04/06,165.33,180.0,165.33,180.0,74565.0
2021/04/07,181.33,186.0,176.0,176.0,32922.0
2021/04/08,169.33,181.33,169.33,181.33,68449.0
2021/04/12,180.67,190.67,180.0,184.67,100226.0
2021/04/13,177.33,192.67,177.33,186.0,70691.0
2021/04/15,188.67,200.0,188.0,198.0,181845.0
2021/04/18,203.33,203.33,191.33,194.67,85290.0
2021/04/19,196.0,198.0,190.67,195.33,55250.0
2021/04/20,192.67,195.33,190.67,191.33,36865.0
2021/04/21,192.0,196.67,189.33,189.33,33592.0
2021/04/22,192.0,193.33,188.67,190.0,34634.0
2021/04/25,192.67,192.67,179.33,180.67,40646.0
2021/04/26,178.67,184.67,172.67,178.0,52849.0
2021/04/27,180.67,187.33,176.0,187.33,21411.0
2021/04/28,184.0,186.67,181.33,184.0,11203.0
2021/04/29,184.0,184.0,179.33,181.33,10117.0
2021/05/02,179.33,184.0,178.67,181.33,25219.0
2021/05/03,183.33,188.67,178.67,182.67,14570.0
2021/05/04,182.67,186.67,179.33,184.0,37276.0
2021/05/05,186.67,198.0,182.0,196.67,151012.0
2021/05/06,196.67,199.33,190.67,191.33,67599.0
2021/05/09,189.33,191.33,188.67,188.67,18973.0
2021/05/10,187.33,188.67,185.33,188.0,14288.0
2021/05/11,190.0,194.0,188.0,192.0,37669.0
2021/05/12,192.67,207.33,192.67,204.67,197958.0
2021/05/13,212.67,221.33,206.67,221.33,232254.0
2021/05/16,230.67,230.67,213.33,216.0,133263.0
2021/05/17,224.67,226.67,211.33,222.67,172005.0
2021/05/18,232.0,233.33,219.33,232.67,114668.0
2021/05/19,240.0,240.0,221.33,223.33,117140.0
2021/05/20,223.33,234.0,218.0,232.67,167579.0
2021/05/23,232.67,252.0,227.33,252.0,203279.0
2021/05/24,262.67,262.67,238.0,244.0,161575.0
2021/05/25,246.67,246.67,240.67,242.0,75642.0
2021/05/27,240.0,255.33,230.67,246.0,114296.0
2021/05/30,246.0,266.67,246.0,266.0,277047.0
2021/05/31,270.0,284.0,265.33,265.33,172976.0
2021/06/01,263.33,273.33,258.67,260.67,73190.0
2021/06/02,260.67,283.33,264.0,283.33,210016.0
2021/06/03,288.0,303.33,277.33,280.0,153593.0
2021/06/06,283.33,283.33,266.67,276.0,127807.0
2021/06/07,276.0,300.0,276.0,300.0,242719.0
2021/06/08,305.33,326.67,305.33,326.0,158309.0
2021/06/09,333.33,345.33,303.33,316.0,178563.0
2021/06/10,316.67,327.33,302.67,313.33,177898.0
2021/06/13,316.67,341.33,316.67,341.33,177152.0
2021/06/14,353.33,355.33,326.67,334.0,134954.0
2021/06/15,333.33,336.0,314.67,316.67,84230.0
2021/06/16,302.67,317.33,288.67,290.0,116114.0
2021/06/17,293.33,304.67,274.67,296.0,71144.0
2021/06/20,300.0,305.33,273.33,278.67,53065.0
2021/06/21,280.0,289.33,265.33,266.0,60970.0
2021/06/22,270.0,288.67,260.0,288.67,57857.0
2021/06/23,286.67,311.33,286.0,289.33,63938.0
2021/06/24,292.67,307.33,283.33,296.67,79527.0
2021/06/27,301.33,301.33,290.0,291.33,38997.0
2021/06/28,295.33,296.0,282.0,283.33,44713.0
2021/06/29,271.33,286.67,266.67,268.0,31250.0
2021/06/30,268.0,289.33,263.33,280.67,57617.0
2021/07/01,285.33,293.33,284.67,286.67,46082.0
2021/07/04,286.67,295.33,278.0,282.67,21913.0
2021/07/05,286.67,287.33,277.33,280.67,19548.0
2021/07/06,284.0,286.67,273.33,281.33,21640.0
2021/07/07,269.33,290.67,269.33,276.0,14265.0
2021/07/08,274.0,291.33,273.33,288.0,59963.0
2021/07/11,300.67,313.33,294.0,313.33,131793.0
2021/07/12,327.33,336.67,320.0,328.0,263707.0
2021/07/13,333.33,356.67,328.67,348.0,167454.0
2021/07/14,348.0,354.0,336.67,348.0,77648.0
2021/07/15,353.33,353.33,340.0,346.0,82645.0
2021/07/18,352.0,377.27,346.0,377.27,214684.0
2021/07/19,384.13,390.67,370.0,378.67,123162.0
2021/07/20,385.53,385.53,373.33,380.0,82198.0
2021/07/22,386.67,396.67,374.73,392.0,177307.0
2021/07/25,393.33,396.0,383.33,385.33,79922.0
2021/07/26,390.0,393.33,386.67,387.33,99759.0
2021/07/27,383.33,394.67,383.33,388.07,79297.0
2021/07/28,394.67,400.67,384.67,384.67,76903.0
2021/07/29,383.33,400.0,383.33,387.33,64174.0
2021/08/01,394.27,400.0,385.4,395.33,127318.0
2021/08/02,402.53,431.33,400.0,421.33,420977.0
2021/08/03,426.67,433.33,412.0,414.0,99479.0
2021/08/04,413.33,431.33,403.33,414.67,110375.0
2021/08/05,422.0,422.0,406.67,408.0,93242.0
2021/08/08,415.33,417.33,410.0,414.0,73619.0
2021/08/09,419.33,441.33,416.67,436.0,209272.0
2021/08/10,444.0,476.27,444.0,472.67,190664.0
2021/08/11,481.4,490.0,458.0,462.33,116520.0
2021/08/12,463.33,474.67,450.67,466.67,148704.0
2021/08/15,466.67,466.67,430.0,446.67,136609.0
2021/08/16,454.93,454.93,438.0,448.67,53588.0
2021/08/17,456.67,476.67,448.67,473.33,158669.0
2021/08/18,482.13,513.33,482.13,490.0,187081.0
2021/08/19,490.0,494.0,472.67,473.33,111912.0
2021/08/24,482.0,482.0,453.33,458.0,89553.0
2021/08/25,451.47,464.67,444.0,450.0,47183.0
2021/08/26,453.33,488.0,453.33,477.33,108853.0
2021/08/29,486.2,500.0,470.0,478.0,131898.0
2021/08/31,478.0,478.0,456.67,460.0,72263.0
2021/09/01,466.67,468.0,452.67,453.33,41432.0
2021/09/02,446.67,462.67,431.33,433.33,49878.0
2021/09/05,433.33,433.33,393.33,393.33,60795.0
2021/09/06,386.67,429.33,380.0,429.33,63967.0
2021/09/07,437.2,446.67,422.0,438.0,62817.0
2021/09/08,439.33,439.33,419.33,425.33,20345.0
2021/09/09,426.0,440.0,420.0,420.67,20130.0
2021/09/12,420.67,441.33,420.13,441.33,31698.0
2021/09/13,449.47,453.33,433.2,435.27,50536.0
2021/09/14,443.0,443.0,428.67,435.33,22259.0
2021/09/15,435.33,436.0,428.33,433.4,27845.0
2021/09/16,441.33,441.33,412.67,413.33,45667.0
2021/09/20,416.67,420.67,380.0,380.0,36008.0
2021/09/21,377.33,401.2,346.67,377.33,36182.0
2021/09/22,384.2,410.73,384.2,406.67,39362.0
2021/09/23,414.13,421.27,390.0,393.33,47377.0
2021/09/26,386.67,400.0,370.0,371.33,35943.0
2021/09/27,378.07,378.07,343.87,348.67,37518.0
2021/09/28,354.67,354.67,317.33,320.0,40862.0
2021/09/29,318.67,344.0,309.33,331.33,36684.0
2021/09/30,336.67,346.67,320.67,321.33,22022.0
2021/10/03,320.67,328.0,309.33,313.33,17038.0
2021/10/04,308.0,324.33,296.0,303.33,16497.0
2021/10/05,308.67,319.8,303.33,313.33,13973.0
2021/10/06,318.93,341.33,318.0,338.0,24570.0
