Date,Open,High,Low,Close,Volume
2013-08-18,51.8,39.13,39.13,39.13,60.0
2013-08-19,39.13,38.57,36.91,36.91,60.0
2013-08-20,36.91,36.35,35.35,35.35,40.0
2013-08-25,35.35,34.79,34.24,34.24,7189.0
2013-08-26,34.24,33.79,33.79,33.79,38.0
2013-08-27,33.79,33.9,33.9,33.9,130.0
2013-09-01,33.9,33.46,33.24,33.24,666.0
2013-09-03,33.24,32.79,30.68,30.68,300.0
2013-09-09,30.68,30.24,28.35,28.35,6256.0
2013-09-10,28.35,28.57,27.79,28.35,10301.0
2013-09-11,28.35,29.12,27.79,29.12,5286.0
2013-09-12,29.12,29.01,28.46,29.01,1044.0
2013-09-15,29.01,29.46,28.46,28.9,2367.0
2013-09-16,28.9,29.35,28.46,28.46,1212.0
2013-09-17,28.46,29.01,28.12,28.68,734.0
2013-09-19,28.68,28.68,28.12,28.12,577.0
2013-09-22,28.12,29.01,28.35,28.68,2369.0
2013-09-23,28.68,28.46,27.9,28.46,617.0
2013-09-24,28.46,28.79,28.23,28.79,726.0
2013-09-25,28.79,28.57,28.23,28.46,828.0
2013-09-26,28.46,28.68,28.46,28.46,377.0
2013-09-29,28.46,29.01,28.46,29.01,484.0
2013-09-30,29.01,28.9,28.12,28.68,4997.0
2013-10-01,28.68,28.68,28.23,28.68,534.0
2013-10-02,28.68,28.9,28.46,28.46,42.0
2013-10-03,28.46,28.23,28.23,28.23,56.0
2013-10-06,28.23,28.35,28.01,28.35,135.0
2013-10-07,28.35,29.12,27.12,28.9,1463.0
2013-10-08,28.9,29.46,28.9,28.9,1366.0
2013-10-09,28.9,28.9,28.12,28.68,562.0
2013-10-10,28.68,29.35,28.68,28.9,1439.0
2013-10-29,28.9,25.23,25.23,25.23,28.0
2013-11-11,25.23,25.57,25.57,25.57,58.0
2013-11-14,25.57,25.23,25.23,25.23,56.0
2013-11-24,28.95,29.75,29.35,29.75,1084.0
2013-11-26,29.75,30.15,30.15,30.15,10.0
2013-12-01,30.15,31.75,30.55,31.75,86.0
2013-12-02,31.75,31.75,31.75,31.75,500.0
2013-12-03,31.75,32.95,32.15,32.95,30.0
2013-12-05,32.95,33.35,33.35,33.35,290.0
2013-12-08,33.35,33.88,33.88,33.88,53.0
2013-12-10,33.88,34.42,34.42,34.42,12.0
2013-12-11,34.42,34.95,34.42,34.42,28.0
2013-12-12,34.42,34.42,33.88,34.42,84.0
2013-12-16,34.42,35.48,34.95,35.48,853.0
2013-12-18,35.48,36.02,36.02,36.02,13.0
2013-12-19,36.02,36.55,36.55,36.55,232.0
2013-12-22,36.55,39.48,37.08,39.48,531.0
2013-12-23,39.48,40.02,40.02,40.02,181.0
2013-12-24,40.02,41.35,40.02,41.35,695.0
2013-12-26,41.35,43.35,42.02,43.35,221.0
2013-12-29,43.35,44.69,43.35,44.69,487.0
2013-12-31,44.69,46.15,45.35,46.15,405.0
2014-01-01,46.15,45.62,45.62,45.62,131.0
2014-01-02,45.62,44.95,42.95,43.62,983.0
2014-01-05,43.62,44.29,43.62,43.75,1186.0
2014-01-06,43.75,45.09,44.02,44.42,487.0
2014-01-07,44.42,47.22,45.09,47.22,2291.0
2014-01-08,47.22,48.82,48.02,48.82,400.0
2014-01-09,48.82,51.22,48.82,50.82,1045.0
2014-01-12,50.82,53.89,50.02,53.89,6751.0
