Date,Open,High,Low,Close,Volume
2014-01-22,208.86,119.67,119.67,119.67,10.0
2014-01-23,119.67,128.7,121.36,128.7,60.0
2014-01-26,128.7,133.5,133.5,133.5,10.0
2014-01-27,133.5,141.4,135.47,141.4,40.0
2014-01-28,141.4,152.69,143.66,152.69,252.0
2014-01-29,152.69,165.11,154.95,165.11,1380.0
2014-02-02,165.11,178.66,167.65,178.66,64607.0
2014-02-03,178.66,181.48,167.93,169.34,64378.0
2014-02-04,169.34,169.06,155.79,167.65,19086.0
2014-02-05,167.65,170.19,167.65,169.62,14465.0
2014-02-06,169.62,176.96,168.78,174.7,12863.0
2014-02-09,174.7,174.99,169.34,173.58,17399.0
2014-02-10,173.58,182.04,172.45,176.12,11836.0
2014-02-11,176.12,175.83,172.16,173.86,21014.0
2014-02-12,173.86,172.73,169.34,172.73,8511.0
2014-02-13,172.73,172.73,171.6,172.73,9708.0
2014-02-16,172.73,172.45,169.91,170.75,6069.0
2014-02-17,170.75,172.73,169.34,171.04,22549.0
2014-02-18,171.04,176.12,170.75,173.58,11226.0
2014-02-20,173.58,177.81,173.29,177.81,9012.0
2014-02-23,177.81,192.77,177.81,191.92,33835.0
2014-02-24,191.92,204.62,192.49,192.49,23880.0
2014-02-25,192.49,195.59,186.28,195.59,25759.0
2014-02-26,195.59,198.69,178.94,189.1,14762.0
2014-03-03,189.1,187.69,182.33,184.87,7794.0
2014-03-04,184.87,183.45,178.37,183.17,18136.0
2014-03-05,183.17,192.49,179.22,186.28,12657.0
2014-03-06,186.28,189.1,184.87,186.28,27561.0
2014-03-09,186.28,186.28,180.63,183.45,15006.0
2014-03-10,183.45,183.45,177.81,183.17,8932.0
2014-03-11,183.17,182.04,177.81,177.81,10786.0
2014-03-12,177.81,182.04,176.4,180.63,10038.0
2014-03-13,180.63,182.04,178.09,180.63,9115.0
2014-03-17,180.63,180.63,173.58,176.4,9794.0
2014-03-18,176.4,177.81,172.45,173.58,5212.0
2014-03-19,173.58,179.22,172.16,176.4,4212.0
2014-03-20,176.4,178.37,173.58,178.37,2766.0
2014-03-23,178.37,183.45,176.68,180.63,10299.0
2014-03-24,180.63,187.97,180.07,186.28,10249.0
2014-03-25,186.28,191.92,182.61,189.1,21974.0
2014-03-26,189.1,194.46,186.28,193.05,22124.0
2014-03-27,193.05,198.98,191.92,198.69,39017.0
2014-03-31,198.69,206.6,197.57,206.6,19441.0
2014-04-01,206.6,215.91,204.9,214.5,18629.0
2014-04-02,214.5,225.79,212.52,221.27,35568.0
2014-04-03,221.27,225.79,208.86,209.42,18448.0
2014-04-06,209.42,209.98,206.03,208.86,10967.0
2014-04-07,208.86,213.09,205.47,213.09,10843.0
2014-04-09,213.09,217.89,209.42,217.32,7401.0
2014-04-10,217.32,218.73,214.22,218.17,5842.0
2014-04-13,218.17,221.56,214.5,221.56,15886.0
2014-04-15,221.56,222.97,215.91,221.56,12285.0
2014-04-16,221.56,222.68,215.35,217.32,8958.0
2014-04-20,220.14,221.84,218.17,218.17,9516.0
2014-04-21,218.17,220.43,213.94,216.76,6649.0
2014-04-22,216.76,221.84,213.94,220.14,9748.0
2014-04-23,220.14,221.56,217.6,219.3,13283.0
2014-04-27,219.3,220.14,214.5,217.89,4486.0
2014-04-28,217.89,217.04,212.52,214.5,3711.0
2014-04-29,214.5,216.76,213.09,214.78,4659.0
2014-04-30,214.78,211.68,204.9,209.42,14040.0
2014-05-04,209.42,211.68,206.03,207.44,7737.0
2014-05-05,207.44,215.91,201.52,213.09,9585.0
2014-05-06,213.09,213.09,209.42,212.81,2437.0
2014-05-07,212.81,214.22,208.86,211.68,4894.0
2014-05-08,211.68,215.91,211.4,213.37,7781.0
2014-05-11,213.37,213.94,206.03,206.03,4525.0
2014-05-12,206.03,209.42,204.62,208.01,2471.0
2014-05-13,208.01,208.86,204.34,208.86,2726.0
2014-05-15,208.86,211.68,200.95,210.27,2409.0
2014-05-18,210.27,212.81,208.86,208.86,3155.0
2014-05-19,208.86,210.55,206.6,208.86,6262.0
2014-05-20,208.86,209.98,206.32,208.57,4881.0
2014-05-21,208.57,211.11,207.44,208.86,5065.0
2014-05-22,208.86,210.27,206.03,208.86,3716.0
2014-05-25,208.86,218.17,210.27,211.68,8110.0
2014-05-26,211.68,214.5,209.14,214.22,8712.0
2014-05-27,214.22,217.89,211.68,214.5,6168.0
2014-05-28,214.5,220.14,211.11,217.32,16331.0
2014-06-01,217.32,222.68,212.24,218.73,14235.0
2014-06-02,218.73,228.05,218.45,223.25,5875.0
2014-06-03,223.25,223.81,217.32,217.6,4027.0
2014-06-04,217.6,221.27,214.78,221.27,4150.0
2014-06-05,221.27,224.94,218.73,222.4,4755.0
2014-06-08,222.4,224.66,220.14,222.68,3198.0
2014-06-09,222.68,223.25,220.14,222.97,3578.0
2014-06-10,222.97,225.79,220.14,222.97,4805.0
2014-06-11,222.97,226.64,221.56,224.94,4942.0
2014-06-12,224.94,226.07,220.99,225.79,3155.0
2014-06-15,225.79,226.07,222.97,224.66,10976.0
2014-06-16,224.66,225.79,222.97,223.25,7744.0
2014-06-17,223.25,225.51,220.43,225.51,5555.0
2014-06-18,225.51,225.79,221.56,222.97,3965.0
2014-06-19,222.97,224.38,220.14,221.27,1423.0
2014-06-23,221.27,222.97,216.76,218.73,3820.0
2014-06-24,218.73,221.84,215.06,220.14,8173.0
2014-06-25,220.14,223.81,218.73,219.86,4748.0
2014-06-26,219.86,224.38,221.27,222.4,4227.0
2014-06-29,222.4,226.07,220.14,222.97,3632.0
2014-06-30,222.97,226.64,222.97,225.79,8617.0
2014-07-01,225.79,226.35,224.1,224.38,8616.0
2014-07-02,224.38,225.51,221.56,225.51,4863.0
2014-07-03,225.51,244.13,224.38,231.43,23364.0
2014-07-06,231.43,251.76,228.05,251.76,17498.0
2014-07-07,251.76,265.58,254.01,261.35,19971.0
2014-07-08,261.35,274.05,262.48,269.54,8729.0
2014-07-09,269.54,270.95,261.07,263.89,3931.0
2014-07-10,263.89,264.74,259.66,263.33,5620.0
2014-07-13,263.33,267.84,256.84,263.89,8821.0
2014-07-14,263.89,263.89,256.84,256.84,3288.0
2014-07-15,256.84,259.38,248.37,252.6,5182.0
2014-07-16,252.6,256.84,251.19,252.6,16217.0
2014-07-17,252.6,259.38,252.6,259.38,6154.0
2014-07-20,259.38,265.3,256.84,265.3,6658.0
2014-07-21,265.3,265.3,261.07,263.04,5231.0
2014-07-22,263.04,260.79,254.01,256.84,5518.0
2014-07-23,256.84,261.07,254.3,258.25,9771.0
2014-07-24,258.25,259.66,255.42,257.4,12151.0
2014-07-27,257.4,259.38,254.01,254.58,8650.0
2014-07-28,254.58,255.42,246.96,254.01,4191.0
2014-07-30,254.01,256.84,245.55,247.52,8120.0
2014-07-31,247.52,254.3,247.52,253.45,2555.0
2014-08-03,253.45,254.01,234.54,245.55,8742.0
2014-08-04,245.55,249.22,241.59,246.11,4284.0
2014-08-05,246.11,248.65,240.47,241.03,3757.0
2014-08-06,241.03,244.98,238.49,238.49,4029.0
2014-08-07,238.49,244.13,237.08,244.13,7164.0
2014-08-12,244.13,245.55,239.9,239.9,1342.0
2014-08-13,239.9,243.57,235.67,235.67,2632.0
2014-08-14,235.67,239.9,234.26,239.9,23103.0
2014-08-18,239.9,238.49,232.85,234.26,1394.0
2014-08-19,234.26,243.57,230.31,234.54,3843.0
2014-08-20,234.54,234.54,230.02,230.31,3026.0
2014-08-21,230.31,226.35,213.09,222.97,4090.0
2014-08-24,222.97,222.97,220.14,221.56,2975.0
2014-08-25,221.56,221.56,202.36,209.14,2484.0
2014-08-26,209.14,226.64,212.52,220.71,7383.0
2014-08-27,220.71,230.87,216.48,223.81,10642.0
2014-08-28,223.81,228.05,221.56,227.2,10579.0
2014-08-31,227.2,224.94,217.32,220.71,1532.0
2014-09-01,220.71,220.14,214.5,220.14,3733.0
2014-09-03,220.14,220.14,216.19,218.73,1341.0
2014-09-04,218.73,218.73,211.68,217.32,2091.0
2014-09-07,217.32,215.91,200.39,200.39,902.0
2014-09-09,200.39,210.83,198.41,208.86,11273.0
2014-09-10,208.86,212.24,200.95,210.27,7071.0
2014-09-11,210.27,218.17,201.8,218.17,4491.0
2014-09-15,208.86,211.4,203.78,208.86,11950.0
2014-09-16,208.86,210.55,204.06,207.44,4380.0
2014-09-17,207.44,211.11,206.03,206.32,4181.0
2014-09-18,206.32,209.7,202.36,205.47,5448.0
2014-09-21,204.62,201.8,197.57,200.39,5982.0
2014-09-22,200.39,203.78,196.15,203.78,5378.0
2014-09-23,203.78,211.4,200.39,203.21,17732.0
2014-09-24,203.21,206.03,201.23,204.34,1614.0
2014-09-28,204.34,215.91,201.8,215.91,4026.0
2014-09-29,215.91,220.71,208.86,217.32,2586.0
2014-09-30,217.32,220.14,213.09,217.32,6739.0
2014-10-08,217.32,222.97,210.27,210.27,7349.0
2014-10-09,210.27,215.35,210.27,211.68,5660.0
2014-10-12,211.68,215.91,209.7,211.11,3167.0
2014-10-13,211.11,211.96,208.86,211.96,2619.0
2014-10-14,211.96,215.91,209.42,215.91,3344.0
2014-10-15,215.91,217.6,211.11,217.6,1681.0
2014-10-16,217.6,219.58,215.91,219.3,6155.0
2014-10-19,219.3,217.89,215.91,217.32,5405.0
2014-10-20,217.32,221.27,217.32,217.32,12316.0
2014-10-21,217.32,222.4,217.32,222.4,11330.0
2014-10-22,222.4,230.87,222.4,227.2,8777.0
2014-10-26,227.2,237.93,227.2,234.54,5347.0
2014-10-27,234.54,241.31,234.54,239.9,12864.0
2014-10-28,239.9,239.9,231.72,237.08,5038.0
2014-10-30,237.08,235.67,230.31,232.28,4029.0
