Date,Open,High,Low,Close,Volume
2012-01-02,41.23,41.05,40.78,40.87,140.0
2012-01-03,40.87,41.05,41.05,41.05,40.0
2012-01-04,41.05,41.23,41.23,41.23,20.0
2012-01-05,41.23,41.31,40.96,40.96,3580.0
2012-01-08,40.96,41.23,41.05,41.05,310.0
2012-01-09,41.05,40.96,40.96,40.96,100.0
2012-01-10,40.96,41.31,41.14,41.31,40.0
2012-01-11,41.31,41.14,41.14,41.14,40.0
2012-01-17,41.14,41.27,40.43,41.27,190.0
2012-01-29,41.27,41.09,40.21,41.09,210.0
2012-02-02,41.09,41.8,41.27,41.8,70.0
2012-02-09,41.8,41.58,41.36,41.36,2220.0
2012-02-21,41.36,41.18,40.3,40.83,4180.0
2012-02-23,40.83,41.14,40.3,41.14,4210.0
2012-02-26,41.14,41.31,40.25,40.96,4190.0
2012-02-27,40.96,40.78,40.78,40.78,4000.0
2012-02-28,40.78,40.61,40.61,40.61,4000.0
2012-02-29,40.61,41.18,40.07,41.18,4310.0
2012-03-01,41.18,41.31,40.83,41.31,3040.0
2012-03-04,41.31,41.14,40.74,41.09,3100.0
2012-03-11,41.09,41.09,41.09,41.09,50.0
2012-03-19,41.09,40.92,40.74,40.74,20.0
2012-03-20,40.74,41.27,40.92,41.27,30.0
2012-03-29,41.27,41.45,41.45,41.45,10.0
2012-04-02,41.45,41.27,40.56,41.09,510.0
2012-04-10,41.09,41.45,41.27,41.45,30.0
2012-04-18,41.45,41.84,41.62,41.62,30.0
2012-04-19,41.62,41.84,40.52,40.52,80.0
2012-04-22,40.52,41.4,40.34,41.4,560.0
2012-04-24,41.4,41.58,41.58,41.58,10.0
2012-04-26,41.58,41.84,41.62,41.84,110.0
2012-04-30,41.84,41.84,41.62,41.84,60.0
2012-05-09,41.84,42.29,41.84,42.29,120.0
2012-05-10,42.29,42.07,42.07,42.07,30.0
2012-05-13,42.07,41.84,41.84,41.84,100.0
2012-05-15,41.84,41.62,41.62,41.62,30.0
2012-05-20,41.62,41.84,41.71,41.71,460.0
2012-05-22,41.71,41.49,40.92,41.27,550.0
2012-05-24,41.27,41.62,41.23,41.23,220.0
2012-05-27,41.23,41.4,41.4,41.4,10.0
2012-05-29,41.4,41.58,41.58,41.58,10.0
2012-05-30,41.58,41.98,41.8,41.98,20.0
2012-06-04,41.98,41.76,41.14,41.14,450.0
2012-06-05,41.14,41.93,40.96,41.93,2130.0
2012-06-06,41.93,41.71,41.49,41.49,60.0
2012-06-07,41.49,41.62,40.92,41.62,1570.0
2012-06-10,41.62,41.58,41.23,41.58,480.0
2012-06-11,41.58,41.53,41.36,41.53,410.0
2012-06-12,41.53,41.31,41.31,41.31,100.0
2012-06-13,41.31,41.49,41.27,41.45,260.0
2012-06-14,41.45,41.4,41.09,41.09,590.0
2012-06-17,41.09,40.92,40.92,40.92,10.0
2012-06-18,40.92,41.62,40.74,41.62,830.0
2012-06-19,41.62,41.4,41.05,41.05,300.0
2012-06-20,41.05,41.23,41.23,41.23,10.0
2012-06-21,41.23,41.4,41.05,41.4,310.0
2012-06-25,41.4,41.8,41.58,41.8,20.0
2012-06-26,41.8,41.58,41.58,41.58,50.0
2012-06-27,41.58,41.8,41.8,41.8,10.0
2012-06-28,41.8,41.76,41.36,41.76,120.0
2012-07-01,41.76,41.53,41.53,41.53,30.0
2012-07-02,41.53,41.31,41.0,41.0,700.0
2012-07-03,41.0,41.18,41.0,41.0,90.0
2012-07-04,41.0,41.18,40.83,41.18,230.0
2012-07-05,41.18,41.36,41.36,41.36,20.0
2012-07-08,41.36,41.98,41.53,41.98,200.0
2012-07-09,41.98,42.64,42.15,42.42,250.0
2012-07-10,42.42,43.3,42.64,43.3,1090.0
2012-07-11,43.3,43.22,43.22,43.22,50.0
2012-07-12,43.22,42.99,42.99,42.99,500.0
2012-07-17,42.99,43.04,42.99,43.04,110.0
2012-07-19,43.04,42.82,42.82,42.82,20.0
2012-07-23,42.82,43.04,43.04,43.04,10.0
2012-08-08,43.04,42.82,42.38,42.38,2680.0
2012-08-16,42.38,42.15,41.18,41.18,1670.0
2012-08-19,41.18,41.18,41.0,41.18,80.0
2012-08-21,41.18,41.71,41.0,41.71,370.0
2012-08-22,41.71,41.62,40.96,41.62,520.0
2012-08-26,41.62,42.73,41.4,42.73,3720.0
2012-08-27,42.73,43.48,42.95,43.26,2370.0
2012-08-28,43.26,43.57,43.08,43.35,1400.0
2012-08-29,43.35,44.06,43.57,44.01,930.0
2012-08-30,44.01,44.76,44.23,44.76,5460.0
2012-09-02,44.76,45.21,44.68,44.68,240.0
2012-09-03,44.68,44.81,44.41,44.68,620.0
2012-09-04,44.68,44.94,44.68,44.94,220.0
2012-09-05,44.94,44.68,44.68,44.68,100.0
2012-09-06,44.68,44.41,43.88,44.01,940.0
2012-09-09,44.01,44.32,44.06,44.32,1170.0
2012-09-10,44.32,44.76,44.54,44.76,500.0
2012-09-11,44.76,45.3,44.76,45.3,1100.0
2012-09-12,45.3,46.53,45.52,46.18,1540.0
2012-09-13,46.18,45.91,45.91,45.91,1000.0
2012-09-16,45.91,46.8,46.22,46.8,990.0
2012-09-17,46.8,47.11,47.11,47.11,80.0
2012-09-18,47.11,47.42,46.8,46.8,230.0
2012-09-20,46.8,46.49,45.87,45.87,90.0
2012-09-24,45.87,46.14,46.14,46.14,10.0
2012-09-25,46.14,45.83,45.12,45.3,1510.0
2012-09-26,45.3,45.47,45.03,45.47,570.0
2012-09-27,45.47,45.74,45.74,45.74,200.0
2012-09-30,45.74,46.93,45.91,46.62,2490.0
2012-10-02,46.62,46.89,46.58,46.58,30.0
2012-10-03,46.58,46.27,45.69,45.69,110.0
2012-10-04,45.69,46.22,45.91,46.22,100.0
2012-10-07,46.22,47.02,46.53,47.02,740.0
2012-10-08,47.02,47.02,46.71,46.71,850.0
2012-10-09,46.71,46.45,46.4,46.4,1020.0
2012-10-10,46.4,46.71,46.09,46.09,70.0
2012-10-11,46.09,46.4,45.91,46.09,2300.0
2012-10-14,46.09,46.0,45.91,45.91,350.0
2012-10-15,45.91,45.91,45.83,45.83,300.0
2012-10-17,45.83,46.0,46.0,46.0,90.0
2012-10-18,46.0,47.29,46.31,47.29,200.0
2012-11-01,47.29,47.15,46.98,47.15,860.0
2012-11-04,47.15,47.29,47.11,47.29,2750.0
2012-11-05,47.29,46.98,46.71,46.71,40.0
2012-11-07,46.71,47.02,47.02,47.02,900.0
2012-11-08,47.02,48.13,47.29,48.13,1910.0
2012-11-11,48.13,48.44,48.44,48.44,10.0
2012-11-12,48.44,48.35,48.08,48.35,380.0
2012-11-18,48.35,47.99,47.99,47.99,20.0
2012-11-20,47.99,48.39,48.3,48.39,30.0
2012-11-21,48.39,48.04,47.73,47.73,1580.0
2012-11-22,47.73,47.42,47.42,47.42,240.0
2012-11-25,47.42,47.42,47.42,47.42,70.0
2012-11-26,47.42,47.24,47.24,47.24,4500.0
2012-11-27,47.24,47.51,46.89,46.89,2090.0
2012-11-28,46.89,47.86,47.2,47.86,190.0
2012-11-29,47.86,47.55,47.55,47.55,120.0
2012-12-03,47.55,47.24,47.24,47.24,100.0
2012-12-06,47.24,46.98,46.98,46.98,10.0
2012-12-13,46.98,47.6,47.29,47.29,150.0
2012-12-16,47.29,47.91,47.29,47.91,60.0
2012-12-17,47.91,48.26,47.86,48.26,12100.0
2012-12-18,48.26,48.13,48.13,48.13,70.0
2012-12-23,48.13,48.48,48.48,48.48,10.0
2012-12-24,48.48,48.48,48.13,48.13,2220.0
2012-12-26,48.13,48.83,48.35,48.83,270.0
2012-12-27,48.83,48.52,48.52,48.52,100.0
2013-01-01,48.52,48.92,48.52,48.57,2290.0
2013-01-02,48.57,48.22,47.86,47.86,11710.0
2013-01-03,47.86,47.55,47.55,47.55,20.0
2013-01-07,47.55,49.19,47.86,49.19,190.0
2013-01-08,49.19,49.54,49.54,49.54,30.0
2013-01-09,49.54,49.9,49.85,49.9,60.0
2013-01-10,49.9,50.43,50.12,50.43,270.0
2013-01-15,50.43,50.69,50.29,50.29,310.0
2013-01-16,50.29,50.47,50.12,50.47,320.0
2013-01-17,50.47,50.83,50.56,50.83,40.0
2013-01-20,50.83,50.43,50.43,50.43,170.0
2013-01-21,50.43,50.34,50.34,50.34,170.0
2013-01-23,50.34,50.34,49.94,49.94,1130.0
2013-01-24,49.94,50.29,49.67,50.29,580.0
2013-01-27,50.29,50.34,50.34,50.34,30.0
2013-01-28,50.34,50.34,50.34,50.34,20.0
2013-01-30,50.34,50.74,50.74,50.74,20.0
2013-02-04,50.74,50.96,50.96,50.96,30.0
2013-02-06,50.96,52.15,51.36,52.15,40.0
2013-02-07,52.15,52.73,52.29,52.29,250.0
2013-02-10,52.29,52.64,52.11,52.64,90.0
2013-02-13,52.64,52.64,52.2,52.64,120.0
2013-02-14,52.64,53.08,53.08,53.08,20.0
2013-02-17,53.08,53.35,53.35,53.35,100.0
2013-02-19,53.35,54.67,53.79,54.67,50.0
2013-02-20,54.67,55.12,55.12,55.12,10.0
2013-02-21,55.12,55.43,55.43,55.43,10.0
2013-02-24,55.43,54.94,53.57,53.57,450.0
2013-02-25,53.57,54.9,54.01,54.41,250.0
2013-02-26,54.41,54.41,53.97,54.41,220.0
2013-02-27,54.41,54.36,53.92,53.92,360.0
2013-02-28,53.92,53.48,53.21,53.21,70.0
2013-03-03,53.21,53.35,52.11,52.9,1670.0
2013-03-06,52.9,52.55,52.55,52.55,50.0
2013-03-07,52.55,52.55,52.11,52.55,2070.0
2013-03-11,52.55,52.33,52.33,52.33,90.0
2013-03-13,52.33,52.33,51.67,51.67,960.0
2013-03-18,51.67,51.36,51.31,51.36,520.0
2013-03-19,51.36,51.75,51.75,51.75,20.0
2013-03-20,51.75,51.44,51.44,51.44,300.0
2013-03-25,51.44,51.22,51.22,51.22,60.0
2013-03-27,51.22,51.44,51.0,51.0,560.0
2013-03-28,51.0,50.78,50.07,50.07,1280.0
2013-04-01,50.07,50.07,50.07,50.07,100.0
2013-04-02,50.07,50.38,50.07,50.38,450.0
2013-04-03,50.38,49.98,49.98,49.98,110.0
2013-04-04,49.98,50.34,49.98,50.34,300.0
2013-04-07,50.34,50.56,50.16,50.16,90.0
2013-04-08,50.16,50.43,50.16,50.43,230.0
2013-04-09,50.43,50.43,50.43,50.43,50.0
2013-04-11,50.43,50.78,50.78,50.78,100.0
2013-04-18,50.78,50.38,50.38,50.38,500.0
2013-04-21,50.38,50.16,49.76,49.76,600.0
2013-04-22,49.76,49.41,49.41,49.41,10.0
2013-04-23,49.41,49.76,49.76,49.76,500.0
2013-04-29,49.76,49.45,49.41,49.41,1000.0
2013-04-30,49.41,50.34,49.76,50.34,380.0
2013-05-06,50.34,50.12,49.94,49.94,400.0
2013-05-08,49.94,49.59,49.59,49.59,100.0
2013-05-12,49.59,49.94,49.9,49.9,2100.0
2013-05-13,49.9,50.21,49.85,50.21,460.0
2013-05-14,50.21,50.56,50.12,50.12,2010.0
2013-05-15,50.12,50.34,50.34,50.34,100.0
2013-05-16,50.34,50.74,50.34,50.34,2010.0
2013-05-19,50.34,51.98,50.38,51.98,1210.0
2013-05-20,51.98,51.62,51.22,51.22,2470.0
2013-05-21,51.22,51.44,51.22,51.22,130.0
2013-05-22,51.22,50.83,50.83,50.83,200.0
2013-05-23,50.83,51.67,50.6,51.67,190.0
2013-05-26,51.67,52.46,52.06,52.46,30.0
2013-05-27,52.46,54.63,52.86,54.63,4250.0
2013-05-28,54.63,57.02,55.07,57.02,10150.0
2013-05-30,57.02,59.36,56.71,56.71,7420.0
2013-06-02,56.71,56.49,54.32,54.32,3140.0
2013-06-03,54.32,55.65,52.77,52.99,4240.0
2013-06-04,52.99,53.44,53.44,53.44,940.0
2013-06-13,54.21,54.34,53.41,54.21,170.0
2013-06-18,54.21,53.78,52.48,52.48,210.0
2013-06-23,52.48,54.21,52.48,54.21,240.0
2013-06-24,54.21,54.65,54.65,54.65,10.0
2013-07-02,54.65,55.08,55.08,55.08,10.0
2013-07-03,55.08,55.08,53.78,53.78,590.0
