Date,Open,High,Low,Close,Volume
2012-01-01,73.46,72.78,72.1,72.1,105.0
2012-01-02,72.1,71.42,70.05,70.05,130.0
2012-01-03,70.05,69.37,68.01,68.01,239.0
2012-01-04,68.01,68.01,68.01,68.01,293.0
2012-01-05,68.01,68.69,68.69,68.69,57.0
2012-01-08,68.69,69.37,69.37,69.37,44.0
2012-01-09,69.37,68.69,66.64,67.32,491.0
2012-01-11,67.32,66.64,66.64,66.64,60.0
2012-01-12,66.64,67.32,67.32,67.32,200.0
2012-01-16,67.32,67.32,67.32,67.32,186.0
2012-01-17,67.32,67.32,67.32,67.32,403.0
2012-01-23,67.32,67.32,67.32,67.32,39.0
2012-01-25,67.32,67.32,67.32,67.32,140.0
2012-01-26,67.32,67.32,66.64,67.32,125.0
2012-01-31,67.32,67.55,67.32,67.32,71.0
2012-02-01,67.32,67.32,66.64,67.32,149.0
2012-02-13,67.32,67.32,67.32,67.32,34.0
2012-02-14,67.32,67.55,66.64,66.64,847.0
2012-02-15,66.64,66.87,66.87,66.87,160.0
2012-02-23,66.87,66.19,66.19,66.19,17.0
2012-02-26,66.19,65.51,65.51,65.51,70.0
2012-02-27,65.51,66.87,66.19,66.87,120.0
2012-03-04,66.87,66.87,66.19,66.19,342.0
2012-03-12,66.19,66.87,66.87,66.87,413.0
2012-03-13,66.87,67.32,67.32,67.32,400.0
2012-03-14,67.32,67.32,67.32,67.32,27.0
2012-03-18,67.32,66.87,66.87,66.87,80.0
2012-03-19,66.87,67.1,66.64,66.64,161.0
2012-03-20,66.64,66.87,66.64,66.87,180.0
2012-03-21,66.87,66.87,66.19,66.19,418.0
2012-03-25,66.19,67.55,66.87,67.55,290.0
2012-03-27,67.55,66.87,66.87,66.87,63.0
2012-03-28,66.87,66.87,66.41,66.87,536.0
2012-04-01,66.87,67.32,67.32,67.32,200.0
2012-04-02,67.32,66.87,66.19,66.87,300.0
2012-04-03,66.87,66.87,66.87,66.87,120.0
2012-04-04,66.87,67.1,66.87,66.87,754.0
2012-04-10,66.87,66.87,66.87,66.87,40.0
2012-04-19,66.87,67.55,67.55,67.55,1132.0
2012-04-24,67.55,68.23,68.23,68.23,1735.0
2012-04-26,68.23,70.28,68.92,70.28,1988.0
2012-05-02,70.28,70.28,70.28,70.28,53.0
2012-05-10,70.28,71.64,70.96,71.64,22.0
2012-05-13,71.64,70.96,70.96,70.96,80.0
2012-05-20,70.96,71.64,71.64,71.64,40.0
2012-06-03,71.64,71.87,71.87,71.87,24.0
2012-06-05,71.87,71.87,71.87,71.87,100.0
2012-06-07,71.87,73.24,72.55,73.24,320.0
2012-06-10,73.24,72.78,72.55,72.78,145.0
2012-06-11,72.78,74.15,73.46,74.15,379.0
2012-06-12,74.15,75.96,74.15,75.96,304.0
2012-06-13,75.96,75.05,75.05,75.05,66.0
2012-06-17,75.05,74.15,74.15,74.15,420.0
2012-06-18,74.15,73.24,73.24,73.24,100.0
2012-06-19,73.24,73.24,73.24,73.24,10.0
2012-06-20,73.24,73.92,73.92,73.92,10.0
2012-06-26,73.92,74.6,74.6,74.6,19.0
2012-06-27,74.6,75.51,74.6,75.51,175.0
2012-07-02,75.51,75.51,74.6,74.6,114.0
2012-07-08,74.6,73.69,73.69,73.69,80.0
2012-07-09,73.69,73.01,73.01,73.01,80.0
2012-07-10,73.01,73.01,73.01,73.01,80.0
2012-07-17,73.01,72.33,68.92,68.92,400.0
2012-07-30,68.92,69.6,69.6,69.6,30.0
2012-08-05,69.6,69.83,69.83,69.83,40.0
2012-08-27,69.83,69.14,68.46,68.46,290.0
2012-09-10,68.46,69.14,69.14,69.14,34.0
2012-09-20,69.14,69.83,69.83,69.83,240.0
2012-09-24,69.83,69.83,69.83,69.83,80.0
2012-09-26,69.83,69.6,69.6,69.6,100.0
2012-09-30,69.6,70.28,70.28,70.28,4000.0
2012-10-01,70.28,73.69,70.96,73.69,1553.0
2012-10-02,73.69,77.1,74.37,77.1,40.0
2012-10-03,77.1,78.01,76.19,78.01,120.0
2012-10-11,78.01,78.92,78.92,78.92,10.0
2012-10-15,78.92,79.83,79.83,79.83,192.0
2012-12-13,79.83,79.83,79.83,79.83,790.0
2012-12-17,79.83,78.92,78.92,78.92,28.0
2012-12-18,78.92,79.83,79.83,79.83,46.0
2012-12-19,79.83,79.83,79.83,79.83,183.0
2013-01-02,79.83,78.92,78.92,78.92,40.0
2013-01-07,78.92,78.01,78.01,78.01,100.0
2013-01-31,78.01,77.1,76.42,76.42,108.0
2013-02-10,76.42,75.51,75.51,75.51,40.0
2013-02-20,75.51,75.51,74.6,74.6,300.0
2013-03-27,74.6,73.69,73.69,73.69,40.0
2013-03-28,73.69,73.01,72.33,72.33,80.0
2013-04-11,72.33,72.33,72.33,72.33,504.0
2013-04-16,72.33,71.64,70.96,70.96,600.0
2013-04-18,70.96,70.96,70.73,70.73,506.0
2013-04-22,70.73,70.05,70.05,70.05,11.0
2013-04-30,70.05,69.37,69.37,69.37,40.0
2013-05-02,69.37,70.05,70.05,70.05,40.0
2013-05-12,70.05,69.37,69.37,69.37,25.0
2013-05-21,69.37,68.69,68.69,68.69,80.0
2013-05-22,68.69,68.01,68.01,68.01,160.0
2013-05-26,68.01,67.55,67.55,67.55,36.0
2013-05-27,67.55,66.87,66.87,66.87,120.0
2013-05-28,66.87,66.19,66.19,66.19,160.0
2013-06-09,66.19,66.19,65.51,65.51,280.0
2013-06-27,65.51,67.55,66.19,67.55,120.0
2013-07-01,67.55,68.92,68.23,68.92,612.0
2013-07-02,68.92,68.92,68.92,68.92,160.0
2013-07-03,68.92,69.6,69.6,69.6,40.0
2013-07-04,69.6,70.28,70.28,70.28,40.0
2013-07-07,70.28,74.37,70.96,74.37,482.0
2013-07-08,74.37,78.92,75.28,78.92,6134.0
2013-07-09,78.92,83.92,79.83,83.92,835.0
2013-07-10,83.92,86.88,84.83,86.88,59.0
2013-07-11,86.88,92.56,88.01,92.56,4913.0
2013-07-14,92.56,93.7,91.42,92.56,525.0
2013-07-15,92.56,93.7,92.33,93.24,1263.0
2013-07-16,93.24,93.47,92.11,92.11,3450.0
2013-07-17,92.11,92.11,92.11,92.11,40.0
2013-07-18,92.11,92.33,91.2,91.2,813.0
2013-07-21,91.2,94.61,92.33,93.47,928.0
2013-07-22,93.47,93.47,92.33,92.33,259.0
2013-07-23,92.33,92.33,91.2,92.33,185.0
2013-07-24,92.33,94.61,93.47,94.61,894.0
2013-07-25,94.61,93.47,92.33,92.33,1000.0
2013-07-28,92.33,94.61,93.47,94.61,579.0
2013-07-29,94.61,94.61,93.47,94.61,537.0
2013-07-30,94.61,94.61,94.38,94.38,1617.0
2013-07-31,94.38,94.61,93.47,94.61,351.0
2013-08-01,94.61,96.88,94.84,94.84,351.0
2013-08-04,94.84,95.97,95.97,95.97,454.0
2013-08-05,95.97,96.88,96.88,96.88,40.0
2013-08-07,96.88,95.52,91.2,91.2,392.0
2013-08-13,91.2,91.2,90.06,91.2,296.0
2013-08-14,91.2,91.42,91.2,91.2,2518.0
2013-08-15,91.2,93.47,92.33,93.47,140.0
2013-08-18,93.47,93.47,91.42,91.42,641.0
2013-08-20,91.42,90.29,90.29,90.29,36.0
2013-08-25,90.29,92.56,91.42,92.56,3896.0
