Date,Open,High,Low,Close,Volume
2017/02/08,118.3,120.17,118.3,120.17,20.0
2017/02/23,122.04,122.04,122.04,122.04,10.0
2017/03/06,124.12,124.12,124.12,124.12,10.0
2017/03/13,124.12,124.12,124.12,124.12,10.0
2017/03/21,126.19,126.19,126.19,126.19,10.0
2017/03/22,128.27,128.27,128.27,128.27,10.0
2017/04/04,130.35,130.35,130.35,130.35,10.0
2017/04/06,128.27,130.35,130.35,130.35,10.0
2017/04/18,135.96,135.96,135.96,135.96,10.0
2017/04/25,138.25,138.25,138.25,138.25,10.0
2017/05/02,146.76,146.76,146.76,146.76,10.0
2017/05/11,149.26,149.26,149.26,149.26,10.0
2017/06/06,151.75,151.75,151.75,151.75,10.0
2017/06/18,151.75,154.25,154.25,154.25,10.0
2017/07/10,156.95,156.95,156.95,156.95,10.0
2017/07/30,159.65,159.65,159.65,159.65,10.0
2017/08/03,156.95,165.05,159.65,165.05,30.0
2017/08/06,167.96,167.96,167.96,167.96,10.0
2017/08/13,175.44,175.44,175.44,175.44,10.0
2017/08/22,178.56,178.56,178.56,178.56,10.0
2017/08/24,178.56,186.45,186.45,186.45,10.0
2017/08/27,186.45,189.78,189.78,189.78,10.0
2017/09/11,193.1,203.49,193.1,203.49,40.0
2017/10/11,207.03,210.77,207.03,210.77,20.0
2017/10/16,214.51,214.51,214.51,214.51,10.0
2017/10/22,218.25,218.25,218.25,218.25,10.0
2017/11/01,228.22,228.22,228.22,228.22,10.0
2017/11/07,232.38,245.26,232.38,245.26,40.0
2017/11/08,249.62,249.62,249.62,249.62,10.0
2017/11/15,249.62,249.62,249.62,249.62,10.0
2017/11/19,249.62,254.19,254.19,254.19,10.0
2017/12/04,258.77,258.77,258.77,258.77,10.0
2017/12/05,263.54,263.54,263.54,263.54,10.0
2017/12/12,275.8,275.8,275.8,275.8,30.0
2017/12/13,280.79,285.99,280.79,285.99,20.0
2017/12/21,291.18,291.18,291.18,291.18,10.0
2018/01/02,252.12,252.12,252.12,252.12,10.0
2018/01/04,256.69,256.69,256.69,256.69,10.0
2018/01/08,261.47,266.25,261.47,266.25,20.0
2018/01/16,271.03,271.03,271.03,271.03,10.0
2018/01/21,276.01,276.01,276.01,276.01,10.0
2018/01/22,281.0,281.0,281.0,281.0,10.0
2018/02/07,286.19,296.79,286.19,296.79,30.0
2018/02/08,302.19,324.64,302.19,324.64,70.0
2018/02/11,382.95,390.52,390.52,390.52,10.0
2018/02/21,398.09,405.65,398.09,405.65,20.0
2018/02/26,413.64,413.64,413.64,413.64,10.0
2018/02/27,421.63,421.63,421.63,421.63,10.0
2018/02/28,430.04,438.44,430.04,438.44,20.0
2018/03/04,446.85,455.68,446.85,455.68,20.0
2018/03/05,464.51,501.08,464.51,501.08,50.0
2018/03/06,510.75,551.1,510.75,551.1,60.0
2018/03/07,562.03,606.17,562.03,606.17,70.0
2018/03/11,606.17,666.7,557.83,560.77,1980.0
2018/03/12,560.77,554.88,536.39,536.39,750.0
2018/03/13,525.88,531.76,521.26,531.34,320.0
2018/03/14,525.46,529.66,525.46,525.46,100.0
2018/03/15,514.95,517.05,505.28,510.75,320.0
2018/03/18,504.44,504.44,498.56,498.56,180.0
2018/03/19,488.89,489.31,481.32,481.32,380.0
2018/03/20,472.07,472.07,455.26,457.78,140.0
2018/03/21,448.95,457.78,435.5,437.18,250.0
2018/03/22,428.77,428.77,412.38,420.37,60.0
2018/03/26,411.96,412.38,403.97,412.38,200.0
2018/03/27,404.39,420.37,404.39,414.06,70.0
2018/03/28,416.16,422.05,413.64,421.63,650.0
2018/03/29,420.37,445.59,420.37,445.59,120.0
2018/04/01,436.76,450.21,436.76,441.39,110.0
2018/04/02,441.39,441.39,432.98,432.98,285.0
2018/04/03,441.39,441.39,426.67,426.67,40.0
2018/04/04,426.67,430.88,426.67,430.88,30.0
2018/04/05,439.28,456.52,439.28,449.79,80.0
2018/04/08,458.2,494.77,458.2,485.1,510.0
